symbol,name,cryptocurrency,currency,summary,exchange,market
AAVE-CAD,Aave CAD,AAVE,CAD,"Aave (AAVE) is a cryptocurrency and operates on the Ethereum platform. Aave has a current supply of 16,000,000 with 12,488,045.98548802 in circulation. The last known price of Aave is 472.51174201 USD and is down -7.08 over the last 24 hours. It is currently trading on 194 active market(s) with $808,255,779.93 traded over the last 24 hours. More information can be found at https://aave.com/.",CCC,ccc_market
AAVE-CNY,Aave CNY,AAVE,CNY,"Aave (AAVE) is a cryptocurrency and operates on the Ethereum platform. Aave has a current supply of 16,000,000 with 12,488,045.98548802 in circulation. The last known price of Aave is 472.51174201 USD and is down -7.08 over the last 24 hours. It is currently trading on 194 active market(s) with $808,255,779.93 traded over the last 24 hours. More information can be found at https://aave.com/.",CCC,ccc_market
AAVE-ETH,Aave ETH,AAVE,ETH,"Aave (AAVE) is a cryptocurrency and operates on the Ethereum platform. Aave has a current supply of 16,000,000 with 12,488,045.98548802 in circulation. The last known price of Aave is 472.51174201 USD and is down -7.08 over the last 24 hours. It is currently trading on 194 active market(s) with $808,255,779.93 traded over the last 24 hours. More information can be found at https://aave.com/.",CCC,ccc_market
AAVE-EUR,Aave EUR,AAVE,EUR,"Aave (AAVE) is a cryptocurrency and operates on the Ethereum platform. Aave has a current supply of 16,000,000 with 12,488,045.98548802 in circulation. The last known price of Aave is 472.51174201 USD and is down -7.08 over the last 24 hours. It is currently trading on 194 active market(s) with $808,255,779.93 traded over the last 24 hours. More information can be found at https://aave.com/.",CCC,ccc_market
AAVE-GBP,Aave GBP,AAVE,GBP,"Aave (AAVE) is a cryptocurrency and operates on the Ethereum platform. Aave has a current supply of 16,000,000 with 12,488,045.98548802 in circulation. The last known price of Aave is 472.51174201 USD and is down -7.08 over the last 24 hours. It is currently trading on 194 active market(s) with $808,255,779.93 traded over the last 24 hours. More information can be found at https://aave.com/.",CCC,ccc_market
AAVE-INR,Aave INR,AAVE,INR,"Aave (AAVE) is a cryptocurrency and operates on the Ethereum platform. Aave has a current supply of 16,000,000 with 12,488,045.98548802 in circulation. The last known price of Aave is 472.51174201 USD and is down -7.08 over the last 24 hours. It is currently trading on 194 active market(s) with $808,255,779.93 traded over the last 24 hours. More information can be found at https://aave.com/.",CCC,ccc_market
AAVE-JPY,Aave JPY,AAVE,JPY,"Aave (AAVE) is a cryptocurrency and operates on the Ethereum platform. Aave has a current supply of 16,000,000 with 12,488,045.98548802 in circulation. The last known price of Aave is 472.51174201 USD and is down -7.08 over the last 24 hours. It is currently trading on 194 active market(s) with $808,255,779.93 traded over the last 24 hours. More information can be found at https://aave.com/.",CCC,ccc_market
AAVE-KRW,Aave KRW,AAVE,KRW,"Aave (AAVE) is a cryptocurrency and operates on the Ethereum platform. Aave has a current supply of 16,000,000 with 12,488,045.98548802 in circulation. The last known price of Aave is 472.51174201 USD and is down -7.08 over the last 24 hours. It is currently trading on 194 active market(s) with $808,255,779.93 traded over the last 24 hours. More information can be found at https://aave.com/.",CCC,ccc_market
AAVE-RUB,Aave RUB,AAVE,RUB,"Aave (AAVE) is a cryptocurrency and operates on the Ethereum platform. Aave has a current supply of 16,000,000 with 12,488,045.98548802 in circulation. The last known price of Aave is 472.51174201 USD and is down -7.08 over the last 24 hours. It is currently trading on 194 active market(s) with $808,255,779.93 traded over the last 24 hours. More information can be found at https://aave.com/.",CCC,ccc_market
AAVE-USD,Aave USD,AAVE,USD,"Aave (AAVE) is a cryptocurrency and operates on the Ethereum platform. Aave has a current supply of 16,000,000 with 12,488,045.98548802 in circulation. The last known price of Aave is 472.51174201 USD and is down -7.08 over the last 24 hours. It is currently trading on 194 active market(s) with $808,255,779.93 traded over the last 24 hours. More information can be found at https://aave.com/.",CCC,ccc_market
ABBC-CAD,ABBCCoin CAD,ABBC,CAD,"ABBC Coin (ABBC) is a cryptocurrency . Users are able to generate ABBC through the process of mining. ABBC Coin has a current supply of 1,500,000,000 with 843,550,385.0345095 in circulation. The last known price of ABBC Coin is 0.76520648 USD and is down -1.46 over the last 24 hours. It is currently trading on 35 active market(s) with $60,834,483.97 traded over the last 24 hours. More information can be found at https://abbccoin.com/.",CCC,ccc_market
ABBC-CNY,ABBCCoin CNY,ABBC,CNY,"ABBC Coin (ABBC) is a cryptocurrency . Users are able to generate ABBC through the process of mining. ABBC Coin has a current supply of 1,500,000,000 with 843,615,915.2135645 in circulation. The last known price of ABBC Coin is 0.53616677 USD and is down -7.57 over the last 24 hours. It is currently trading on 35 active market(s) with $34,717,480.54 traded over the last 24 hours. More information can be found at https://abbccoin.com/.",CCC,ccc_market
ABBC-ETH,ABBCCoin ETH,ABBC,ETH,"ABBC Coin (ABBC) is a cryptocurrency . Users are able to generate ABBC through the process of mining. ABBC Coin has a current supply of 1,500,000,000 with 843,550,385.0345095 in circulation. The last known price of ABBC Coin is 0.76520648 USD and is down -1.46 over the last 24 hours. It is currently trading on 35 active market(s) with $60,834,483.97 traded over the last 24 hours. More information can be found at https://abbccoin.com/.",CCC,ccc_market
ABBC-EUR,ABBCCoin EUR,ABBC,EUR,"ABBC Coin (ABBC) is a cryptocurrency . Users are able to generate ABBC through the process of mining. ABBC Coin has a current supply of 1,500,000,000 with 843,615,915.2135645 in circulation. The last known price of ABBC Coin is 0.53616677 USD and is down -7.57 over the last 24 hours. It is currently trading on 35 active market(s) with $34,717,480.54 traded over the last 24 hours. More information can be found at https://abbccoin.com/.",CCC,ccc_market
ABBC-GBP,ABBCCoin GBP,ABBC,GBP,"ABBC Coin (ABBC) is a cryptocurrency . Users are able to generate ABBC through the process of mining. ABBC Coin has a current supply of 1,500,000,000 with 843,550,385.0345095 in circulation. The last known price of ABBC Coin is 0.76520648 USD and is down -1.46 over the last 24 hours. It is currently trading on 35 active market(s) with $60,834,483.97 traded over the last 24 hours. More information can be found at https://abbccoin.com/.",CCC,ccc_market
ABBC-INR,ABBCCoin INR,ABBC,INR,"ABBC Coin (ABBC) is a cryptocurrency . Users are able to generate ABBC through the process of mining. ABBC Coin has a current supply of 1,500,000,000 with 843,550,385.0345095 in circulation. The last known price of ABBC Coin is 0.76520648 USD and is down -1.46 over the last 24 hours. It is currently trading on 35 active market(s) with $60,834,483.97 traded over the last 24 hours. More information can be found at https://abbccoin.com/.",CCC,ccc_market
ABBC-JPY,ABBCCoin JPY,ABBC,JPY,"ABBC Coin (ABBC) is a cryptocurrency . Users are able to generate ABBC through the process of mining. ABBC Coin has a current supply of 1,500,000,000 with 843,615,915.2135645 in circulation. The last known price of ABBC Coin is 0.53616677 USD and is down -7.57 over the last 24 hours. It is currently trading on 35 active market(s) with $34,717,480.54 traded over the last 24 hours. More information can be found at https://abbccoin.com/.",CCC,ccc_market
ABBC-KRW,ABBCCoin KRW,ABBC,KRW,"ABBC Coin (ABBC) is a cryptocurrency . Users are able to generate ABBC through the process of mining. ABBC Coin has a current supply of 1,500,000,000 with 843,550,385.0345095 in circulation. The last known price of ABBC Coin is 0.76520648 USD and is down -1.46 over the last 24 hours. It is currently trading on 35 active market(s) with $60,834,483.97 traded over the last 24 hours. More information can be found at https://abbccoin.com/.",CCC,ccc_market
ABBC-RUB,ABBCCoin RUB,ABBC,RUB,"ABBC Coin (ABBC) is a cryptocurrency . Users are able to generate ABBC through the process of mining. ABBC Coin has a current supply of 1,500,000,000 with 843,550,385.0345095 in circulation. The last known price of ABBC Coin is 0.76520648 USD and is down -1.46 over the last 24 hours. It is currently trading on 35 active market(s) with $60,834,483.97 traded over the last 24 hours. More information can be found at https://abbccoin.com/.",CCC,ccc_market
ABBC-USD,ABBCCoin USD,ABBC,USD,"ABBC Coin (ABBC) is a cryptocurrency . Users are able to generate ABBC through the process of mining. ABBC Coin has a current supply of 1,500,000,000 with 843,615,915.2135645 in circulation. The last known price of ABBC Coin is 0.53616677 USD and is down -7.57 over the last 24 hours. It is currently trading on 35 active market(s) with $34,717,480.54 traded over the last 24 hours. More information can be found at https://abbccoin.com/.",CCC,ccc_market
ACH-CAD,AlchemyPay CAD,ACH,CAD,"Alchemy Pay (ACH) is a cryptocurrency . Alchemy Pay has a current supply of 10,000,000,000 with 2,073,916,604.420616 in circulation. The last known price of Alchemy Pay is 0.0079481 USD and is down -6.17 over the last 24 hours. It is currently trading on 17 active market(s) with $3,090,383.98 traded over the last 24 hours. More information can be found at https://www.alchemytech.io/.",CCC,ccc_market
ACH-CNY,AlchemyPay CNY,ACH,CNY,"Alchemy Pay (ACH) is a cryptocurrency . Alchemy Pay has a current supply of 10,000,000,000 with 2,073,916,604.420616 in circulation. The last known price of Alchemy Pay is 0.0079481 USD and is down -6.17 over the last 24 hours. It is currently trading on 17 active market(s) with $3,090,383.98 traded over the last 24 hours. More information can be found at https://www.alchemytech.io/.",CCC,ccc_market
