symbol,name,base_currency,quote_currency,summary,exchange
AED=X,USD/AED,USD,AED,The exchange rate between the United States Dollar (USD) and the United Arab Emirates Dirham (AED). It reflects how many AED can be purchased with one USD.,CCY
AEDAUD=X,AED/AUD,AED,AUD,The exchange rate between the United Arab Emirates Dirham (AED) and the Australian Dollar (AUD). It reflects how many AUD can be purchased with one AED.,CCY
AEDBRX=X,AED/BRX,AED,BRX,The exchange rate between the United Arab Emirates Dirham (AED) and a basket of currencies (BRX). It indicates how many units of the BRX currency basket are needed to purchase one AED. The rate reflects the relative value of the AED compared to the BRX currency basket.,CCY
AEDCAD=X,AED/CAD,AED,CAD,The exchange rate between the United Arab Emirates Dirham (AED) and the Canadian Dollar (CAD). It reflects how many CAD can be purchased with one AED.,CCY
AEDCHF=X,AED/CHF,AED,CHF,The exchange rate between the United Arab Emirates Dirham (AED) and the Swiss Franc (CHF). It reflects how many CHF can be purchased with one AED.,CCY
AEDEUR=X,AED/EUR,AED,EUR,The exchange rate between the United Arab Emirates Dirham (AED) and the Euro (EUR). It reflects how many EUR can be purchased with one AED.,CCY
AEDGBP=X,AED/GBP,AED,GBP,The exchange rate between the United Arab Emirates Dirham (AED) and the British Pound (GBP). It reflects how many GBP can be purchased with one AED.,CCY
AEDHKD=X,AED/HKD,AED,HKD,The exchange rate between the United Arab Emirates Dirham (AED) and the Hong Kong Dollar (HKD). It reflects how many HKD can be purchased with one AED.,CCY
AEDINR=X,AED/INR,AED,INR,The exchange rate between the United Arab Emirates Dirham (AED) and the Indian Rupee (INR). It reflects how many INR can be purchased with one AED.,CCY
AEDJPY=X,AED/JPY,AED,JPY,The exchange rate between the United Arab Emirates Dirham (AED) and the Japanese Yen (JPY). It reflects how many JPY can be purchased with one AED.,CCY
AEDKRW=X,AED/KRW,AED,KRW,The exchange rate between the United Arab Emirates Dirham (AED) and the South Korean Won (KRW). It reflects how many KRW can be purchased with one AED.,CCY
AEDKWD=X,AED/KWD,AED,KWD,The exchange rate between the United Arab Emirates Dirham (AED) and the Kuwaiti Dinar (KWD). It reflects how many KWD can be purchased with one AED.,CCY
AEDLKR=X,AED/LKR,AED,LKR,The exchange rate between the United Arab Emirates Dirham (AED) and the Sri Lankan Rupee (LKR). It reflects how many LKR can be purchased with one AED.,CCY
AEDMAD=X,AED/MAD,AED,MAD,The exchange rate between the United Arab Emirates Dirham (AED) and the Moroccan Dirham (MAD). It reflects how many MAD can be purchased with one AED.,CCY
AEDMUR=X,AED/MUR,AED,MUR,The exchange rate between the United Arab Emirates Dirham (AED) and the Mauritian Rupee (MUR). It reflects how many MUR can be purchased with one AED.,CCY
AEDMYX=X,AED/MYX,AED,MYX,The exchange rate between the United Arab Emirates Dirham (AED) and the Malaysian Ringgit (MYR). It indicates how many MYR are needed to purchase one AED. The rate reflects the relative value of the AED compared to the MYR.,CCY
AEDNOK=X,AED/NOK,AED,NOK,The exchange rate between the United Arab Emirates Dirham (AED) and the Norwegian Krone (NOK). It reflects how many NOK can be purchased with one AED.,CCY
AEDNZD=X,AED/NZD,AED,NZD,The exchange rate between the United Arab Emirates Dirham (AED) and the New Zealand Dollar (NZD). It reflects how many NZD can be purchased with one AED.,CCY
AEDOMR=X,AED/OMR,AED,OMR,The exchange rate between the United Arab Emirates Dirham (AED) and the Omani Rial (OMR). It reflects how many OMR can be purchased with one AED.,CCY
AEDPKR=X,AED/PKR,AED,PKR,The exchange rate between the United Arab Emirates Dirham (AED) and the Pakistani Rupee (PKR). It reflects how many PKR can be purchased with one AED.,CCY
AEDQAR=X,AED/QAR,AED,QAR,The exchange rate between the United Arab Emirates Dirham (AED) and the Qatari Riyal (QAR). It reflects how many QAR can be purchased with one AED.,CCY
AEDSAR=X,AED/SAR,AED,SAR,The exchange rate between the United Arab Emirates Dirham (AED) and the Saudi Riyal (SAR). It reflects how many SAR can be purchased with one AED.,CCY
AEDSEK=X,AED/SEK,AED,SEK,The exchange rate between the United Arab Emirates Dirham (AED) and the Swedish Krona (SEK). It reflects how many SEK can be purchased with one AED.,CCY
AEDSGD=X,AED/SGD,AED,SGD,The exchange rate between the United Arab Emirates Dirham (AED) and the Singapore Dollar (SGD). It reflects how many SGD can be purchased with one AED.,CCY
AEDTHX=X,AED/THX,AED,THX,The exchange rate between the United Arab Emirates Dirham (AED) and the Thai Baht (THB). It indicates how many THB are needed to purchase one AED. The rate reflects the relative value of the AED compared to the THB.,CCY
AEDTRY=X,AED/TRY,AED,TRY,The exchange rate between the United Arab Emirates Dirham (AED) and the Turkish Lira (TRY). It reflects how many TRY can be purchased with one AED.,CCY
AEDUSD=X,AED/USD,AED,USD,The exchange rate between the United Arab Emirates Dirham (AED) and the United States Dollar (USD). It reflects how many USD can be purchased with one AED.,CCY
AEDXDR=X,AED/XDR,AED,XDR,The exchange rate between the United Arab Emirates Dirham (AED) and the Special Drawing Rights (XDR). It indicates how many XDR are needed to purchase one AED. The rate reflects the relative value of the AED compared to the XDR.,CCY
AEDZAR=X,AED/ZAR,AED,ZAR,The exchange rate between the United Arab Emirates Dirham (AED) and the South African Rand (ZAR). It reflects how many ZAR can be purchased with one AED.,CCY
AFN=X,USD/AFN,USD,AFN,The exchange rate between the United States Dollar (USD) and the Afghan Afghani (AFN). It reflects how many AFN can be purchased with one USD.,CCY
AFNBRX=X,AFN/BRX,AFN,BRX,The exchange rate between the Afghan Afghani (AFN) and a basket of currencies (BRX). It indicates how many units of the BRX currency basket are needed to purchase one AFN. The rate reflects the relative value of the AFN compared to the BRX currency basket.,CCY
AFNUSD=X,AFN/USD,AFN,USD,The exchange rate between the Afghan Afghani (AFN) and the United States Dollar (USD). It reflects how many USD can be purchased with one AFN.,CCY
ALL=X,USD/ALL,USD,ALL,The exchange rate between the United States Dollar (USD) and the Albanian Lek (ALL). It reflects how many ALL can be purchased with one USD.,CCY
ALLBRX=X,ALL/BRX,ALL,BRX,The exchange rate between the Albanian Lek (ALL) and a basket of currencies (BRX). It indicates how many units of the BRX currency basket are needed to purchase one ALL. The rate reflects the relative value of the ALL compared to the BRX currency basket.,CCY
ALLUSD=X,ALL/USD,ALL,USD,The exchange rate between the Albanian Lek (ALL) and the United States Dollar (USD). It reflects how many USD can be purchased with one ALL.,CCY
AMD=X,USD/AMD,USD,AMD,The exchange rate between the United States Dollar (USD) and the Armenian Dram (AMD). It reflects how many AMD can be purchased with one USD.,CCY
AMDBRX=X,AMD/BRX,AMD,BRX,,CCY
AMDRUX=X,AMD/RUX,AMD,RUX,,CCY
