symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
ADCB.AE,Abu Dhabi Commercial Bank PJSC,"Abu Dhabi Commercial Bank PJSC, together with its subsidiaries, provides retail, private, corporate, and investment banking products and services in the United Arab Emirates and internationally, operating through Retail Banking, Private Banking, Corporate and Investment Banking, and Treasury and Investments segments. Founded in 1985 and headquartered in Abu Dhabi, ADCB is one of the largest banks in the UAE by total assets.",AED,Financials,Banks,Banks,ADX,XADS,Abu Dhabi Securities Exchange,United Arab Emirates,,Abu Dhabi,,https://www.adcb.com,Large Cap,AEA000201011,,BBG000DKRVC9,BBG000DKRVC9,BBG001SHQWF4,False
ADIB.AE,Abu Dhabi Islamic Bank PJSC,"Abu Dhabi Islamic Bank PJSC provides Sharia-compliant retail, corporate, private, and investment banking products and services in the United Arab Emirates and internationally, including consumer financing, real estate development, and treasury operations. Founded in 1997 and headquartered in Abu Dhabi, ADIB is one of the largest Islamic banks in the UAE and also maintains a listed subsidiary in Egypt.",AED,Financials,Banks,Banks,ADX,XADS,Abu Dhabi Securities Exchange,United Arab Emirates,,Abu Dhabi,,https://www.adib.ae,Large Cap,AEA000801018,,BBG000BLB908,BBG000BLB908,BBG001S94M40,False
ADNOCDIST.AE,Abu Dhabi National Oil Company for Distribution PJSC,"Abu Dhabi National Oil Company for Distribution PJSC, operating as ADNOC Distribution, retails and distributes fuel and convenience products through a network of service stations, and supplies fuel, lubricants, and related products to industrial, commercial, and aviation customers in the United Arab Emirates and Saudi Arabia. Listed on the Abu Dhabi Securities Exchange in 2017, the company is headquartered in Abu Dhabi and is a subsidiary of ADNOC.",AED,Energy,Energy,Oil & Gas Refining & Marketing,ADX,XADS,Abu Dhabi Securities Exchange,United Arab Emirates,,Abu Dhabi,,https://www.adnocdistribution.ae,Large Cap,AEA006101017,,BBG00J771JC9,BBG00J771JC9,BBG00J771JD8,False
ADNOCDRILL.AE,ADNOC Drilling Company PJSC,"ADNOC Drilling Company PJSC provides onshore and offshore drilling, workover, and related oilfield services to the oil and gas industry in the United Arab Emirates. The company operates a fleet of drilling rigs across ADNOC's onshore and offshore concessions and listed on the Abu Dhabi Securities Exchange in 2021. The company is headquartered in Abu Dhabi and is a subsidiary of ADNOC.",AED,Energy,Energy,Oil & Gas Drilling,ADX,XADS,Abu Dhabi Securities Exchange,United Arab Emirates,,Abu Dhabi,,https://www.adnocdrilling.ae,Large Cap,AEA007301012,,BBG00M6JJSK9,BBG00M6JJSK9,BBG00M6JJSL8,False
ADNOCGAS.AE,ADNOC Gas PLC,"ADNOC Gas PLC is a large-scale integrated gas processing company operating across the gas value chain in Abu Dhabi, receiving feedstock from ADNOC for processing and fractionation and selling natural gas liquids and processed gas products to domestic and international customers. The company supplies approximately 60% of the UAE's sales gas needs and serves customers in more than twenty countries. ADNOC Gas listed on the Abu Dhabi Securities Exchange in 2023 as a subsidiary of the Abu Dhabi National Oil Company.",AED,Energy,Energy,"Oil, Gas & Consumable Fuels",ADX,XADS,Abu Dhabi Securities Exchange,United Arab Emirates,,Abu Dhabi,,https://www.adnocgas.ae,Large Cap,AEE01195A234,,BBG01FKC2SG5,BBG01FKC2SG5,BBG01FKC2SK0,False
ADPORTS.AE,Abu Dhabi Ports Company PJSC,"Abu Dhabi Ports Company PJSC, operating as AD Ports Group, develops and manages ports, maritime, logistics, and industrial zone infrastructure in the United Arab Emirates and internationally, operating through Maritime & Shipping, Ports, Logistics, Digital, and Economic Cities & Free Zones clusters. Founded in 2006 and headquartered in Abu Dhabi, the group manages Khalifa Port and the Khalifa Industrial Zone Abu Dhabi (KIZAD).",AED,Industrials,Transportation Infrastructure,Marine Ports & Services,ADX,XADS,Abu Dhabi Securities Exchange,United Arab Emirates,,Abu Dhabi,,https://www.adportsgroup.com,Mid Cap,AEA004601018,,BBG000RJ8Q75,BBG000RJ8Q75,BBG001STPZY1,False
ALDAR.AE,Aldar Properties PJSC,"Aldar Properties PJSC engages in real estate development, investment, construction, leasing, and property management in the United Arab Emirates, developing residential, commercial, and retail projects primarily in Abu Dhabi. The company also manages a growing portfolio of investment properties and has expanded into education, hospitality, and asset management services. Founded in 2004, Aldar is headquartered in Abu Dhabi and is one of the largest listed real estate developers in the UAE.",AED,Real Estate,Real Estate Management & Development,Real Estate Development,ADX,XADS,Abu Dhabi Securities Exchange,United Arab Emirates,,Abu Dhabi,,https://www.aldar.com,Large Cap,AEA002001013,,BBG000BB4YW8,BBG000BB4YW8,BBG001S5S6D7,False
ALPHADHABI.AE,Alpha Dhabi Holding PJSC,"Alpha Dhabi Holding PJSC is a diversified holding company engaged in construction, healthcare, real estate, hospitality, and industrial businesses in the United Arab Emirates and internationally. Founded in 2021 and headquartered in Abu Dhabi, the company is a subsidiary of International Holding Company and one of the largest listed conglomerates on the Abu Dhabi Securities Exchange.",AED,Industrials,Capital Goods,Industrial Conglomerates,ADX,XADS,Abu Dhabi Securities Exchange,United Arab Emirates,,Abu Dhabi,,https://www.alphadhabi.com,Large Cap,AEA007601015,,BBG011LNF7K8,BBG011LNF7K8,BBG011LNF7N5,False
BOROUGE.AE,Borouge PLC,"Borouge PLC produces and supplies polyolefin products, including polyethylene and polypropylene, used in infrastructure, packaging, mobility, agriculture, and energy applications across the Middle East, Asia, and internationally. A joint venture between ADNOC and Austria's Borealis, Borouge listed on the Abu Dhabi Securities Exchange in 2022 in the exchange's largest-ever IPO. The company is headquartered in Abu Dhabi.",AED,Materials,Materials,Commodity Chemicals,ADX,XADS,Abu Dhabi Securities Exchange,United Arab Emirates,,Abu Dhabi,,https://www.borouge.com,Large Cap,AEE01072B225,,BBG001KJ0HN0,BBG001KJ0HN0,BBG001V0PD15,False
EAND.AE,Emirates Telecommunications Group Company PJSC,"Emirates Telecommunications Group Company PJSC, operating under the brand e& (formerly Etisalat), provides mobile, fixed-line, broadband, and digital services to consumer and business customers in the United Arab Emirates and across markets in the Middle East, Africa, and Asia. The group also operates e& enterprise, e& capital, and e& money divisions covering ICT solutions, venture investing, and digital financial services. Founded in 1976, e& is headquartered in Abu Dhabi.",AED,Communication Services,Telecommunication Services,Diversified Telecommunication Services,ADX,XADS,Abu Dhabi Securities Exchange,United Arab Emirates,,Abu Dhabi,,https://www.eand.com,Large Cap,AEE000401019,,BBG000C0ZM17,BBG000C0ZM17,BBG001SDFWC8,False
