symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
AA261.AS,OOSTNRIJK 6 1/4%27,,EUR,,,,AMS,XAMS,Euronext Amsterdam,,,,,,,,,,,,False
AALB.AS,Aalberts N.V.,"Aalberts N.V. operates as a technology company. The company operates through four segments: Installation Technology, Material Technology, Climate Technology, and Industrial Technology. The Installation Technology segment develops, manufactures, and sells piping systems to distribute and regulate water or gas in heating, cooling, water, gas, and sprinkler systems in buildings and industrial markets. The Material Technology segment provides a range of surface technology solutions to customers in transportation and industrial markets. The Climate Technology segment develops, manufactures, monitors, and sells hydronic flow control systems for heating and cooling in buildings. The Industrial Technology segment co-develops, engineers, and manufactures advanced mechatronics and technologies to regulate, measure, and control fluids for original equipment manufacturers in semicon efficiency, transportation, and industrial markets. It operates in Western Europe, the Americas, Russia, Eastern Europe, Far East, the Middle East, and Africa. The company was formerly known as Aalberts Industries N.V. and changed its name to Aalberts N.V. in April 2019. Aalberts N.V. was founded in 1975 and is headquartered in Utrecht, the Netherlands.",EUR,Industrials,Capital Goods,Machinery,AMS,XAMS,Euronext Amsterdam,Netherlands,,Utrecht,3521 AZ,http://www.aalberts.com,Mid Cap,,,BBG000BB3HV7,BBG000BB3GF7,BBG001S5SGH1,False
ABN.AS,ABN AMRO Bank N.V. Depositary receipts,"ABN AMRO Bank N.V. provides various banking products and services in the Netherlands and internationally. It operates through Retail Banking, Commercial Banking, Private Banking, and Corporate & Institutional Banking segments. The Retail Banking segment offers banking products and services, including labelled residential mortgage products under the Florius brands; and consumer loans under the Alpha Credit Nederland, Credivance, Defam, and GreenLoans, Moneyou, and ABN AMRO brands. It also issues, promotes, manages, and processes credit cards; provides revolving credit card facilities and pension schemes, as well as Internet banking services for payment and savings accounts and mortgages, as well as consumer credit and mortgages; and life and non-life insurance products. The Commercial Banking segment offers asset-based solutions, including working capital solutions, equipment leases and loans, and vendor lease services. The Private Banking segment provides private banking and private wealth-management-related services. The Corporate & Institutional Banking segment offers derivatives and equity clearing services. ABN AMRO Bank N.V. was incorporated in 2009 and is based in Amsterdam, the Netherlands.",EUR,Financials,Banks,Banks,AMS,XAMS,Euronext Amsterdam,Netherlands,,Amsterdam,1082 PP,http://www.abnamro.nl,Large Cap,NL0011540547,,BBG00BDTXC59,BBG00BDTXC40,BBG00BDTXC86,False
ACCEL.AS,Accell Group N.V.,"Accell Group N.V. designs, develops, produces, markets, and markets bicycles, and bicycle parts and accessories. It sells its products under the Lapierre, Haibike, Raleigh, Carqon, Sparta, XLC, Batavus, Ghost, Babboe, Winora, Koga, Van Nicholas, Loekie, Atala, Bike Parts, Juncker, Carraro Cicli, Nishiki, and Tunturi brands in the Netherlands, Germany, other European countries, and internationally. The company serves dealers and consumers. Accell Group N.V. is headquartered in Heerenveen, the Netherlands.",EUR,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMS,XAMS,Euronext Amsterdam,Netherlands,,Heerenveen,8444 AR,http://www.accell-group.com,Small Cap,NL0009767532,,,BBG000MG4781,BBG001S9GYW0,False
ACOMO.AS,Amsterdam Commodities N.V.,"Amsterdam Commodities N.V., together with its subsidiaries, sources, processes, treats, trades, packages, and distributes natural food products and ingredients for the food and beverage industry worldwide. The company operates in five segments: Spices and Nuts, Edible Seeds, Tea, Food Ingredients, and Organic Ingredients. It offers tropical products, such as pepper products, nutmeg and desiccated coconut products, shelled and unshelled nuts, dried fruits, dehydrated vegetables, herbs, chocolates, rice crackers, and snack products. The company also sources, produces, packages, and provides sunflower, poppy, sesame, pumpkin, caraway, blue poppy, linseed, flax, millet, chia, quinoa, and other seeds; bakery ingredients, bird food ingredients, and special crops; Sunbutter, a sunflower butter; and Suntein, a high protein plant-based flour, as well as processes and distributes poppy seeds for the confection, spice, and bakery industries. In addition, it supplies tea to the private and public sectors; and produces and distributes food ingredients comprising meat tastes, yeast extracts, vegetable tastes, cheese tastes, spices and herbal blends, natural colorings, texturizers, sweeteners, and vegetarian Worchester sauce. Further, the company offers organic cocoa and coffee products, frozen fruits and vegetables, nuts and dried fruits, oils, and juices. Amsterdam Commodities N.V. was founded in 1819 and is based in Rotterdam, the Netherlands.",EUR,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,AMS,XAMS,Euronext Amsterdam,Netherlands,,Rotterdam,3011 DD,http://www.acomo.nl,Small Cap,,,,,,False
AD.AS,Koninklijke Ahold Delhaize N.V.,"Koninklijke Ahold Delhaize N.V. operates retail food stores and e-commerce primarily in the United States and Europe. The company's store formats include supermarkets, convenience stores, compact hypermarkets, cash and carry, drugstores, hypermarkets, and liquor stores. As of January 3, 2021, it operated 7,137 stores primarily under local brands serving approximately 54 million customers, as well as online. The company was formerly known as Koninklijke Ahold N.V. and changed its name to Koninklijke Ahold Delhaize N.V. in July 2016. Koninklijke Ahold Delhaize N.V. was founded in 1887 and is headquartered in Zaandam, the Netherlands.",EUR,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,AMS,XAMS,Euronext Amsterdam,Netherlands,,Zaandam,1506 MA,http://www.aholddelhaize.com,Large Cap,NL0011794037,,BBG000BBBC58,BBG000BBBBR6,BBG001S5WMP4,False
ADYEN.AS,Adyen N.V.,"Adyen N.V. operates a payments platform in Europe, North America, the Asia Pacific, Latin America, and internationally. The company's platform integrates payments stack that include gateway, risk management, processing, acquiring, and settlement services. It offers a back-end infrastructure for authorizing payments across merchants' sales channels, as well as online, mobile, in-store, and APIs. The company's platform services a range of merchants across various verticals, connecting them directly to Visa, Mastercard, and other payment methods and providing data insights. Adyen N.V. was incorporated in 2006 and is headquartered in Amsterdam, the Netherlands.",EUR,Information Technology,Software & Services,Software,AMS,XAMS,Euronext Amsterdam,Netherlands,,Amsterdam,1011 DJ,http://www.adyen.com,Large Cap,,,BBG00L088N79,BBG00389H4J8,BBG00389H4K6,False
AGN.AS,Aegon N.V.,"Aegon N.V. provides a range of financial services in the Americas, Europe, and Asia. Its insurance products include life, accident, and health insurance; property and casualty insurance; and household and car insurance, as well as pension products. The company also offers savings products, such as retirement plan services; annuities; mutual funds; and stable value solutions. In addition, it provides retail and institutional investment management solutions, retirement savings vehicles, residential mortgages, and digital banking services. The company markets its products through brokers, agents, banks, employee benefit consultants, independent financial advisors, bancassurance channels, and advice centers. Aegon N.V. was founded in 1983 and is headquartered in The Hague, the Netherlands.",EUR,Financials,Insurance,Insurance,AMS,XAMS,Euronext Amsterdam,Netherlands,,The Hague,2591 TV,http://www.aegon.com,Mid Cap,,,BBG000JN9DM6,BBG000JN9C93,BBG001S5V8R4,False
AI261.AS,Netherlands 5.5% SNR BDS 15/01/2028 EUR1 'REGS',,EUR,,,,AMS,XAMS,Euronext Amsterdam,,,,,,,,,,,,False
AJAX.AS,AFC Ajax N.V.,"AFC Ajax NV operates a football club primarily in the Netherlands. The company also operates a stadium and an youth academy. In addition, it sells tickets online. The company was founded in 1900 and is based in Amsterdam, the Netherlands.",EUR,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",AMS,XAMS,Euronext Amsterdam,Netherlands,,Amsterdam,1101 AX,http://www.ajax.nl,Small Cap,NL0000018034,,BBG000C1BTC4,BBG000C1BSZ1,BBG001S5Q8T8,False
