symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,"Ares Acquisition Corporation II is a blank check company formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The company focuses on identifying a target in the alternative asset management, financial services, or software industries. It is headquartered in New York, NY.",USD,Financials,Diversified Financials,,ASE,XASE,NYSE MKT,,,,,,Nano Cap,,,,,,True
AAIC^B,Arlington Asset Investment Corp 7.00% ,"Arlington Asset Investment Corp. is a specialty finance company that invests in mortgage-related assets. It focuses on investments that generate income and capital appreciation, primarily through agency mortgage-backed securities (MBS) and other government-guaranteed assets. The company is headquartered in McLean, Virginia.",USD,Financials,Diversified Financials,,ASE,XASE,NYSE MKT,United States,,,,,,,,,,,True
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,"Arlington Asset Investment Corp. is a specialty finance company that invests in mortgage-related assets. It focuses on investments that generate income and capital appreciation, primarily through agency mortgage-backed securities (MBS) and other government-guaranteed assets. The company is headquartered in McLean, Virginia.",USD,Financials,Diversified Financials,,ASE,XASE,NYSE MKT,United States,,,,,,,,,,,False
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,"Arlington Asset Investment Corp. is a specialty finance company that invests in mortgage-related assets. It focuses on investments that generate income and capital appreciation, primarily through agency mortgage-backed securities (MBS) and other government-guaranteed assets. The company is headquartered in McLean, Virginia.",USD,Financials,Diversified Financials,Capital Markets,ASE,XASE,NYSE MKT,United States,,,,,Small Cap,,,,,,True
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,"AA Mission Acquisition Corp. is a blank check company (SPAC) formed for the purpose of effecting a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses. SPACs typically identify and merge with private companies to take them public. The company is based in the United States.",USD,Financials,Diversified Financials,,ASE,XASE,NYSE MKT,United Kingdom,,,,,Nano Cap,,G1000R101,,,,True
AAMC,Altisource Asset Management Corporation,"Altisource Asset Management Corporation, an asset management company, provides portfolio management and corporate governance services to institutional investors in the United States. The company offers its services under an asset management agreement to Altisource Residential Corporation, which acquires and manages single-family rental properties for working class families. It also provides management services to NewSource Reinsurance Company Ltd. The company was founded in 2012 and is headquartered in Christiansted, Virgin Islands.",USD,Financials,Diversified Financials,Capital Markets,ASE,XASE,NYSE MKT,United States,VI,Christiansted,820,http://www.altisourceamc.com,Nano Cap,,,,,,False
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,"Apollo Asset Management, Inc. is a global alternative investment manager with expertise across credit, private equity, and real assets. The company manages funds on behalf of institutional and individual investors, seeking to generate attractive returns. Apollo is headquartered in New York, NY.",USD,Financials,Diversified Financials,,ASE,XASE,NYSE MKT,United States,,,,,,,,,,,False
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,"Apollo Asset Management, Inc. is a global alternative investment manager with expertise across credit, private equity, and real assets. The company manages funds on behalf of institutional and individual investors, seeking to generate attractive returns. Apollo is headquartered in New York, NY.",USD,Financials,Diversified Financials,,ASE,XASE,NYSE MKT,United States,,,,,,,,,,,False
AAU,Almaden Minerals Ltd.,"Almaden Minerals Ltd., an exploration stage company, engages in the acquisition, exploration, and development of mineral properties in Canada and Mexico. The company primarily explores for gold, silver, and copper deposits. Its principal property is the Tuligtic Property/Ixtaca Project that covers an area of approximately 7,200 hectares located in Puebla State, Mexico. The company was incorporated in 1980 and is headquartered in Vancouver, Canada.",USD,Materials,Materials,Metals & Mining,ASE,XASE,NYSE MKT,Canada,BC,Vancouver,V6H 3R9,http://www.almadenminerals.com,Nano Cap,CA0202833053,020283305,BBG000DGFTB7,BBG000DGFSY4,BBG001S7VVD4,True
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,"Arbor Realty Trust is a real estate investment trust (REIT) that invests in a diversified portfolio of structured finance assets in the multifamily and commercial real estate markets, including bridge and mezzanine loans, and preferred equity. The 6.375% Series D Cumulative Redeemable Preferred Stock represents a specific series of preferred shares issued by Arbor Realty Trust with a liquidation preference of $25.00 per share. Arbor Realty Trust is headquartered in Uniondale, New York.",USD,Real Estate,Real Estate,,ASE,XASE,NYSE MKT,United States,,,,,,,,,,,False
