symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
14D.AX,1414 Degrees Limited,"1414 Degrees Limited offers thermal energy storage systems for networks and industries in Australia. It provides heat and electricity from renewable energy sources, such as electricity or biogas. The company was formerly known as Latent Heat Storage Pty Ltd and changed its name to 1414 Degrees Limited in December 2016. 1414 Degrees Limited was founded in 2009 and is based in Melrose Park, Australia.",AUD,Utilities,Utilities,Independent Power and Renewable Electricity Producers,ASX,XASX,Australian Securities Exchange,Australia,SA,Melrose Park,5039,http://1414degrees.com.au,Nano Cap,DE000A3CN9R8,,,BBG00XS66ZY2,BBG00XS66ZZ1,False
1AD.AX,AdAlta Limited,"AdAlta Limited, a clinical stage biotechnology company, discovers and develops protein therapeutics in Australia. The company's lead i-body drug candidate includes AD-214, which is in Phase I clinical trials for the treatment of idiopathic pulmonary fibrosis and other fibrotic diseases. It has a collaborative partnership with GE Healthcare to discover i-bodies against granzyme B for use as a molecular imaging agent. AdAlta Limited was incorporated in 2006 and is based in Bundoora, Australia.",AUD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,ASX,XASX,Australian Securities Exchange,Australia,VIC,Bundoora,3083,http://adalta.com.au,Nano Cap,,,BBG00D9SX1D7,BBG00D9SX1C8,BBG00D9SX1N6,False
1AG.AX,Alterra Limited,"Alterra Limited engages in the origination, development, and management of agricultural land and water assets in Australia. Its flagship project is the Carpenters Project, which covers an area of approximately 300 hectares of avocado development located in Pemberton, Western Australia. The company was formerly known as Carbon Conscious Limited and changed its name to Alterra Limited in March 2016. Alterra Limited was incorporated in 2008 and is based in West Leederville, Australia.",AUD,Financials,Diversified Financials,Capital Markets,ASX,XASX,Australian Securities Exchange,Australia,WA,West Leederville,6007,http://www.alterra.com.au,Nano Cap,,,,,,True
2BE.AX,Tubi Limited,"Tubi Limited, together with its subsidiaries, manufactures and sells high density polyethylene (HDPE) pipes in Australia, the United States, and New Zealand. Its products include mobile modular extrusions, HDPEs, large bore reeling, stringing, HDPE 40bars, and corrugated pipes. The company's products are used in irrigation, mining, shale gas and LNG, water infrastructure, pipe relining, and power sectors. Tubi Limited was founded in 1972 and is based in Paddington, Australia.",AUD,Industrials,Capital Goods,Machinery,ASX,XASX,Australian Securities Exchange,Australia,NSW,Paddington,2021,http://www.tubigroup.com,Nano Cap,,,,,,False
360.AX,"Life360, Inc.","Life360, Inc. develops and delivers a mobile application in the United States and internationally. It offers Life360 mobile application for families that provides communications, driving safety, and location sharing. The company was formerly known as LReady, Inc. and changed its name to Life360, Inc. in October 2011. Life360, Inc. was incorporated in 2007 and is headquartered in San Francisco, California.",AUD,Information Technology,Software & Services,Software,ASX,XASX,Australian Securities Exchange,United States,CA,San Francisco,94107,http://www.life360.com,Nano Cap,,,,,,False
3DA.AX,Amaero International Ltd,"Amaero International Ltd manufactures various large format complex components in metal using laser based additive manufacturing processes. It also provides research and development, contract manufacturing, tooling specialists, equipment sales and consumables, and training and maintenance services. It serves the aviation defence and space sectors, as well as the tool and die industries. Amaero International Ltd has a strategic partnership agreement with the University of Adelaide to develop additive manufacturing in South Australia. The company was founded in 2013 and is headquartered in Notting Hill, Australia.",AUD,Industrials,Capital Goods,Machinery,ASX,XASX,Australian Securities Exchange,Australia,VIC,Notting Hill,3168,http://www.amaero.com.au,Micro Cap,,,BBG00QTW6QS6,BBG00QTW6QR7,BBG00QTW6QZ8,False
3DP.AX,Pointerra Limited,"Pointerra Limited develops and commercializes an end-to-end data as a service solution for managing, visualizing, working in, analyzing, and sharing 3D datasets in the United States, Australia, and internationally. Its solution supports digital asset management activities in various sectors, including civil infrastructure, mining, oil and gas, architecture, and engineering and construction, as well as for government agencies. The company's cloud-based solution is based on compression, visualization, and analytics algorithms, which index 3D datasets. Pointerra Limited is headquartered in Subiaco, Australia.",AUD,Information Technology,Software & Services,Software,ASX,XASX,Australian Securities Exchange,Australia,WA,Subiaco,6008,http://www.pointerra.com,Micro Cap,,,BBG000R0PFY1,BBG000R0PFP1,BBG001SSXNQ0,False
3MF.AX,3D Metalforge Limited,"3D Metalforge Limited provides metal additive manufacturing solutions worldwide. It offers in-house metal printing services, including design and engineering, material advisory, diagnostics and testing, printing, and post-production services. The company was founded in 2012 and is based in West Perth, Australia.",AUD,Industrials,Capital Goods,Building Products,ASX,XASX,Australian Securities Exchange,Australia,WA,West Perth,6005,http://www.3dmetalforge.com,Nano Cap,,,,,,True
3PL.AX,3P Learning Limited,"3P Learning Limited, together with its subsidiaries, develops, markets, and sells online educational programs to schools and parents of school-aged students. It provides online education with e-learning programs covering mathematics, spelling, science, and literacy. The company offers Mathseeds, Mathletics, Reading Eggs, Spellodrome, Gooseberry Planet, STEMscopes Science, and WordFlyers learning resources. It serves approximately 4.6 million students in approximately 17,400 schools worldwide. The company is headquartered in North Sydney, Australia.",AUD,Consumer Staples,Household & Personal Products,Household Products,ASX,XASX,Australian Securities Exchange,Australia,NSW,North Sydney,2060,http://www.3plearning.com,Micro Cap,,72703H101,BBG006NSH9T0,BBG001C8SYZ3,BBG001TWQ0C3,False
4DS.AX,4DS Memory Limited,"4DS Memory Limited engages in the research and development of non-volatile memory technology. It develops interface switching ReRAM products for storage class memory. 4DS Memory Limited has a collaboration with the imec. The company was founded in 2007 and is based in West Perth, Australia.",AUD,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,ASX,XASX,Australian Securities Exchange,Australia,WA,West Perth,6005,http://www.4dsmemory.com,Micro Cap,,,BBG0017C27K3,BBG0016XSZD6,BBG001TCN584,False
