symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
001.BE,"CARDTRONICS -,01","Cardtronics provides automated consumer financial services, primarily through its ATM network. The company operates and manages ATMs for retailers and financial institutions. Cardtronics is headquartered in Houston, Texas.",EUR,Financials,Diversified Financials,,BER,XBER,Berlin Stock Exchange,United States,,,,,,,,,,,False
013A.BE,JD.COM SP.ADR A1 DL-00002,"JD.com is a Chinese e-commerce company operating an online retail platform. It offers a wide range of products, including electronics, home appliances, apparel, and books to consumers in China. The company is headquartered in Beijing, China.",EUR,Consumer Discretionary,Retailing,,BER,XBER,Berlin Stock Exchange,China,,,,,,,,,,,False
013C.BE,JD.COM. INC. A,"JD.com is a Chinese e-commerce company operating an online retail platform. It offers a wide range of products, including electronics, home appliances, apparel, and books to consumers in China. The company is headquartered in Beijing, China.",EUR,Consumer Discretionary,Retailing,,BER,XBER,Berlin Stock Exchange,China,,,,,,,,,,,False
015.BE,"AILERON THERAP. DL-,001","AILERON THERAP. DL-,001 is a biopharmaceutical company focused on developing and commercializing novel therapeutics to treat cancer and other diseases. Their approach centers on stapled peptides, a class of drugs that can modulate intracellular protein-protein interactions. The company's research aims to create targeted therapies with improved efficacy and safety profiles.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,BER,XBER,Berlin Stock Exchange,United States,,,,,,,,,,,False
01H.BE,Horiba Ltd.,"HORIBA LTD is a global company that manufactures and sells precision instruments and equipment for various applications. Their products include automotive test systems, environmental monitoring equipment, medical diagnostic instruments, and semiconductor manufacturing equipment. The company is headquartered in Kyoto, Japan.",EUR,Industrials,Capital Goods,,BER,XBER,Berlin Stock Exchange,Japan,,,,,,JP3853000002,,BBG000GJZW56,BBG000GJYR58,BBG001S6FR34,False
01P.BE,"Medpace Holdings, Inc.","MEDPACE HOLDINGS  DL-,01 is a clinical contract research organization (CRO) that provides clinical development services to the pharmaceutical, biotechnology, and medical device industries. They offer a range of services including clinical trial management, data management, and regulatory affairs. Medpace Holdings, Inc. is headquartered in Cincinnati, Ohio.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,BER,XBER,Berlin Stock Exchange,United States,,,,,,US58506Q1094,58506Q109,BBG00DLDCCW4,BBG00DLDCCP2,BBG0065B7K40,False
02B.BE,"BlackLine, Inc.","BLACKLINE INC. DL-,01 provides cloud-based accounting automation software solutions that streamline financial close processes. The software platform offers features such as account reconciliation, task management, and variance analysis. BlackLine, Inc. is headquartered in Woodland Hills, California.",EUR,Information Technology,Software & Services,,BER,XBER,Berlin Stock Exchange,United States,,,,,,US09239B1098,09239B109,BBG00F5DX7S0,BBG00F5DX7L7,BBG0029KJVD8,False
02G.BE,GUANGZHOU AUTO.GRP H YC 1,"GUANGZHOU AUTO.GRP H YC 1 is a Chinese automobile manufacturer that produces a wide range of vehicles, including passenger cars, commercial vehicles, and buses. The company operates through various brands, including GAC Motor and GAC Toyota. Guangzhou Automobile Group Co., Ltd. is headquartered in Guangzhou, China.",EUR,Consumer Discretionary,Automobiles & Components,,BER,XBER,Berlin Stock Exchange,China,,,,,,,,BBG0015K23S8,BBG0015K23L5,BBG001T910P7,False
02K1.BE,KILO GOLDMINES,KILO GOLDMINES is a mineral exploration company focused on the exploration and development of gold properties in the Democratic Republic of Congo (DRC). Their activities primarily involve exploration and evaluation of mineral resources. The company aims to discover and develop gold deposits.,EUR,Materials,Materials,,BER,XBER,Berlin Stock Exchange,,,,,,,,,,,,False
02TP.BE,"ESGTI AG  SF 1,56",,EUR,,,,BER,XBER,Berlin Stock Exchange,,,,,,,,,,,,False
038.BE,NovoCure Ltd.,"Novocure Ltd. is a global oncology company pioneering a novel therapy called Tumor Treating Fields (TTFields) for solid tumors. TTFields therapy uses electric fields to disrupt cancer cell division. The company is headquartered in St. Helier, Jersey.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,BER,XBER,Berlin Stock Exchange,Jersey,,,,,,JE00BYSS4X48,,BBG00B5YGRS8,BBG00B5YGRL5,BBG009XW8QY0,False
