symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
ABI.BR,Anheuser Busch Inbev SA NV,"Anheuser-Busch InBev SA/NV engages in the production, distribution, and sale of beer, alcoholic beverages, and soft drinks worldwide. It offers a portfolio of approximately 500 beer brands, which primarily include Budweiser, Corona, and Stella Artois; Beck's, Hoegaarden, Leffe, and Michelob Ultra; and Aguila, Antarctica, Bud Light, Brahma, Cass, Castle, Castle Lite, Cristal, Harbin, Jupiler, Modelo Especial, Quilmes, Victoria, Sedrin, and Skol brands. The company was founded in 1366 and is headquartered in Leuven, Belgium. Anheuser-Busch InBev SA/NV is a subsidiary of AB InBev NV/SA.",EUR,Consumer Staples,"Food, Beverage & Tobacco",Beverages,BRU,XBRU,Euronext Brussels,Belgium,,Leuven,3000,http://www.ab-inbev.com,Large Cap,BE0974293251,,BBG00DQ4YZ45,BBG00DQ4YZ36,BBG00DQ4YZ27,False
ABO.BR,ABO-Group Environment NV,"ABO-Group Environment NV provides integrated consulting and testing services in the areas of soil, environment, geotechnics, energy, and waste. The company offers soil pollution study and remediation design, brownfield development study, groundwater modeling and risk analysis, dredging and sediment study, and archaeological investigation services for the soil remediation sector. It also provides environmental services, such as environmental and social impact assessment, natural resources and biodiversity, drainage and integrated water management, spatial planning and mobility study, sustainable urban development and ecotourism, and air quality modeling. In addition, the company offers geotechnics services, including penetration testing, holes drilling and wells monitoring, geotechnical terrain testing, foundation testing and consulting, and laboratory testing; and energy study and plans, renewable energy potential mapping, process and energy technique, energy storage and smart grids design, heat recovery analysis, and climate change mitigation and adaptation study services, as well as energy certificates. Further, it provides waste management solutions comprising municipal solid waste management, integrated waste treatment facility design, enhanced landfill mining and waste recycling, life-cycle analysis, hazardous waste and asbestos inventory, and industrial liquid waste treatment design services. The company is headquartered in Ghent, Belgium.",EUR,Industrials,Transportation,Transportation Infrastructure,BRU,XBRU,Euronext Brussels,Belgium,,Ghent,9051,http://www.abo-group.eu,Micro Cap,,,BBG000VJSQM1,BBG000VJSQJ5,BBG001SS4XX2,True
ACCB.BR,Accentis N.V.,"Accentis N.V. is a holding company that specializes in providing business services, specifically focusing on IT solutions and staffing services to various companies, with their headquarters in Belgium",EUR,Financials,Diversified Financials,,BRU,XBRU,Euronext Brussels,Belgium,,Antwerpen,2030,http://www.accentis.com,Micro Cap,,,BBG000C4ZSJ7,BBG000C4ZS16,BBG001SBTY15,False
ACKB.BR,Ackermans & Van Haaren NV,"Ackermans & Van Haaren NV engages in the marine engineering and contracting, private banking, real estate and senior care, and energy and resources businesses worldwide. The company operates through five segments: Marine Engineering & Contracting, Private Banking, Real Estate & Senior Care, Energy & Resources, and AvH & Growth Capital. It engages in the marine construction activities, including dredging and civil works on water, as well as offshore activities in the area of renewable energy, oil and gas, soil and sludge remediation, and aggregate and mineral harvesting; real estate development activities; and development of port projects and port-linked industrial zones, as well as offshore wind farms. The company also offers asset management services for various private clients; advisory banking services for entrepreneurs and liberal professions; and car finance and financial car leasing services through distributors. In addition, it develops residential and mixed projects; invests in retail and office properties; provides accommodation and care for the elderly; and operates retirement homes. Further, the company produces crude palm oil, rubber, banana, and tea products; manufactures cement; and offers advice, automation, and maintenance services for life science, tank terminal, food and beverage, infrastructure, and chemistry markets. Ackermans & Van Haaren NV was founded in 1876 and is headquartered in Antwerp, Belgium.",EUR,Industrials,Capital Goods,Construction & Engineering,BRU,XBRU,Euronext Brussels,Belgium,,Antwerp,2000,http://www.avh.be,Mid Cap,,,BBG000BPWGD6,BBG000BPWG46,BBG001SDNB44,False
ACPH.BR,Acacia Pharma Group plc,"Acacia Pharma Group plc, a hospital pharmaceutical company, discovers, develops, and commercializes pharmaceutical products for the patients undergoing surgery, other invasive procedures, or cancer chemotherapy treatments in the United States and internationally. The company's lead product is BARHEMSYS, an intravenous amisulpride for the treatment and prophylaxis of post-operative nausea and vomiting. Its products also include BYFAVO, an ultra-short-acting and reversible intravenous sedative benzodiazepine for the use in invasive medical procedures, such as bronchoscopies and colonoscopies; and APD403, an intravenous and oral amisulpride that has completed Phase II clinical trials for the treatment of chemotherapy-induced nausea and vomiting. The company's products are primarily serves anesthesiologists and oncologists. Acacia Pharma Group plc was founded in 2007 and is based in Cambridge, the United Kingdom.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,BRU,XBRU,Euronext Brussels,United Kingdom,,Cambridge,CB22 4QH,http://www.acaciapharma.com,Micro Cap,,,,,,True
AED.BR,Aedifica SA,"Aedifica is a Belgian listed company that offers sustainable real estate solutions to professional operators that provide care to people with care needs throughout Europe. To realise that mission, Aedifica has specialised in investments in quality European healthcare real estate, with a particular focus on the care needs of the elderly. Aedifica has established itself in recent years as a leader in the European listed real estate sector and has the ambition to further expand this position in the coming years. By investing in quality buildings that generate recurring and indexed rental income and offer potential for capital gains, Aedifica aims to offer its shareholders a reliable and sustainable real estate investment with an attractive yield. Aedifica is listed on Euronext Brussels (2006) and Euronext Amsterdam (2019). Since March 2020, Aedifica is part of the BEL 20, the leading share index of Euronext Brussels.",EUR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),BRU,XBRU,Euronext Brussels,Belgium,,Brussels,1040,http://www.aedifica.be,Mid Cap,BE0003851681,,BBG000M79BB3,BBG000M799X4,BBG001SQ8KV2,False
AGFB.BR,Agfa-Gevaert NV,"Agfa-Gevaert NV develops, produces, and distributes various analog and digital imaging systems, and IT solutions worldwide. The company's Offset Solutions segment provides commercial, newspaper, and packaging printers; integrated prepress and printing solutions, including computer-to-plate systems using digital offset printing plates, pressroom supplies, and software for commercial, newspaper, and packaging printers; and security printing software solutions. Its Radiology Solutions segment offers analog and digital imaging technology for diagnostic imaging market to meet the needs of specialized clinicians in hospitals and imaging centers; and X-ray film, hardcopy film and printers, digital radiography equipment, and image processing software. The company's Healthcare IT segment provides picture archiving and communication systems, and radiology information systems; hospital information system and clinical information systems; and integrated care solutions. Its Digital Print & Chemicals segment offers inkjet printers for sign and display printing companies; inkjet inks and fluids for industrial inkjet applications, such as signs, posters and displays, promotional materials, packaging, and decorative materials, as well as for printed electronics industry; membranes to the hydrogen production industry, as well as for printable synthetic papers; inkjet print engines, UV-curable, and water based inks for the professional graphic industry. This segment also provides films for non-destructive testing, aerial photography films, and microfilms; specialty foils for security documents and print media, and coatings and chemicals applications; and conductive polymers and materials for the production of high-tech ID documents. The company sells its products through its own sales organization, as well as through a network of agents and representatives. Agfa-Gevaert NV was founded in 1867 and is headquartered in Mortsel, Belgium.",EUR,Industrials,Capital Goods,Machinery,BRU,XBRU,Euronext Brussels,Belgium,,Mortsel,2640,http://www.agfa.com,Small Cap,US00846M1099,00846M109,BBG000DL2MT6,BBG000DL2M25,BBG001SBF032,False
AGS.BR,ageas SA/NV,"ageas SA/NV, together with its subsidiaries, engages in insurance business in Europe and Asia. The company primarily offers property, casualty, and life insurance products, as well as pension products; and reinsurance products. Its life insurance products include risks related to the life and death of individuals; and non-life insurance products comprise accident and health, motor, fire, and other insurance products, as well as other damages to property covering the risk of property losses or claims liabilities. The company serves private individuals, as well as small, medium-sized, and large companies through independent brokers and the bank channels. ageas SA/NV was founded in 1824 and is based in Brussels, Belgium.",EUR,Financials,Insurance,Insurance,BRU,XBRU,Euronext Brussels,Belgium,,Brussels,1000,http://www.ageas.com,Large Cap,,,BBG000BPXHT6,BBG000BPXH52,BBG001S92PG2,False
ALEMK.BR,Emakina Group SA,"Emakina Group SA operates as a communication agency in Europe and internationally. It offers services in the areas of digital marketing, website building, application development, unified commerce, audiovisual production, consumer insights, marketplaces management, and influence marketing. The company is based in Brussels, Belgium.",EUR,Communication Services,Telecommunication Services,Diversified Telecommunication Services,BRU,XBRU,Euronext Brussels,Belgium,,Brussels,1170,http://www.emakina.com,Micro Cap,,,,,,True
ALEVA.BR,Evadix Sa,"EVADIX SA provides printing services. Its printing services include printing on high-pagination offset rotating presses, printing on sheet presses, printing on polypropylene and polyethylene films, contract stitching, and label production. It is also involved in the production of marketing support materials, such as laser and inkjet document personalization; assembly and transmittal in plastic wrap and by mail; production and management of mailings; and provision of logistics services, including storage, order preparation, packaging, flow management, and related services. EVADIX SA was founded in 1999 and is based in Nivelles, Belgium.",EUR,Industrials,Commercial & Professional Services,Professional Services,BRU,XBRU,Euronext Brussels,Belgium,,Nivelles,1400,http://www.evadix.be,Nano Cap,,,,,,False
