symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
1STCUS.BO,The First Custodian Fund (I) Ltd.,,INR,,,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
20MICRONS.BO,20 Microns Limited,"20 Microns Limited is an Indian company engaged in the production and marketing of white minerals, including industrial minerals and functional fillers. Their products are used in various industries such as paints, plastics, and paper. The company is headquartered in Vadodara, India.",INR,Materials,Materials,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
21STCENMGM.BO,Twentyfirst Century Management Services Limited,"Twentyfirst Century Management Services Limited is an Indian financial services company that offers a range of services, including investment banking, wealth management, and corporate advisory. They cater to both individual and corporate clients. The company is headquartered in Mumbai, India.",INR,Financials,Banks,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
3IINFOTECH.BO,3i Infotech Limited,"3i Infotech Limited is an Indian global information technology company that provides software products, IT services, and business process outsourcing. The company serves clients across various industries, including banking, financial services, and insurance. 3i Infotech is headquartered in Mumbai, India.",INR,Information Technology,Software & Services,,BSE,XBOM,BSE India,India,,,,,Micro Cap,,,,,,False
4THGEN.BO,Fourth Generation Information Systems Limited,,INR,,,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
543282.BO,Niks Technology Limited,"Niks Technology Limited, an IT solution services enabling company, provides software development and educational services in India and internationally. The company offers school, hospital, real estate, hotel, retail point of sale, and tour and travel management system software solutions, as well as provides pharmacy, gym, matrimonial, food ordering, inventory saloon, and bus reservation management software solutions. It also provides IT and IT security services; and digital marketing services, such as search engine optimization and marketing, content and Influencer marketing, content automation, campaign and e-commerce marketing, email direct marketing, pay per click, online reputation management, display advertising, e-books, optical disks and games, and other forms of digital media. In addition, the company offers online and offline courses, including ethical hacking and cyber security, embedded system and robotics, digital marketing, android application development, Internet of things, machine learning, artificial intelligence, data science , PLC-SCADA, web development, software development, programming language, server administrator, VLSI designing, networking, and software testing. Further, it provides web development services, such as website design, custom web design, responsive website design, SEO friendly web design, PHP design and application development, website hosting, e-commerce web design, website support and maintenance, and website redesigning; and mobile app development services. Niks Technology Limited was incorporated in 2014 and is headquartered in Patna, India.",,Information Technology,Software & Services,IT Services,BSE,XBOM,BSE India,India,,Patna,800020,http://www.nikstech.com,,,,,,,True
7TEC.BO,Saven Technologies Limited,"Saven Technologies Limited provides IT consulting and software development services. The company offers solutions in areas like enterprise resource planning, customer relationship management, and business intelligence. Saven Technologies is based in Hyderabad, India.",INR,Information Technology,Software & Services,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
A1L.BO,A-1 Acid Limited,"A-1 Acid Limited is involved in the manufacturing and supply of various acids, chemicals, and fertilizers. The company caters to various industries including agriculture, textiles, and chemical processing. A-1 Acid Limited is based in India.",INR,Materials,Materials,,BSE,XBOM,BSE India,India,Gujarat,Ahmedabad,380054,https://www.a-1limited.com/,,INE911Z01017,02376R102,,,,False
A2ZINFRA.BO,A2Z Infra Engineering Limited,"A2Z Infra Engineering Limited is an Indian infrastructure development company focused on engineering, procurement, and construction (EPC) projects. The company provides services in areas such as power transmission and distribution, waste management, and telecom infrastructure. A2Z Infra Engineering Limited is headquartered in Gurgaon, India.",INR,Industrials,Transportation,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
AAIL.BO,Akar Auto Industries Limited,,INR,,,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,BBG000FCV3B3,BBG000FCV2L4,BBG001S8JX42,False
AANANDALAK.BO,Aananda Lakshmi Spinning Mills Limited,,INR,,,,BSE,XBOM,BSE India,India,,,,,,,,,,,False
AANCHALISP.BO,Aanchal Ispat Limited,,INR,,,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
AARNAV.BO,AARNAV FASHIONS LIMITED,,INR,,,,BSE,XBOM,BSE India,India,,,,,,,,BBG00BVK6759,BBG00BVK6731,BBG00BVK6740,False
AARTECH.BO,Aartech Solonics Limited,"Aartech Solonics Limited manufactures and supplies LED lighting, solar power systems, and other electrical equipment. The company caters to various sectors including railways, infrastructure, and industries in India. Its headquarters are located in Bhopal, India.",INR,Industrials,Capital Goods,,BSE,XBOM,BSE India,India,,,,,,,,BBG00NKR2L71,BBG00NKR2KP3,BBG00NKR2KQ2,False
AARTIDRUGS.BO,Aarti Drugs Limited,"Aarti Drugs Limited is an Indian pharmaceutical company that manufactures active pharmaceutical ingredients (APIs), intermediates, and specialty chemicals. The company serves both domestic and international markets, providing products for various therapeutic areas. Aarti Drugs is headquartered in Mumbai, India.",INR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,BSE,XBOM,BSE India,India,,,,,Micro Cap,,,,,,False
AARTIIND.BO,Aarti Industries Limited,"Aarti Industries Limited is a leading Indian manufacturer of specialty chemicals and pharmaceuticals. The company's products include benzene-based derivatives, dyes, pigments, agrochemicals, and polymers. Aarti Industries has a global presence and is headquartered in Mumbai, India.",INR,Materials,Materials,,BSE,XBOM,BSE India,India,,,,,Mid Cap,,,,,,False
AARTISURF.BO,Aarti Surfactants Limited,"Aarti Surfactants Limited is a manufacturer of ionic and non-ionic surfactants, speciality additives, and other chemicals. The company supplies these products to various industries, including home and personal care, agrochemicals, and oil and gas. It is based in India.",INR,Materials,Materials,,BSE,XBOM,BSE India,India,,,,,,,,,,,False
AARVEEDEN.BO,Aarvee Denims and Exports Limited,"Aarvee Denims and Exports Limited is an integrated textile manufacturer specializing in denim fabrics and garments. The company offers a range of denim products for both domestic and international markets. It is based in Ahmedabad, India.",INR,Consumer Discretionary,Consumer Durables & Apparel,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
AAVAS.BO,AAVAS Financiers Limited,"AAVAS Financiers Limited is a housing finance company in India. The company provides home loans to low and middle-income customers in semi-urban and rural areas. AAVAS Financiers Limited is headquartered in Jaipur, India.",INR,Financials,Diversified Financials,,BSE,XBOM,BSE India,India,,,,,,,,BBG00M0BH9Q0,BBG00C7LM1R3,BBG00C7LM1S2,False
AAYUSH.BO,Aayush Food and Herbs Limited,,INR,,,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ABAN.BO,Aban Offshore Limited,"Aban Offshore Limited is an Indian offshore drilling company. The company provides drilling services to the oil and gas industry, operating a fleet of jack-up rigs, drillships, and semi-submersible rigs. Aban Offshore is headquartered in Chennai, India.",INR,Energy,Energy,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,BBG000CMRS15,BBG000CMRRJ8,BBG001S82NV2,False
ABANSENT.BO,ABans Enterprises Limited,"ABans Enterprises Limited is involved in various business activities, including financial services, commodities trading, and infrastructure development. The company operates in India and internationally. Its headquarters are located in Mumbai, India.",INR,Financials,Diversified Financials,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ABB.BO,ABB India Limited,"ABB India Limited is a technology company that operates in electrification, robotics, automation and motion, and industrial automation. They provide solutions to various industries, improving productivity and sustainability. The company is headquartered in Bangalore, India.",INR,Industrials,Capital Goods,,BSE,XBOM,BSE India,India,,Bengaluru,,,Mid Cap,,26210W605,BBG000CNH337,BBG000CNH2P5,BBG001S82TB1,False
ABBOTINDIA.BO,Abbott India Limited,"Abbott India Limited is a pharmaceutical company that manufactures and markets a wide range of pharmaceutical products, including generics, branded generics, and over-the-counter (OTC) medications. It is a subsidiary of Abbott Laboratories and focuses on providing healthcare solutions in India. Abbott India is headquartered in Mumbai, India.",INR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,BSE,XBOM,BSE India,India,,,,,Mid Cap,,,,,,False
ABCAPITAL.BO,Aditya Birla Capital Limited,"Aditya Birla Capital Limited is the holding company for the financial services businesses of the Aditya Birla Group. The company offers a range of financial products and services, including asset management, insurance, lending, and broking. Aditya Birla Capital is headquartered in Mumbai, India.",INR,Financials,Diversified Financials,,BSE,XBOM,BSE India,India,,,,,Mid Cap,,,,,,False
ABCGAS.BO,ABC Gas (International) Limited,ABC Gas (International) Limited is involved in the distribution and marketing of natural gas. The company operates primarily in South America.,INR,Energy,Energy,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,True
ABCINDQ.BO,ABC India Limited,ABC India Limited provides logistics and transportation services. The company is based in India.,INR,Industrials,Capital Goods,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ABFRL.BO,Aditya Birla Fashion and Retail Limited,"Aditya Birla Fashion and Retail Limited (ABFRL) is an Indian fashion retail company that houses brands like Louis Philippe, Van Heusen, Allen Solly, and Peter England. ABFRL is involved in the manufacturing, distribution, and retailing of apparel and accessories. The company is headquartered in Mumbai, India.",INR,Consumer Discretionary,Consumer Durables & Apparel,,BSE,XBOM,BSE India,India,,,,,Small Cap,,,BBG004H4H9H8,BBG001HSF3J4,BBG001V0C2S4,False
ABFRLPP.BO,Aditya Birla Fashion and Retai,"Aditya Birla Fashion and Retail is an Indian fashion retail company that houses brands, retail stores, and e-commerce platforms. It is part of the Aditya Birla Group.",INR,Consumer Discretionary,Consumer Durables & Apparel,,BSE,XBOM,BSE India,India,,,,,,,,,,,False
ABHICAP.BO,Abhinav Capital Services Limited,"Abhinav Capital Services Limited provides financial services, including investment banking, wealth management, and advisory services. The company is located in India.",INR,Financials,Diversified Financials,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ABHIFIN.BO,Abhishek Finlease Limited,"Abhishek Finlease Limited is an India-based non-banking financial company (NBFC) focused on providing financial services, including loans and advances. The company caters to individuals and businesses, offering products such as personal loans, business loans, and other credit facilities. The company is headquartered in India.",INR,Financials,Diversified Financials,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ABHIINFRA.BO,Abhishek Infraventures Limited,"Abhishek Infraventures Limited is an Indian company engaged in infrastructure development and construction activities. The company undertakes projects such as road construction, building construction, and other infrastructure-related works. The company is headquartered in India.",INR,Industrials,Capital Goods,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ABIRAFN.BO,Abirami Financial Services (India) Limited,"Abirami Financial Services (India) Limited is an Indian non-banking financial company (NBFC) providing a range of financial services. Their offerings typically include loans, advances, and investment-related services to individuals and businesses. The company is based in India.",INR,Financials,Diversified Financials,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ABMKNO.BO,ABM Knowledgeware Limited,"ABM Knowledgeware Limited provides e-governance solutions, IT consulting, and software development services. The company focuses on delivering technology solutions to government and public sector organizations. It is headquartered in Chennai, India.",INR,Information Technology,Software & Services,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ABSLBANETF.BO,Aditya Birla Sun Life Mutual F,Aditya Birla Sun Life Mutual F is an Indian mutual fund. It invests in a basket of stocks mirroring a specific index. The fund is managed by Aditya Birla Sun Life AMC Limited in India.,INR,Financials,Diversified Financials,,BSE,XBOM,BSE India,India,,,,,,,,,,,False
ABSLNN50ET.BO,Aditya Birla Sun Life Mutual F,Aditya Birla Sun Life Mutual F is an Indian mutual fund. It invests in a basket of stocks mirroring the Nifty 50 index. The fund is managed by Aditya Birla Sun Life AMC Limited in India.,INR,Financials,Diversified Financials,,BSE,XBOM,BSE India,India,,,,,,,,,,,False
ABSLRIF6RG.BO,Aditya Birla Sun Life Mutual F,Aditya Birla Sun Life Mutual F is an Indian mutual fund. It invests in various asset classes. The fund is managed by Aditya Birla Sun Life AMC Limited in India.,INR,Financials,Diversified Financials,,BSE,XBOM,BSE India,India,,,,,,,,,,,False
ABSLRIF7RG.BO,Aditya Birla Sun Life Mutual F,Aditya Birla Sun Life Mutual F is an Indian mutual fund. It invests in various asset classes. The fund is managed by Aditya Birla Sun Life AMC Limited in India.,INR,Financials,Diversified Financials,,BSE,XBOM,BSE India,India,,,,,,,,,,,False
ABVL.BO,Arunjyoti Bio Ventures Limited,"Arunjyoti Bio Ventures Limited is an Indian company operating in the field of biotechnology and agriculture. It focuses on developing and marketing bio-products, including bio-fertilizers and bio-pesticides, for sustainable agriculture. The company is based in India.",INR,Industrials,Capital Goods,,BSE,XBOM,BSE India,India,,,,,,,,BBG000BPVV99,BBG000BPVTR4,BBG001S6W613,False
ACC.BO,ACC Limited,"ACC Limited is a cement manufacturer in India. The company manufactures and sells cement and ready-mix concrete. ACC Limited is headquartered in Mumbai, India.",INR,Materials,Materials,,BSE,XBOM,BSE India,India,,Ahmedabad,,,Mid Cap,,,BBG000CNM7Y8,BBG000CNM732,BBG001S82V44,False
ACCEL.BO,Accel Limited,"Accel Limited is an India-based company that focuses on providing training, education, and consulting services in the areas of IT, project management, and business skills, headquartered in Chennai, India",INR,Information Technology,Software & Services,,BSE,XBOM,BSE India,India,,Chennai,,,Nano Cap,,,BBG000DRWSG1,BBG000DRWS71,BBG001S8CLF3,False
ACCELYA.BO,Accelya Solutions India Limited,"Accelya Solutions India Limited provides software and technology solutions to the airline and travel industry. The company offers a range of services, including revenue accounting, revenue management, and business intelligence solutions. Accelya Solutions India Limited is headquartered in Mumbai, India.",INR,Information Technology,Software & Services,,BSE,XBOM,BSE India,India,,,,,Micro Cap,,,BBG000C27824,BBG000C277B6,BBG001SD8F60,False
ACE.BO,Action Construction Equipment Limited,"Action Construction Equipment Limited is an Indian manufacturer of construction and material handling equipment. The company offers a range of products, including cranes, loaders, excavators, and tractors. Action Construction Equipment Limited is headquartered in New Delhi, India.",INR,Industrials,Capital Goods,,BSE,XBOM,BSE India,India,,Palwal,,,Small Cap,,00444E103,,,,False
ACEEDU.BO,ACE Edutrend Limited,"ACE Edutrend Limited is an educational company based in India, providing coaching and tutorial services for various competitive examinations and academic courses",INR,,,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ACEMEN.BO,Ace Men Engg Works Limited,"Ace Men Engg Works Limited is an engineering company based in India, specializing in manufacturing and fabricating various metal products, steel structures, and other engineering solutions for diverse industries",INR,Industrials,Capital Goods,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,BBG00C7M7VV7,BBG00C7M7VS1,BBG00C7M7VT0,False
ACESOFT.BO,Ace Software Exports Limited,"Ace Software Exports Limited is an IT services company based in India, offering software development, IT consulting, and outsourcing services to clients globally",INR,Information Technology,Software & Services,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ACEWIN.BO,ACEWIN AGRITECK LIMITED,"ACEWIN AGRITECK LIMITED is involved in the agricultural sector, likely dealing with agricultural technology or products related to farming and agriculture in India",INR,Industrials,Capital Goods,,BSE,XBOM,BSE India,India,,,,,,,,,,,False
ACFL.BO,,,,,,,BSE,XBOM,BSE India,United States,,,,,,,,,,,False
ACGL.BO,Automobile Corporation of Goa Limited,"Automobile Corporation of Goa Limited manufactures sheet metal components, bus bodies and pressed parts. The company primarily serves the automotive industry. Automobile Corporation of Goa Limited is headquartered in Goa, India.",INR,Industrials,Capital Goods,,BSE,XBOM,BSE India,India,,Sattari,,,Nano Cap,,,BBG000CNRCR0,BBG000CNRC09,BBG001S82VS8,False
ACIIN.BO,ACI Infocom Limited,"ACI Infocom Limited is an Indian company providing services in the areas of information technology, telecommunications, and infrastructure development, with a focus on rural connectivity and e-governance projects",INR,Information Technology,Software & Services,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ACKNIT.BO,Acknit Industries Limited,"Acknit Industries Limited is an India-based company that manufactures and exports knitted fabrics, garments, and other textile products, with a focus on both domestic and international markets",INR,Industrials,Capital Goods,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ACME.BO,Acme Resources Limited,"Acme Resources Limited is likely involved in the resources sector, possibly mining, exploration, or related activities, based in India",INR,,,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ACML.BO,Aditya Consumer Marketing Limited,"Aditya Consumer Marketing Limited is an Indian company involved in the marketing and distribution of consumer products, potentially including food, beverages, or other household goods, with a focus on reaching consumers across India",INR,Consumer Staples,Food & Staples Retailing,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ACROW.BO,Acrow India Limited,"Acrow India Limited is involved in manufacturing and supplying scaffolding, formwork, and other construction-related equipment, providing solutions for the construction industry in India",INR,Industrials,Capital Goods,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ACRYSIL.BO,Acrysil Limited,"Acrysil Limited is an Indian company that manufactures and markets quartz kitchen sinks, stainless steel sinks, and appliances. The company's products are sold under the brand name ""Carysil"" and are exported to various countries globally. Acrysil Limited is headquartered in Bhavnagar, Gujarat, India.",INR,Industrials,Capital Goods,,BSE,XBOM,BSE India,India,,,,,Micro Cap,,,,,,False
ACTIONFI.BO,Action Financial Services (India) Limited,"Action Financial Services (India) Limited likely provides financial services, possibly including stockbroking, investment advisory, or related services, based in India",INR,Financials,Diversified Financials,,BSE,XBOM,BSE India,India,,,,,Nano Cap,,,,,,False
ACTIVE.BO,Active Clothing Co  Limited,"Active Clothing Co Limited is a garment manufacturing company based in India, producing apparel and clothing for both domestic and export markets",INR,Consumer Discretionary,Consumer Durables & Apparel,,BSE,XBOM,BSE India,India,,,,,,,,BBG00KDX0LQ3,BBG00KDX0LP4,BBG00KDX0LV7,False
ADANIENT.BO,Adani Enterprises Limited,"Adani Enterprises Limited is an Indian conglomerate company involved in various businesses, including infrastructure development, resources, energy, and agro. The company operates in sectors such as airports, data centers, roads, water management, and defense. Adani Enterprises Limited is headquartered in Ahmedabad, India.",INR,Industrials,Capital Goods,,BSE,XBOM,BSE India,India,,,,,Large Cap,,,,,,False
ADANIGREEN.BO,Adani Green Energy Limited,"Adani Green Energy Limited is an Indian renewable energy company focused on developing, constructing, owning, operating and maintaining utility-scale solar and wind power projects. The company is one of the largest renewable energy companies in India. Adani Green Energy Limited is headquartered in Ahmedabad, India.",INR,Utilities,Utilities,,BSE,XBOM,BSE India,India,,,,,,,,,,,False
