symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
4IG.BD,4iG Nyrt.,"4iG Nyrt. operates in the information technology (IT) sector in Hungary. The company operates through IT services, Trade, and Other Activities. It engages in the resale of hardware and software products. The company also offers digitalization solutions for various industries, including utility, energy, financial, and public administration, as well as 3D solutions; and managed services, such as outsource operations, IT remote monitoring, PC as a service fleet management, GDPR compliance, BCP-DR, PERIMETER DEFENCE UTM firewall as a service, data center hardware extended warranty, OFFICE 365 backup, and managed security services. In addition, it provides custom solutions, including software development, integration, project management, and quality assurance; planning, migration, and operation; document and process management, and real time cooperation; data asset management; and IT security-consulting services, as well as IT infrastructure services. Further, the company operates enterprise resource planning systems. It also exports its products. 4iG Nyrt. was founded in 1990 and is based in Budapest, Hungary.",HUF,Information Technology,Software & Services,IT Services,BUD,XBUD,Budapest Stock Exchange,Hungary,,Budapest,1037,http://www.4ig.hu,Micro Cap,,,,,BBG001SM61Z1,False
ADID.BD,ADIDAS,"ADIDAS AG designs, develops, produces, and markets athletic and sports lifestyle products. The company's product line includes footwear, apparel, and accessories, sold under brands like Adidas, Reebok, and others. Adidas is headquartered in Herzogenaurach, Germany.",HUF,Consumer Discretionary,Consumer Durables & Apparel,,BUD,XBUD,Budapest Stock Exchange,United States,,,,,,,,,,,False
AKKO.BD,AKKO Invest Nyrt.,,HUF,,,,BUD,XBUD,Budapest Stock Exchange,Hungary,,,,,Nano Cap,,,BBG001J2M7Z4,BBG001J2M7Y5,BBG001V0G9S5,False
ALLZ.BD,ALLIANZ,,HUF,,,,BUD,XBUD,Budapest Stock Exchange,,,,,,,,,,,,False
ALTEO.BD,ALTEO Energiaszolgaltato Nyilvanosan Mukodo Reszvenytarsasag,"ALTEO Energiaszolgaltato Nyilvanosan Mukodo Reszvenytarsasag generates and sells electricity and heat in Hungary. The company generates electricity and heat from natural gas, wind, hydro, solar, biogas, landfill gas/thermal associated gas, and biomass power plants, as well as district heating plants. It owns and operates 23 power and heating plants with a total electric generating capacity of 156 megawatts, and 880 megawatts of heat generation capacity. The company is also involved in the energy trading business; and provision of energy services, including engineering and project development and management, construction, operation, maintenance, and investment funding services. In addition, it provides waste collection services from supermarkets, as well as waste management services. ALTEO Energiaszolgaltato Nyilvanosan Mukodo Reszvenytarsasag was founded in 2008 and is headquartered in Budapest, Hungary.",HUF,Utilities,Utilities,Independent Power and Renewable Electricity Producers,BUD,XBUD,Budapest Stock Exchange,Hungary,,Budapest,1131,http://www.alteo.hu,Micro Cap,,,,,,False
ANY.BD,ANY Biztonsagi Nyomda Nyrt.,"ANY BiztonsÃ¡gi Nyomda Nyrt. operates as a security printing company in Europe. Its products include documents and e-IDs; contactless bank cards and solutions with applications in public transport, loyalty, and e-banking; customers' loyalty card systems; passport and Visa solutions, including biometric passport and Visa stickers; ID project management; tax and excise stamps; and document security solutions, including document printers, paper additives, security inks, and mobile verification devices and applications. The company also provides business, lottery, and election forms; meal vouchers and printed matter with security features; security labels; and tickets and passes for public transport. It serves government, financial, retail, and transport sectors. The company was formerly known as State Printing Company PLC. ANY BiztonsÃ¡gi Nyomda Nyrt. was founded in 1851 and is based in Budapest, Hungary.",HUF,Industrials,Commercial & Professional Services,Professional Services,BUD,XBUD,Budapest Stock Exchange,Hungary,,Budapest,1102,http://www.any.hu,Micro Cap,CA84841L3083,84841L308,,,,False
APPEN.BD,APPENINN,"Appeninn Holding Plc is a Hungarian real estate investment and asset management company. It focuses on acquiring, developing, and managing commercial and residential properties primarily in Hungary and the Central and Eastern European region, headquartered in Budapest. The company aims to generate returns through property appreciation, rental income, and strategic asset management.",HUF,Real Estate,Real Estate,,BUD,XBUD,Budapest Stock Exchange,,,,,,,,,,,,False
AUTOW.BD,AUTOWALLIS,"AUTOWALLIS is a company operating in the automotive industry, primarily focused on the sale and service of vehicles. Their business model involves dealerships, maintenance services, and distribution of automotive parts. The company is based in Hungary.",HUF,Consumer Discretionary,Automobiles & Components,,BUD,XBUD,Budapest Stock Exchange,,,,,,,,,,,,False
BASF.BD,BASF SE,"BASF SE operates as a chemical company worldwide. It operates through six segments: Chemicals, Materials, Industrial Solutions, Surface Technologies, Nutrition & Care, and Agricultural Solutions. The Chemicals segment provides petrochemicals and intermediates. The Materials segment offers advanced materials and their precursors for applications and systems, such as isocyanates and polyamides, as well as inorganic basic products and specialties for plastic and plastic processing industries. The Industrial Solutions segment develops and markets ingredients and additives for industrial applications, such as polymer dispersions, pigments, resins, electronic materials, antioxidants, light stabilizers, oilfield chemicals, mineral processing, and hydrometallurgical chemicals. The Surface Technologies segment offers chemical solutions and automotive OEM which include refinish coatings, surface treatment, catalysts, battery materials, and base metal services for the automotive and chemical industries. The Nutrition & Care segment provides nutrition and care ingredients for food and feed producers, as well as pharmaceutical, cosmetics, detergent, and cleaner industries. The Agricultural Solutions segment offers crop protection products and seeds, such as fungicides, herbicides, insecticides, and biological crop production products, as well as seed treatment products. The company has a strategic partnership with IntelliSense.io. BASF SE was founded in 1865 and is headquartered in Ludwigshafen am Rhein, Germany.",HUF,Materials,Materials,Chemicals,BUD,XBUD,Budapest Stock Exchange,Germany,,Ludwigshafen am Rhein,67056,http://www.basf.com,Large Cap,,,BBG00280DJS0,BBG00280DJR1,BBG001S5SYB8,False
BAYER.BD,Bayer Aktiengesellschaft,"Bayer Aktiengesellschaft operates as a life science company worldwide. It operates through Pharmaceuticals, Consumer Health, and Crop Science segments. The Pharmaceuticals segment offers prescription products primarily for cardiology and women's health care; specialty therapeutics in the areas of oncology, hematology, and ophthalmology; and diagnostic imaging equipment and contrast agents, as well as cell and gene therapy. The Consumer Health segment markets nonprescription over-the-counter medicines, medical products, medicated skincare products, nutritional supplements, and self-care solutions in dermatology, nutritional supplements, pain and cardiovascular risk prevention, digestive health, allergy, and cold and cough. The Crop Science segment offers chemical and biological crop protection products, improved plant traits, seeds, digital solution, and pest and weed control products, as well as customer service for agriculture. This segment also provides breeding, propagation, and production/processing of seeds, including seed dressing. Bayer Aktiengesellschaft has a collaboration agreement with MD Anderson Cancer Center to develop oncology drugs; research and license agreement with Dewpoint Therapeutics, Inc. for the development of new treatments for cardiovascular and gynecological diseases; collaboration agreement with Exscientia Ltd, Foundation Medicine Inc., and Evotec AG; research collaboration with Arvinas Inc. and Forschungszentrum JÃ¼lich GmbH; strategic research partnership with University of Oxford to develop novel gynecological therapies; and research collaboration agreements with Haplogen GmbH and Kyoto University to identify new drugs candidates for the treatment of pulmonary diseases. The company distributes its products through wholesalers, pharmacies and pharmacy chains, supermarkets, online and other retailers, and hospitals, as well as directly to farmers. Bayer Aktiengesellschaft was founded in 1863 and is headquartered in Leverkusen, Germany.",HUF,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,BUD,XBUD,Budapest Stock Exchange,Germany,,Leverkusen,51368,http://www.bayer.com,Large Cap,,,,,,False
