symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
AAPL.BA,Apple Inc.,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",ARS,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",BUE,XBUE,Buenos Aires Mercato De Valores,United States,CA,Cupertino,95014,http://www.apple.com,Mega Cap,US0378331005,037833100,,,BBG001S5N8V8,False
AAPLB.BA,Apple Inc.,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",ARS,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",BUE,XBUE,Buenos Aires Mercato De Valores,United States,CA,Cupertino,95014,http://www.apple.com,Mega Cap,US0378331005,037833100,,,BBG001S5N8V8,False
AAPLC.BA,Apple Inc.,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",USD,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",BUE,XBUE,Buenos Aires Mercato De Valores,United States,CA,Cupertino,95014,http://www.apple.com,Mega Cap,US0378331005,037833100,,,BBG001S5N8V8,False
AAPLD.BA,Apple Inc.,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",USD,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",BUE,XBUE,Buenos Aires Mercato De Valores,United States,CA,Cupertino,95014,http://www.apple.com,Mega Cap,US0378331005,037833100,,,BBG001S5N8V8,False
ABBV.BA,AbbVie Inc.,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal Beh√É¬ßet's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstr√É¬∂m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production. The company was incorporated in 2012 and is based in North Chicago, Illinois.",ARS,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,BUE,XBUE,Buenos Aires Mercato De Valores,United States,IL,North Chicago,60064-6400,http://www.abbvie.com,Mega Cap,US00287Y1091,00287Y109,,,BBG0025Y4RZ3,False
ABBVD.BA,ABBVIE INC,,USD,,,,BUE,XBUE,Buenos Aires Mercato De Valores,United States,,,,,,,,,,,False
ABEV.BA,Ambev S.A.,"Ambev S.A., through its subsidiaries, produces, distributes, and sells beer, draft beer, carbonated soft drinks (CSD), other non-alcoholic beverages, malt, and food products in the Americas. It operates through three segments: Brazil; Central America and the Caribbean; Latin America South; and Canada. The company offers beer primarily under the Skol, Brahma, Antarctica, Brahva, Brahva Gold, Extra, Budweiser, Bud Light, Stella Artois, Corona, Modelo Especial, Beck, Leffe, Hoegaarden, Bucanero, Cristal, Mayabe, Cacique, Presidente, Brahma Light, President Light, Bohemia, The One, Banks, Deputy, Quilmes Cl√É¬°sica, Pace√É¬±a, Taqui√É¬±a, Huari, Becker, Cusque√É¬±a, Pilsen, Ouro Fino, Patricia, Michelob Ultra, Busch, Labatt Blue, Alexander Keith's, and Kokanee brands. It also provides bottled water, isotonic beverages, energy drinks, coconut water, powdered and natural juices, and ready-to-drink teas under the Guaran√É¬° Antarctica, Natu, Gatorade, H2OH!, Lipton Iced Tea, Fusion, Do Bem, Pepsi, Canada Dry, Squirt, Red Rock, Pepsi-Cola, Seven Up, Nutrl, and Palm Bay and Mike's brands, as well as For Me wellness shots, a functional beverage. Ambev S.A. offers its products through a network of third-party distributors and a direct distribution system. The company was founded in 1885 and is headquartered in S√É¬£o Paulo, Brazil. Ambev S.A. is a subsidiary of Interbrew International B.V.",ARS,Consumer Staples,"Food, Beverage & Tobacco",Beverages,BUE,XBUE,Buenos Aires Mercato De Valores,Brazil,SP,Sao Paulo,04530-001,http://www.ambev.com.br,Large Cap,US02319V1035,02319V103,,,BBG005KLVT74,False
ABEVD.BA,AMBEV SA,"AMBEV SA is a Brazilian brewing company that produces, distributes, and markets beer, soft drinks, and other beverages. Its portfolio includes popular brands like Skol, Brahma, and Antarctica, and it operates in several countries across the Americas. The company is headquartered in São Paulo, Brazil.",USD,,,,BUE,XBUE,Buenos Aires Mercato De Valores,Brazil,,,,,,,,,,,False
ABT.BA,Abbott Laboratories,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, M√É¬©ni√É¬®re's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. The company was founded in 1888 and is based in North Chicago, Illinois.",ARS,Health Care,Health Care Equipment & Services,Health Care Technology,BUE,XBUE,Buenos Aires Mercato De Valores,United States,IL,North Chicago,60064-6400,http://www.abbott.com,Mega Cap,US0028241000,002824100,,,BBG001S5N9M6,False
ACH.BA,Aluminum Corporation of China Limited,"Aluminum Corporation of China Limited, together with its subsidiaries, manufactures and sells alumina, primary aluminum, and energy products in the People's Republic of China. The company operates through Alumina, Primary Aluminum, Trading, and Energy segments. The Alumina segment mines for and purchases bauxite and other raw materials; and produces and sells alumina, as well as refined alumina. The Primary Aluminum segment procures alumina and other raw materials, supplemental materials, and electrical power; and produces and sells aluminum and aluminum-related products, such as carbon, aluminum alloy, and other electrolytic aluminum products. The Trading segment trades in alumina, primary aluminum, aluminum fabrication products, other non-ferrous metal products, coal products, raw and supplemental materials; and provides logistics and transport services to external customers. The Energy segment engages in coal mining; and generates and sells electricity using thermal power, wind power, and solar power sources to regional power grid corporations, as well as manufactures power related equipment. The company also acquires, manufactures, and distributes bauxite mines and limestone ore; and provides engineering project management, and research and development services. Aluminum Corporation of China Limited was incorporated in 2001 and is headquartered in Beijing, the People's Republic of China.",ARS,Materials,Materials,Metals & Mining,BUE,XBUE,Buenos Aires Mercato De Valores,China,,Beijing,100082,http://www.chalco.com.cn,Large Cap,,,,,,False
