symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
EGS01041C010.CA,ISMAILIA NATIONAL FOOD IND,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS01041C010,,BBG0015TBZK6,BBG000JN8LY6,BBG001SPK4G3,False
EGS01071C017.CA,WADI KOM OMBO LAND RECLAMATI,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS01071C017,,BBG000BF4W17,BBG000BF4VG3,BBG001S77VH7,False
EGS01081C016.CA,GENERAL COMPANY FOR LAND REC,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS01081C016,,BBG002CBDJX5,BBG000HZMK77,BBG001SPBLC9,False
EGS02021C011.CA,ISMAILIA MISR POULTRY CO,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS02021C011,,BBG000JNGXJ8,BBG000JNGWV6,BBG001SPK6R6,False
EGS02051C018.CA,CAIRO POULTRY CO,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS02051C018,,BBG000HD0MY6,BBG000HD0M94,BBG001S97S62,False
EGS02091C014.CA,MANSOURA POULTRY,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS02091C014,,BBG000JNQ0P2,BBG000JNPZZ5,BBG001SPK9G2,False
EGS02211C018.CA,EGYPT FOR POULTRY,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS02211C018,,BBG000H1B7P3,BBG000H1B6N7,BBG001S93628,False
EGS07061C012.CA,INTL AGRICULTURAL PRODUCTS,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS07061C012,,BBG000BMB014,BBG000BM9ZK9,BBG001SDJTZ6,False
EGS071L1C018.CA,ATLAS FOR INVESTMENT AND FOO,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS071L1C018,,BBG003M84676,BBG003M84667,BBG003M846B1,False
EGS10001C013.CA,ASEC CO FOR MINING,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS10001C013,,BBG000K76K28,BBG000K76JR4,BBG001SPQ4G7,False
EGS21171C011.CA,ZAHRAA EL MAADI INV & DEV,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS21171C011,,BBG000K4N985,BBG000K4N8G8,BBG001SPPF37,False
EGS21351C019.CA,ARABIA INVESTMENTS HOLDING,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS21351C019,,BBG000R07W56,BBG000R07W29,BBG001T8V5G5,False
EGS213S1C010.CA,EGYPTIANS FOR INVESTMENT AND,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS213S1C010,,BBG001Y2W866,BBG001Y2W857,BBG001Y2W893,False
EGS21451C017.CA,DELTA CONSTRUCTION & REBUILD,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS21451C017,,,BBG000QM2XN2,BBG001SN58X7,False
EGS214Q1C011.CA,ISMAILIA DEVELOPMENT AND REA,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS214Q1C011,,BBG001R3J4K0,BBG001R3J4J2,BBG001S2YW77,False
EGS21531C016.CA,ELSAEED CONTRACTING & REAL E,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS21531C016,,BBG000BYC0X2,BBG000BYC008,BBG001SBJ680,False
EGS21541C015.CA,GIZA GENERAL CONTRACTING & R,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS21541C015,,BBG000BHX592,BBG000BHX4J4,BBG001S7SDB0,False
EGS221U1C016.CA,AL FANAR CONTRACTING PUBLIC,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS221U1C016,,,BBG00423JKQ9,BBG00423JKV3,False
EGS221V1C015.CA,MB ENGINEERING CO,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS221V1C015,,BBG006T5Q451,BBG006T5Q433,BBG006T5Q442,False
EGS23111C015.CA,NASR COMPANY FOR CIVIL WORKS,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS23111C015,,BBG000C9VZB2,BBG000C9VYV3,BBG001SC4FB0,False
EGS23141C012.CA,EGYPTIAN FOR DEVELOPPING BUI,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS23141C012,,BBG000JX1Z25,BBG000JX1YB8,BBG001SPM9T6,False
EGS233E1C012.CA,THIQAH FOR BUSINESS ADMINIST,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS233E1C012,,,BBG004LDXB35,BBG004LDXB71,False
EGS30031C016.CA,ARABIAN FOOD INDUSTRIES CO,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS30031C016,,BBG00BDZ9V32,BBG00BDZ9V23,BBG00BDZ9V14,False
EGS300L1C011.CA,EL NASR FOR MANUFACTURING AG,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS300L1C011,,BBG000QV8GQ0,BBG000QV8GC5,BBG001SSPJD2,False
EGS30201C015.CA,DELTA SUGAR,,,,,,CAI,XCAI,Egyptian Exchange,Egypt,,,,,,EGS30201C015,,BBG000C1J2P1,BBG000C1J253,BBG001SBR7Z9,False
