symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
ABC-A.CR,"BANCO DEL CARIBE, C.A. BANCO UN","BANCO DEL CARIBE, C.A. BANCO UN is a financial institution that provides a range of banking products and services to individuals, businesses, and corporations. These services include savings accounts, loans, credit cards, and investment products. The bank is headquartered in Venezuela and operates through a network of branches.",,Financials,Banks,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
AF012P.CR,,,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
AF022P.CR,,,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
AF032P.CR,"P.C. DE ALIMENTOS FM, C.A. EM. ",,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
AF042P.CR,"P.C. DE ALIMENTOS FM, C.A. EM. ",,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
AF051P.CR,,,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
AF061P.CR,,,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
AF071P.CR,,,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
AF081P.CR,,,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
AF091P.CR,"P.C. DE ALIMENTOS FM, C.A. EM. ",,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
AF101P.CR,"P.C. DE ALIMENTOS FM, C.A. EM. ",,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
AF111P.CR,"P.C. DE ALIMENTOS FM, C.A. EM. ",,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
AF121P.CR,"P.C. DE ALIMENTOS FM, C.A. EM. ",,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
AN014P.CR,,,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
AN033P.CR,"P.C.  ALICE NEUMATICOS DE VZLA,",,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
BE031P.CR,"P.C. COMERCIAL BELLOSO, C.A. EM",,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
BE041P.CR,"P.C. COMERCIAL BELLOSO, C.A. EM",,,,,,CCS,BVCA,Bolsa De Valores De Caracas,,,,,,,,,,,,False
BNC.CR,"BANCO NACIONAL DE CREDITO, C.A.","BANCO NACIONAL DE CREDITO, C.A. is a Venezuelan bank offering a range of financial services, including personal and commercial banking, loans, and investment products. Its headquarter is located in Venezuela. The bank aims to serve individuals, small businesses, and corporations within the country.",,Financials,Banks,,CCS,BVCA,Bolsa De Valores De Caracas,Spain,,,,,,,,BBG012STX0K1,BBG012STX0J3,BBG012STY529,False
BOU.CR,BANCO OCCIDENTAL DE DECUENTO BA,,,,,,CCS,BVCA,Bolsa De Valores De Caracas,Singapore,,,,,,,,,,,False
