symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
AAWH.CN,Ascend Wellness Holdings LLC,"Ascend Wellness Holdings LLC is a vertically integrated cannabis company. The company cultivates, processes, and retails cannabis products through its network of dispensaries and wholesale operations. Ascend Wellness Holdings is headquartered in New York, NY.",,,,,CNQ,XCNQ,Canadian Securities Exchange,United States,,,,,,,,,,,False
ACDC.CN,Extreme Vehicle Battery Technologies Corp.,"Extreme Vehicle Battery Technologies Corp. provides blockchain solutions. It focuses on providing services for application programming interface in regards to operator look-up, customer look-up, IP information, and customer friendly user experience; and developing and implementing blockchain, distributed ledger, closed loop, and cryptocurrency services for government and commercial partners. The company was formerly known as Global Elsimate Capital Corp. and changed its name to Extreme Vehicle Battery Technologies Corp. in September 2020. Extreme Vehicle Battery Technologies Corp. is based in Vancouver, Canada.",CAD,Information Technology,Software & Services,Software,CNQ,XCNQ,Canadian Securities Exchange,Canada,BC,Vancouver,V7Y 1G5,http://www.evbattery.tech,Micro Cap,CA22906X1069,22906X106,,,,False
ACME.CN,ACME Lithium Inc.,"ACME Lithium Inc., a technology company, specializes in the digital customer acquisition in Canada. The company manages and optimizes its customers digital marketing campaigns by using a proprietary inquiry management platform and database of international prospects. It serves higher education institutions that promote campus and online degree programs to consumers through digital media, such as websites, mobile apps, social media networks, and direct e-mails. The company was incorporated in 2017 and is based in Vancouver, Canada.",CAD,Information Technology,Software & Services,,CNQ,XCNQ,Canadian Securities Exchange,Canada,BC,Vancouver,V6J 3H4,,,,,,,,True
ACRG-AU.CN,AcreageHoldInc,"Acreage Holdings is a cannabis company focused on cultivating, processing, and distributing cannabis products, with operations in the United States and headquartered in New York City, New York",USD,Consumer Staples,"Food, Beverage & Tobacco",,CNQ,XCNQ,Canadian Securities Exchange,,,,,,,,,,,,False
ACRG-BU.CN,AcreageHoldings,"Acreage Holdings is a cannabis company focused on cultivating, processing, and distributing cannabis products, with operations in the United States and headquartered in New York City, New York",USD,Consumer Staples,"Food, Beverage & Tobacco",,CNQ,XCNQ,Canadian Securities Exchange,,,,,,,,,,,,False
ACT.CN,Aduro Clean Technologies Inc.,"Aduro Energy Inc. develops water-based solutions to transform corn distillers oil and other waste lipids into drop-in diesel, petroleum, specialty chemicals, and bio-jet fuel. The company was founded in 2011 and is based in London, Canada.",CAD,Industrials,Capital Goods,Construction & Engineering,CNQ,XCNQ,Canadian Securities Exchange,Canada,ON,London,N6G 0J3,http://www.aduroenergy.com,Nano Cap,CA0074081070,007408107,BBG00N9ZZW58,BBG00N9ZZVZ7,BBG00N9ZZX01,False
AFD.CN,Ansar Financial and Development Corporation,"Ansar Financial and Development Corporation, a real estate corporation, acquires, owns, and sells properties in Canada. The company also purchases, develops, and sells residential lots near the Edmonton Airport in Alberta; and commercial/industrial lots near Calgary, Alberta. Ansar Financial and Development Corporation was incorporated in 2008 and is based in Toronto, Canada.",CAD,Real Estate,Real Estate,Real Estate Management & Development,CNQ,XCNQ,Canadian Securities Exchange,Canada,ON,Toronto,M1B 4Z9,http://www.ansarfinancial.com,Nano Cap,,,,,,False
AFI.CN,Affinor Growers Inc.,"Affinor Growers Inc., a farming technology company, engages in acquiring, patenting, and commercializing various agriculture technologies and vertical farming technology for indoor controlled environment and outdoor greenhouse agriculture industry in North America. Its vertical growing technology helps to grow crops, such as romaine lettuce and strawberries. The company was formerly known as Affinor Resources Inc. and changed its name to Affinor Growers Inc. in May 2014. Affinor Growers Inc. was incorporated in 1996 and is based in Langley, Canada.",CAD,Consumer Staples,Household & Personal Products,Household Products,CNQ,XCNQ,Canadian Securities Exchange,Canada,BC,Langley,V2Y 0G9,http://www.affinorgrowers.com,Nano Cap,,,BBG003GFK9S0,BBG003GFK9L7,BBG003GFKBB3,False
AG-UN.CN,Arctic Glacier Income Fund,"Arctic Glacier Income Fund operates as an unincorporated open-ended mutual fund trust. The company, through its subsidiary Arctic Glacier Inc., engages in manufacturing, marketing, and distributing packaged ice products in the United States and Canada. The company sells its packaged ice products under the Arctic Glacier Premium Ice brand to retail customers, such as mass merchandisers, grocery stores, and convenience stores, as well as to various commercial users comprising special events and festivals, airlines, restaurants, hotels, and bars. It also produces ice in bulk quantities for industrial users, including food processing, construction, chemical manufacturing, and other commercial industries. In addition, the company licenses its trade names and proprietary technology to independently owned companies under franchise and license agreements. Further, it provides ancillary products, such as bottled water, dry ice, packaged wood, and rock salt, as well as sells and leases ice-making and dispensing equipment. The company was founded in 1996 and is headquartered in Winnipeg, Canada. On February 22, 2012, Arctic Glacier Income Fund filed for proceedings under the Companies' Creditors Arrangement Act in the Court of the Queen's Bench.",CAD,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,CNQ,XCNQ,Canadian Securities Exchange,Canada,MB,Winnipeg,R3A 0V1,http://www.arcticglacier.com,Micro Cap,,,,,,False
AGN.CN,Algernon Pharmaceuticals Inc.,"Algernon Pharmaceuticals Inc., a clinical stage pharmaceutical development company, focuses in the areas of nonÂalcoholic steatohepatitis, chronic kidney disease, inflammatory bowel disease, idiopathic pulmonary fibrosis, chronic cough, and acute lung injury associated with COVID-19 in Canada and Australia. The company's lead candidate is NP-120, an N-methyl-d-aspartate (NMDA) receptor glutamate receptor antagonist, which targets NMDA-type subunit 2B (Glu2NB), as well as exhibits agonist activity for the Sigma-1 receptor, a chaperone protein up-regulated during endoplasmic reticulum stress. It is also developing AP-188 (N,N-Dimethyltryptamine), a psychedelic compound that is part of the tryptamine family for the treatment of ischemic stroke in humans. Algernon Pharmaceuticals Inc. has an agreement with Charles River Laboratories for preclinical studies of AP-188 for the company's stroke clinical research program. Algernon Pharmaceuticals Inc. is headquartered in Vancouver, Canada.",CAD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,CNQ,XCNQ,Canadian Securities Exchange,Canada,BC,Vancouver,V6C 1G8,http://algernonpharmaceuticals.com,Nano Cap,CA01559R4008,01559R400,BBG00C1CQ1Q6,BBG00C1CQ1G7,BBG00C1CQ1J4,False
