symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
AAB.CO,Aalborg Boldspilklub A/S,"Aalborg Boldspilklub A/S engages in the sports and entertainment activities in Denmark. The company operates a professional football club; and Aalborg Portland Park stadium. It offers tickets to football games; and merchandise. The company also provides toy clothes, collections, clothing, children toys, and accessories online. Aalborg Boldspilklub A/S was founded in 1885 and is based in Aalborg, Denmark.",DKK,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CPH,XCSE,Nasdaq Copenhagen,Denmark,,Aalborg,9220,http://www.aabsport.dk,Nano Cap,,,BBG000C7VJK2,BBG000C7VJ77,BBG001SC0Z66,False
ACACIGDKK.CO,Accunia European CLO Investment Grade DKK,,DKK,,,,CPH,XCSE,Nasdaq Copenhagen,,,,,,,,,,,,False
ACAECO.CO,Accunia European CLO Opportunity KL,,DKK,,,,CPH,XCSE,Nasdaq Copenhagen,,,,,,,,,,,,False
ACKEHY.CO,Kapitalforeningen Accunia Invest European High Yield Fund,"Kapitalforeningen Accunia Invest European High Yield Fund is a Danish investment fund focused on investing in European high-yield corporate bonds, managed by Accunia Capital, with headquarters in Copenhagen, Denmark",DKK,Financials,Banks,,CPH,XCSE,Nasdaq Copenhagen,Denmark,,Copenhagen,1110,,,,,,,,False
ACT.CO,DecideAct A/S,"DecideAct A/S develops cloud-based strategy execution management and governance platform for organizations. Its solutions include DecideAct Professional, a digital solution for strategy implementation and follow-up; DecideAct Managed, a managed platform for strategy execution management and governance to drive engagement through transparency, automated follow-ups, and reporting; DecideAct Enterprise, a digital solution to integrate with ERP systems and other data sources defined by the organization; DecideAct Public Sector, which helps in the execution of government priorities within public institutions; a corporate social responsibility solution; a crisis recovery platform for enabling organizations to execute their recovery plan; and strategy expert services. The company's integrated strategy implementation platform delivers transparency, accountability, follow-up, and governance. DecideAct A/S was founded in 2014 and is headquartered in NexÃ¸, Denmark.",DKK,Information Technology,Software & Services,Software,CPH,XCSE,Nasdaq Copenhagen,Denmark,,Nexo,3730,http://www.decideact.net,Nano Cap,,,,,,False
AGAT.CO,Agat Ejendomme A/S,"Agat Ejendomme A/Sengages in the development and sale of real estate properties in Denmark and Sweden. Its project portfolio consists of housing and retail projects. The company was founded in 1960 and is based in Aalborg, Denmark.",DKK,Real Estate,Real Estate,Real Estate Management & Development,CPH,XCSE,Nasdaq Copenhagen,Denmark,,Aalborg,9000,http://agat.dk,Nano Cap,,,BBG000BXBZ59,BBG000BXBZ04,BBG001SFB135,False
AGILC.CO,Agillic A/S,"Agillic A/S, a software company, provides marketing platform that enables clients to create and automate data-driven and personalized communication across channels in Denmark and internationally. It offers customer marketing platform that enables omnichannel marketing, which helps clients to communicate with message consistency across channels, such as email, SMS, app push notifications, and digital ads, as well as one-to-one personalization and transgressing the limitations of a segmented approach. The company also provides training and professional services related to on-boarding and setup of infrastructure, template design, and implementation, as well as training of new and existing clients. It serves retail, finance, travel and leisure, and NGO and charity industries, as well as subscription-based businesses. The company was incorporated in 1999 and is based in Copenhagen, Denmark.",DKK,Information Technology,Software & Services,Software,CPH,XCSE,Nasdaq Copenhagen,Denmark,,Copenhagen,2100,http://agillic.com,Nano Cap,,,,,,False
ALEFRM.CO,Alefarm Brewing A/S,"Alefarm Brewing A/S, a craft brewery, engages in the production of beers for consumers worldwide. It offers ales and stouts in various flavors. The company was founded in 2015 and is based in Greve, Denmark.",DKK,Consumer Staples,"Food, Beverage & Tobacco",Beverages,CPH,XCSE,Nasdaq Copenhagen,Denmark,,Greve,2670,http://www.alefarm.dk,Nano Cap,,,,,,False
ALIEHE.CO,Alm. Brand Invest Europ&#195;&#166;isk H&#195;&#184;jrente ETIK,,DKK,,,,CPH,XCSE,Nasdaq Copenhagen,,,,,,,,,,,,False
ALIEUA.CO,Alm. Brand Invest Europ&#195;&#166;iske Aktier ETIK,,DKK,,,,CPH,XCSE,Nasdaq Copenhagen,,,,,,,,,,,,False
ALIGLO.CO,Alm. Brand Invest Globale Aktier ETIK,,DKK,,,,CPH,XCSE,Nasdaq Copenhagen,,,,,,,,,,,,False
ALIKOB.CO,,,DKK,,,,CPH,XCSE,Nasdaq Copenhagen,United States,,,,,,,,,,,False
ALILO.CO,,,DKK,,,,CPH,XCSE,Nasdaq Copenhagen,United States,,,,,,,,,,,False
ALIMD.CO,Alm. Brand Invest Mix Defensiv ETIK,,DKK,,,,CPH,XCSE,Nasdaq Copenhagen,,,,,,,,,,,,False
ALIMIX.CO,Alm. Brand Invest Mix ETIK,,DKK,,,,CPH,XCSE,Nasdaq Copenhagen,,,,,,,,,,,,False
ALIMOF.CO,Alm. Brand Invest Mix Offensiv ETIK,,DKK,,,,CPH,XCSE,Nasdaq Copenhagen,,,,,,,,,,,,False
ALINA.CO,Alm. Brand Invest Nordiske Aktier ETIK,,DKK,,,,CPH,XCSE,Nasdaq Copenhagen,,,,,,,,,,,,False
ALIVOB.CO,,,DKK,,,,CPH,XCSE,Nasdaq Copenhagen,United States,,,,,,,,,,,False
ALMB.CO,Alm. Brand A/S,"Alm. Brand A/S, together with its subsidiaries, provides non-life insurance, banking, and life and pension insurance products and services in Denmark. The company offers banking products and services to private customers and small and medium-sized enterprises; and financial markets services comprising bonds, equity and currency trading and research, private banking, and asset management services, as well as leases cars to private and commercial customers. It also provides advisory services. The company offers its non-life insurance products for the private customers, small and medium-sized enterprises, property owners and administrators, agricultural customers, and the public sectors through insurance shops, independent insurance shops, and business partners. Its life and pension insurance products include coverage for death, disability, and critical illness; and savings comprising capital pension plans, installment pensions, and annuity schemes for private individuals, farmers, and owners and employees of small businesses. The company operates 19 branches in Denmark. Alm. Brand A/S is headquartered in Copenhagen, Denmark. Alm. Brand A/S operates as a subsidiary of Alm. Brand af 1792 Fmba.",DKK,Financials,Insurance,Insurance,CPH,XCSE,Nasdaq Copenhagen,Denmark,,Copenhagen,2100,http://www.almbrand.dk,Small Cap,,,BBG000BJKJ65,BBG000BJKHK3,BBG001S7NNM1,False
AMBU-B.CO,Ambu A/S,"Ambu A/S develops, manufactures, and sells medical devices to hospitals, clinics, and rescue services worldwide. It provides healthcare solutions in the fields of visualization, anesthesia, and patient monitoring and diagnostics. The company offers endoscopy products, such as bronchoscopes and monitors, as well as related airway management products comprising video laryngoscopes, double and single lumen tubes, and endobronchial blockers; and neurology products, including EEG and EMG electrodes, EMG guided injections, and intraoperative monitoring products. It also provides cardiology products consisting of ECG electrodes; and airway management and anaesthesia products, such as bronchoscopes, video laryngoscopes, double and single lumen tubes, endobronchial blockers, laryngeal and face masks, breathing bags, and resuscitators. In addition, the company offers resuscitators, extrication collars, head immobilizers, CPR breathing barriers, suction pumps, video laryngoscopes, and training manikins. It serves hospitals, rescue services, clinics, etc. Ambu A/S was founded in 1937 and is headquartered in Ballerup, Denmark.",DKK,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,CPH,XCSE,Nasdaq Copenhagen,Denmark,,Ballerup,2750,http://www.ambu.com,Large Cap,,,,,,False
AOJ-P.CO,Brodrene A & O Johansen A/S,"BrÃ¸drene A & O Johansen A/S, together with its subsidiaries, sells and distributes technical installation materials and tools in Denmark, Sweden, Norway, and Estonia. The company offers plumbing, heating, and sanitary ware products; electrical equipment and components; and water supply and drainage products and tools. It serves plumbers, electricians, building contractors, sewer contractors, construction companies, municipalities, utilities, and public institutions. The company operates through 50 stores in Denmark, as well as sells its products online through BilligVVS.dk, LavprisVVS.dk, VVSochBad.se, BilligVVS.no, Greenline.dk, LavprisEL.dk, LampeGuru.dk, and Lampeguru.no websites. BrÃ¸drene A & O Johansen A/S was founded in 1914 and is headquartered in Albertslund, Denmark.",DKK,Industrials,Capital Goods,Trading Companies & Distributors,CPH,XCSE,Nasdaq Copenhagen,Denmark,,Albertslund,2620,http://www.ao.dk,Small Cap,,,,,,False
