symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
AAFN0000.CM,ASIA ASSET FINANCE,,LKR,Financials,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
AAICN0000.CM,Softlogic Life Insurance PLC,,LKR,Financials,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ABANN0000.CM,ABANS ELECTRICALS PLC,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ABANR0000-A.CM,,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ABLN0000.CM,AMANA BANK PLC,"AMANA BANK PLC is a Sri Lankan Islamic bank that offers a range of Sharia-compliant banking products and services. These services include deposit accounts, financing solutions, and other banking facilities catering to individuals and businesses. The bank is headquartered in Sri Lanka.",LKR,Financials,Banks,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ACAPN0000.CM,ASIA CAPITAL PLC,"ASIA CAPITAL PLC is likely involved in investment and financial services, potentially focusing on investments in Sri Lanka and the Asian region, with headquarters likely located in Colombo, Sri Lanka",LKR,Financials,Diversified Financials,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ACLN0000.CM,ACL CABLES PLC,"ACL CABLES PLC is a Sri Lankan manufacturer of electrical cables and conductors, providing a range of products for power transmission, distribution, and domestic wiring applications, headquartered in Colombo, Sri Lanka",LKR,Industrials,Capital Goods,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ACMEN0000.CM,ACME PRINTING & PACKAGING PLC,"ACME PRINTING & PACKAGING PLC is a Sri Lankan company that provides printing and packaging solutions, catering to various industries with services including printing, labeling, and packaging materials",LKR,Industrials,Capital Goods,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
AELN0000.CM,ACCESS ENGINEERING PLC,"ACCESS ENGINEERING PLC is a Sri Lankan civil engineering company. They specialize in construction, infrastructure development, and related services. The company is based in Sri Lanka.",LKR,Industrials,Capital Goods,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
AFSLN0000.CM,Abans Finance PLC,"Abans Finance PLC is a Sri Lankan finance company providing leasing, hire purchase, loans, and other financial services to individuals and businesses. The company operates through a network of branches across Sri Lanka. Abans Finance PLC is based in Colombo, Sri Lanka.",LKR,Financials,Diversified Financials,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
AGALN0000.CM,AGALAWATTE  PLANTATIONS  PLC,"AGALAWATTE PLANTATIONS PLC is a Sri Lankan company involved in the cultivation, processing, and sale of tea and rubber. The company operates several estates in Sri Lanka. AGALAWATTE PLANTATIONS PLC is based in Colombo, Sri Lanka.",LKR,Consumer Staples,"Food, Beverage & Tobacco",,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
AGSTN0000.CM,AGSTAR PLC,"AGSTAR PLC is a Sri Lankan company that provides agricultural services, including fertilizer distribution, seed production, and agricultural consultancy. The company supports farmers in Sri Lanka by providing them with access to essential agricultural inputs and technical assistance. AGSTAR PLC is based in Colombo, Sri Lanka.",LKR,Industrials,Capital Goods,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
AHCLN.CM,,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
AHCLR.CM,,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
AHPLN0000.CM,ASIAN HOTELS AND PROPERTIES PLC,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
AHUNN0000.CM,AITKEN SPENCE HOTEL HOLDINGS PL,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
AINSN0000.CM,ARPICO INSURANCE PLC,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ALHPN0000.CM,ANILANA HOTELS AND,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ALLIB.CM,,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ALLIN0000.CM,ALLIANCE FINANCE,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ALUFN0000-A.CM,,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ALUFN0000.CM,Unisyst Engineering PLC,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ALUMN0000.CM,ALUMEX PLC,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
AMCLN.CM,,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
AMFN0000.CM,Associated Motor Finance Compan,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
AMSLN0000.CM,ASIRI SURGICAL HOSPITAL PLC,"ASIRI SURGICAL HOSPITAL PLC is a healthcare provider based in Sri Lanka, offering a range of surgical and medical services. The hospital focuses on providing advanced medical treatments and patient care. Asiri Surgical Hospital contributes to the healthcare sector in Sri Lanka through its medical facilities and services.",LKR,Health Care,Health Care Equipment & Services,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
APLAN0000.CM,ACL PLASTICS PLC,"ACL PLASTICS PLC is a Sri Lankan company that manufactures and markets a range of plastic products. This likely includes items for household, industrial or packaging purposes. ACL Plastics contributes to the plastics manufacturing sector in Sri Lanka.",LKR,Materials,Materials,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ARPIN0000.CM,ARPICO FINANCE COMPANY PLC,"ARPICO FINANCE COMPANY PLC is a finance company based in Sri Lanka. It offers financial products and services such as loans, leases, and other financial solutions. Arpico Finance serves individuals and businesses in Sri Lanka.",LKR,Financials,Diversified Financials,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ARPIR0000-A.CM,,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ASCON0000.CM,LANKA REALTY INVESTMENTS PLC,"Lanka Realty Investments PLC is a Sri Lanka-based real estate company engaged in property development and investment. The company focuses on residential and commercial properties. The company is based in Colombo, Sri Lanka.",LKR,Real Estate,Real Estate,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ASCOR0000-A.CM,,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ASCOW0024.CM,,,LKR,,,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
ASHON0000.CM,LANKA ASHOK LEYLAND PLC,"Lanka Ashok Leyland PLC is a Sri Lankan company engaged in assembling and marketing Ashok Leyland commercial vehicles and spare parts. The company also provides after-sales service and support. Lanka Ashok Leyland is based in Colombo, Sri Lanka.",LKR,Industrials,Capital Goods,,CSE,XCOL,Colombo Stock Exchange,,,,,,,,,,,,False
