symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
013A.DU,JD.COM SP.ADR A1 DL-00002,"JD.com is a Chinese e-commerce company operating an online retail platform. It offers a wide range of products, including electronics, home appliances, apparel, and books to consumers in China. The company is headquartered in Beijing, China.",EUR,Consumer Discretionary,Retailing,,DUS,XDUS,Dusseldorf Stock Exchange,China,,,,,,,,,,,False
013C.DU,JD.COM. INC. A,"JD.com is a Chinese e-commerce company operating an online retail platform. It offers a wide range of products, including electronics, home appliances, apparel, and books to consumers in China. The company is headquartered in Beijing, China.",EUR,Consumer Discretionary,Retailing,,DUS,XDUS,Dusseldorf Stock Exchange,China,,,,,,,,BBG00VJFK479,BBG00VJFK433,BBG006GX5509,False
01H.DU,Horiba Ltd.,"HORIBA LTD is a global company that manufactures and sells precision instruments and equipment for various applications. Their products include automotive test systems, environmental monitoring equipment, medical diagnostic instruments, and semiconductor manufacturing equipment. The company is headquartered in Kyoto, Japan.",EUR,Industrials,Capital Goods,,DUS,XDUS,Dusseldorf Stock Exchange,Japan,,,,,,JP3853000002,,BBG000GJZT44,BBG000GJYR58,BBG001S6FR34,False
01T.DU,TOKYU CORP.,"TOKYU CORP. is a Japanese conglomerate involved in railway transportation, real estate development, retail, and hospitality. They operate railway lines in the Tokyo metropolitan area and develop residential and commercial properties along their railway network. The company also owns department stores, hotels, and resorts.",EUR,Consumer Discretionary,Retailing,,DUS,XDUS,Dusseldorf Stock Exchange,Japan,,,,,,,,BBG000GF0X87,BBG000GF0VV5,BBG001S6BNJ0,False
038.DU,NovoCure Ltd.,"Novocure Ltd. is a global oncology company pioneering a novel therapy called Tumor Treating Fields (TTFields) for solid tumors. TTFields therapy uses electric fields to disrupt cancer cell division. The company is headquartered in St. Helier, Jersey.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,DUS,XDUS,Dusseldorf Stock Exchange,Jersey,,,,,,JE00BYSS4X48,,BBG00B5YGRN3,BBG00B5YGRL5,BBG009XW8QY0,False
03G.DU,GASLOG PARTNERS UTS,"GasLog Partners LP is a growth-oriented limited partnership focused on owning, operating, and acquiring liquefied natural gas (LNG) carriers. The company provides LNG transportation services under long-term charters. GasLog Partners is headquartered in Piraeus, Greece.",EUR,Industrials,Transportation,,DUS,XDUS,Dusseldorf Stock Exchange,Greece,,,,,,,,,,,False
04IC.DU,"INVIVO THERAPEU.DL-,00001",,EUR,,,,DUS,XDUS,Dusseldorf Stock Exchange,United States,,,,,,,,,,,False
05P.DU,Impera SE,"Impera SE, formerly S IMMO AG, is a real estate investment company focused on commercial properties in Central and Eastern Europe. The company invests in and manages office, retail, and residential properties. They are headquartered in Vienna, Austria.",EUR,Real Estate,Real Estate,,DUS,XDUS,Dusseldorf Stock Exchange,Germany,,Munich,81667,,,,,BBG00YZ40454,BBG00YZ40436,BBG00YZ404L6,False
05Y.DU,Vivoryon Therapeutics N.V.,"Vivoryon Therapeutics AG is a clinical-stage biotechnology company focused on developing innovative therapies for diseases of the central nervous system. They are developing small molecule inhibitors of glutaminyl cyclase (QC) to treat Alzheimer's disease and other neurodegenerative disorders. The company is headquartered in Halle (Saale), Germany.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,DUS,XDUS,Dusseldorf Stock Exchange,Germany,,,,,,NL00150002Q7,,BBG007BB73K1,BBG007BB73G6,BBG001SQY3Y8,False
06MA.DU,MATERIALISE SP.ADR 1,"Materialise NV provides 3D printing and additive manufacturing solutions. They offer software and services for medical and industrial applications. The company is headquartered in Leuven, Belgium.",EUR,Health Care,Health Care Equipment & Services,,DUS,XDUS,Dusseldorf Stock Exchange,Belgium,,,,,,US57667T1007,57667T100,BBG006Q7W2M8,BBG006Q7W2K0,BBG0068T25B8,False
07WA.DU,MR. COOPER GROUP INC.,"Mr. Cooper Group Inc. provides servicing, origination, and transaction-based services related to single-family residences. The company operates through service and origination segments. Mr. Cooper Group is headquartered in Coppell, Texas.",EUR,Financials,Diversified Financials,,DUS,XDUS,Dusseldorf Stock Exchange,United States,,,,,,US62482R1077,62482R107,BBG003DL0LC2,BBG003DL0L96,BBG002V09956,False
089.DU,Cambium Networks Corporation,"Cambium Networks Corporation designs, develops, and manufactures fixed wireless, fiber broadband, and enterprise networking infrastructure solutions in North America, Europe, the Middle East, Africa, the Caribbean and Latin America, and the Asia Pacific. The company offers fixed wireless and PON/XGSPON based broadband, Wi-Fi, and local area networking (LAN) switching infrastructure; and security gateway solutions for a range of applications, such as broadband access, wireless backhaul, Internet of Things (IoT), public safety communications, and Wi-Fi access for commercial use. Its fixed wireless and fiber broadband (FWB) portfolio spans point-to-point (PTP) and point-to-multi-point (PMP) architectures over multiple standards, and frequency bands, including licensed, unlicensed, and lightly licensed spectrum, and fiber products. Its enterprise portfolio comprises a range of indoor and outdoor Wi-Fi access points, indoor and hardened copper and optical based ethernet switches, and security gateway and software-defined wide area network (SD-WAN) devices. Its subscription and services portfolio includes network planning and design, and cloud or on-premises network management and control solutions delivered through subscription to cnMaestro X. It serves healthcare, education, hospitality, military communication, mining and minerals, multifamily living, national law enforcement, oil and gas, public safety, residential broadband, small business, smart cities, government, transportation and logistics, utilities and electric cooperatives, and wireless video surveillance CCTV markets. The company sells its products and services through distributors and other channel partners, such as resellers, managed service providers, and systems integrators. The company was formerly known as Vector Cambium Holdings (Cayman), Ltd. and changed its name to Cambium Networks Corporation in 2018. Cambium Networks Corporation was founded in 2011 and is headquartered in Hoffman Estates, Illinois.",EUR,Financials,Diversified Financials,Diversified Financial Services,DUS,XDUS,Dusseldorf Stock Exchange,United States,CA,San Francisco,94129,http://www.sz000004.cn,Micro Cap,,,BBG00PKDJDB2,BBG00PKDJD86,BBG00P9KJC12,False
08HH.DU,SHANG.FOS.PHARM.GR.H YC 1,,EUR,,,,DUS,XDUS,Dusseldorf Stock Exchange,China,,,,,,,,BBG007FFXH91,BBG007FFXH73,BBG003HBXRX8,False
096.DU,"HubSpot, Inc.",,EUR,,,,DUS,XDUS,Dusseldorf Stock Exchange,United States,,,,,,US4435731009,443573100,BBG0078X8HY0,BBG0078X8HW2,BBG001T53670,False
09B.DU,"LASTMINUTE.COM NV  EO-,01","Lastminute.com N.V. operates as an online travel agency in Europe, providing flight, hotel, holiday, and city break booking services to customers. The company utilizes a technology platform to offer a comprehensive travel marketplace, connecting travelers with a wide range of travel options. Lastminute.com is headquartered in Chiasso, Switzerland.",EUR,Consumer Discretionary,Consumer Services,,DUS,XDUS,Dusseldorf Stock Exchange,Netherlands,,,,,,,,BBG006BKLJK2,BBG006BKLJH6,BBG0066698D5,False
0A7.DU,PLANETEL SPA,,EUR,,,,DUS,XDUS,Dusseldorf Stock Exchange,Italy,,,,,,,,BBG00YVHYQ99,BBG00YVHYQ71,BBG00YN61ZF1,False
0AL.DU,AGILE THERAPEUTIC.DL-0001,,EUR,,,,DUS,XDUS,Dusseldorf Stock Exchange,,,,,,,,,,,,False
0B2.DU,BAWAG GROUP AG,"BAWAG GROUP AG is an Austrian bank offering retail, corporate, and investment banking services. It operates primarily in Austria and other European countries, providing a range of financial products and services to individuals, businesses, and institutions with headquarters in Vienna, Austria.",EUR,Financials,Banks,,DUS,XDUS,Dusseldorf Stock Exchange,Austria,,,,,,,,BBG00HY7SZ47,BBG00HY7SZ01,BBG00HTQM464,False
0C2.DU,CHUBU EL. PWR,,EUR,,,,DUS,XDUS,Dusseldorf Stock Exchange,Japan,,,,,,,,BBG000GJ2J60,BBG000GJ1DJ0,BBG001S6G8C5,False
0CG.DU,"CHEGG INC.  DL -,001","CHEGG INC. DL -,001 is an online learning platform that provides students with academic support, including homework help, textbook solutions, and online tutoring. The company offers subscription-based services to students in high school and college and is headquartered in Santa Clara, California.",EUR,Information Technology,Software & Services,,DUS,XDUS,Dusseldorf Stock Exchange,United States,,,,,,,,BBG005KN3SR1,BBG005KN3SP3,BBG001TBCK85,False
0DA.DU,Dorian LPG Ltd.,"Dorian LPG Ltd., together with its subsidiaries, engages in the transportation of liquefied petroleum gas (LPG) through its LPG tankers worldwide. The company owns and operates very large gas carriers (VLGCs). As of March 31, 2020, its fleet consisted of twenty-four VLGCs. The company was founded in 2013 and is headquartered in Stamford, Connecticut.",EUR,Energy,Energy,"Oil, Gas & Consumable Fuels",DUS,XDUS,Dusseldorf Stock Exchange,United States,CT,Stamford,6902,http://www.dorianlpg.com,Small Cap,MHY2106R1100,,BBG006H4DH52,BBG006H4DH34,BBG006476HV8,False
0DYL.DU,DNB BOLIGKRED.14/21FLRMTN,,EUR,,,,DUS,XDUS,Dusseldorf Stock Exchange,,,,,,,,,,,,False
0DYP.DU,DNB BOLIGKRED. 17/22 MTN,,EUR,,,,DUS,XDUS,Dusseldorf Stock Exchange,,,,,,,,,,,,False
0ET.DU,ESPER.THERAP.(NEW) DL-001,"ESPER.THERAP.(NEW) DL-001 is likely referring to Esperion Therapeutics, Inc., a pharmaceutical company focused on developing and commercializing oral therapies for the treatment of elevated LDL-cholesterol. Esperion's main product is NEXLETOL (bempedoic acid), a non-statin LDL-cholesterol lowering medicine. The company is headquartered in Ann Arbor, Michigan.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,DUS,XDUS,Dusseldorf Stock Exchange,United States,,,,,,,29664W105,BBG007HLD3H0,BBG007HLD3F2,BBG004KB3SZ1,False
0G30.DU,Vizsla Silver Corp.,"Vizsla Silver Corp. engages in the acquisition, exploration, and development of mineral properties. It primarily explores for precious and base metal assets. The company holds a 100% interest in the Blueberry property covering an area of 20,265 hectares located in the Babine porphyry copper district in central British Columbia, Canada. It also has an option to acquire 100% interest in Panuco and Copala property situated in Sinaloa, Mexico. The company was formerly known as Vizsla Resources Corp. and changed its name to Vizsla Silver Corp. in February 2021. Vizsla Silver Corp. was incorporated in 2017 and is headquartered in Vancouver, Canada.",EUR,Materials,Materials,Metals & Mining,DUS,XDUS,Dusseldorf Stock Exchange,Canada,BC,Vancouver,V6E 3B9,http://www.vizslaresources.com,Micro Cap,,,,,,False
0GM.DU,graceNT AG,"graceNT AG provides IT-based medical products. Its products are used in the prevention of common diseases; and age-typical complaints, such as postural and back problems, insomnia, burn-out syndrome or dementia, and falling. The company is headquartered in Rotkreuz, Switzerland.",EUR,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,DUS,XDUS,Dusseldorf Stock Exchange,Switzerland,,Rotkreuz,6343,http://www.gracent.com,,,,BBG00CTZ2FJ8,BBG00CTZ2FF2,BBG00CTZ2FG1,False
0HLA.DU,"SILVER SPIKE ACQ.DL-,0001",,EUR,,,,DUS,XDUS,Dusseldorf Stock Exchange,United States,,,,,,,,,,,False
0HV.DU,Envista Holdings Corporation,"Envista Holdings Corporation is a global family of more than 30 trusted dental brands, united by a shared purpose: to partner with professionals to improve lives. Envista serves customers worldwide with a broad range of dental consumables, equipment, and technology. Envista Holdings Corporation is headquartered in Brea, California.",EUR,Health Care,Health Care Equipment & Services,,DUS,XDUS,Dusseldorf Stock Exchange,United States,,,,,,US29415F1049,29415F104,BBG00Q9B5CH8,BBG00Q9B5CC3,BBG00LN4B6D9,False
0IIB.DU,NOTES 80 SILBER ETC,NOTES 80 SILBER ETC is an exchange-traded commodity (ETC) that tracks the price of silver. The ETC is structured as a debt instrument (note) and is collateralized with physical silver holdings. Investors use this ETC to gain exposure to silver price movements without directly owning the metal.,EUR,Financials,Banks,,DUS,XDUS,Dusseldorf Stock Exchange,United States,,,,,,,29476L107,,,,False
0JS.DU,MEDMEN ENTERPRISES,"MEDMEN ENTERPRISES is a cannabis company that cultivates, processes, distributes, and retails cannabis products. MedMen operates retail stores in several US states and offers a variety of cannabis brands and products. The company is focused on providing a premium retail experience for cannabis consumers.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,DUS,XDUS,Dusseldorf Stock Exchange,United States,,,,,,CA58507M1077,58507M107,BBG00L7M6F61,BBG00L7M6F43,BBG001S70L13,False
