symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
0029N.NX,SP500/NATIXIS WT18,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A013T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A02BB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A03BB.NX,,,,,,,ENX,,Euronext,,,,,,,,,,,,False
A043T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A044T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A050T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A051T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A052T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A06BB.NX,,,,,,,ENX,,Euronext,,,,,,,,,,,,False
A09BB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A0ICB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A0JCB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A0KCB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A0UBB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A12BB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A131T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A132T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A13BB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A14BB.NX,,,,,,,ENX,,Euronext,,,,,,,,,,,,False
A15BB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A169V.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A16BB.NX,,,,,,,ENX,,Euronext,,,,,,,,,,,,False
A18BB.NX,,,,,,,ENX,,Euronext,,,,,,,,,,,,False
A19BB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A1ACB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A1GCB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A1ICB.NX,,,,,,,ENX,,Euronext,,,,,,,,,,,,False
A1KCB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A1TBB.NX,,,,,,,ENX,,Euronext,,,,,,,,,,,,False
A1UBB.NX,,,,,,,ENX,,Euronext,,,,,,,,,,,,False
A22BB.NX,,,,,,,ENX,,Euronext,,,,,,,,,,,,False
A235T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A236V.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A23BB.NX,,,,,,,ENX,,Euronext,,,,,,,,,,,,False
A246V.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A24BB.NX,,,,,,,ENX,,Euronext,,,,,,,,,,,,False
A25BB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A26BB.NX,,,,,,,ENX,,Euronext,,,,,,,,,,,,False
A270T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A273T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A275T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A278V.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A280V.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A284V.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A287V.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A28BB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A291T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A292T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A2GCB.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A2UBB.NX,,,,,,,ENX,,Euronext,,,,,,,,,,,,False
A300V.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A305V.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A307V.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A308T.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
A30BB.NX,,,,,,,ENX,,Euronext,,,,,,,,,,,,False
A310V.NX,,,EUR,,,,ENX,,Euronext,,,,,,,,,,,,False
