symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
1771.F,"Nippon Kanryu Industry Co., Ltd.","Nippon Kanryu Industry Co., Ltd. engages in the construction business. The company is involved in the traffic safety facilities, landscape, and other construction works, as well as civil engineering, law related disaster prevention, and river and sabo related works. It also sells materials related to various construction works; disaster prevention goods; and industrial safety and health supplies, as well as provides structure repair related services. In addition, the company produces chemicals, such as insoluble sulfur, as well as manufactures natural soil herbs. Nippon Kanryu Industry Co., Ltd. was founded in 1939 and is headquartered in Fukuoka, Japan.",JPY,Industrials,Capital Goods,Construction & Engineering,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Fukuoka,812-0054,http://www.kanryu.co.jp,Nano Cap,,,BBG000GJ40N0,BBG000GJ3XK2,BBG001S8W0K1,False
1802.F,Obayashi Corp.,"Obayashi Corporation engages in the construction business in Japan, North America, Asia, the Middle East, Europe, and Oceania. The company constructs buildings, including offices, condominiums, commercial facilities, factories, hospitals, and schools; and civil engineering projects, such as tunnels, bridges, dams, riverbanks, railroads, and expressways. It is also involved in the development and leasing of real estate properties in various locations, primarily in metropolitan areas, as well as property management activities; solar, biomass, hydropower, geothermal, and wind power generation business; and PPP and agriculture business. In addition, the company sells materials and equipment for construction; develops and sells computer software; sells and leases electronic equipment; offers finance-related services; and operates golf clubs. Further, it engages in the provision of urban development, contracted engineering, management, consultancy services, etc.; and is involved in the M&E design and construction activities. The company was founded in 1892 and is headquartered in Tokyo, Japan.",JPY,Industrials,Capital Goods,Construction & Engineering,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Tokyo,108-8502,http://www.obayashi.co.jp,Mid Cap,JP3190000004,,BBG000BFRGV4,BBG000BFRCY0,BBG001S6B3Q6,False
1999.F,Saita Corporation,"Saita Corporation engages in the construction and crushed stone businesses in Japan. It undertakes various civil work projects, such as roads, rivers, land construction, water and sewerage, agricultural civil engineering, and disaster restoration. The company also produces and sells liquors, sake, and shochu; and sells imported goods and HFC products. In addition, it engages in water treatment, security, and cargo transportation businesses. Saita Corporation was founded in 1923 and is based in Asakura, Japan.",JPY,Industrials,Capital Goods,Construction & Engineering,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Asakura,838-0016,http://www.saita-hd.co.jp,Nano Cap,,,BBG000D9H2N7,BBG000D9DW91,BBG001S86FC6,False
2058.F,"Higashimaru Co.,Ltd.","Higashimaru Co.,Ltd. produces and sells marine and food products in Japan. It offers yellowtail and mixed feeds for various fish farms; and dried and instant noodles, dish udon, noodle soups, snacks, etc. The company also exports its products to 19 countries. Higashimaru Co., Ltd. was founded in 1947 and is headquartered in Kagoshima, Japan.",JPY,Consumer Staples,Household & Personal Products,Household Products,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Kagoshima,899-2594,http://www.k-higashimaru.co.jp,Nano Cap,,,BBG000C1HH43,BBG000C1HDH8,BBG001SBR6D5,False
2919.F,"Marutai Co.,Ltd.","Marutai Co.,Ltd. produces and sells noodles, seasonings, and confectionery products in Japan. It offers instant, stick-like, cup, and fried noodles; and cupcakes, tildes, assortments, and other products. The company was formerly known as Marutai Taimeido Co., Ltd. and changed its name to Marutai Co.,Ltd. in 1990. Marutai Co.,Ltd. was founded in 1947 and is headquartered in Fukuoka, Japan.",JPY,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Fukuoka,,http://www.marutai.co.jp,Micro Cap,,,BBG000FGGVS1,BBG000FGFQF7,BBG001S8KHB7,False
2974.F,"DAIEISANGYO Co.,Ltd.","DAIEISANGYO Co.,Ltd. engages in the condominium and housing business in Japan. The company primarily sells newly built condominiums and single-family homes. It is also involved in the development and sale of residential land; housing construction contract; and planning and sale of used homes, as well as planning, design, construction of housing renovation projects. DAIEISANGYO Co.,Ltd. was founded in 1968 and is headquartered in Kitakyushu, Japan.",JPY,Real Estate,Real Estate,Real Estate Management & Development,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Kitakyushu,807-0075,http://www.daieisangyo.co.jp,Nano Cap,,,BBG00NZYQHS0,BBG00NZYPR09,BBG00NZYPR18,False
3099.F,Isetan Mitsukoshi Holdings Ltd.,"Isetan Mitsukoshi Holdings Ltd., together with its subsidiaries, engages in the department store business in Japan and internationally. The company operates through four segments: Department Store Business, Credit & Finance/Customer Organization Management Business, Real Estate Business, and Other Business. It is involved in the credit card, insurance, and other businesses; constructs and manages underground garages, public underground passages, and underground shopping malls; leases shops; operates restaurants; operates shares and business management, and online mall and others; commercial and corporate management consulting; and designs, constructs, operates, and leases real estate properties, as well as offers tenant leasing and building maintenance and environment production services. The company also offers employment agency, recruitment office, personnel, education and training, and labor and welfare services, as well as information systems solutions. In addition, it engages in the supermarket, retail, and specialty shops; food production; and wholesaling business, as well as operates airport style duty free shops. Further, the company plans, develops, imports, and sells gifts, novelty, and lifestyle goods; imports and wholesales western wine and spirits, foods, and miscellaneous products; and sells foodstuffs, clothing, and other daily goods. Additionally, it plans, produces, promotes, and sells commercials, video signs, TV programs, movies, plays, entertainment and fashion shows, parties, etc.; engages in advertising agency business; plans and sells travel products and conducts tours; owns and operates river cruise ships; and operates beauty and hair salons and sports clubs, and sells cosmetics. The company was incorporated in 2008 and is headquartered in Tokyo, Japan.",JPY,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Tokyo,160-0022,http://www.imhds.co.jp,Mid Cap,JP3894900004,,BBG000MF3X69,BBG000MF3SX0,BBG001SQBBX6,False
3943.F,"Ohishi Sangyo Co., Ltd.","Ohishi Sangyo Co., Ltd. manufactures and sells industrial packaging materials in Japan. It offers pulp moulds that are used in livestock, agricultural, and industrial applications; and thermoplastic films, such as polystyrene and T-die embossed films, and polyethylene bags, as well as film coatings. The company also provides heavy duty bags, including multi-walled sack kraft bags, which are used for chemicals, plastics, flours, foods, animal feeds, and fertilizers, as well as form fill seals for use in plastics, such as poly-olefins; and corrugated boards that are used for industrial and agricultural applications. In addition, it offers cradle, a container for packing strawberries. The company was founded in 1947 and is based in Kitakyushu, Japan.",JPY,Consumer Discretionary,Retailing,Distributors,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Kitakyushu,805-0068,http://www.osk.co.jp,Micro Cap,,,BBG000BHY1D5,BBG000BHXZ69,BBG001S6CHP5,False
4447.F,"PBsystems,Inc.","PBsystems,Inc. engages in the construction of private cloud systems in Japan. The company offers a virtual system from business system to space. It also manufactures and sells 4D King, a shared 3D VR theater. PBsystems,Inc. was founded in 1997 and is based in Fukuoka, Japan.",JPY,Information Technology,Software & Services,Software,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Fukuoka,812-0007,http://www.pbsystems.co.jp,Nano Cap,,,BBG00PXRP0C7,BBG0032RS466,BBG0032RS475,False
4502.F,Takeda Pharmaceutical Co. Ltd.,"Takeda Pharmaceutical Company Limited engages in the research, development, manufacturing, and marketing of pharmaceutical products, over-the-counter medicines and quasi-drug consumer products, and other healthcare products. It offers pharmaceutical products in the areas of gastroenterology; oncology; neuroscience; and rare diseases, such as rare metabolic and hematology, and heredity angioedema, as well as plasma-derived therapies and vaccines. The company provides its products under the ENTYVIO, GATTEX/REVESTIVE, ALOFISEL, NATPARA, ADYNOVATE/ADYNOVI, TAKHZYRO, ELAPRASE, VPRIV, GAMMAGARD LIQUID/KIOVIG, HYQVIA, CUVITRU, ALBUMIN/FLEXBUMIN, NINLARO, and ALUNBRIG brands. It operates in Japan, the United States, Europe and Canada, Russia/CIS, Latin America, rest of Asia, the Middle East, Oceania, and Africa. The company has licensing agreements with TESARO, Inc., Denali Therapeutics, and Wave Life Sciences Ltd; collaboration agreements with Rani Therapeutics LLC, Novimmune S.A., AB Biosciences Inc., Sosei Group Corporation, and LogicBio Therapeutics, Inc.; strategic collaboration with Prometheus Biosciences, Inc; a license and research agreement with The University of Texas MD Anderson Cancer Center; a research collaboration agreements with Enzyre BV and Cerevance; a collaboration agreement with Artisan Bio, Inc.; and a multi-target rare disease collaboration with Evox Therapeutics Ltd., as well as licensing agreement with ProThera Biologics Inc. It also has a strategic alliance with Egle Therapeutics SAS and Evotec SE; a strategic partnership with Neurocrine Biosciences, Inc.; Carmine Therapeutics and HemoShear Therapeutics, LLC; strategic collaboration with KSQ Therapeutics to research, develop, and commercialize immune-based therapies for cancer; and strategic collaboration with Anima Biotech. Takeda Pharmaceutical Company Limited was founded in 1781 and is headquartered in Tokyo, Japan.",JPY,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Tokyo,103-8668,http://www.takeda.com,Large Cap,JP3463000004,,BBG000BJPSL3,BBG000BJPPH4,BBG001S62G78,False
