symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
001.F,Cardtronics plc,"Cardtronics plc provides automated consumer financial services through its network of automated teller machines (ATMs) and multi-function financial services kiosks. The company offers cash dispensing, balance inquiries, and balance transfers; and financial related services to cardholders, as well as ATM management and ATM equipment-related services to large retail merchants, smaller retailers, financial institutions, and operators of facilities, such as shopping malls, airports, train stations, and casinos. It also provides transaction processing, cash and cash delivery management, supply, and telecommunications, as well as routine and technical maintenance services for ATMs; and owns and operates electronic funds transfer transaction processing platforms that offer transaction processing services to its network of ATMS, as well as other ATMs under managed services arrangements. In addition, the company owns and operates Allpoint network, a surcharge-free ATM network, which offers surcharge-free ATM access to participating banks, credit unions, digital banks, financial technology companies, and stored-value debit card issuers. As of December 31, 2020, it provided services to approximately 269,000 ATMs in North America, Europe, the Asia-Pacific, and Africa. The company was founded in 1989 and is headquartered in Houston, Texas.",EUR,Industrials,Commercial & Professional Services,Commercial Services & Supplies,FRA,XFRA,Frankfurt Stock Exchange,United States,TX,Houston,77042,http://www.cardtronics.com,Small Cap,,,,,,False
00W.F,Aspermont Limited,"Aspermont Limited provides media services to resource industries in Australia, Asia, Europe, the United States, and internationally. The company offers market specific contents through a combination of print, digital media, and face to face networking channels. It provides publications, researches, and events, as well as other publications in partnership with external agencies across various trade sectors, including mining, investment, agriculture, and energy. The company also offers online publications that provide essential news and information directly in desktops, tablets, and smart phones, as well as print publications through tablet and mobile apps. In addition, it runs events and holds conferences. The company is based in Perth, Australia.",EUR,Communication Services,Telecommunication Services,Diversified Telecommunication Services,FRA,XFRA,Frankfurt Stock Exchange,Australia,WA,Perth,6000,http://www.aspermont.com,Micro Cap,AU000000ASP3,,BBG00YVJFMF8,BBG00YVJFMD0,BBG001SF59H0,False
013A.F,"JD.com, Inc. Class A","JD.com, Inc. operates as an e-commerce company and retail infrastructure service provider in the People's Republic of China. It operates in two segments, JD Retail and New Businesses. The company offers home appliances; mobile handsets and other digital products; desktop, laptop, and other computers, as well as printers and other office equipment; furniture and household goods; apparel; cosmetics, personal care items, and pet products; women's shoes, bags, jewelry, and luxury goods; men's shoes, sports gears, and fitness equipment; automobiles and accessories; maternal and childcare products, toys, and musical instruments; and food, beverage, and fresh produce. It also provides gifts, flowers, and plants; pharmaceutical and healthcare products, including OCT pharmaceutical products, nutritional supplements, healthcare services, and other healthcare equipment; books, e-books, music, movie, and other media products; and virtual goods, such as online travel agency, attraction tickets, and prepaid phone and game cards, as well as industrial products and installation and maintenance services. In addition, the company offers an online marketplace for third-party merchants to sell products to customers; and transaction processing and billing, and other services. Further, it provides online marketing services for suppliers, third-party merchants, and other business partners; supply chain and logistics services for various industries; and consumer financing services to individual customers, as well as online-to-offline solutions. JD.com, Inc. offers its products through its website jd.com and mobile apps, as well as directly to customers. As of December 31, 2020, JD.com, Inc. operated fulfillment centers with a network of approximately 900 warehouses in various counties and districts in China. The company has strategic cooperation agreement with Tencent Holdings Limited. JD.com, Inc. was incorporated in 2006 and is headquartered in Beijing, China.",EUR,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,FRA,XFRA,Frankfurt Stock Exchange,China,,Beijing,101111,http://www.jd.com,Large Cap,KYG8208B1014,,BBG00VJFK451,BBG00VJFK433,BBG006GX5509,False
015.F,"Aileron Therapeutics, Inc.","Aileron Therapeutics, Inc. operates as a clinical stage chemoprotection oncology company in the United States. The company is developing ALRN-6924, which is in Phase 1 trial for solid tumor and lymphoma; Phase 2a clinical trial to treat peripheral T-cell lymphoma; Phase I clinical trial for the treatment of acute myeloid leukemia (AML) and advanced myelodysplastic syndrome (MDS); Phase 1b trial to test the combination of ALRN-6924 and cytarabine, or Ara-C, in patients with MDS; and a Phase 2a combination trial of ALRN-6924 and palbociclib in patients with tumors harboring MDM2 amplifications co-amplifications, as well as for patients with p53-mutated small cell lung cancer that has completed Phase 1b clinical trial. Aileron Therapeutics, Inc. has a license agreement with Dana-Farber Cancer Institute and Harvard College; and Umicore Precious Metals Chemistry USA, LLC. The company was formerly known as Renegade Therapeutics, Inc. and changed its name to Aileron Therapeutics, Inc. in February 2007. Aileron Therapeutics, Inc. was incorporated in 2001 and is based in Watertown, Massachusetts.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,FRA,XFRA,Frankfurt Stock Exchange,United States,MA,Watertown,2472,http://www.aileronrx.com,Micro Cap,,,,,,True
01H.F,Horiba Ltd.,"HORIBA, Ltd. manufactures and sells automotive test, process and environmental, medical-diagnostics, semiconductor, and scientific instruments and systems. Its Automotive Test Systems segment offers emission measurement systems, driveline test systems, automotive emissions analyzers, engine test and brake test systems, and fuel cell and battery test systems; provides vehicle development engineering and testing engineering services; and leases and manages R&D facilities. The company's Process & Environmental Instruments & Systems segment provides stack gas analyzers, industrial water quality analyzers, water quality analysis and examination systems, air pollution analyzers, environmental radiation monitors, and process measurement equipment. Its Medical-Diagnostic Instruments & Systems segment offers hematology and CRP, immunology, clinical chemistry, and blood glucose analyzers. The company's Semiconductor Instruments & Systems segment provides mass flow controllers, chemical concentration monitors, reticle/mask particle detection systems, residual gas analyzers, and vaporizers. Its Scientific Instruments & Systems segment offers Raman spectrometers, pH meters, particle-size distribution analyzers, X-Ray fluorescence analyzers, elemental analyzers, fluorescence spectroscopy/fluorescence lifetime spectroscopy, optical components, spectrometers and detectors, and gratings. HORIBA, Ltd. was founded in 1945 and is headquartered in Kyoto, Japan.",EUR,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",FRA,XFRA,Frankfurt Stock Exchange,Japan,,Kyoto,601-8510,http://www.horiba.com,Mid Cap,JP3853000002,,BBG000GJYRH5,BBG000GJYR58,BBG001S6FR34,False
01K.F,Keller Group plc,"Keller Group plc provides geotechnical solutions in North America, Europe, the Middle East, Africa, and the Asia-Pacific. The company offers ground improvement services to prepare the ground for new construction projects and to reduce the risk of liquefaction in the areas of seismic activity; and grouting services, which enhance target areas in the ground, and controls ground water flow through rocks and soils by reducing their permeability. It also provides heavy foundation solutions, including bored, CFA, driven piling, marine, and near shore structures, as well as underpin solutions; and earth retention systems that are used to solve a range of geotechnical solutions comprising slope stabilization and excavation support. In addition, the company offers post-tension cable systems, which are used to reinforce concrete foundations and structural spans; and instrumentation and monitoring solutions for various applications. Keller Group plc provides its services to the construction sector in infrastructure, industrial, commercial residential, and environmental projects. The company was founded in 1860 and is headquartered in London, the United Kingdom.",EUR,Industrials,Capital Goods,Construction & Engineering,FRA,XFRA,Frankfurt Stock Exchange,United Kingdom,,London,W2 6TT,http://www.keller.com,Small Cap,,,BBG000QJVGY2,BBG000QJVGG2,BBG001S7WWP8,False
01P.F,"Medpace Holdings, Inc.","Medpace Holdings, Inc. provides clinical research-based drug and medical device development services in North America, Europe, and Asia. The company offers a suite of services supporting the clinical development process from Phase I to Phase IV in various therapeutic areas. It also provides clinical development services to the biotechnology, pharmaceutical, and medical device industries; and development plan design, coordinated central laboratory, project management, regulatory affairs, clinical monitoring, data management and analysis, pharmacovigilance new drug application submissions, and post-marketing clinical support services. The company also provides bio-analytical laboratory services, clinical human pharmacology, imaging services, and electrocardiography reading support for clinical trials. Medpace Holdings, Inc. was founded in 1992 and is based in Cincinnati, Ohio.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,FRA,XFRA,Frankfurt Stock Exchange,United States,OH,Cincinnati,45227,http://www.medpace.com,Mid Cap,US58506Q1094,58506Q109,BBG00DLDCCQ1,BBG00DLDCCP2,BBG0065B7K40,False
01R.F,DataWalk S.A.,"DataWalk S.A. operates as a software company in Poland. The company offers DataWalk, a software platform for data blending, analysis, and investigations. Its solutions include anti-money laundering, bank fraud, insurance fraud, intelligence analysis software, law enforcement, procurement fraud, analytics sandbox, and rapid deployment data analysis platform. The company is based in Wroclaw, Poland.",EUR,Information Technology,Software & Services,Software,FRA,XFRA,Frankfurt Stock Exchange,Poland,,Wroclaw,50-130,http://www.datawalk.pl,Micro Cap,,,BBG00ZHRDY87,BBG00ZHRDY78,BBG00363T0V4,False
024.F,Mastermyne Group Limited,"Mastermyne Group Limited provides contracting services to the underground long wall mining operations and industrial products and services in coalfields and supporting industries of Queensland and New South Wales, Australia. The company offers various mining services and equipment to the coal mining industry including, new mine development, mine operation, roadway development, conveyors, outbye, ventilation, secondary support, long wall relocations, polymeric emergency strata consolidation, production and ancillary equipment, and mining consumables. It also provides acrow props; cable-hanging brackets; geosorb, quick drive cement, road salt, and safe mark paints; pigtails and brackets, and structure and leg pins; dewatering products comprising snorebox, strainers, and suction strainers; poly droppers, poly sticks, and reflective streamers; spear and trickle dusters; and cable hanging crooks, life line products, and measuring sticks. In addition, the company offers nuts, pipe hanging brackets, pogo sticks and snap jacks, rollers, shoulder pipes and manifolds, ventilation products, visi clips, and webbing straps. Further, it provides training and consulting services; design and engineering services; and manages and maintains mining projects. Additionally, the company engages in machinery hire activities. Mastermyne Group Limited was founded in 1996 and is headquartered in Mackay, Australia.",EUR,Materials,Materials,Metals & Mining,FRA,XFRA,Frankfurt Stock Exchange,Australia,QLD,Mackay,4740,http://www.mastermyne.com.au,Micro Cap,,,BBG000QWJ1J7,BBG000QWJ081,BBG001T6YKF4,False
02B.F,"BlackLine, Inc.","BlackLine, Inc. provides cloud-based solutions to automate and streamline accounting and finance operations in the United States and internationally. It offers financial close management solutions that include account reconciliations providing a centralized workspace from which users can collaborate to complete account reconciliations; transaction matching that analyzes and reconciles high volumes of individual transactions from different sources of data based upon user-configured logic; task management, which enables users to create and manage processes and task lists; journal entry that allows users to manually or automatically generate, review, and post manual journal entries; variance analysis that monitors and identifies anomalous fluctuations in balance sheet and income statement account balances; consolidation integrity manager that manages the automated system-to-system tie-out process that occurs during the consolidation phase of the financial close; and compliance that facilitates compliance-related initiatives, consolidates project management, and provides visibility over control self-assessments and testing. The company also provides cash application that drives end-to-end process from an invoice to cash in the bank. In addition, it offers intercompany workflow that stores permissions by entity and transaction type, ensuring that both the initiator and the approver of the intercompany transaction are authorized to conduct business; intercompany processing, which records an organization's intercompany transactions; and netting and settlement that generates a real-time, aggregated settlement matrix, which shows the balance of transactions across an entire organization. The company sells its solutions primarily through direct sales force to multinational corporations, large domestic enterprises, and mid-market companies across various industries. BlackLine, Inc. was founded in 2001 and is headquartered in Woodland Hills, California.",EUR,Information Technology,Software & Services,Software,FRA,XFRA,Frankfurt Stock Exchange,United States,CA,Woodland Hills,91367,http://www.blackline.com,Mid Cap,US09239B1098,09239B109,BBG00F5DX7M6,BBG00F5DX7L7,BBG0029KJVD8,False
