symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
05Y.DE,Vivoryon Therapeutics N.V.,"Vivoryon Therapeutics N.V., a clinical stage biopharmaceutical company, engages in the research and development of therapeutic products for the treatment of Alzheimer's disease. Its pipeline products target toxic pyroglutamate-Abeta (pGlu-Abeta), which inhibits the production of pGlu-Abeta. The company's lead product candidate is PQ912, a small molecule QC inhibitor that has completed Phase IIb clinical trials for use in the treatment of Alzheimer's disease; and for the treatment of cancer. Its preclinical development product is PQ1565, a small molecule glutaminyl-peptide cyclotransferase-like inhibitor for the treatment of cancer. In addition, the company is developing a monoclonal antibody targeting pGlu-Abeta to enhance its clearance. Vivoryon Therapeutics N.V. has a research collaboration agreement with University Medical Center Schleswig-Holstein to discover and develop therapeutics in cancer immunotherapy; collaboration agreement with Nordic Bioscience for the clinical development of PQ912 for Alzheimer's disease; and research collaboration with the Fraunhofer Institute for cell therapy and immunology. Vivoryon Therapeutics N.V. was founded in 1997 and is headquartered in Halle, Germany.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,GER,XETR,XETRA,Germany,,Halle,6120,http://www.vivoryon.com,Small Cap,NL00150002Q7,,,,,False
07G.DE,"FLEETCOR TECHS  DL -,001","FleetCor Technologies, Inc. provides payment solutions to businesses, primarily in the fleet, lodging, and fuel industries. The company offers fuel cards, corporate lodging cards, and other payment products and services. FleetCor is headquartered in Atlanta, Georgia.",EUR,Financials,Diversified Financials,,GER,XETR,XETRA,United States,,,,,,US3390411052,339041105,,,,False
096.DE,"HubSpot, Inc.","HubSpot, Inc. provides a cloud-based marketing and sales software platform. Its platform provides tools and integrations for attracting website visitors, converting leads, closing customers, and managing customer relationships. The company is headquartered in Cambridge, Massachusetts.",EUR,Information Technology,Software & Services,,GER,XETR,XETRA,United States,,,,,,US4435731009,443573100,BBG0078X8HZ9,BBG0078X8HW2,BBG001T53670,False
0CG.DE,"CHEGG INC.  DL -,001","CHEGG INC. DL -,001 is an online learning platform that provides students with academic support, including homework help, textbook solutions, and online tutoring. The company offers subscription-based services to students in high school and college and is headquartered in Santa Clara, California.",EUR,Information Technology,Software & Services,,GER,XETR,XETRA,United States,,,,,,,,,,,False
0HV.DE,Envista Holdings Corporation,"Envista Holdings Corporation is a global family of more than 30 trusted dental brands, united by a shared purpose: to partner with professionals to improve lives. Envista serves customers worldwide with a broad range of dental consumables, equipment, and technology. Envista Holdings Corporation is headquartered in Brea, California.",EUR,Health Care,Health Care Equipment & Services,,GER,XETR,XETRA,United States,,,,,,US29415F1049,29415F104,,,,False
0IIB.DE,GPF Physical Silver ETC,GPF Physical Silver ETC is an exchange-traded commodity (ETC) that tracks the price of physical silver. Each unit of the ETC is backed by physical silver held in secure storage. The ETC provides investors with a convenient way to gain exposure to the silver market without directly owning the metal.,EUR,Financials,Banks,,GER,XETR,XETRA,United States,,,,,,,29476L107,,,,False
0IIC.DE,GPF Physical Platinum ETC,GPF Physical Platinum ETC is an exchange-traded commodity (ETC) designed to track the spot price of physical platinum. The ETC provides investors with a simple and cost-efficient way to invest in platinum without the need to physically store the metal. The fund is backed by physical platinum held in vaults.,EUR,Financials,Banks,,GER,XETR,XETRA,,,,,,,,,,,,True
0PY.DE,"Paycom Software, Inc.","Paycom Software, Inc. provides cloud-based human capital management (HCM) solution delivered as software-as-a-service for small to mid-sized companies in the United States. It offers functionality and data analytics that businesses need to manage the employment life cycle from recruitment to retirement. The company's HCM solution provides a suite of applications in the areas of talent acquisition, including applicant tracking, candidate tracker, background checks, on-boarding, e-verify, and tax credit services; and time and labor management, such as time and attendance, scheduling/schedule exchange, time-off requests, labor allocation, labor management reports/push reporting, and geofencing/geotracking. Its HCM solution also offers payroll applications comprising payroll and tax management, Paycom pay, expense management, mileage tracker/fixed and variable rates, garnishment management, and GL concierge applications; and talent management applications that include employee self-service, compensation budgeting, performance management, and Paycom learning, course content, and subscriptions, as well as my analytics, which offer employment predictor reporting. In addition, the company's HCM solution provides HR management applications comprising manager on-the-go that gives supervisors and managers the ability to perform a variety of tasks, such as approving time-off requests and expense reimbursements; direct data exchange; ask here, a tool for direct line of communication to ask work-related questions; document and checklist; government and compliance; benefits administration/benefits to carrier; COBRA administration; personnel action forms; surveys; and affordable care act applications. Paycom Software, Inc. was founded in 1998 and is headquartered in Oklahoma City, Oklahoma.",EUR,Information Technology,Software & Services,Software,GER,XETR,XETRA,United States,OK,Oklahoma City,73142,http://www.paycom.com,Large Cap,US70432V1026,70432V102,,,,False
0S6.DE,Cerence Inc.,"Cerence Inc. provides AI-powered assistants and innovations for connected and autonomous vehicles It offers edge software components; cloud-connected components; toolkits; applications; and virtual assistant coexistence and professional services. The company also provides conversational artificial intelligence, including voice recognition, natural language understanding, and artificial intelligence services. Cerence Inc. is headquartered in Burlington, Massachusetts.",EUR,Information Technology,Software & Services,Software,GER,XETR,XETRA,United States,MA,Burlington,1803,http://www.cerence.com,Mid Cap,US1567271093,156727109,,,,False
0ZC.DE,"Zscaler, Inc.","Zscaler, Inc. operates as a cloud security company worldwide. The company provides Zscaler Internet Access solution that provides users, servers, operational technology, internet of things, and device secure access to externally managed applications, including software-as-a-service (SaaS) applications and internet destinations; and Zscaler Private Access solution, which is designed to provide access to internally managed applications, either hosted internally in data centers, and private or public clouds. It also offers Zscaler Digital Experience that measures end-to-end user experience across key business applications, providing an easy to understand digital experience score for each user, application, and location within an enterprise. In addition, the company provides workload segmentation solutions comprising Zscaler Cloud Security Posture Management that identifies and remediates application misconfigurations in SaaS, infrastructure as a service, and platform as a service to reduce risk and ensure compliance with industry and organizational benchmarks; and Zscaler Cloud Workload Segmentation, which is designed to secure application-to-application communications inside public clouds and data centers to stop lateral threat movement, as well as to prevent application compromise and reduce the risk of data breaches. Its platform includes Zscaler Central Authority, Zscaler Enforcement Node, and Zscaler Nanolog Server modules. Zscaler, Inc. serves customers in various industries, such as airlines and transportation, conglomerates, consumer goods and retail, financial services, healthcare, manufacturing, media and communications, public sector and education, technology, and telecommunications services. The company was formerly known as SafeChannel, Inc., and changed its name to Zscaler, Inc. in August 2008. Zscaler, Inc. was founded in 2007 and is headquartered in San Jose, California.",EUR,Information Technology,Software & Services,Software,GER,XETR,XETRA,United States,CA,San Jose,95134,http://www.zscaler.com,Large Cap,US98980G1022,98980G102,BBG00KBGG9Z2,BBG00KBGG9W5,BBG003338H61,False
