symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
00W.HM,Aspermont Limited,"Aspermont Limited provides information, data, and advertising solutions to the global resource industries. The company's main offerings include business-to-business media, events, and intelligence services focused on mining, agriculture, energy, and other resource sectors, with headquarters in Perth, Australia. They connect businesses with industry insights and market opportunities.",EUR,Communication Services,Media & Entertainment,,HAM,XHAM,Hamburg Stock Exchange,Australia,,,,,,AU000000ASP3,,BBG00YVJFMP7,BBG00YVJFMD0,BBG001SF59H0,False
013A.HM,JD.COM SP.ADR A1 DL-00002,"JD.com is a Chinese e-commerce company operating an online retail platform. It offers a wide range of products, including electronics, home appliances, apparel, and books to consumers in China. The company is headquartered in Beijing, China.",EUR,Consumer Discretionary,Retailing,,HAM,XHAM,Hamburg Stock Exchange,China,,,,,,,,,,,False
02V.HM,"Village Farms International, Inc.","Village Farms International, Inc. is a vertically integrated greenhouse grower in North America focused on high-value, branded consumer products. They produce and supply fresh produce, cannabis, and hemp products. The company is headquartered in Delta, British Columbia, Canada.",EUR,Consumer Staples,"Food, Beverage & Tobacco",,HAM,XHAM,Hamburg Stock Exchange,Canada,,,,,,CA92707Y1088,92707Y108,BBG00HVW23D4,BBG00HVW2335,BBG001S5VXJ8,False
0KE.HM,Kernel Holding S.A.,"Kernel Holding S.A. is a diversified agribusiness company operating in Ukraine and other countries, primarily involved in the production and export of sunflower oil, agricultural products, and grain. It is one of the largest sunflower oil producers in the world, and is involved in farming, crushing, and grain handling. The company is headquartered in Luxembourg",EUR,Consumer Staples,"Food, Beverage & Tobacco",,HAM,XHAM,Hamburg Stock Exchange,Ukraine,,,,,,LU0327357389,,,BBG00328M0H0,BBG001SQRHJ2,False
0NFA.HM,MYDECINE INNOVAT.GRP,,EUR,,,,HAM,XHAM,Hamburg Stock Exchange,Canada,,,,,,,,,,,False
0O9.HM,"NIU TECH. ADR/2 A -,0001","NIU TECH. ADR/2 A -,0001",EUR,,,,HAM,XHAM,Hamburg Stock Exchange,China,,,,,,,65481N100,BBG00M977H74,BBG00M977GY6,BBG00M37BSW3,False
0QJ.HM,HEXAGON PURUS ASA,"Hexagon Purus ASA develops and manufactures hydrogen systems for fuel cell electric vehicles (FCEVs), compressed natural gas (CNG), biogas, and other gases. The company designs and delivers composite pressure vessels, fuel systems, and related technologies to enable the transition to zero-emission transportation. Hexagon Purus is headquartered in Ålesund, Norway.",EUR,Energy,Energy,,HAM,XHAM,Hamburg Stock Exchange,Norway,,,,,,NO0010904923,,BBG00YHJ5QS2,BBG00YHJ5QH4,BBG00WXXDZG1,False
0XD.HM,Reconnaissance Energy Africa Ltd.,"Reconnaissance Energy Africa Ltd. is a Canadian oil and gas exploration company. The company is focused on exploring for oil and gas in the Kavango Basin in northeastern Namibia and northwestern Botswana. Reconnaissance Energy Africa Ltd. is headquartered in Vancouver, Canada.",EUR,Energy,Energy,,HAM,XHAM,Hamburg Stock Exchange,Canada,,,,,,CA75624R1082,75624R108,BBG00QS4H969,BBG00QS4H8X1,BBG001SBJLL2,False
0YYA.HM,JOYY Inc.,"JOYY Inc., through its subsidiaries, operates a social media platform in the People's Republic of China and internationally. The company operates live streaming platforms, including YY Live, an interactive and comprehensive live streaming social media platform offering music and dance shows, talk shows, outdoor activities, and sports and anime; Bigo Live, which enables users to live stream their specific moments and talk live with each other; and Huya, a game live streaming platform. It also operates short-form video platform, such as Likee, a short-form video social platform that produces, uploads, views, shares, and comments on short-form videos on a daily basis. In addition, the company operates imo, a video communication platform; and Hago, a casual-game-oriented social platform that integrates various social features, such as live streaming chatrooms and karaoke. The company was formerly known as YY Inc. and changed its name to JOYY Inc. in December 2019. JOYY Inc. was founded in 2005 and is headquartered in Guangzhou, the People's Republic of China.",EUR,Communication Services,Telecommunication Services,Diversified Telecommunication Services,HAM,XHAM,Hamburg Stock Exchange,China,,Guangzhou,511442,http://www.huanju.cn,Mid Cap,CA98561L1085,98561L108,,,,False
10E.HM,APHRIA INC.,"Aphria Inc. is a global cannabis company producing and distributing cannabis for medical and recreational use. The company's products include dried flower, cannabis oils, and cannabis-infused products. Aphria is headquartered in Leamington, Ontario, Canada.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,HAM,XHAM,Hamburg Stock Exchange,Canada,,,,,,,,,,,False
