symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
0NFA.HA,MYDECINE INNOVAT.GRP,,EUR,,,,HAN,XHAN,Hanover Stock Exchange,Canada,,,,,,,,,,,False
10E.HA,APHRIA INC.,"Aphria Inc. is a global cannabis company producing and distributing cannabis for medical and recreational use. The company's products include dried flower, cannabis oils, and cannabis-infused products. Aphria is headquartered in Leamington, Ontario, Canada.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,HAN,XHAN,Hanover Stock Exchange,Canada,,,,,,,,,,,False
185.HA,ALCOA CORP. O.N.,,EUR,,,,HAN,XHAN,Hanover Stock Exchange,United States,,,,,,US0138721065,013872106,BBG00F5NPYR9,BBG00F5NPYH0,BBG00B3T3HF1,False
1AEA.HA,"ARGENS SE SP.ADR/1  -,10",,EUR,,,,HAN,XHAN,Hanover Stock Exchange,Netherlands,,,,,,US04016X1019,04016X101,BBG00M18Y4G9,BBG00M18Y460,BBG00GHB88Y8,False
1BR1.HA,"URW (STAPLED SHS)  EO-,05","Unibail-Rodamco-Westfield (URW) is a real estate company that owns, develops, and manages shopping centers and office properties in Europe and the United States. The company's portfolio includes flagship shopping destinations and prime office buildings. URW is headquartered in Paris, France.",EUR,Real Estate,Real Estate,,HAN,XHAN,Hanover Stock Exchange,France,,,,,,,,BBG00L2Z0MT3,BBG00L2Z0MK2,BBG00L16DLC4,False
1QZ.HA,"COINBASE GLB.CL.A -,00001","Coinbase Global, Inc. operates a cryptocurrency exchange platform. The company enables users to buy, sell, and store various cryptocurrencies. Coinbase is headquartered in San Francisco, California.",EUR,Information Technology,Software & Services,,HAN,XHAN,Hanover Stock Exchange,United States,,,,,,,19260Q107,BBG00ZYVY4G3,BBG00ZYVY464,BBG00ZGF7799,False
1T9.HA,Tarkett S.A.,"Tarkett S.A., a flooring company, provides flooring and sports surface solutions to business and residential end users worldwide. The company's products include heterogeneous and homogeneous vinyl, laminate, wood, carpet rolls and tiles, linoleum, and artificial grass and tracks. It offers its products for use in the home, education, workplace, health and aged care, store and shop, hospitality, travel, leisure, marine, aviation, transport, industry, and sports and wellness market segments. The company was founded in 1886 and is based in Paris, France. Tarkett S.A. is a subsidiary of Societe Investissement Deconinck.",EUR,Industrials,Capital Goods,Building Products,HAN,XHAN,Hanover Stock Exchange,France,,Paris,92919,http://www.tarkett.com,Small Cap,,,BBG005MNP130,BBG005MNP0V1,BBG001SRHKF8,True
1UB.HA,COGNETIVITY NEUROC. LTD,COGNETIVITY NEUROC. LTD is a medical technology company. It focuses on developing cognitive assessment tools for the early detection of neurological disorders. The company is headquartered in Israel.,EUR,Health Care,Health Care Equipment & Services,,HAN,XHAN,Hanover Stock Exchange,Canada,,,,,,CA19243C1005,19243C100,BBG00KTNZBY3,BBG00KTNZBP3,BBG00JNH70R8,False
1WO.HA,Workhorse Group Inc.,"Workhorse Group Inc., a technology company, designs, manufactures, builds, and sells battery-electric vehicles and aircraft in the United States. The company also develops cloud-based and real-time telematics performance monitoring systems that enable fleet operators to optimize energy and route efficiency. It offers electric and range-extended medium-duty delivery trucks under the Workhorse brand; and HorseFly Unmanned Aerial System, a custom-designed purpose-built all-electric drone system. The company was formerly known as AMP Holding Inc. and changed its name to Workhorse Group Inc. in April 2015. Workhorse Group Inc. was founded in 2007 and is headquartered in Loveland, Ohio.",EUR,Consumer Discretionary,Automobiles & Components,Automobiles,HAN,XHAN,Hanover Stock Exchange,United States,OH,Loveland,45140,http://www.workhorse.com,Small Cap,US98138J2069,98138J206,BBG00BWPWT32,BBG00BWPWST6,BBG001SD7PS5,False
1WZ1.HA,Thoughtful Brands Inc.,"Mota Ventures Corp., together with its subsidiaries, operates in the cannabidiol (CBD) e-commerce business. It provides CBD hemp-oil formulations and cosmetics. The company offers its products under the Nature's Exclusive, First Class, and Sativida brands in the United States and Europe. Mota Ventures Corp. is headquartered in Vancouver, Canada.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,HAN,XHAN,Hanover Stock Exchange,Canada,BC,Vancouver,V6E 3T5,http://www.thoughtful-brands.com,Nano Cap,,,,,,False
