symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
AALLON.HE,Aallon Group Oyj,"Aallon Group Oyj provides accounting services to companies operating in Finland. It offers day-to-day financial management services from accounting to payroll, in digital and monthly invoicing services; tax advice, legal, employment counseling, and business advisory services; financial management services; and specialized industry solutions to the IT industry, venture capital companies, foundations, construction, and real estate companies. Aallon Group Oyj is based in Helsinki, Finland.",EUR,Industrials,Commercial & Professional Services,Professional Services,HEL,XHEL,NASDAQ OMX Helsinki,Finland,,Helsinki,240,http://aallongroup.fi,Nano Cap,,,,,,False
ACG1V.HE,Aspocomp Group Oyj,"Aspocomp Group Oyj manufactures and sells printed circuit boards (PCBs) in Finland, Europe, and internationally. It offers high density interconnection, multilayer, high speed digital, advanced high density interconnection, and high frequency PCBs, as well as PCBs with component cooling. The company's PCB's are used in various applications in automotive electronics, semiconductor industry, telecommunication infrastructure, and industrial electronics as well as security, and defense and aerospace sectors. It also provides design support, logistics, volume supply, and PCB trading services. Aspocomp Group Oyj was founded in 1999 and is headquartered in Espoo, Finland.",EUR,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",HEL,XHEL,NASDAQ OMX Helsinki,Finland,,Espoo,2150,http://aspocomp.com,Nano Cap,,,BBG000C2G147,BBG000C2G0Y6,BBG001SD9FB3,False
ADMCM.HE,Admicom Oyj,"Admicom Oyj engages in the ERP management system development business in Finland. The company offers cloud based business management system solutions; accounting, payroll, and controller services; and training, and customer support services. It serves building engineers, and construction and industrial professionals. The company was founded in 2004 and is based in JyvÃ¤skylÃ¤, Finland.",EUR,Information Technology,Software & Services,Software,HEL,XHEL,NASDAQ OMX Helsinki,Finland,,Jyvaskyla,40100,http://www.admicom.fi,Small Cap,,,,,,False
AFAGR.HE,Afarak Group Oyj,"Afarak Group Oyj engages in the production and supply of chrome products worldwide. It operates through two segments, FerroAlloys and Speciality Alloys. The Ferro Alloys segment produces chrome ore, charge chrome, medium carbon ferrochrome, and silicomanganese. The Specialty Alloys segment offers specialized low carbon and ultra low carbon ferrochrome. The company also exports chrome ore. It sells its products in the United States, China, Africa, Finland, and Other European Union countries. The company was formerly known as Ruukki Group Plc and changed its name to Afarak Group Plc in July 2013. Afarak Group Oyj is based in Helsinki, Finland.",EUR,Materials,Materials,Metals & Mining,HEL,XHEL,NASDAQ OMX Helsinki,Finland,,Helsinki,100,http://www.afarak.com,Micro Cap,,,BBG000FZV3X8,BBG000FZV3G7,BBG001S8PLB3,False
AHOLA.HE,Oyj Ahola Transport Abp,"Oyj Ahola Transport Abp provides transport services in the Nordic and Baltic countries, Poland, the Czech Republic, and Slovakia. The company offers road transport, special transport, vehicle transport, and IT and logistics services, as well as other services, such as warehousing and customs. Oyj Ahola Transport Abp was founded in 1955 and is headquartered in Kokkola, Finland.",EUR,Industrials,Transportation,Transportation Infrastructure,HEL,XHEL,NASDAQ OMX Helsinki,Finland,,Kokkola,67701,http://www.aholatransport.com,Nano Cap,,,,,,False
AKTIA.HE,Aktia Pankki Oyj,"Aktia Pankki Oyj provides banking and financing solutions to individuals, corporates, and institutions in Finland. It operates through three segments: Banking Business, Asset Management, and Group Functions. The company offers banking, savings, financing, financial advisory, and investment advice services. It also provides life insurance, disability, and severe illness insurance products, as well as asset management services. The company serves its customers through 14 branch offices, as well as through Internet and telephone services. The company was founded in 1825 and is headquartered in Helsinki, Finland.",EUR,Financials,Banks,Banks,HEL,XHEL,NASDAQ OMX Helsinki,Finland,,Helsinki,100,http://www.aktia.fi,Small Cap,,,,,,False
ALBAV.HE,Alandsbanken Abp,"Ãlandsbanken Abp operates as a commercial bank in Finland and Sweden. Its deposit products include savings accounts, time deposits, cash accounts connected to securities accounts, certificates of deposit, index bonds, and debentures issued to the public. The company provides home mortgage loans, securities account loans, loans for business operations, and loans for other household purposes to private individuals; loans to companies, public sector entities, and household interest organizations; and credit and debit cards, as well as lending and guarantee commissions. It also offers investment services, such as discretionary and advisory asset management, fund management, and securities brokerage products and services, as well as cashier and payment intermediate services, bank safety deposit boxes, etc. In addition, it supplies banking computer systems for small and medium-sized banks. The company operates through 10 offices. Ãlandsbanken Abp was founded in 1919 and is headquartered in Mariehamn, Finland.",EUR,Financials,Banks,Banks,HEL,XHEL,NASDAQ OMX Helsinki,Finland,,Mariehamn,22100,http://www.alandsbanken.fi,Small Cap,,,BBG000BR6NM6,BBG000BR6N64,BBG001SBV2R4,False
ALBBV.HE,Alandsbanken Abp,"Ãlandsbanken Abp operates as a commercial bank in Finland and Sweden. Its deposit products include savings accounts, time deposits, cash accounts connected to securities accounts, certificates of deposit, index bonds, and debentures issued to the public. The company provides home mortgage loans, securities account loans, loans for business operations, and loans for other household purposes to private individuals; loans to companies, public sector entities, and household interest organizations; and credit and debit cards, as well as lending and guarantee commissions. It also offers investment services, such as discretionary and advisory asset management, fund management, and securities brokerage products and services, as well as cashier and payment intermediate services, bank safety deposit boxes, etc. In addition, it supplies banking computer systems for small and medium-sized banks. The company operates through 10 offices. Ãlandsbanken Abp was founded in 1919 and is headquartered in Mariehamn, Finland.",EUR,Financials,Banks,Banks,HEL,XHEL,NASDAQ OMX Helsinki,Finland,,Mariehamn,22100,http://www.alandsbanken.fi,Small Cap,,,BBG000BR6Q58,BBG000BR6PL2,BBG001SBV2S3,False
ALMA.HE,Alma Media Oyj,"Alma Media Oyj, a media company, provides digital and publishing services in Finland and internationally. It operates through four reporting segments: Alma Markets, Alma Talent, Alma News & Life, and Alma Regions. The Alma Markets segment offers recruitment services through the Monster.fi, Jobs.cz, Prace.cz, CV Online, Profesia.sk, MojPosao.net, Monster.hu, Monsterpolska.pl, Monster.cz, and Jobote.com sites; housing-related services through the Etuovi.com, Vuokraovi.com, and Urakkamaailma.fi sites; and automotive services through the Autotalli.com, Autosofta, and Alkali sites. This segment operates Gofinland.fi, a travel portal; Nettikoti, which specializes in software for ERP systems in construction and renovation; and Kivi, a real estate agency system. The Alma Talent segment publishes trade and financial media, and books; provides skills development and growth services to professionals and businesses in various fields, such as event and training, and information services. The Alma News & Life segment offers digital and print news, and lifestyle contents. The Alma Regions segment is involved in the print and online publishing of Aamulehti, Satakunnan Kansa, Lapin Kansa/Pohjolan Sanomat, and various local and town papers, as well as printing and distribution activities. The company was founded in 2005 and is headquartered in Helsinki, Finland.",EUR,Communication Services,Telecommunication Services,Diversified Telecommunication Services,HEL,XHEL,NASDAQ OMX Helsinki,Finland,,Helsinki,100,http://www.almamedia.fi,Small Cap,FI0009013114,,BBG000BRPNR0,BBG000BRPMD7,BBG001SBRL97,False
ALTIA.HE,Altia Oyj,"Altia Oyj produces, imports, markets, distributes, and sells alcoholic beverages in the Nordic and Baltic countries. It offers wines, spirits, and other beverages; and barley starch, grain sprits, technical ethanol, and feed components, as well as provides contract manufacturing services. The company is also involved in sourcing, logistics and warehousing, and bottling and packaging, as well as distilling, maturation, and blending activities. Its customers include alcohol retail monopolies, alcoholic beverage wholesale outlets, restaurants, and grocery stores, as well as travel trade, importers in the export markets, and industrial customers. The company offers its products under the Leijona, Jaloviina, Blossa, Renault, Saaremaa, O.P. Anderson, Explorer, GrÃ¶nstedts, Koskenkorva, Chill Out, Larsen, and XantÃ© brands, as well as under the partner brands. It exports its products to approximately 30 countries in Europe, Asia, and North America. Altia Oyj was founded in 1888 and is headquartered in Helsinki, Finland.",EUR,Consumer Staples,"Food, Beverage & Tobacco",Beverages,HEL,XHEL,NASDAQ OMX Helsinki,Finland,,Helsinki,180,http://www.altiagroup.com,Small Cap,,,,,,False
