symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
0001.HK,CK Hutchison Holdings Limited,"CK Hutchison Holdings Limited, an investment holding company, operates in ports and related services, retail, infrastructure, energy, and telecommunications businesses worldwide. The company invests in, develops, and operates ports, which operate 283 berths in 52 ports spanning 26 countries; and provides logistics and transportation-related services, such as cruise ship terminals, airport operations, distribution centers, rail services, and ship repair facilities. It also operates a network of 16,167 retail stores that offer personal care, health and beauty products, food and fine wines, consumer electronics, and electrical appliances in Asia and Europe, as well as operates supermarkets; and manufactures and distributes bottled water and beverages under the Watsons Water and Mr. Juicy brands in Hong Kong and Mainland China. In addition, the company invests in energy infrastructure, transportation infrastructure, water infrastructure, waste management, energy-from-waste, household infrastructure, and other infrastructure related businesses primarily in Hong Kong, Mainland China, the United Kingdom, Continental Europe, Australia, New Zealand, and Canada. Further, it provides mobile telecommunications and data services, as well as operates as an integrated energy company in the United States and the Asia Pacific. Additionally, it manufactures and sells pharmaceuticals and healthcare products; researches, develops, manufactures, commercializes, markets, and sells nutraceuticals, pharmaceuticals, and agriculture-related products; provides marine construction and ship repair yard, water and sewerage, gas distribution, and aircraft maintenance services; and leases rolling stocks. CK Hutchison Holdings Limited was incorporated in 2014 and is based in Central, Hong Kong.",HKD,Industrials,Capital Goods,Industrial Conglomerates,HKG,XHKG,Hong Kong Stock Exchange,Hong Kong,,Central,,http://www.ckh.com.hk,Large Cap,KYG217651051,,BBG0087DLDQ6,BBG0087DLDN9,BBG0087DLDP7,False
0004.HK,Wharf (Holdings) Limited,"Founded in 1886 with Hong Kong as its base, The Wharf (Holdings) Limited (Stock code: 0004) is the 17th company incorporated in Hong Kong and a premier company with a long history. As one of the 30 constituent stocks in the original Hang Seng Index since more than 50 years ago, Wharf is among the top local blue chips that is most actively traded and widely held. Backed by a long standing mission of ÂBuilding for TomorrowÂ and a proven track record in management and execution, the Group has produced consistent and productive performance over the years. Subsequent to the separate listing of Wharf Real Estate Investment Company Limited in November 2017 which focuses on its Hong Kong investment properties portfolio, The Wharf (Holdings) Limited's businesses are largely property-related, comprising Investment Properties, Hotels and Development Properties in Hong Kong and Mainland China. Other businesses include Logistics through Modern Terminals and Hong Kong Air Cargo Terminals. Wharf's Peak Portfolio redefines the concept of luxury living with a collection of the rare and most prestigious residences, epitomising a unique and exclusive lifestyle at the most sought-after addresses in town. Besides the highly-acclaimed Mount Nicholson, other properties under development include 1 Plantation Road, 11 Plantation Road and 77 Peak Road. Besides The Peak Portfolio, the development pipeline of Hong Kong Properties also includes the Kowloon Tong Residential Project and projects in Kowloon East. In the Mainland, Wharf spearheads its investment properties with the International Finance Square (IFS) series at the very heart of CBD or new CBD in high potential cities including Changsha, Chengdu, Chongqing, Suzhou and Wuxi. IFS developments are positioned as trendsetting landmarks with unrivalled locations, superior planning and design, retailer and shopper critical mass, as well as top-notch retail management. Changsha IFS, 2018's newest to the collection, and Chengdu IFS opened in 2014 are comparable to Harbour City in Hong Kong in scale and prominence. The boutique Chongqing IFS, featuring the largest cluster of first-tier brands in Chongqing, was opened in 2017. The Group continues to adopt a selective land acquisition policy with strategic focus on key Tier 1 or 2 cities in order to secure high quality land bank with returns. The development property landbank at the end of June 2019 totalled 3.6 million square metres. Wharf Hotels manages an expanding portfolio of 17 hotels in Asia, spearheaded by a prominent Niccolo brand in recent years. The Wharf Hotels owns four contemporary, urban, chic Niccolo hotels (including The Murray, Hong Kong and Niccolo Changsha) and manages 13 Marco Polo hotels in Hong Kong, Mainland China and the Philippines. Niccolo Suzhou is the newest addition under development and is scheduled to open in 2021. The Group also owns and operates Modern Terminals and Hong Kong Air Cargo Terminals, key components in Hong Kong's success as a hub for international trade and international transportation for decades. CME2 is the Group's long-term investment, representing a strategic initiative of reinvesting capital and profit released from the CME1 exit in Hong Kong in a progressive new economy infrastructure CME2 arena that covers much larger markets with greater growth potential. ÂBuilding for TomorrowÂ also extends to Wharf's ÂBusiness-in-CommunityÂ (ÂBICÂ) pursuit. With the flagship school improvement programme ÂProject WecanÂ growing from strength to strength, the Group supports a series of BIC initiatives including Wu Zhi Qiao (Bridge to China) Charitable Foundation, Shanghai International Tower-running Grand Prix and Operation Panda with an aim of promoting BIC and to bring benefits to different segments of society.",HKD,Real Estate,Real Estate,Real Estate Management & Development,HKG,XHKG,Hong Kong Stock Exchange,Hong Kong,,Kowloon,,http://www.wharfholdings.com,Large Cap,,,,,,False
0008.HK,PCCW Limited,"PCCW Limited provides telecommunications and related services in Hong Kong, Mainland and other parts of China, Japan, and internationally. The company's services include local telephony, local data and broadband, mobile and international telecommunications, and satellite-based and network-based telecommunications services; and outsourcing, consulting, and contact center services. It also provides technical support, electronics and communications engineering, and products and solutions, as well as free television, pay television program, and interactive multimedia services; sells advertising in various telephone directories and on the Internet; publishes directories; and sells mobile handsets and accessories. In addition, the company offers broadcasting and related services, management and engineering support services, customer relationship management and customer contact management solutions, content for various media, outsourced call center, and data center services; and over-the-top video services under the Viu brand, as well as sells customer premises equipment and related solutions. Further, it engages in the sale, distribution, and marketing of telecommunication products; supply of broadband internet access solutions and web services; provision of data services; and software development, systems integration, consulting, and informatization activities; the provision of computer and IP/IT related value-added services to business customers; property investment, development, management, and leasing, as well as hotel management activities; and ski operations. Additionally, the company offers digital, IT and business process outsourcing, cloud computing, hosting, managed, e-commerce, and IoT solutions. PCCW Limited was founded in 1925 and is headquartered in Quarry Bay, Hong Kong.",HKD,Communication Services,Telecommunication Services,Diversified Telecommunication Services,HKG,XHKG,Hong Kong Stock Exchange,Hong Kong,,Quarry Bay,,http://www.pccw.com,Mid Cap,Not Available,,,,,False
0009.HK,Keyne Ltd,"Keyne Ltd, an investment holding company, primarily engages in the property and hotel development business in Hong Kong and Mainland China. The company is involved in the property rental and centralized heat supply businesses. It also provides management services. The company was formerly known as Nine Express Limited and changed its name to Keyne Ltd in March 2020. The company was incorporated in 2001 and is headquartered in Causeway Bay, Hong Kong. Keyne Ltd is a subsidiary of Keyne Holdings Ltd.",HKD,Real Estate,Real Estate,Real Estate Management & Development,HKG,XHKG,Hong Kong Stock Exchange,Hong Kong,,Causeway Bay,,http://www.keyneltd.com,Nano Cap,,,,,,False
0010.HK,Hang Lung Group Limited,"Hang Lung Group Limited, an investment holding company, operates as a property developer in Hong Kong and Mainland China. The company operates through Property Leasing and Property Sales segments. It develops properties for sale and lease, such as large-scale commercial, office, and residential developments. The company also develops various properties, including shopping mall, office, residential, serviced apartments, and carparks. Its investment properties portfolio includes Grand Gateway 66, a commercial, office, and residential complex, as well as Plaza 66, a commercial and office complex in Shanghai; Palace 66 and Forum 66 in Shenyang; Parc 66 in Jinan; Center 66 in Wuxi; Riverside 66 in Tianjin; Olympia 66 in Dalian; Spring City 66 in Kunming; Heartland 66 in Wuhan; and Westlake 66. In addition, the company offers car park and property management, securities trading, financial, project management, and property agency services, as well as operates and manages apartment. Hang Lung Group Limited was incorporated in 1960 and is headquartered in Central, Hong Kong.",HKD,Real Estate,Real Estate,Real Estate Management & Development,HKG,XHKG,Hong Kong Stock Exchange,Hong Kong,,Central,,http://www.hanglung.com/en-US/group/home,Mid Cap,,,,,,False
0011.HK,Hang Seng Bank Limited,"Hang Seng Bank Limited, together with its subsidiaries, provides various banking and related financial services to individual, corporate, commercial, small and medium-sized enterprise, and institutional customers in Hong Kong, Mainland China, and internationally. It operates through four segments: Wealth and Personal Banking, Commercial Banking, Global Banking and Markets, and Other. The company offers personal banking services, including current and savings accounts, time deposits, mortgages and personal loans, credit cards, and insurance and wealth management services, as well as consumer lending services. It also provides corporate lending, trade and receivable finance, payments and cash management, treasury and foreign exchange, general insurance, key-person insurance, investment, and corporate wealth management services, as well as general banking, interest rate, foreign exchange, money market, structured, and derivative products, etc. In addition, the company offers retirement benefit, life assurance, fund management, and stock broking services, as well as index compilation and licensing; fund raising and sales; and asset management services. It operates approximately 290 service outlets in Hong Kong; branches in Macau and Singapore; and a representative office in Taipei. Hang Seng Bank Limited, through its subsidiary, Hang Seng Bank (China) Limited, operates a network of outlets in approximately 20 cities in Mainland China. The company was founded in 1933 and is headquartered in Central, Hong Kong. Hang Seng Bank Limited is a subsidiary of The Hongkong and Shanghai Banking Corporation Limited.",HKD,Financials,Banks,Banks,HKG,XHKG,Hong Kong Stock Exchange,Hong Kong,,Central,,http://www.hangseng.com,Large Cap,,,,,,True
0014.HK,Hysan Development Company Limited,"Hysan is a leading property investment, management and development company in Hong Kong, with a portfolio of more than 4 million square feet of high-quality office, retail and residential properties. Operating primarily in the city's prime retail/office district of Causeway Bay, we are focused on delighting our customers and providing investors with outstanding returns.",HKD,Real Estate,Real Estate,Real Estate Management & Development,HKG,XHKG,Hong Kong Stock Exchange,Hong Kong,,Wan Chai,,http://www.hysan.com.hk,Mid Cap,,,,,,False
0018.HK,Oriental Press Group Limited,"Oriental Press Group Limited, an investment holding company, engages in the publication of newspapers in Hong Kong and Australia. The company operates through two segments, Publication of Newspapers and Money Lending Business. The company's flagship publication includes Oriental Daily News, a daily newspaper; and on.cc, a news portal. Its online publications also comprise Oriental Daily News ePaper, Supplement ePaper, on Racing, on Football, Life, Wacky, and Property18. In addition, the company operates Money 18, which provides real-time financial information; ontv, an online television service portal; on.cc Superstar, an entertainment mobile application; orientaldaily.on.cc and on.cc Baby portals; and Ireport, an online blog service. Further, the company engages in the canteen operation, transportation, Website contents production, building management, treasury, human resources services, printing, advertising agency, property holding and investment, and hotel property investment businesses, as well as acts as a Website service provider. Oriental Press Group Limited was founded in 1969 and is headquartered in Tai Po, Hong Kong.",HKD,Communication Services,Telecommunication Services,Diversified Telecommunication Services,HKG,XHKG,Hong Kong Stock Exchange,Hong Kong,,Tai Po,,http://opg.on.cc/tc,Micro Cap,,,,,,False
0019.HK,Swire Pacific Limited,"Swire Pacific Limited engages in property, aviation, beverages, marine services, and trading and industrial businesses in Hong Kong, Mainland China, rest of Asia, the United States, and internationally. Its Property division develops, owns, and operates mixed-use properties. This division's property investment portfolio comprises office and retail premises, serviced apartments, other luxury residential accommodations, and commercial mixed-use developments; and trading portfolio consists of residential properties. It also owns and manages two hotels in Hong Kong and four hotels in Mainland China, as well as owns interests in the Mandarin Oriental hotel in the United States. The company's Aviation division provides scheduled passenger and cargo services, and aviation maintenance and repair services. As of December 31, 2020, it had a fleet of 239 aircraft. Its Beverages division owns rights to manufacture, market, and distribute refreshing soft drinks to consumers. The company's Marine Services division owns and operates offshore support vessels servicing the energy industry in the offshore production and exploration region outside the United States; and has a windfarm installation business, as well as offshore drilling, production, exploration, platform construction, subsea inspection, maintenance, and repair business. It operates a fleet of 61 offshore support vessels. The company's Trading & Industrial division retails and distributes footwear, apparel, and accessories through its 172 retail outlets; sells passenger cars, commercial vehicles, motorcycles, and scooters; operates a chain of 546 bakery stores; packages and sells sugar products under the Taikoo Sugar brand; and offers waste management services. The company was founded in 1816 and is based in Central, Hong Kong.",HKD,Industrials,Capital Goods,Industrial Conglomerates,HKG,XHKG,Hong Kong Stock Exchange,Hong Kong,,Central,,http://www.swirepacific.com,Large Cap,,,,,,False
0022.HK,Mexan Limited,"Mexan Limited, an investment holding company, operates a Winland 800 Hotel in Tsing Yi, Hong Kong. Winland 800 Hotel consists of 800 rooms. The company also invests in and holds properties. Mexan Limited was incorporated in 1991 and is based in Tsing Yi, Hong Kong. Mexan Limited is a subsidiary of Winland Wealth (BVI) Limited.",HKD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",HKG,XHKG,Hong Kong Stock Exchange,Hong Kong,,Tsing Yi,,http://www.mexanhk.com,Nano Cap,BMG6051D1175,,BBG000BDTFK1,BBG000BDTF85,BBG001S6HL08,False
