symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
0A00.IL,AKZO NOBEL NV AKZO NOBEL ORD SH,"Akzo Nobel N.V. is a global paints and coatings company and a major producer of specialty chemicals. They supply industries and consumers worldwide with innovative products and sustainable technologies designed to meet the growing demands of a fast-changing planet. Akzo Nobel is headquartered in Amsterdam, Netherlands.",EUR,Materials,Materials,,IOB,XLON,London Stock Exchange (OTC and ITR),Netherlands,,,,,,NL0013267909,,,,BBG001S5WX25,False
0A02.IL,NEOEN,"Neoen SA is a French independent power producer that develops, finances, builds, and operates renewable energy power plants. The company focuses on solar, wind, and energy storage projects, aiming to deliver clean and competitive energy. Neoen is headquartered in Paris, France.",EUR,Utilities,Utilities,,IOB,XLON,London Stock Exchange (OTC and ITR),France,,,,,,FR0011675362,,,,,False
0A0D.IL,Alcon AG,"Alcon AG is a global medical device company specializing in eye care products. They offer a wide range of products for surgical and vision care, including intraocular lenses, surgical equipment, contact lenses, and over-the-counter eye care products. Alcon is headquartered in Geneva, Switzerland.",CHF,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,IOB,XLON,London Stock Exchange (OTC and ITR),Switzerland,,,,,,CH0432492467,,,,BBG00NPWGYR0,False
0A0E.IL,KOJAMO OYJ KOJAMO ORD SHS,"Kojamo Oyj is a Finnish real estate investment company that focuses on providing rental apartments in Finnish growth centers. Their business model involves owning, managing, and developing high-quality rental apartments to meet the housing needs of urban residents. Kojamo is headquartered in Helsinki, Finland.",EUR,Real Estate,Real Estate,,IOB,XLON,London Stock Exchange (OTC and ITR),Finland,,,,,,,,,,,False
0A0F.IL,Citycon Oyj,"Citycon Oyj is a leading owner, manager, and developer of mixed-use urban centers in the Nordic countries and the Baltic region. They focus on locations offering daily necessities, services, and leisure activities, situated in urban hubs with strong demographics. Citycon is headquartered in Helsinki, Finland.",EUR,Real Estate,Real Estate,,IOB,XLON,London Stock Exchange (OTC and ITR),Finland,,,,,,FI4000369947,,,,BBG001SCHKP0,False
0A0H.IL,Beijer Ref AB Class B,"Beijer Ref AB is a Swedish technology-oriented trading group which, through its subsidiaries, offers refrigeration and air conditioning solutions to the wholesale market. The company provides a wide range of products, including compressors, heat exchangers, and control systems. Beijer Ref is headquartered in Malmö, Sweden.",SEK,Industrials,Capital Goods,,IOB,XLON,London Stock Exchange (OTC and ITR),Sweden,,,,,,SE0015949748,,,,BBG001S792H9,False
0A0I.IL,Wihlborgs Fastigheter AB,"Wihlborgs Fastigheter AB is a Swedish real estate company that owns, manages, and develops commercial properties in the Öresund region. They focus on providing modern and flexible office and industrial spaces for businesses in attractive locations. Wihlborgs Fastigheter is headquartered in Malmö, Sweden.",SEK,Real Estate,Real Estate,,IOB,XLON,London Stock Exchange (OTC and ITR),Sweden,,,,,,SE0018012635,,,,BBG001SNP9T8,False
0A0J.IL,AAK AB (PUBL) AAK ORD SHS,"AAK AB is a Swedish company that is a leading provider of value-adding vegetable oils and fats. They develop and provide solutions for food, chocolate and confectionery, cosmetics, pharmaceuticals, and other industries. AAK is headquartered in Malmö, Sweden.",SEK,Consumer Staples,"Food, Beverage & Tobacco",,IOB,XLON,London Stock Exchange (OTC and ITR),Sweden,,,,,,,,BBG00NXB8XY0,BBG00NXB8XW2,BBG001SP76W5,False
0A0K.IL,NYFOSA AB NYFOSA ORD SHS,,SEK,,,,IOB,XLON,London Stock Exchange (OTC and ITR),Sweden,,,,,,,,,,,False
0A0L.IL,SECTRA AB SECTRA ORD SHS CLASS ,"Sectra AB is a Swedish medical technology company that provides IT systems and services for radiology, mammography, pathology, and other medical imaging departments. They also develop secure communication solutions for governments and defense organizations. Sectra is headquartered in Linköping, Sweden.",SEK,Information Technology,Technology Hardware & Equipment,,IOB,XLON,London Stock Exchange (OTC and ITR),Sweden,,,,,,,,,,,False
0A1J.IL,KAYNE ANDERSON MLP/MIDSTREAM IN,,USD,,,,IOB,XLON,London Stock Exchange (OTC and ITR),United States,,,,,,,,,,,False
0A1P.IL,Valaris plc,"Valaris plc is an offshore drilling contractor providing drilling services for oil and gas wells worldwide. They own a fleet of drilling rigs, including drillships, semisubmersibles, and jackups, and offer services such as well construction, decommissioning, and project management, with headquarters in Houston, Texas.",USD,Energy,Energy,,IOB,XLON,London Stock Exchange (OTC and ITR),,,,,,Nano Cap,,,,,,False
0A1R.IL,MAERSK DRILLING A/S DRILLING CO,"MAERSK DRILLING A/S DRILLING CO is a drilling company that owns and operates a fleet of advanced drilling rigs. Their services include providing drilling solutions to oil and gas companies worldwide with a focus on harsh environments and deepwater operations. The company is headquartered in Copenhagen, Denmark.",DKK,Energy,Energy,,IOB,XLON,London Stock Exchange (OTC and ITR),,,,,,,,,,,,False
0A22.IL,Anheuser-Busch InBev SA/NV Sponsored ADR,"ANHEUSER BUSCH INBEV NV ANHEUSE is a multinational beverage and brewing company that produces and distributes a vast portfolio of beer brands worldwide, including Budweiser, Corona, and Stella Artois. It is the world's largest brewer, with operations in numerous countries and headquarters in Leuven, Belgium.",USD,Consumer Staples,"Food, Beverage & Tobacco",,IOB,XLON,London Stock Exchange (OTC and ITR),Belgium,,,,,,US03524A1088,03524A108,,,BBG001T53FW2,False
0A2A.IL,Stillfront Group AB,"STILLFRONT GROUP AB (PUBL) STIL is a global group of independent creators, publishers, and distributors of digital games with a vision to create and publish games that people love. They develop and publish games across various platforms, including mobile, PC, and consoles, and operate from headquarters in Stockholm, Sweden.",SEK,Information Technology,Software & Services,,IOB,XLON,London Stock Exchange (OTC and ITR),Sweden,,,,,,SE0015346135,,,,BBG006WY14D2,False
0A2I.IL,HUAZHU GROUP LTD HUAZHU GROUP A,"HUAZHU GROUP LTD HUAZHU GROUP A is a leading hotel group in China, operating a multi-brand portfolio of hotels ranging from upscale to budget options. The company franchises and manages hotels under various brands to cater to different customer segments and is headquartered in Shanghai, China.",USD,Consumer Discretionary,Consumer Services,,IOB,XLON,London Stock Exchange (OTC and ITR),,,,,,,,,,,,False
0A2M.IL,KONINKLIJKE PHILIPS NV KONINKLI,"KONINKLIJKE PHILIPS NV KONINKLI is a diversified technology company focused on healthcare, personal health, and connected care. Philips develops and manufactures a range of products and services, including diagnostic imaging, patient monitoring, and personal care appliances, with headquarters in Amsterdam, Netherlands.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,IOB,XLON,London Stock Exchange (OTC and ITR),Netherlands,,,,,,US5004723038,500472303,,BBG000BR4QW0,BBG001S5V5G2,False
0A2O.IL,"Lyft, Inc.","LYFT INC LYFT ORD CLASS A (CDI) is a transportation network company that operates a ride-hailing platform connecting passengers with drivers. Lyft provides on-demand transportation services, including ridesharing, car rentals, and bike and scooter rentals, with headquarters in San Francisco, California.",USD,Information Technology,Software & Services,,IOB,XLON,London Stock Exchange (OTC and ITR),United States,,,,,,US55087P1049,55087P104,,,BBG004M9ZHY4,False
0A2S.IL,Pinduoduo Inc.,"Pinduoduo Inc., through its subsidiaries, operates an e-commerce platform in the People's Republic of China. It operates Pinduoduo, a mobile platform that offers a range of products, including apparel, shoes, bags, mother and childcare products, food and beverage, fresh produce, electronic appliances, furniture and household goods, cosmetics and other personal care items, sports and fitness items, and auto accessories. The company was formerly known as Walnut Street Group Holding Limited and changed its name to Pinduoduo Inc. in July 2018. Pinduoduo Inc. was incorporated in 2015 and is headquartered in Shanghai, the People's Republic of China.",USD,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,IOB,XLON,London Stock Exchange (OTC and ITR),China,,Shanghai,200051,http://www.pinduoduo.com,Large Cap,US7223041028,722304102,,,BBG00LBLDFH8,False
0A2T.IL,Qudian Inc.,"Qudian Inc. provides online small consumer credit products in the People's Republic of China. It uses big data-enabled technologies, including artificial intelligence and machine learning to transform the consumer finance experience. The company offers small credit products, such as cash credit products; and merchandise credit products to finance borrowers' direct purchase of merchandise offered on its marketplace on installment basis. In addition, it operates a platform for loan recommendations and referrals services to third-party financial service providers. Qudian Inc. was founded in 2014 and is headquartered in Xiamen, the People's Republic of China.",USD,Financials,Diversified Financials,Consumer Finance,IOB,XLON,London Stock Exchange (OTC and ITR),China,,Xiamen,361000,http://www.qudian.com,Small Cap,,,,,,False
0A2V.IL,Sanofi,"Sanofi, a healthcare company, engages in the research, development, manufacture, and marketing of therapeutic solutions in the United States, Europe, and internationally. It operates through three segments: Pharmaceuticals, Vaccines, and Consumer Healthcare. The company provides specialty care products, including human monoclonal antibodies; products for multiple sclerosis, neurology, other inflammatory diseases, immunology, rare diseases, oncology, and rare blood disorders; medicines for diabetes; and cardiovascular and established prescription products. It also supplies poliomyelitis, pertussis, and hib pediatric vaccines; and influenza, adult booster, meningitis, and travel and endemic vaccines. In addition, the company offers allergy, cough and cold, pain, digestive, and nutritional products; and other products, such as daily body lotions, anti-itch products, moisturizing and soothing lotions, and body and foot creams, as well as powders for eczema. It also has various pharmaceutical products and vaccines in development stage. Sanofi has collaboration agreement with GlaxoSmithKline to develop a recombinant Covid-19 vaccine. The company was formerly known as Sanofi-Aventis and changed its name to Sanofi in May 2011. Sanofi was incorporated in 1994 and is headquartered in Paris, France.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,IOB,XLON,London Stock Exchange (OTC and ITR),France,,Paris,75008,http://www.sanofi.com,Large Cap,FR0000120578,,,,BBG001SCSQN7,False
0A2Y.IL,TELEFONICA SA TELEFONICA ADR RE,"TELEFONICA SA TELEFONICA ADR RE is a multinational telecommunications company providing mobile and fixed-line telephony, broadband, and digital services. It operates in Europe and Latin America, offering a wide range of communication and entertainment solutions to consumers and businesses, with headquarters in Madrid, Spain.",USD,Communication Services,Telecommunication Services,,IOB,XLON,London Stock Exchange (OTC and ITR),,,,,,,,,,,,False
0A30.IL,TotalEnergies SE,"TOTALENERGIES SE TOTAL ADR REPS is a broad energy company that produces and markets fuels, natural gas and electricity. It has operations in more than 130 countries and its headquarters is in Courbevoie, France.",USD,Energy,Energy,,IOB,XLON,London Stock Exchange (OTC and ITR),France,,,,,,US89151E1091,89151E109,,,,False
0A33.IL,"ZTO Express (Cayman), Inc. Sponsored ADR Class A","ZTO EXPRESS (CAYMAN) INC ZTO EX is a leading express delivery company in China, providing parcel delivery services through its extensive network. The company offers logistics and transportation solutions to e-commerce businesses and other industries, and is headquartered in Shanghai, China.",USD,Industrials,Capital Goods,,IOB,XLON,London Stock Exchange (OTC and ITR),China,,,,,,US98980A1051,98980A105,,,BBG00DY7QWJ9,False
0A37.IL,BETSSON AB BETSSON ORD SHS CLAS,"BETSSON AB BETSSON ORD SHS CLAS is an online gaming company that offers a variety of online casino, sportsbook, and poker products. It operates several gaming brands and provides its services to customers around the world with headquarters in Stockholm, Sweden.",SEK,Consumer Discretionary,Consumer Services,,IOB,XLON,London Stock Exchange (OTC and ITR),Sweden,,,,,,,,BBG00VNMXM11,BBG00R4Z0S97,BBG001S929X9,False
0A3B.IL,Musti Group Oyj,"MUSTI GROUP OYJ MUSTI GROUP ORD is a Nordic pet care company that offers a wide range of pet food, accessories, and services. The company operates retail stores and online channels, providing products and services for pet owners in the Nordic region with headquarters in Helsinki, Finland.",EUR,Consumer Staples,"Food, Beverage & Tobacco",,IOB,XLON,London Stock Exchange (OTC and ITR),Finland,,,,,,FI4000410758,,,,BBG00RHC2X19,False
0A3J.IL,"ILLIMITY BANK S.P.A. IN FORMA ABBREVIATA ""ILLIMITY S.P.A.""","ILLIMITY BANK SPA ILLIMITY BANK is an Italian bank focused on providing financial services to small and medium-sized enterprises (SMEs) and specialized lending. It offers a range of banking products and services, including financing, investment, and advisory services, with headquarters in Milan, Italy.",EUR,Financials,Banks,,IOB,XLON,London Stock Exchange (OTC and ITR),Italy,,,,,,IT0005359192,,,,BBG002WRW3N3,False
0A3K.IL,MERCELL HOLDING AS MERCELL HOLD,"MERCELL HOLDING AS MERCELL HOLD is a provider of e-tendering and e-procurement solutions. They offer a cloud-based platform that connects buyers and suppliers in the public and private sectors with headquarters in Oslo, Norway.",NOK,Information Technology,Software & Services,,IOB,XLON,London Stock Exchange (OTC and ITR),,,,,,,,,,,,False
0A3M.IL,BioNTech SE,"BioNTech SE, a biotechnology company, develops and commercializes immunotherapies for cancer and other infectious diseases. The company is involved in the developing of FixVac product candidates, including BNT111, which is in Phase I clinical trial for advance melanoma; BNT112 that is in Phase I/IIa trial for prostate cancer; BNT113, which is in Phase I/II trial to treat HPV+ head and neck cancers; BNT114 that is in Phase I clinical trial for triple negative breast cancer; BNT115 in a Phase I trial in ovarian cancer; and BNT116 for non-small cell lung cancer.It also develops neoantigen specific immunotherapies, such as Autogene cevumeran (BNT122), which is in Phase II clinical trial for first-line melanoma, as well as in Phase I clinical trial to treat multiple solid tumors; mRNA intratumoral immunotherapy comprising SAR441000 that is in Phase I clinical trial for solid tumors; and BNT141 and BNT142 to treat multiple solid tumors. In addition, the company develops RiboCytokines, which include BNT151, BNT152, and BNT153 for multiple solid tumors; chimeric antigen receptor T cell immunotherapies, such as BNT211 to treat multiple solid tumors, and BNT221 for other cancers; and checkpoint immunomodulators consisting of GEN1046 and GEN1042, which are in Phase I/II a clinical trial to treat multiple solid tumors. Further, it develops BNT321, an IgG1 monoclonal antibody, which is in Phase I/IIa clinical trial for pancreatic cancer; BNT411, small molecule immunomodulator product candidate for solid tumors; prophylactic vaccine for COVID-19 and Influenza; and infectious disease immunotherapies and rare disease protein replacement therapies. The company has collaborations with Genentech, Inc.; Sanofi S.A.; Genmab A/S; Genevant Sciences GmbH; Pfizer Inc.; Shanghai Fosun Pharmaceutical (Group) Co., Ltd.; and Regeneron Pharmaceuticals, Inc. BioNTech SE was incorporated in 2008 and is headquartered in Mainz, Germany.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,IOB,XLON,London Stock Exchange (OTC and ITR),Germany,,Mainz,55131,http://www.biontech.de,Large Cap,US09075V1026,09075V102,,,BBG00Q70B4L0,False
0A3R.IL,Nikola Corporation,"Nikola Corporation designs and manufactures battery electric and hydrogen-electric vehicless. It operates in two business units, Truck and Energy. The Truck business unit develops and commercializes battery electric vehicles, hydrogen fuel cell electric vehicles, vehicle components, and class 8 trucks that provide solutions to the short-haul, medium-haul, and long-haul trucking sector. The Energy business unit is focuses on developing and constructing a network of hydrogen fueling stations for its fuel-cell electric and other customers. Nikola Corporation was founded in 2015 and is headquartered in Phoenix, Arizona.",USD,Consumer Discretionary,Automobiles & Components,Automobiles,IOB,XLON,London Stock Exchange (OTC and ITR),United States,AZ,Phoenix,85040,http://www.nikolamotor.com,Mid Cap,,,BBG00YVKCMX8,BBG00X71L8N1,BBG00L4CWQW4,False
0A3S.IL,NOVAVAX INC NOVAVAX ORD SHS,"NOVAVAX INC NOVAVAX ORD SHS is a biotechnology company focused on developing and commercializing vaccines to prevent infectious diseases. It develops vaccine candidates using its proprietary recombinant nanoparticle technology and is headquartered in Gaithersburg, Maryland.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,IOB,XLON,London Stock Exchange (OTC and ITR),United States,,,,,,,,BBG00ZXC6707,BBG00X71L851,BBG001SGL8G3,False
0A3T.IL,SEA LTD SEA ADS REPRESENTING OR,"SEA LTD SEA ADS REPRESENTING OR is a global consumer internet company that operates in e-commerce, digital entertainment, and financial services. Its key businesses include Shopee (e-commerce), Garena (digital entertainment), and SeaMoney (financial services), and is headquartered in Singapore.",USD,Information Technology,Software & Services,,IOB,XLON,London Stock Exchange (OTC and ITR),Singapore,,,,,,,,,,,False
