symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
A5G.IR,AIB Group plc,"AIB Group plc provides banking and financial products and services to retail, business, and corporate customers. It operates through Retail Banking, Corporate Institutional & Business Banking, AIB UK, and Group segments. The company offers current and savings accounts, demand deposits, notice deposits, fixed term deposits, junior/student saver deposits, and currency deposits. AIB Group plc also provides personal, car, home improvement, education, business, farm development, startup, farm investment, future growth, and brexit loans; graduate, corporate, asset, energy efficiency, forestry, invoice, prompt pay and insurance premium, debt, real estate, and trade finance; business and farmer credit line, government credit guarantees, and overdrafts; and venture capital funds, as well as mortgages. In addition, the company offers credit and debit cards; investment funds; life, home, car, travel, and business succession insurance products; and pension products. Further, it provides payment, merchant, cash management, FX rates, foreign currency and interest rate risk management, exporting, international cash flow management, foreign exchange, and interest rate fluctuation management services; and trade finance products, such as documentary collections, import and export letter of credit, standby letter of credit, and bank guarantees. AIB Group plc operates through a network of 296 locations in the Republic of Ireland and 29 locations in the United Kingdom. The company was formerly known as Allied Irish Banks, p.l.c. and changed its name to AIB Group plc in December 2017. AIB Group plc was founded in 1825 and is headquartered in Dublin, Ireland.",EUR,Financials,Banks,Banks,ISE,XDUB,Irish Stock Exchange,Ireland,,Dublin,2,http://group.aib.ie,Mid Cap,,,,,,False
BIRG.IR,Bank of Ireland Group plc,"Bank of Ireland Group plc provides various banking and financial products and services. The company operates through Retail Ireland, Wealth and Insurance, Retail UK, and Corporate and Treasury segments. Its products and services include current and savings accounts, and business deposits and accounts; personal, car, home improvement, graduate, and student loans, as well as overdrafts; business and farming loans, BREXIT loans, small medium enterprise loans, asset finance, commercial finance, hire purchase, and leasing services; and property, trade, and project finance.  The company also offers account reconciliation, moving/sweeping funds, bulk payment services, direct debit originator, domestic and international payments, and FXPay services; international payments and credit cards; protection overview, mortgage protection, life cover, specified illness cover, income protection, protection for individuals, and protection for families; pensions and investments, foreign exchange, and treasury deposits and services; personal products; private banking services; leveraged acquisition finance; and funding and acquisition, cash management, transaction support and agency, and escrow agency services. In addition, it provides home, car, travel, and life insurance products. Bank of Ireland Group plc was founded in 1783 and is headquartered in Dublin, Ireland.",EUR,Financials,Banks,Banks,ISE,XDUB,Irish Stock Exchange,Ireland,,Dublin,4,http://www.bankofireland.com,Mid Cap,,,BBG00GDCWJB4,BBG00GD6SG64,BBG00GD6SG73,False
C5H.IR,Cairn Homes plc,"Cairn Homes plc operates as a homebuilder in Ireland. The company develops and sells residential properties. It is also involved in the rental of properties. The company was incorporated in 2014 and is based in Dublin, Ireland.",EUR,Industrials,Capital Goods,Construction & Engineering,ISE,XDUB,Irish Stock Exchange,Ireland,,Dublin,2,http://www.cairnhomes.com,Small Cap,,,BBG00H66HKM5,BBG00H66HKL6,BBG001SZP9R3,False
CRG.IR,RH,"RH, together with its subsidiaries, operates as a retailer in the home furnishings. It offers products in various categories, including furniture, lighting, textiles, bathware, dÃ©cor, outdoor and garden, and child and teen furnishings. The company provides its products through its retail galleries; and Source Books, a series of catalogs, as well as online through rh.com, rhbabyandchild.com, rhteen.com, and rhmodern.com, as well as waterworks.com. As of January 30, 2021, it operated a total of 68 RH Galleries and 38 RH outlet stores in 31 states in the District of Columbia and Canada, as well as 14 Waterworks showrooms throughout the United States and the United Kingdom. The company was formerly known as Restoration Hardware Holdings, Inc. and changed its name to RH in January 2017. RH was incorporated in 2011 and is headquartered in Corte Madera, California.",EUR,Consumer Discretionary,Retailing,Specialty Retail,ISE,XDUB,Irish Stock Exchange,United States,CA,Corte Madera,94925,http://www.rh.com,Large Cap,,962166104,,,,False
DHG.IR,Dalata Hotel Group plc,"Dalata Hotel Group plc owns and operates hotels under the Maldron Hotels and Clayton Hotels brand names in Ireland and the United Kingdom. It operates in three segments: Dublin, Regional Ireland, and United Kingdom. The company operates three-star and four-star hotels. It also operates Grain & Grill restaurants and bars; Club Vitae health and fitness clubs; and Red Bean Roastery coffee outlets in hotels. In addition, the company provides financing, catering, asset management, management, and property investment and holding services. As of March 2, 2021, it had a portfolio of 44 hotels with a total of 9,260 bedrooms. The company was founded in 2007 and is based in Dublin, Ireland.",EUR,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ISE,XDUB,Irish Stock Exchange,Ireland,,Dublin,18,http://dalatahotelgroup.com,Small Cap,,,,,,True
DLE.IR,Datalex plc,"Datalex plc develops and sells various distribution and retailing software products and solutions to the airline industry worldwide. The company operates through two segments, E-Business and TPF Consulting. Its digital commerce platform allows to optimize the retailing of offers and to complete retail transactions from start to finish across various digital sales channels. The company also delivers professional and hosting services; and provides online payment processing connectivity services, as well as provides IT consultancy services to airlines. Datalex plc was founded in 1985 and is headquartered in Dublin, Ireland.",EUR,Information Technology,Software & Services,Software,ISE,XDUB,Irish Stock Exchange,Ireland,,Dublin,3,http://www.datalex.com,Micro Cap,,,,,,False
DOY.IR,Abbey plc,,EUR,,,,ISE,XDUB,Irish Stock Exchange,,,,,,Small Cap,,,,,,False
DQ7A.IR,Donegal Investment Group plc,"Donegal Investment Group plc, together with its subsidiaries, engages in the development, purchase, and sale of seed potatoes in Ireland, Europe, and internationally. The company also engages in the rental and sale of property assets. In addition, it manufactures, sells and distributes dairy products. The company serves growers, processors, packers, retailers, and consumers. It also exports its products. The company was formerly known as Donegal Creameries plc and changed its name to Donegal Investment Group plc in July 2013. Donegal Investment Group plc was founded in 1898 and is based in Letterkenny, Ireland.",EUR,,,,ISE,XDUB,Irish Stock Exchange,Ireland,,,,,,,,BBG000BXH9T5,BBG000BXH8N3,BBG001SBGN59,False
EG7.IR,FBD Holdings plc,"FBD Holdings plc, through its subsidiaries, engages in the underwriting of general insurance to farmers, private individuals, and business owners in Ireland. The company operates in two segments, Underwriting and Financial Services. It offers car, home, travel, life and pension, business, and farm insurance products, as well as insurance related to motor, fire, liability, and other damage to property. The company also provides investment, pension and life brokerage, and employee services. It serves customers through a network of 34 branches. FBD Holdings plc was founded in 1969 and is headquartered in Dublin, Ireland.",EUR,Financials,Insurance,Insurance,ISE,XDUB,Irish Stock Exchange,Ireland,,Dublin,12,http://www.fbdgroup.com,Small Cap,,,,,,False
FLTR.IR,Flutter Entertainment plc,"Flutter Entertainment plc operates as a sports betting and gaming company in the United Kingdom, Ireland, Australia, the United States, and internationally. The company operates through PPB, PokerStars, Sky Betting & Gaming, Australia, and US segments. It offers sportsbooks and exchange sports betting products, daily fantasy sports products, and pari-mutuel betting products; fixed odds games betting products; online games and casinos; peer-to-peer games, including online bingo and poker; and business-to-business services. The company also operates HRTV, a horseracing television network; and Timeform and Sporting Life editorial online site, as well as offers treasury; risk management; and horse racing broadcasting and advanced deposit wagering services. It provides sports betting and gaming services through paddypower.com, betfair.com, sportsbet.com.au, tvg.com, us.betfair.com, fanduel.com, pokerstars.com, Skybet.com, and adjarabet.com websites under the Paddy Power, Betfair, Sportsbet, TVG, FanDuel, Sky Betting & Gaming, PokerStars, and Adjarabet brands; and BetStars, Sky Bet, BetEasy, Sky Vegas, FOX Bet, Full Tilt, Sky Casino, Sky Bingo, Sky Poker, Junglee Games, and Oddschecker brands online, as well as betting shops, and live poker tours and events. The company was formerly known as Paddy Power Betfair plc and changed its name to Flutter Entertainment plc in May 2019. Flutter Entertainment plc was incorporated in 1958 and is headquartered in Dublin, Ireland.",EUR,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",ISE,XDUB,Irish Stock Exchange,Ireland,,Dublin,4,http://www.flutter.com,Large Cap,,,BBG000DWL6M3,BBG000DWL5N4,BBG001S87K70,False
