symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
ACSEL.IS,Aciselsan Acipayam Seluloz Sanayi Ve Ticaret A.S.,"Aciselsan Acipayam Seluloz Sanayi Ve Ticaret A.S. manufactures and sells carboxymethylcellulose (CMC) in Turkey. The company also engages in import, export, and trading of various chemicals. Its CMC is used in powders and cream detergents, paints, wallpaper adhesives, textiles, foods, oil drilling, ceramics, pharmaceuticals, and cosmetics, as well as in welding rods. The company was founded in 1973 and is based in Denizli, Turkey.",TRY,Materials,Materials,Chemicals,IST,XIST,Borsa Istanbul,Turkey,,Denizli,,http://www.aciselsan.com.tr,Nano Cap,,,BBG0032FPVR2,BBG0032FPVP4,BBG0032FPVV7,False
ADEL.IS,Adel Kalemcilik Ticaret ve Sanayi A.S.,"Adel Kalemcilik Ticaret ve Sanayi A.S. manufactures and sells stationery products in Turkey. It offers wood-cased lead pencils, coloring and copying pencils, ballpoint pens, mechanical leads and graphite, liquid ink pens, markers, crayons, watercolor paints, erasers, finger paints, modeling clays, and gouache paints; and toys. The company offers its products under the Faber-Castell, Graf von Faber-Castell, Adel, Adeland, Atlas, Mark, Auldey, Lotus, NICI, WOW, Pinypon, Nenuco, Oddbods, and Sluban ve Adeland brands. It also exports its products. The company was founded in 1967 and is headquartered in Ãmraniye, Turkey.",TRY,Industrials,Commercial & Professional Services,Commercial Services & Supplies,IST,XIST,Borsa Istanbul,Turkey,,Umraniye,34771.0,http://www.adel.com.tr,Nano Cap,,,BBG000BT01D6,BBG000BT0119,BBG001S70KS6,False
ADESE.IS,Adese Gayrimenkul Yatirim A.S.,"Adese Gayrimenkul Yatirim A.S. primarily engages in the retail of fruits and vegetables in Turkey. The company also offers meat and bakery products. In addition, it is also involved in the operation of shopping malls. The company was formerly known as Adese Alisveris Merkezleri Ticaret A.S. The company was founded in 1991 and is headquartered in Istanbul, Turkey.",TRY,Consumer Staples,Household & Personal Products,Household Products,IST,XIST,Borsa Istanbul,Turkey,,Istanbul,42010.0,http://www.adese.com.tr,Nano Cap,,,BBG0023ZVQ02,BBG001BHWHM0,BBG001TNJDQ8,False
AEFES.IS,Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi,"Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi, together with its subsidiaries, engages in the production, bottling, marketing, distribution, and sale of beer, malt, and non-alcoholic beverages worldwide. The company operates in three segments: Turkey Beer, International Beer, and Soft Drinks. It is also involved in the production, bottling, distribution, and sale of sparkling and still beverages, fruit juice concentrates, purees and fresh fruit, and carbonated soft drinks under the Coca-Cola Company trademark; and filling and selling of natural spring water. In addition, the company leases intellectual property and related products. The company was founded in 1966 and is based in Istanbul, Turkey.",TRY,Consumer Staples,"Food, Beverage & Tobacco",Beverages,IST,XIST,Borsa Istanbul,Turkey,,Istanbul,34771.0,http://www.anadoluefes.com,Small Cap,,,BBG000BGCSN1,BBG000BGCRJ8,BBG001S98X33,False
AFYON.IS,Afyon Cimento Sanayi Turk Anonim Sirketi,"Afyon Ãimento Sanayi TÃ¼rk Anonim Sirketi produces and sells cement. It offers Portland cement and Portland composite cement to the construction industry. The company was founded in 1954 and is headquartered in Istanbul, Turkey. Afyon Ãimento Sanayi TÃ¼rk Anonim Sirketi is a subsidiary of Cimsa Cimento Sanayi ve Ticaret Anonim Sirketi.",TRY,Materials,Materials,Construction Materials,IST,XIST,Borsa Istanbul,Turkey,,Istanbul,,http://www.afyoncimento.com,Micro Cap,,,BBG000BV9WF2,BBG000BV9VX4,BBG001S748K7,False
AGHOL.IS,AG Anadolu Grubu Holding A.S.,"AG Anadolu Grubu Holding A.S., through its subsidiaries, engages in the beer, soft drinks, automotive, retailing, and other businesses in Turkey and internationally. The company produces and sells beer and malt, and carbonated and non-carbonated beverages, as well as passenger and commercial vehicles; imports, distributes, markets, and rents motor vehicles; and offers generators, and spares and component parts. It is also involved in the production of industrial engines; sale of tractors; production of writing instruments; distribution of other imported stationery products; arrangement of travelling and organization facilities; and provision of IT, internet, and e-commerce services. In addition, the company engages in the restaurant management; whole sale and retail sale of electricity; insurance agency; and production, distribution, and transmission of electricity businesses. Further, it purchases, sells, rents, and manages real estate properties; leases intellectual property; fills and sells natural spring water; and offers tourism services. The company was formerly known as Yazicilar Holding A.S. and changed its name to AG Anadolu Grubu Holding A.S. in December 2017. AG Anadolu Grubu Holding A.S. was founded in 1950 and is headquartered in Istanbul, Turkey.",TRY,Consumer Staples,"Food, Beverage & Tobacco",Beverages,IST,XIST,Borsa Istanbul,Turkey,,Istanbul,34771.0,http://www.anadolugrubu.com.tr,Small Cap,,,BBG000BQFSX5,BBG000BQFRY6,BBG001SDX6F2,False
AGYO.IS,Atakule Gayrimenkul Yatirim Ortakligi A.S.,"Atakule Gayrimenkul Yatirim Ortakligi A.S. is based in Ankara, Turkey.",TRY,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),IST,XIST,Borsa Istanbul,Turkey,,Ankara,,http://www.atakulegyo.com.tr,Nano Cap,,,BBG000M7L434,BBG000M7L3G2,BBG001SK9P89,False
AKBNK.IS,Akbank T.A.S.,"Akbank T.A.S., together with its subsidiaries, provides various banking products and services in Turkey and internationally. It operates through three segments: Retail Banking; Commercial Banking, SME Banking, Corporate-Investment and Private Banking; and Treasury. The company's retail banking services comprise deposit accounts, retail loans, commercial installment loans, credit cards, insurance products, and asset management services, as well as bank cards, investment funds trading, automatic payment, foreign currency trading, safe deposit box rental, cheques, money transfer, investment banking, and telephone and Internet banking. It also offers services to large, medium, and small size corporate and commercial customers that include Turkish Lira (TL) and foreign currency denominated working capital loans, foreign trade financing, derivative instruments for hedging purposes of foreign currency and interest risk, letters of credit, foreign currency trading, corporate finance, and deposit and cash management services, as well as project finance loans; and timely and permanent solutions for corporate customers' working capital management, delivering cash management services based on customers' requests that include collection and payment services and liquidity and information management. In addition, the company engages in treasury activities consisting of TL and foreign currency spot and forward transactions, treasury and government bonds, Eurobonds, and private sector bond transactions, as well as derivative trading activities; and marketing and pricing activities related treasury products. Further, it provides bancassurance, asset management, and financial leasing services, as well as offers payment services and issues electronic money. As of December 31, 2019, the company operated 770 branches, as well as approximately 5,100 ATMs and 600,000 POS terminals. Akbank T.A.S. was founded in 1948 and is headquartered in Istanbul, Turkey.",TRY,Financials,Banks,Banks,IST,XIST,Borsa Istanbul,Turkey,,Istanbul,34330.0,http://www.akbank.com,Mid Cap,US0097195012,009719501,,,,False
AKCNS.IS,Akcansa Cimento Sanayi ve Ticaret Anonim Sirketi,"AkÃ§ansa Ãimento Sanayi ve Ticaret Anonim Sirketi, together with its subsidiaries, manufactures and sells cement, clinker, ready-mix concrete, and aggregates in Turkey and internationally. The company operates through Cement and Ready Mix Concrete segments. It offers products under the Agregasa brand name. The company also provides port and technical support services. It sells its products online. AkÃ§ansa Ãimento Sanayi ve Ticaret Anonim Sirketi was founded in 1967 and is headquartered in Istanbul, Turkey.",TRY,Materials,Materials,Construction Materials,IST,XIST,Borsa Istanbul,Turkey,,Istanbul,34662.0,http://www.akcansa.com.tr,Micro Cap,,,BBG000BV9Z83,BBG000BV9YF8,BBG001S748N4,False
AKENR.IS,Akenerji Elektrik Uretim A.S.,"Akenerji Elektrik Ãretim A.S. engages in the generation, transmission, and trading of electricity in Turkey and internationally. The company operates hydroelectric, wind, and natural gas combined cycle power plants with a total installed capacity of 1,224 megawatts. It is also involved in natural gas trading business. Akenerji Elektrik Ãretim A.S. was founded in 1989 and is headquartered in Istanbul, Turkey.",TRY,Utilities,Utilities,Electric Utilities,IST,XIST,Borsa Istanbul,Turkey,,Istanbul,34437.0,http://www.akenerji.com.tr,Micro Cap,,,BBG000BHDFB9,BBG000BHDDQ8,BBG001S9Z1Z8,False
