symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
ABETNC.JO,FNB ETN on ACTIVIC NOV25,,ZAC,Financials,Diversified Financials,,JNB,XJSE,Johannesburg Stock Exchange,,,,,,,,,,,,False
ABETNQ.JO,FNB ETN on ACTIVIQ NOV25,,ZAC,Financials,Diversified Financials,,JNB,XJSE,Johannesburg Stock Exchange,,,,,,,,,BBG00YCJHDW8,BBG00YCJHDV9,BBG00YCJHDY6,False
ABG.JO,Absa Group Limited,"Absa Group Limited, together with its subsidiaries, provides various financial products and services in South Africa and internationally. It offers personal and business banking, corporate and investment banking, wealth and investment management, and insurance services. The company offers retail and business banking products and services to individual, enterprise, and commercial customers, including residential property-related finance solutions; vehicle and asset finance products and services; credit cards; personal loans; short-term insurance products; and transactional banking, savings, and investment products and services. It also provides commercial property finance, term loans, and overdraft services; notice, fixed, cheque account, savings and transmission, foreign currency, and call deposits; and electronic banking services. In addition, the company offers investment banking services; private equity and infrastructure investments; corporate banking products and services; and wealth management services. Further, it provides life insurance products covering death, disability and retrenchment, funeral, and life investment products; investments, such as asset management, multi-management, unit trusts, and linked investment products; treasury services; and fiduciary and financial advisory services. Additionally, the company offers market services; trade and working capital solutions; and cash management, payment, and liquidity products and solutions. The company was formerly known as Barclays Africa Group Limited and changed its name to Absa Group Limited in May 2018. Absa Group Limited was incorporated in 1986 and is based in Johannesburg, South Africa.",ZAC,Financials,Banks,Banks,JNB,XJSE,Johannesburg Stock Exchange,South Africa,,Johannesburg,2001,http://www.absa.africa,Mid Cap,,,BBG000BF9DG8,BBG000BF9C25,BBG001S7JF34,False
ABSGEA.JO,Absa Global Equity Multi-Factor Risk-Controlled (13%) ETN,Absa Global Equity Multi-Factor Risk-Controlled (13%) ETN is an Exchange Traded Note. It provides exposure to global equities while employing a multi-factor risk-controlled strategy. The ETN is listed on the Johannesburg Stock Exchange (JSE).,ZAC,Financials,Diversified Financials,,JNB,XJSE,Johannesburg Stock Exchange,,,,,,,,,,,,False
ABSP.JO,Absa Bank Limited,"Absa Bank Limited, together with its subsidiaries, provides various banking products and services in South Africa, Nigeria, and Namibia. The company accepts cheque, youth, transactional, and business accounts. Its loan products include personal, home, car, study, structured, short, and medium term, and trade and working capital finance; vehicle and asset, property, and debt finance; and overdraft and revolving products. The company also offers credit and debit cards; savings and investment products; business insurance products; and youth and student, Islamic and international banking, investment management, retirement planning, trust and will, and foreign exchange services. In addition, it provides corporate banking solutions; exchange traded products; market services; trade and working capital solutions; and cash management, payment, and liquidity products and solutions. The company was founded in 1991 and is headquartered in Johannesburg, South Africa. Absa Bank Limited is a subsidiary of Absa Group Limited.",ZAC,Financials,Banks,Banks,JNB,XJSE,Johannesburg Stock Exchange,South Africa,,Johannesburg,2001,http://www.absa.co.za,,,,,,,False
ACL.JO,ArcelorMittal,"ArcelorMittal, together with its subsidiaries, owns and operates steel manufacturing and mining facilities in Europe, North and South America, Asia, and Africa. The company's principal steel products include semi-finished flat products, such as slabs; finished flat products comprising plates, hot- and cold-rolled coils and sheets, hot-dipped and electro-galvanized coils and sheets, tinplate, and color coated coils and sheets; semi-finished long products, such as blooms and billets; finished long products, including bars, wire-rods, structural sections, rails, sheet piles, and wire-products; and seamless and welded pipes and tubes. Its principal mining products comprise iron ore lumps, fines, concentrates, pellets, and sinter feeds; and coking and thermal coal, and pulverized coal injections. The company sells its products to various customers in the automotive, appliance, engineering, construction, energy, and machinery industries through a centralized marketing organization, as well as distributors. It has iron ore mining activities in Brazil, Bosnia, Canada, Kazakhstan, Liberia, Mexico, and Ukraine; and coal mining activities in Kazakhstan. The company was founded in 1976 and is headquartered in Luxembourg City, Luxembourg.",ZAC,Materials,Materials,Metals & Mining,JNB,XJSE,Johannesburg Stock Exchange,Luxembourg,,Luxembourg City,1160,http://corporate.arcelormittal.com,Large Cap,,,BBG000BFHG27,BBG000BFHF10,BBG001S6KB97,False
ACS.JO,Acsion Limited,"Acsion Limited engages in property holding and development activities in South Africa. Its investment portfolio includes nine retail properties, including two regional shopping centers. The company develops regional shopping centers, community centers, convenience centers, neighborhood centers, and residential development projects, as well as industrial/commercial properties. Acsion Limited was incorporated in 2014 and is based in Centurion, South Africa.",ZAC,Real Estate,Real Estate,Real Estate Management & Development,JNB,XJSE,Johannesburg Stock Exchange,South Africa,,Centurion,157,http://www.acsionsa.co.za,,,,BBG007LW6JM8,BBG007LW6JK0,BBG007LW6JL9,False
ACT.JO,AfroCentric Investment Corporation Limited,"AfroCentric Investment Corporation Limited, an investment holding company, provides health administration and health risk management solutions to the healthcare sector. The company operates through Healthcare SA, Healthcare Retail, Healthcare Africa, and Information Technology segments. It offers documentation based care equipment and administration services to 12 musculoskeletal treatment centers; and engages in the retail and wholesale of pharmaceutical products under the Pharmacy Direct, MMed, Scriptpharm Risk Management, Curasana Wholesaler, and Activo Health names. The company also provides a platform that allows integration between healthcare stakeholders, such as medical aids, insurance companies, and healthcare providers. It operates in South Africa, Botswana, Mauritius, Namibia, Eswatini, and Zimbabwe. AfroCentric Investment Corporation Limited was founded in 2008 and is based in Roodepoort, South Africa.",ZAC,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,JNB,XJSE,Johannesburg Stock Exchange,South Africa,,Roodepoort,1709,http://www.afrocentric.za.com,,,,,,,False
ADETNC.JO,FNB ETN on ADOBEC NOV25,,ZAC,,,,JNB,XJSE,Johannesburg Stock Exchange,,,,,,,,,BBG00YCJFY72,BBG00YCJFY63,BBG00YCJFYB7,False
ADETNQ.JO,FNB ETN on ADOBEQ NOV25,,ZAC,,,,JNB,XJSE,Johannesburg Stock Exchange,,,,,,,,,BBG00YCJHLN0,BBG00YCJHLM1,BBG00YCJHLQ7,False
