symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
0001.KL,SCOMNET,"Scomnet specializes in providing manufacturing solutions and services, primarily focusing on medical devices and healthcare products in Malaysia. Their business model revolves around contract manufacturing, offering services such as product design, development, and assembly to clients in the medical industry. The company is headquartered in Malaysia.",MYR,Health Care,Health Care Equipment & Services,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0002.KL,KOTRA,"KOTRA Industries Berhad is involved in the manufacturing, marketing, and distribution of health supplement products. They operate primarily in Malaysia. KOTRA's business model focuses on producing and selling a range of health and wellness products.",MYR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0005.KL,UCREST,"UCREST provides IT and software development solutions in Malaysia. Their services include software development, system integration, and IT consulting. The company is based in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0006.KL,PINEAPP,,MYR,,,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0007.KL,PUC,"PUC Berhad, based in Malaysia, is involved in digital media, e-commerce, and technology ventures. They operate various online platforms and offer digital solutions. The company is diversifying its portfolio in the digital space.",MYR,Communication Services,Media & Entertainment,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0008.KL,WILLOW,"WILLOW is involved in investment holding and the provision of management services. Their business activities include property development and construction, primarily in Malaysia. The company focuses on delivering sustainable solutions for property development.",MYR,Real Estate,Real Estate,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0010.KL,IRIS,"IRIS Corporation Berhad is a solutions provider specializing in trusted identification, sustainable development, waste management, and building & construction. They are known for their expertise in e-passports and multi-application smart cards. IRIS is headquartered in Kuala Lumpur, Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0011.KL,BTECH,"BTECH Group Berhad, based in Malaysia, is an investment holding company that provides management services to its subsidiaries. The subsidiaries are involved in property development, construction, and related activities. The company focuses on property development projects in Malaysia.",MYR,Real Estate,Real Estate,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0017.KL,M3TECH,"M3TECH is a cybersecurity company that provides solutions and services to protect organizations from cyber threats. Their offerings include threat intelligence, security monitoring, and incident response. The company is based in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0018.KL,LAMBO,"Lambo Group Berhad, based in Malaysia, is involved in investment holding, trading and marketing of consumer products, and property development. The company aims to expand its presence in the e-commerce and property sectors. Their business strategy includes acquisitions and strategic partnerships.",MYR,Consumer Discretionary,Retailing,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0020.KL,NETX,"NetX Holdings Berhad provides IT services and solutions, including systems integration and software development. They cater to various industries and offer services such as cloud computing and cybersecurity. The company is headquartered in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0021.KL,GHLSYS,"GHL Systems Berhad provides payment solutions and services, including point-of-sale (POS) systems and payment gateways. They operate primarily in Southeast Asia, offering a range of payment options to merchants. The company is headquartered in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,,,,,,,,,,,,False
0022.KL,PARLO,"PARLO Corporation Berhad is involved in money lending, investment holding, and property investment, with its head office in Malaysia",MYR,Financials,Diversified Financials,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0023.KL,IFCAMSC,,MYR,,,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0024.KL,JAG,"JAG Berhad is involved in metal stamping, precision machining, and related manufacturing services. They serve various industries, including the automotive and electronics sectors. The company is based in Malaysia.",MYR,Industrials,Capital Goods,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0025.KL,YBS,"YBS International Berhad is engaged in precision plastic injection moulding and manufacturing of plastic parts and components. They cater to various industries including the electrical and electronics, automotive, and consumer products sectors. The company is based in Malaysia.",MYR,Industrials,Capital Goods,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0026.KL,NOVAMSC,"Nova MSC Berhad provides healthcare and building management solutions. Their services include software development, system integration and IT consulting. The company is headquartered in Singapore.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0026PA.KL,NOVAMSC-PA,"Nova MSC Berhad provides healthcare and building management solutions. Their services include software development, system integration and IT consulting. The company is headquartered in Singapore.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,,,,,,,,,,,,False
0028.KL,SCOPE,"Scope Industries Berhad manufactures and trades in hygiene and personal care products. Their products include baby diapers, sanitary napkins, and wet wipes. The company is based in Malaysia.",MYR,Consumer Staples,Household & Personal Products,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0029.KL,DIGISTA,"Digistar Corporation Berhad is involved in systems integration, telecommunications, and digital media services. They offer solutions for broadcasting, surveillance, and building automation. The company is based in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0032.KL,REDtone Digital Berhad,"REDtone Digital Berhad, an investment holding company, provides integrated telecommunications and digital infrastructure services in Malaysia. It operates through Telecommunication services; Managed Telecommunications Network Services; and Cloud and Internet of Things segments. The company offers telecommunication services, such as data, managed network services, Cloud PBX, SIP Trunking, and managed cybersecurity offerings to government, enterprises, and small and medium enterprises. It also provides managed telecommunications network services, including telecom engineering projects, such as Wi-Fi hotspots, mobile base stations, and fiber optic infrastructure; fixed network solutions, equipment installation and integration, and radio frequency design and network optimization solutions; and cloud services and applications, data center and disaster recovery, and Internet of Things for smart farming, smart cities, and healthcare solutions. In addition, the company engages in the provision of telecommunication related products and services, and information technology services. Further, the company offers system integration and software solutions and trades in computer hardware. Additionally, it provides information technology solutions, including cloud related products, and services; fiber optic transmission network and project management services related to telecommunications; fixed and mobile services and telecommunications related services; and business solutions in information technology, as well as builds interconnection of embedded computing device within existing internet infrastructures. REDtone Digital Berhad has a strategic partnership with GPTBots.AI to enhance enterprise AI services. The company was formerly known as REDtone International Berhad. The company was incorporated in 1996 and is headquartered in Puchong, Malaysia. REDtone Digital Berhad is a subsidiary of Berjaya Corporation Berhad.",MYR,,,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0034.KL,MMAG,"MMAG Holdings Berhad is involved in logistics and aviation services. The company provides services such as last mile delivery, warehousing and freight forwarding. The company is based in Malaysia.",MYR,Industrials,Transportation,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0034PA.KL,MMAG-PA,"MMAG Holdings Berhad is involved in logistics and aviation services. The company provides services such as last mile delivery, warehousing and freight forwarding. The company is based in Malaysia.",MYR,Industrials,Transportation,,KLS,XKLS,Bursa Malaysia,,,,,,,,,,,,False
0035.KL,OPCOM,"Opcom Holdings Berhad manufactures fiber optic cables and related products. They cater to the telecommunications industry, providing infrastructure solutions for network connectivity. The company is headquartered in Malaysia.",MYR,Industrials,Transportation,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0036.KL,KGROUP,"Kumpulan Powernet Berhad is involved in construction, property development, and manufacturing. The company undertakes construction projects, develops residential and commercial properties, and manufactures garments. They are based in Malaysia.",MYR,Industrials,Transportation,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0037.KL,RGB,"RGB International Bhd is an investment holding company specializing in the gaming and amusement machine industry. They design, manufacture, assemble, and distribute gaming machines and related products. The company operates primarily in Southeast Asia.",MYR,Consumer Discretionary,Consumer Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0038.KL,ARTRONIQ,"Artroniq Berhad, formerly known as Tek Seng Holdings Berhad, manufactures and sells printed circuit boards (PCBs). They serve various industries, including electronics and telecommunications. The company is based in Malaysia.",MYR,Industrials,Transportation,,KLS,XKLS,Bursa Malaysia,China,,,,,,,,,,,False
0039.KL,GFM,"GFM Services Berhad provides facilities management services, including infrastructure maintenance, cleaning, and security. They serve various sectors, including commercial, industrial, and healthcare. The company is based in Malaysia.",MYR,Industrials,Commercial & Professional Services,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0040.KL,OPENSYS,"OpenSys (M) Berhad provides solutions and services for the financial services, telecommunications, and utilities sectors. Their offerings include cash recycling machines, payment kiosks, and software solutions. The company is based in Malaysia.",MYR,Information Technology,Technology Hardware & Equipment,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0041.KL,HONGSENG,"Hong Seng Consolidated Berhad is involved in diverse businesses including glove manufacturing, healthcare, and financial services. They have expanded into these sectors through strategic acquisitions and diversification. The company is based in Malaysia.",MYR,Health Care,Health Care Equipment & Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0041PA.KL,HONGSENG-PA,"Hong Seng Consolidated Berhad is involved in diverse businesses including glove manufacturing, healthcare, and financial services. They have expanded into these sectors through strategic acquisitions and diversification. The company is based in Malaysia.",MYR,Health Care,Health Care Equipment & Services,,KLS,XKLS,Bursa Malaysia,,,,,,,,,,,,False
0043.KL,MTRONIC,"Mtronic Berhad, based in Malaysia, designs and manufactures automated equipment for various industries. They specialize in providing customized solutions for manufacturing processes. The company focuses on delivering innovative and efficient solutions for its clients.",MYR,Industrials,Capital Goods,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0048.KL,ANCOMLB,"Ancom Logistics Berhad provides logistics and transportation services. Their services include freight forwarding, warehousing, and distribution. The company is based in Malaysia.",MYR,Industrials,Transportation,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0049.KL,OCNCASH,"OCNCASH International Berhad is a provider of cash management solutions and services, including ATM outsourcing and cash-in-transit services. The company is based in Malaysia.",MYR,Financials,Banks,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0050.KL,SYSTECH,"Systech Bhd provides software development, system integration, and IT consultancy services. They cater to various industries and offer solutions for enterprise resource planning (ERP) and customer relationship management (CRM). The company is headquartered in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0051.KL,CUSCAPI,"CUSCAPI BERHAD is a provider of business management solutions including point-of-sale (POS) systems, cloud solutions and related services to retail and food and beverage businesses. The company is based in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0053.KL,OSKVI,"OSK Ventures International Berhad is a venture capital firm that invests in early-stage and growth-stage companies. They focus on technology-related sectors, including software, e-commerce, and telecommunications. The company is based in Malaysia.",MYR,Financials,Diversified Financials,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0054.KL,KARYON,"KARYON INDUSTRIES BERHAD manufactures and trades in polyethylene (PE) and polypropylene (PP) packaging products. Their products are used in various industries including food and beverage, agriculture, and industrial packaging. The company is based in Malaysia.",MYR,Materials,Materials,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0055.KL,SERSOL,"SERSOL Berhad provides ICT services and solutions, including software development and system integration. They also offer business process outsourcing services. The company is based in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0056.KL,GRANFLO,"Granflo Berhad is involved in the manufacturing and trading of industrial brushes. Their products are used in various industries, including manufacturing, cleaning, and surface finishing. The company is based in Malaysia.",MYR,Industrials,Commercial & Professional Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0058.KL,JCBNEXT,JCBNEXT Berhad is an investment holding company with interests in financial services and technology-related businesses. The company focuses on strategic investments and developing innovative solutions. It is based in Malaysia.,MYR,Financials,Diversified Financials,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0059.KL,ECOHLDS,Eco World International Berhad is involved in property development outside Malaysia. They develop residential and commercial properties in the United Kingdom and Australia. The company focuses on delivering high-quality and sustainable developments.,MYR,Real Estate,Real Estate,,KLS,XKLS,Bursa Malaysia,China,,,,,,,,,,,False
0064.KL,EFFICEN,"EFFICIENT E-SOLUTIONS BERHAD, is involved in providing information technology (IT) solutions and services including document management solutions. Their services include workflow automation and business process management. The company is based in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0065.KL,EFORCE,"EFORCE Berhad provides software solutions and services to the financial services industry. They offer trading platforms, risk management systems, and other financial technology solutions. The company is based in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0066.KL,VSOLAR,"VSOLAR GROUP BERHAD is involved in renewable energy and construction. They focus on solar energy projects, as well as providing engineering, procurement, and construction (EPC) services. The company is based in Malaysia.",MYR,Energy,Energy,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0068.KL,ASDION,"ASDION BERHAD is involved in providing information technology (IT) solutions, including system integration, consulting, and software development. They focus on various industries and provide services to government and private sector clients. The company is based in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0069.KL,VIVOCOM,"Vivocom Intl Holdings Berhad, based in Malaysia, is involved in construction, telecommunications infrastructure, and property development. They undertake construction projects and develop telecommunications infrastructure. The company is diversifying its business activities.",MYR,Industrials,Transportation,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0070.KL,MQTECH,"MQ Technology Berhad is involved in the manufacturing of precision tools, dies, and automated machinery. They cater to various industries, including semiconductor and electronics. The company is based in Malaysia.",MYR,Industrials,Capital Goods,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0074.KL,GOCEAN,GOCEAN is involved in shipping and logistics services. The company provides marine transportation and related services. The company is based in Malaysia.,MYR,Industrials,Transportation,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0075.KL,LYC,"LYC Healthcare Berhad provides healthcare services, including aesthetics, dentistry, and fertility treatments. The company operates clinics and centers offering a range of medical and wellness services. They are based in Malaysia.",MYR,Health Care,Health Care Equipment & Services,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0078.KL,GDEX,"GD Express Carrier Berhad is a courier and logistics services provider, offering express delivery and freight forwarding solutions. Their services include domestic and international shipping, serving businesses and individuals. The company is headquartered in Malaysia.",MYR,Industrials,Transportation,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0079.KL,ORION,"Orion IXL Berhad is involved in providing information technology (IT) and e-learning solutions. They offer software development and system integration services, primarily for the education sector. The company is based in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0080.KL,STRAITS,"Straits Inter Logistics Berhad is involved in oil trading, bunkering, and shipping services. The company provides bunkering services to vessels and engages in the trading of petroleum products. They are based in Malaysia.",MYR,Energy,Energy,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0081.KL,MEGASUN,Megasun Berhad manufactures and sells solar power products. Their products include solar panels and solar systems. The company is based in Malaysia.,MYR,Energy,Energy,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0082.KL,GPACKET,"G-PACKET BERHAD, is involved in providing telecommunication services, including satellite-based telecommunication services. The company's services include broadband internet access. The company is based in Malaysia.",MYR,Communication Services,Telecommunication Services,,KLS,XKLS,Bursa Malaysia,China,,,,,,,,,,,False
0083.KL,NOTION,"Notion VTEC Berhad manufactures precision components and tooling for various industries, including hard disk drives (HDD), automotive, and personal protective equipment (PPE). They specialize in high-precision engineering and manufacturing solutions. The company is based in Malaysia.",MYR,Industrials,Capital Goods,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0084.KL,TECFAST,"TECFAST HOLDINGS BERHAD is involved in distribution of industrial supplies, including cutting tools and precision tools. Their products are used in the manufacturing and engineering sectors. The company is based in Malaysia.",MYR,Industrials,Commercial & Professional Services,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0085.KL,MLAB,"MLAB Systems Berhad is a Malaysia-based company providing solutions for network testing, measurement, and security intelligence. They offer products and services to telecommunications companies, enterprises, and government agencies, focusing on improving network performance and security. The company is headquartered in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0086.KL,YGL,,MYR,,,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0089.KL,TEXCYCL,"Tex Cycle Technology (M) Berhad is involved in the recovery and recycling of scheduled wastes, turning them into reusable resources. They also offer environmental management services and renewable energy solutions, promoting sustainability. The company is based in Malaysia.",MYR,Industrials,Commercial & Professional Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0090.KL,ELSOFT,"Elsoft Research Berhad designs and develops automated test equipment for the semiconductor, optoelectronics, and automation industries. Headquartered in Malaysia, the company provides solutions for its global customer base. Their products are used in various applications, including testing of LED and image sensors.",MYR,Information Technology,Technology Hardware & Equipment,,KLS,XKLS,Bursa Malaysia,China,,,,,,,,,,,False
0091.KL,DAYA,"Daya Materials Berhad is an investment holding company with interests in businesses such as oil and gas, construction, and property development. The company, based in Malaysia, aims to provide integrated solutions across its various business segments. They operate in Malaysia and internationally.",MYR,Industrials,Transportation,,KLS,XKLS,Bursa Malaysia,,,,,,,,,,,,False
0092.KL,MTOUCHE,"MTOUCHE Technology Berhad is a technology company that provides mobile solutions, including mobile content, mobile advertising, and mobile platforms. Based in Malaysia, the company focuses on delivering innovative solutions to businesses and consumers. They are known for their work in mobile value-added services.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0093.KL,SOLUTN,"Solution Group Berhad is involved in the manufacturing of precision tools, die-casting, and plastic injection molding. The company also offers related services such as product design and development. Headquartered in Malaysia, Solution Group serves various industries with its manufacturing capabilities.",MYR,Industrials,Capital Goods,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0094.KL,INIX,"Inix Technologies Holdings Berhad is an investment holding company, with its subsidiaries involved in businesses such as information technology and property development. The company, based in Malaysia, aims to grow its businesses through strategic investments. They have been involved in various ventures over the years.",MYR,Information Technology,Technology Hardware & Equipment,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0096.KL,NEXGRAM,"Nexgram Holdings Berhad is involved in businesses such as property development, information technology, and security services. Headquartered in Malaysia, the company aims to diversify its operations and create value for its shareholders. They have undertaken various projects in different sectors.",MYR,Industrials,Commercial & Professional Services,,KLS,XKLS,Bursa Malaysia,China,,,,,,,,,,,False
0097.KL,VITROX,"ViTrox Corporation Berhad designs and manufactures automated vision inspection equipment and system-on-chip embedded electronic components assembly equipment for the semiconductor and electronics industries. Headquartered in Malaysia, the company serves a global customer base with its advanced inspection solutions. Their products are used to ensure quality and reliability in manufacturing processes.",MYR,Information Technology,Technology Hardware & Equipment,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0098.KL,BAHVEST,"Bahvest Resources Berhad is primarily involved in gold mining and exploration activities. Based in Malaysia, the company is focused on developing its gold mining operations and expanding its reserves. They are actively engaged in exploration activities to identify new gold deposits.",MYR,Materials,Materials,,KLS,XKLS,Bursa Malaysia,China,,,,,,,,,,,False
0099.KL,SCICOM,"Scicom (MSC) Berhad provides business process outsourcing (BPO) services, including customer relationship management, education, and e-commerce solutions. Headquartered in Malaysia, the company serves clients globally with its outsourcing capabilities. They focus on delivering high-quality services and innovative solutions.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0100.KL,ESCERAM,,MYR,,,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0101.KL,TMCLIFE,"TMC Life Sciences Berhad is an investment holding company with interests in healthcare services, particularly in fertility treatment and related medical services. The company operates through its subsidiaries, including Thomson Hospital Kota Damansara. TMC Life Sciences Berhad is based in Malaysia.",MYR,Health Care,Health Care Equipment & Services,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0102.KL,CONNECT,"CONNECT COUNTY HOLDINGS BERHAD is involved in manufacturing of copper rods, wires and cables. They serve both domestic and international customers with their products. The company is based in Malaysia.",MYR,Materials,Materials,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0103.KL,MNC,"MNC Wireless Berhad is a Malaysia-based investment holding company with investments in technology and ICT companies. They focus on providing solutions in areas like telecommunications, mobile applications, and Internet of Things (IoT). Their headquarters are in Malaysia.",MYR,Information Technology,Technology Hardware & Equipment,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0104.KL,GENETEC,"Genetec Technology Berhad specializes in providing customized factory automation solutions and integrated vision inspection systems. The company caters to various industries, including the hard disk drive, electronics, and automotive sectors. Genetec Technology Berhad is based in Malaysia.",MYR,Industrials,Capital Goods,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0105.KL,ASIAPLY,"Asiatic Plywood Industries Berhad is involved in the manufacturing and sale of plywood, veneer, and other wood products. The company's operations include forestry, timber processing, and distribution of wood-based products. Asiatic Plywood Industries Berhad is based in Malaysia.",MYR,Materials,Materials,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0105PA.KL,ASIAPLY-PA,,MYR,,,,KLS,XKLS,Bursa Malaysia,,,,,,,,,,,,False
0106.KL,REXIT,"Rexit Berhad provides software solutions and services to the insurance industry. Their offerings include policy administration systems, claims management systems, and other related software products. The company is headquartered in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Hong Kong,,,,,,,,,,,False
0107.KL,EDUSPEC,"Eduspec Holdings Berhad provides educational technology solutions, including hardware, software, and content, to schools and educational institutions. The company focuses on enhancing the learning experience through technology. Eduspec Holdings Berhad is based in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,China,,,,,,,,,,,False
0108.KL,N2N,"N2N Connect Berhad provides trading solutions and services to the financial services industry. Their platform enables brokers and traders to access market data, execute trades, and manage their portfolios. N2N Connect Berhad is based in Malaysia.",MYR,Information Technology,Software & Services,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
0109.KL,SCBUILD,"SC Estate Builder Berhad, formerly known as S.C.Buildtech Berhad, is a Malaysia-based company primarily involved in property development and construction activities. They focus on developing residential and commercial properties in Malaysia. The company has undertaken various projects in different locations.",MYR,Real Estate,Real Estate,,KLS,XKLS,Bursa Malaysia,Malaysia,,,,,,,,,,,False
