symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
000250.KQ,"Sam Chun Dang Pharm. Co., Ltd","Sam Chun Dang Pharm. Co., Ltd manufactures, distributes, imports, and exports pharmaceuticals in South Korea. It provides ophthalmology, cardiovascular, endocrinology, antibacterial, anti-fungal, antiviral, respiratory, anti-inflammatory, antihistamine, and musculoskeletal products, as well as vitamins and gastro intestine products. The company was founded in 1943 and is headquartered in Seoul, South Korea.",KRW,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,KOE,XKOS,KONEX,South Korea,,Seoul,6643,http://www.scd.co.kr,Small Cap,,,BBG000CBJVQ4,BBG000CBJTV3,BBG001SG4JC2,False
000440.KQ,"Joong Ang Enervis Co., Ltd","Joong Ang Enervis Co., Ltd markets petroleum products in South Korea. The company is also involved in power generation. Joong Ang Enervis Co., Ltd was founded in 1946 and is headquartered in Seoul, South Korea.",KRW,Energy,Energy,,KOE,XKOS,KONEX,South Korea,,Seoul,,http://www.enervis.co.kr,Micro Cap,,,BBG000C18VY9,BBG000C18TF5,BBG001SD5FP2,False
001000.KQ,"Silla Textile Co.,Ltd","Silla Textile Co., Ltd. engages in the manufacture and export of synthetic fibers and textiles. The company's product line includes polyester, span, moss crepe, chiffon, satin, and rayon. Silla Textile Co., Ltd. sells its products under the crown brand name. The company was founded in 1976 and is based in Daegu, South Korea.",KRW,Consumer Discretionary,Consumer Durables & Apparel,,KOE,XKOS,KONEX,South Korea,,Daegu,,http://www.silladanji.co.kr,Micro Cap,,,BBG000C18YD6,BBG000C18WH6,BBG001SD5FQ1,False
001540.KQ,"Ahn-Gook Pharmaceutical Co., Ltd.","Ahn-Gook Pharmaceutical Co., Ltd. develops and supplies pharmaceutical products. The company was founded in 1955 and is headquartered in Hwaseong, South Korea.",KRW,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,KOE,XKOS,KONEX,South Korea,,Hwaseong-si,,http://www.ahn-gook.com,Micro Cap,,,BBG000BXPLH2,BBG000BXPJZ7,BBG001SFGLL6,False
001810.KQ,"Moorim SP Co., Ltd.","Moorim SP Co., Ltd. designs and sells various paper products. Its products include industry, information, commodity, and fancy papers. The company was founded in 1956 and is headquartered in Seoul, South Korea.",KRW,Materials,Materials,,KOE,XKOS,KONEX,South Korea,,Seoul,6027,http://www.moorim.co.kr,Micro Cap,,,BBG000DL9KQ6,BBG000DL9JD3,BBG001SDNKH0,False
002290.KQ,"Samil Enterprise Co., Ltd.","Samil Enterprise Co., Ltd. provides construction and engineering services in South Korea. The company constructs high-rise buildings, complex business facilities, factories, research institutes, and hospitals, as well as GMP facilities, which includes office buildings. It also engages in civil engineering and plant business. Samil Enterprise Co., Ltd. was founded in 1958 and is based in Seoul, South Korea.",KRW,Industrials,Capital Goods,,KOE,XKOS,KONEX,South Korea,,Seoul,,http://www.samilenter.com,Micro Cap,,,BBG000C192D5,BBG000C190X7,BBG001SD5GG0,False
002680.KQ,Hantop Inc.,"Hantop Inc. manufactures and sells wheat flour and mixed feed in South Korea. The company was formerly known as Young Nam Flour Mills Co., Ltd. and changed its name to Hantop Inc. in March 2015. Hantop Inc. was founded in 1959 and is headquartered in Busan, South Korea.",KRW,Consumer Staples,"Food, Beverage & Tobacco",,KOE,XKOS,KONEX,South Korea,,Busan,,http://www.hantop.com,Nano Cap,,,BBG000C19414,BBG000C193M3,BBG001SD5GK5,False
002800.KQ,"Sinsin Pharmaceutical Co., Ltd","Sinsin Pharmaceutical Co., Ltd manufactures and sells pharmaceutical products in South Korea. It offers pain relief and treatment products; insects care products; foot care products; head lice and dandruff care products; adhesive bandages; and other products. The company also exports its products to 35 countries, including the United States and Canada. Sinsin Pharmaceutical Co., Ltd was founded in 1959 and is headquartered in Sejong, South Korea.",KRW,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,KOE,XKOS,KONEX,South Korea,,Sejong,30002,http://www.sinsin.com,Micro Cap,,,BBG00FRN13R9,BBG001V482Z3,BBG002MWZJD6,False
003100.KQ,"SUN KWANG CO.,Ltd.","SUN KWANG CO.,Ltd. provides logistics services in South Korea. The company offers stevedoring services for automobiles, bulk cargo, timber, general goods, and car ferry CY/CFS primarily in the Incheon, Gunsan, North Port, and Pyeongtaek and Dangjin port terminals; and freight transportation services for general goods, timber, wood, metal, containers, and other various types of cargo. It is also involved in the provision of heavy transportation services, including the handling of construction equipment, bridge blocks, and other heavy transport, as well as their customs, handling, and shipping. In addition, the company offers storage, customs, container and grain terminal, sea sand, grain silo, freight forwarding, and other services. The company was founded in 1948 and is headquartered in Incheon, South Korea.",KRW,Industrials,Transportation,,KOE,XKOS,KONEX,South Korea,,Incheon,,http://www.sun-kwang.co.kr,Micro Cap,,,BBG000C4YYR6,BBG000C4YXZ9,BBG001SDMM96,False
003310.KQ,Daejoo Inc.,"Daejoo Inc. produces mixed feed products in South Korea. The company offers feed products for pigs, chickens, dogs, and cats. It also engages in the consignment breeding and sale of poultry. The company was formerly known as Hankook Livestock Development. Daejoo Inc. was founded in 1962 and is based in Seoul, South Korea.",KRW,Consumer Staples,"Food, Beverage & Tobacco",,KOE,XKOS,KONEX,South Korea,,Seoul,,http://www.daejooinc.com,Micro Cap,,,BBG000C197W3,BBG000C196L7,BBG001SD5GM3,False
