symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
ALTR.LS,"Altri, SGPS, S.A.","Altri, SGPS, S.A. produces bleached eucalyptus pulp in Portugal and internationally. It offers bleached eucalyptus kraft pulp for use in a range of papers, such as fine paper grades, tissues, and printing and writing papers; and dissolving pulp for use in textile production. The company is also involved timber commercialization; forest management; the production of energy from forest resources, such as industrial cogeneration from black liquor and biomass; real estate activities; and production of plants in nurseries, as well as the provision of services related with forests and landscapes. It also exports its products. The company was incorporated in 2005 and is headquartered in Porto, Portugal.",EUR,Materials,Materials,Paper & Forest Products,LIS,XLIS,Euronext Lisbon,Portugal,,Porto,4100-320,http://www.altri.pt,Small Cap,PTALT0AE0002,,BBG000CPTRF3,BBG000CPTQL8,BBG001SFN9V4,False
BBINI.LS,,,,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BBPCD.LS,BIAL FRN 24OCT23,,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BCNSA.LS,"ESTADO 2,75%PL",,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BCNSB.LS,Portugal 3% BDS PERP EUR0.01,,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BCNSD.LS,Portugal 4% BDS PERP EUR0.01,,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BCP.LS,"Banco Comercial Portugues, S.A.","Banco Comercial PortuguÃªs, S.A., together with its subsidiaries, provides various banking and financial products and services under the Millennium bcp brand. It operates through Retail Banking; Companies, Corporate & Investment Banking; Private Banking; Foreign Business; and Other segments. The company offers a range of financial products and services, including current accounts, payment systems, savings and investment products, and private banking services; and asset management and investment banking services, such as mortgage loans, consumer credit, commercial banking, leasing, factoring and insurance, and others. It also provides venture capital, real-estate management, e-commerce, brokerage, real estate investment fund, consulting, investment fund management, trade finance, and trust, as well as Internet, telephone, and mobile banking services. As of December 31, 2020, the company operated through 1,380 branches, including 478 branches in Portugal and 902 branches internationally. Banco Comercial PortuguÃªs, S.A. was incorporated in 1985 and is based in Porto, Portugal.",EUR,Financials,Banks,Banks,LIS,XLIS,Euronext Lisbon,Portugal,,Porto,4000-295,http://ind.millenniumbcp.pt,Mid Cap,PTBCP0AM0015,,BBG000CYXQY0,BBG000CYXPX3,BBG001S6T4Q5,False
BESSM.LS,"BESI 8,5%PLD",,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BFCPJ.LS,"Futebol Clube do Porto - Futebol, S.A.D. 4.25% BDS 09/06/2020 EUR5",,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,Mid Cap,,,,,,False
BFCPR.LS,"FCP 4,75% 7JUN21",,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BFNI1.LS,"Montepio Holding, S.G.P.S., S.A. 7%-FRN 31/12/2049 EUR1000",,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BMENW.LS,"MOTA 4,5% 28NOV22",,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BMENX.LS,"MOTA 4,375%30OCT24",,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BOTEK.LS,Portugal 2.875% SNR BDS 15/10/2025 EUR0.01 'REGS',,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BOTES.LS,Portugal 5.65% SNR BDS 15/02/2024 EUR0.01 'REGS',,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BOTET.LS,"AgÊncia De GestÃo Da Tesouraria E Da DÍvida PÚblica - Igcp, E.P.E. 3.875% SNR NTS 15/02/2030 EUR0.01 'REGS'",,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BOTEW.LS,Portugal 2.2% SNR NTS 17/10/2022 EUR0.01 'REGS',,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BOTEX.LS,Portugal 2.875% SNR BDS 21/07/2026 EUR0.01 'REGS',,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BOTEZ.LS,OT 4.125% 14APR27,,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BSCPH.LS,"SCP 5,25% 26NOV21",,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BSINA.LS,"SIC 4,5% 11JUL22",,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BSLBA.LS,"SLB 3,75% 20MAY22",,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BSLBB.LS,SLB 4% 17JUL23,,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BSLBM.LS,SLB 4% 16JUL21,,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BTAPB.LS,"TAP 4,375% 23JUN23",,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BTRVA.LS,"GNB - Companhia de Seguros de Vida, S.A. FRN 19/12/22 EUR50",,EUR,,,,LIS,XLIS,Euronext Lisbon,,,,,,,,,,,,False
BTRVB.LS,"GamaLife - Companhia de Seguros de Vida, S.A.","GamaLife - Companhia de Seguros de Vida, S.A. provides insurance and reinsurance products. The company was formerly known as GNB - Companhia de Seguros de Vida, S.A. and changed its name to GamaLife - Companhia de Seguros de Vida, S.A. in March 2020. GamaLife - Companhia de Seguros de Vida, S.A. was founded in 1993 and is based in Lisbon, Portugal.",EUR,Financials,Insurance,,LIS,XLIS,Euronext Lisbon,Portugal,,Lisbon,1250-069,http://www.gamalife.pt,Mid Cap,,,,,,False
CDU.LS,"Conduril - Engenharia, S.A.","Conduril - Engenharia, S.A. executes civil engineering and public works in Portugal and internationally. It undertakes transport infrastructure; energy, environment, and hydraulic; maritime; building; and other projects. The company was founded in 1959 and is headquartered in Ermesinde, Portugal.",EUR,Industrials,Capital Goods,Construction & Engineering,LIS,XLIS,Euronext Lisbon,Portugal,,Ermesinde,4445-416,http://www.conduril.pt,Micro Cap,,,BBG000BJ0326,BBG000BJ01S2,BBG001S77B54,True
