symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
480S.MC,Soluciones Cuatroochenta S.A.,"Soluciones Cuatroochenta S.A., a technology company, dedicated to the development and implementation of digital solutions in the cloud, responding to the challenges and objectives of its clients in Europe and Latin America. The Company's objectives to enter the market are access to financing to continue growing, improving transparency for shareholders as well as financial institutions, employees and customers and opening the Company to more people and entities to participate in its project. Starting from its origins as an app developer, the Company has become a solvent technological partner to undertake digital transformation with management and cybersecurity solutions. A service that adapts to the needs of each organization to improve its performance, with the philosophy of putting technology at the service of customers from its birth. Soluciones Cuatroochenta S.A. was founded in 2011 and is based in Castellón de la Plana, Spain with additional offices in Madrid and Barcelona, Spain; Panama City, Panama; Bogotá, Colombia; Ciudad Autónoma de Buenos Aires, Argentina; and Milan, Italy.",EUR,,,,MCE,XMAD,Sociedad de Bolsas (SIBE),Spain,,,,,,,,BBG00XZ92JM1,BBG00XZ92JG8,BBG00XZ92JP8,False
A3M.MC,"Atresmedia Corporacion de Medios de Comunicacion, S.A.","Atresmedia Corporaci√É¬≥n de Medios de Comunicaci√É¬≥n, S.A., an audiovisual company, engages in the television, digital and multimedia development, advertising, cinema, radio, Internet, and events organization businesses in Spain and internationally. The company is involved in the production, distribution, dissemination, and marketing of audiovisual content; and management of music rights and copyrights, as well as provision of IT services. It operates the Antena 3, La Sexta, Onda Cero, Europa FM, etc. brands. The company was formerly known as Antena 3 de Televisi√É¬≥n, S.A. Atresmedia Corporaci√É¬≥n de Medios de Comunicaci√É¬≥n, S.A. was incorporated in 1988 and is based in San Sebasti√É¬°n de los Reyes, Spain.",EUR,Communication Services,Media & Entertainment,Entertainment,MCE,XMAD,Sociedad de Bolsas (SIBE),Spain,,San Sebastian de los Reyes,28703,http://www.atresmediacorporacion.com,Small Cap,,,BBG000F5P4Y8,BBG000F5P2F3,BBG001SDCY73,False
ACS.MC,"ACS, Actividades de Construccion y Servicios, S.A.","ACS, Actividades de Construcci√É¬≥n y Servicios, S.A. provides construction and related services in Spain, Rest of Europe, North America, South America, the Asia Pacific, and Africa. The company undertakes construction activities related to development of highways, railways, maritime, and airport works; residential, and social infrastructure and facilities; and contracts for the provision of mining services and infrastructure required for mining activities. It is also involved in the industrial maintenance contracts and services, as well as support services to the clients' operational activities, including electricity, gas, and water network maintenance services and activities; construction, installation, and maintenance services for high-voltage electricity lines, telecommunications systems, railway installations, electricity facilities, mechanical assemblies, and heating and cooling systems; and installation and operational control systems for industrial and municipal services, as well as the execution of EPC projects for the design, construction, and commissioning of projects connected to the energy sector. In addition, the company offers services for people, such as care for the elderly, as well as managing playschools, and collective restoration activities; for buildings, including maintenance, energy efficiency, cleaning, security, logistics, and related services; and to city and environment comprising public lighting management, environmental, and airport services. ACS, Actividades de Construcci√É¬≥n y Servicios, S.A. was founded in 1997 and is headquartered in Madrid, Spain.",EUR,Industrials,Capital Goods,Construction & Engineering,MCE,XMAD,Sociedad de Bolsas (SIBE),Spain,,Madrid,28036,http://www.grupoacs.com,Mid Cap,US00089H1068,00089H106,BBG000BMW592,BBG000BMW3R7,BBG001S9RZP3,False
ACX.MC,"Acerinox, S.A.","Acerinox, S.A., through its subsidiaries, manufactures, transforms, and markets stainless steel products in Spain, the Americas, Africa, Asia, Oceania, and rest of Europe. The company's Flat Stainless Steel Products segment offers billets, black coil, circles, cold rolled coil and sheet, engraved coil/sheet, hot rolled coil and sheet, plates, and slabs. Its Long Stainless Steel Products segment provides angles, bars, black bar, cold rolled and hot rolled reinforcement bar, color coated wire, hexagonal wire rod, hot rolled reinforcement coil, peeled bar, profiles, reinforcement wire, wires, and wire rods. Acerinox, S.A. was founded in 1970 and is headquartered in Madrid, Spain.",EUR,Materials,Materials,Metals & Mining,MCE,XMAD,Sociedad de Bolsas (SIBE),Spain,,Madrid,28035,http://www.acerinox.com,Mid Cap,,00444E103,BBG000BB82S9,BBG000BB7ZC4,BBG001S5TDJ5,False
ADL.MC,"ADL Bionatur Solutions, S.A.","ADL Bionatur Solutions, S.A. engages in the research, development, manufacturing, and commercialization of products in biotech and pharmaceutical industry in Spain. It provides solutions in health, nutrition, cosmetics, and materials. The company was founded in 1954 and is headquartered in C√É¬°diz, Spain.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,MCE,XMAD,Sociedad de Bolsas (SIBE),Spain,,Cadiz,11591,http://www.adlbionatur.com,Nano Cap,DE0005008007,,,,BBG001S6KH12,False
ADX.MC,Audax Renovables SA,"Audax Renovables, S.A. engages in the generation and supplying of renewable electricity and gas in Spain, Portugal, Italy, Germany, Poland, the Netherlands, and Hungary. The company generates electricity primarily through wind and solar energy. It runs a portfolio of operating wind farms of 91 MW. The company was incorporated in 2000 and is based in Badalona, Spain.",EUR,Utilities,Utilities,Independent Power and Renewable Electricity Producers,MCE,XMAD,Sociedad de Bolsas (SIBE),Spain,,Badalona,8911,http://www.audaxrenovables.com,Small Cap,ES0136463017,,BBG000D7WWF7,BBG000D7VQ89,BBG001SMH090,False
ADZ.MC,"Adolfo Dominguez, S.A.","Adolfo Dom√É¬≠nguez, S.A. engages in the design, manufacture, acquisition, sale, marketing, import, and export of ready-made clothing, footwear, handbags and accessories, household linens, furniture products, and decorative objects. The company offers its products through stores and online under the Adolfo Dom√É¬≠nguez brand. As of February 28, 2020, it operated 3 stores under direct management and 4 corner stores in Portugal. The company operates in Spain, Belgium, China, the United States, France, Japan, Mexico, Portugal, and the United Kingdom. The company was formerly known as Nuevas Franquicias, S.A. and changed its name to Adolfo Dom√É¬≠nguez, S.A. in November 1996. Adolfo Dom√É¬≠nguez, S.A. was founded in 1973 and is based in Ourense, Spain.",EUR,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",MCE,XMAD,Sociedad de Bolsas (SIBE),Spain,,Ourense,32901,http://www.adolfodominguez.com,Nano Cap,,,BBG000BRFFX1,BBG000BRFD84,BBG001S96ZW8,False
AEDAS.MC,"Aedas Homes, S.A.","Aedas Homes, S.A. engages in the development of residential buildings in Spain. The company was incorporated in 2016 and is based in Madrid, Spain. Aedas Homes, S.A. is a subsidiary of Hipoteca 43 Lux, S.A.R.L.",EUR,Industrials,Capital Goods,Construction & Engineering,MCE,XMAD,Sociedad de Bolsas (SIBE),Spain,,Madrid,28046,http://www.aedashomes.com,Small Cap,,,BBG00HT8GW87,BBG00HT8GW32,BBG00HT8GWB3,False
AENA.MC,"Aena S.M.E., S.A.","Aena S.M.E., S.A., together with its subsidiaries, operates, maintains, manages, and administers airport infrastructures and heliports in Spain, the United Kingdom, Mexico, Colombia, Cuba, and internationally. The company operates through Airports, Real Estate Services, and International segments. It also operates and manages commercial spaces in airport terminals and car parks network; and rents areas in airport terminals for stores, food and beverage outlets, and advertising. In addition, the company manages industrial and real estate assets, such as land, warehouses, and hangars; and manages cargo centers. It manages 46 airports in Spain; 12 airports in Mexico; 2 airports in Colombia; and 1 airport in the United Kingdom. The company was formerly known as Aena, S.A. and changed its name to Aena S.M.E., S.A. in April 2017. The company was founded in 2010 and is headquartered in Madrid, Spain. Aena S.M.E., S.A. is a subsidiary of ENAIRE.",EUR,Industrials,Transportation,Air Freight & Logistics,MCE,XMAD,Sociedad de Bolsas (SIBE),Spain,,Madrid,28042,http://www.aena.es,Large Cap,US00774W1036,00774W103,,,,False
AGIL.MC,"Agile Content, S.A.","Agile Content, S.A. provides tools that enables publishers and brands to curate, deliver, and monetize their contents, audiences, videos, and other contents online in Spain. The company offers solutions, such as digital-first content management and delivery services; optimized and personalized mobile experience for reading and watching content; identity and relationships management; and video cloud for video management and distribution platform. It also provides sales automation with integrated audience data; content based value added services; and multimedia platform that allows managed service providers to build and maintain relationship tools for customers. The company was founded in 2007 and is based in Barcelona, Spain.",EUR,Information Technology,Software & Services,Software,MCE,XMAD,Sociedad de Bolsas (SIBE),Spain,,Barcelona,8036,http://www.agilecontent.com,Micro Cap,,,BBG00BH5RRM2,BBG00BH5RRF0,BBG00BH5RRD2,False
