symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
0JN9N.MX,DSV Panalpina A/S,"DSV Panalpina A/S provides transport and logistics services in Europe, the Middle East, Africa, North America, South America, Asia, Australia, and the Pacific. It operates through three segments: Air & Sea, Road, and Solutions. The company offers air freight, air freight compliance and carrier, and rail freight services; sea freight, and sea freight compliance and carrier services, as well as freight containers. It also provides road freight services, such as part and full loads, groupage, specialized transport, packaging and labeling, and document handling services, as well as online services comprising track and trace services. In addition, the company offers logistics solutions for automotive, consumer products, healthcare, high-tech, and industrial sectors; and inventory management solutions. Further, it provides project transport services, such as industrial projects, renewable energy, government logistics, ship charter, and air charter services; and warehousing services. The company was formerly known as DSV A/S and changed its name to DSV Panalpina A/S in September 2019. DSV Panalpina A/S was founded in 1976 and is headquartered in Hedehusene, Denmark.",MXN,Industrials,Transportation,Air Freight & Logistics,MEX,XMEX,Mexico Stock Exchange,Denmark,,Hedehusene,2640,http://www.dsv.com,Large Cap,,,BBG008G86714,BBG008G86714,BBG001SDC291,False
0QBON.MX,Coloplast A/S,"Coloplast A/S develops and markets intimate healthcare products and services worldwide. It provides ostomy care products, including SenSura Mio, which provides fit individual body shapes and optimal discretion for various types of ostomies; and SenSura Ostomy care solutions, as well as ostomy accessories under the Brava brand. The company also offers continence care products, such as SpeediCath catheters that offer catheterization for both genders; Peristeen, an anal irrigation system for controlled emptying of the bowels; and Conveen Active urine bags. In addition, it provides wound care products, such as foam dressings under the Biatain brand and hydrocolloid dressing under the Comfeel brand, as well as skin care products, such as bathing and cleansing products, moisturizers, skin protectants, antifungal products, hand cleanser, and odor control products. Further, the company develops, produces, and markets products for the surgical treatment of urological and gynecological disorders, such as urinary stone diseases, benign prostate hyperplasia, voiding dysfunctions, erectile dysfunction, and urinary incontinence. Coloplast A/S was founded in 1954 and is headquartered in HumlebÃ¦k, Denmark.",MXN,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,MEX,XMEX,Mexico Stock Exchange,Denmark,,Humlebaek,3050,http://www.coloplast.com,Large Cap,US19624Y2000,19624Y200,BBG008G866Y0,BBG008G866Y0,BBG001S97633,False
0R87N.MX,ASSA ABLOY AB (publ),"ASSA ABLOY AB (publ) provides door opening products, solutions, and services for the institutional, commercial, and residential markets in Europe, the Middle East, Africa, North and South America, Asia, and Oceania. The company offers mechanical and electromechanical locks, digital door locks, cylinders, door fittings, security doors, door frames, access control devices, and fire doors, as well as hardware products. It also provides identity solutions, including identity and access management, biometrics, authenticity and brand protection products, contactless RFID tags and transponders, and government IDs to companies, and government and state institutions, as well as healthcare, education, and financial industries; and secure access solutions for hotels, cruise ships, student accommodations, and elderly care facilities. In addition, the company offers entrance automation products, services, and components, such as automatic swing, sliding, and revolving doors; industrial doors; garage doors; high-performance doors; docking solutions; hangar doors; gate automation products; components for overhead sectional doors and sensors; and high security fencings and gates. The company provides its products primarily under the ASSA ABLOY, Yale, and HID brands. It sells its products through distributors, wholesalers, and home improvement stores. ASSA ABLOY AB (publ) was incorporated in 1954 and is based in Stockholm, Sweden.",MXN,Industrials,Commercial & Professional Services,Professional Services,MEX,XMEX,Mexico Stock Exchange,Sweden,,Stockholm,,http://www.assaabloy.com,Large Cap,,,,BBG007QV77K2,BBG001S66J50,False
3391N.MX,Tsuruha Holdings Inc.,"Tsuruha Holdings Inc. operates drugstores in Japan. Its drugstores offer medicines and supplements, as well as health, beauty, and diet goods. The company operates approximately 1,600 stores. It also sells products through mail order and online shops. The company was founded in 1929 and is headquartered in Sapporo, Japan.",MXN,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,MEX,XMEX,Mexico Stock Exchange,Japan,,Sapporo,065-0024,http://www.tsuruha-hd.co.jp,Mid Cap,,,,,,False
3690N.MX,Meituan,"Meituan, an investment holding company, provides an e-commerce platform that uses technology to connect consumers and merchants. It operates through Food Delivery; In-store, Hotel & Travel; and New Initiatives and Others segments. The Food Delivery segment offers food ordering and delivery service through its platform. The In-Store, Hotel & Travel segment enables merchants to sell vouchers, coupons, tickets, and reservations through the company's platform. The New Initiatives and Others segment offers restaurant management system, supply chain, Meituan Instashopping, integrated payment, micro loan, local transportation, non-food delivery, and other products and services, as well as pilot car-hailing and bike-sharing services. The company also offers multimedia information technology, cloud computing, merchant information advisory, online payment, and marketing services. The company was formerly known as Meituan Dianping and changed its name to Meituan in October 2020. Meituan was founded in 2003 and is headquartered in Beijing, China.",MXN,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,MEX,XMEX,Mexico Stock Exchange,China,,Beijing,100102,http://about.meituan.com,Mega Cap,US58533E1038,58533E103,BBG00W0K4J80,BBG00W0K4J80,BBG00LLV9WX5,False
4543N.MX,Terumo Corporation,"Terumo Corporation develops, manufactures, and distributes medical devices and services worldwide. The company operates through three segments: Cardiac and Vascular Company, General Hospital Company, and Blood and Cell Technologies Company. The Cardiac and Vascular Company segment offers angiographic guidewires, angiographic catheters, introducer sheaths, vascular closure devices, PTCA balloon catheters, coronary stents, self-expanding peripheral stent, intravascular ultrasound systems, drug-eluting stents, imaging catheters, and others; coils and stents for treating cerebral aneurysm, aspiration catheters and clot retrievers for treating ischemic stroke, and others; oxygenators, flow diverters, cardio-pulmonary bypass systems, and others; and artificial vascular and stent grafts. The General Hospital Company segment provides infusion pumps, syringe pumps, solution sets, syringes, I.V. solutions, pain management products, nutritious food, adhesion barriers, blood glucose monitoring systems, blood pressure monitors, digital thermometers, and others; and contract manufacturing of prefilled syringes, devices to pharmaceutical companies for use in drug kits, such as prefillable syringes, needles for pharmaceutical packaging business, and others. The Blood and Cell Technologies Company segment offers blood bags, automated blood collection systems, automated blood component processing systems, pathogen reduction technology, automated centrifugal apheresis systems, cell expansion system, and others. The company was formerly known as Sekisen Ken-onki Corporation and changed its name to Terumo Corporation in October 1974. Terumo Corporation was founded in 1921 and is headquartered in Tokyo, Japan.",MXN,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,MEX,XMEX,Mexico Stock Exchange,Japan,,Tokyo,151-0072,http://www.terumo.co.jp,Large Cap,,,,,,False
A.MX,"Agilent Technologies, Inc.","Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid and gas chromatography systems and components; liquid and gas chromatography mass spectrometry systems; inductively coupled plasma mass and optical emission spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate readers; laboratory software, information management, and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment to produce synthesized oligonucleotide. It also offers immunohistochemistry, in situ hybridization, and hematoxylin and eosin staining and special staining; instruments, consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. It has collaboration agreement with SGS AXYS. The company was incorporated in 1999 and is headquartered in Santa Clara, California.",MXN,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,MEX,XMEX,Mexico Stock Exchange,United States,CA,Santa Clara,95051,http://www.agilent.com,Large Cap,US00846U1016,00846U101,,BBG00J3T8YV4,BBG001SCTQY4,False
AA1.MX,Alcoa Corporation,"Alcoa Corporation, together with its subsidiaries, produces and sells bauxite, alumina, and aluminum products in the United States, Spain, Australia, Brazil, Canada, and internationally. The company operates through three segments: Bauxite, Alumina, and Aluminum. It engages in bauxite mining operations; and processes bauxite into alumina and sells it to customers who process it into industrial chemical products, as well as aluminum smelting, casting, and rolling businesses. The company offers primary aluminum in the form of alloy ingot or value-add ingot to customers that produce products for the transportation, building and construction, packaging, wire, and other industrial markets; and flat-rolled aluminum sheets to customers that produce beverage and food cans. In addition, it owns hydro power plants that produce and sell electricity to the wholesale market to traders, large industrial consumers, distribution companies, and other generation companies. The company was formerly known as Alcoa Upstream Corporation and changed its name to Alcoa Corporation in October 2016. The company was founded in 1888 and is headquartered in Pittsburgh, Pennsylvania.",MXN,Materials,Materials,Metals & Mining,MEX,XMEX,Mexico Stock Exchange,United States,PA,Pittsburgh,15212-5858,http://www.alcoa.com,Mid Cap,US0138721065,013872106,,BBG00FF56KT6,BBG00B3T3HF1,False
AAL.MX,American Airlines Group Inc.,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2020, it operated a mainline fleet of 855 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",MXN,Industrials,Transportation,Airlines,MEX,XMEX,Mexico Stock Exchange,United States,TX,Fort Worth,76155,http://www.aa.com,Large Cap,,02376R102,,,,False
AAP.MX,"Advance Auto Parts, Inc.","Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",MXN,Consumer Discretionary,Retailing,Specialty Retail,MEX,XMEX,Mexico Stock Exchange,United States,NC,Raleigh,27604,http://www.advanceautoparts.com,Large Cap,US00751Y1064,00751Y106,,BBG00K7SR6R4,BBG001SD2SB2,False
