symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
4AIM.MI,4AIM SICAF S.p.A.,"4AIM SICAF S.p.A. is a private equity firm specializing in direct, secondary indirect and fund of fund investments. Within the direct investments, it specializes in emerging growth and growth capital. It also invests in small and medium sized companies. It does not invest in turnaround or restructuring investments. It prefers to invest in Italy. It seeks to exit its investments within 18 to 36 months. 4AIM SICAF S.p.A. is based Milan, in Italy.",EUR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),MIL,XMIL,Borsa Italiana,Italy,MI,Milano,20121,http://www.4aim.it,Nano Cap,,,,,,False
A2A.MI,A2A S.p.A.,"A2A S.p.A. engages in the production, sale, and distribution of gas and electricity, and district heating in Italy. The company generates electricity through hydroelectric, thermoelectric, and photovoltaic plants with an installed power of approximately 7.2 GW; and purchases and sells electricity, gas and non-gas fuels, as well as manages environmental certificates. It also engages in the production and sale of heat produced through district heating networks. In addition, the company is involved in waste management activities, including collection and street sweeping, treatment, and disposal, and recovery of energy; and the construction and management of integrated waste disposal plants and systems. Further, it offers integrated water cycle management services; and technical consultancy services relating to energy efficiency certificates. Additionally, the company is involved in the management of public lighting systems and street lights, management of water purification and sewer, and video surveillance activities. A2A S.p.A. is headquartered in Brescia, Italy.",EUR,Utilities,Utilities,Multi-Utilities,MIL,XMIL,Borsa Italiana,Italy,BS,Brescia,25124,http://www.a2a.eu,Mid Cap,IT0001233417,29670G102,,,BBG001S6ZRM1,False
AAPL.MI,Apple Inc.,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",EUR,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",MIL,XMIL,Borsa Italiana,United States,CA,Cupertino,95014,http://www.apple.com,Mega Cap,US0378331005,037833100,BBG00J7BK3P0,BBG00J7BK3N2,BBG001S5N8V8,False
ABI.MI,Anheuser Busch Inbev SA NV,"Anheuser-Busch InBev SA/NV engages in the production, distribution, and sale of beer, alcoholic beverages, and soft drinks worldwide. It offers a portfolio of approximately 500 beer brands, which primarily include Budweiser, Corona, and Stella Artois; Beck's, Hoegaarden, Leffe, and Michelob Ultra; and Aguila, Antarctica, Bud Light, Brahma, Cass, Castle, Castle Lite, Cristal, Harbin, Jupiler, Modelo Especial, Quilmes, Victoria, Sedrin, and Skol brands. The company was founded in 1366 and is headquartered in Leuven, Belgium. Anheuser-Busch InBev SA/NV is a subsidiary of AB InBev NV/SA.",EUR,Consumer Staples,"Food, Beverage & Tobacco",Beverages,MIL,XMIL,Borsa Italiana,Belgium,,Leuven,3000,http://www.ab-inbev.com,Large Cap,BE0974293251,,BBG00DZQ98H0,BBG00DZQ98G1,BBG00DQ4YZ27,False
ABP.MI,Azienda Bresciana Petroli Nocivelli S.p.A.,"Azienda Bresciana Petroli Nocivelli S.p.A. provides heat management, facility management, and energy service in Italy. The company also engages in the construction of plants and building works, as well as trades in petroleum products and lubricants. It serves public administrations, private hospitals, and private companies. The company was founded in 1963 and is based in Castegnato, Italy.",EUR,Energy,Energy,"Oil, Gas & Consumable Fuels",MIL,XMIL,Borsa Italiana,Italy,BS,Castegnato,25045,http://www.abpnocivelli.com,Micro Cap,AU000000ABP9,,,BBG00L339ZZ8,BBG001SBZ9T3,False
ABS.MI,Arterra Bioscience S.p.A.,"Arterra Bioscience S.p.A., a research-based biotech company, engages in the research and development of various ingredients and natural solutions. It develops technological platforms, extraction processes, and raw materials for use in the cosmetics, agriculture, and nutraceutics sectors. The company was founded in 2003 and is based in Naples, Italy.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,MIL,XMIL,Borsa Italiana,Italy,,Napoli,80142,http://www.arterrabio.it,Nano Cap,IT0005386369,,,,BBG00QJCSCP1,False
ABT.MI,Abitare In S.p.A.,"Abitare In S.p.A. develops, constructs, and sells residential buildings and apartments in Milan. The company is based in Milan, Italy.",EUR,Real Estate,Real Estate,Real Estate Management & Development,MIL,XMIL,Borsa Italiana,Italy,MI,Milan,20123,http://www.abitareinspa.com,Micro Cap,IT0005445280,2824100,,,BBG00CB7XD37,False
ABTG.MI,Alfio Bardolla Training Group S.p.A.,"Alfio Bardolla Training Group S.p.A. operates in the personal finance education industry in Italy. The company offers courses in the field of properties, Internet royalty, business and companies, and trading; and digital and online products, diaries, ebooks, videos, and games. It also provides The Wake Up Call workshop, which provides guidance to analyze personal financial situation and will lead to find the points that will transform the situation. The company is based in Milan, Italy.",EUR,Consumer Staples,Household & Personal Products,Household Products,MIL,XMIL,Borsa Italiana,Italy,MI,Milan,20141,http://www.alfiobardolla.com,Nano Cap,IT0005244030,,,,BBG00H2R8FG1,False
ACA.MI,Credit Agricole SA,"CrÃ©dit Agricole S.A. provides retail, corporate, insurance, and investment banking products and services worldwide. It operates through five segments: Asset Gathering; French Retail Banking - LCL; International Retail Banking; Specialised Financial Services; and Large Customers. The company offers banking products and services, including savings and current accounts and deposits, finance, payments, and flow management services; consumer finance products; and banking and specialized financial services. It also provides wealth management services that allow individual customers to manage, protect, and transfer their assets, as well as other asset management services; and savings/retirement, death and disability/creditor/group, and property and casualty insurance products. In addition, the company offers financing solutions for property and equipment investment and renewal requirements; trade receivable financing and management solutions for corporates; and financing services for renewable energy and public infrastructure projects, as well as leasing services. Further, it provides investment banking, structured finance, international trade finance, commercial banking, capital market, and syndication services; and asset servicing solutions for investment products, as well as various asset classes, such as execution, clearing, forex, security lending and borrowing, custody, depositary bank, fund administration, middle-office solutions, and fund distribution support and services to issuers. CrÃ©dit Agricole S.A. serves retail and corporate customers, banks and financial institutions, government agencies, and local authorities. The company is headquartered in Montrouge, France. CrÃ©dit Agricole S.A. is a subsidiary of SAS Rue La BoÃ©tie.",EUR,Financials,Banks,Banks,MIL,XMIL,Borsa Italiana,France,,Montrouge,92127,http://www.credit-agricole.com,Large Cap,FR0000045072,,BBG000RNS0G1,BBG000RNRZZ4,BBG001S9P2H7,False
ACE.MI,Acea S.p.A.,"ACEA S.p.A., together with its subsidiaries, operates as a multi-utility company in Italy. The company operates through Environment, Commercial and Trading, Water, Energy Infrastructure, Engineering and Services, and Overseas segments. The Environment segment primarily engages in the treatment of refuse and associated disposal. This segment also manages waste energy facility and composting plants in the Lazio region; and produces energy from waste. The Commercial and Trading segment sells and supplies electrical energy and natural gas. The Water segment provides drinking water distribution services comprising collection, discharge, retail, and wholesale. This segment supplies water to approximately 9 million customers; and manages integrated water service in Rome and Frosinone, as well as in other parts of Lazio, Tuscany, Umbria, and Campania. The Energy Infrastructure segment runs hydroelectric, photovoltaic, thermoelectric plants in Lazio, Umbria, and Abruzzo; manages public and artistic lighting; and distributes approximately 10 TWh of electricity. The Engineering and Services segment researches, designs, constructs, and manages integrated water systems; and offers analytical services on various environmental matrices. The Overseas segment manages the water activity in Latin America. ACEA S.p.A. was founded in 1909 and is based in Rome, Italy.",EUR,Utilities,Utilities,Multi-Utilities,MIL,XMIL,Borsa Italiana,Italy,RM,Rome,154,http://www.gruppo.acea.it,Mid Cap,IT0001207098,,BBG000D4W4K0,BBG000D4W4D8,BBG001S7V0B4,False
