symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
0QEJ.L,Rizzoli Corriere Della Sera Mediagroup SpA,,,Communication Services,Media & Entertainment,Media,,,,Italy,,,,,,,,,,,False
1101.TW,TCC Group Holdings Co Ltd,"Taiwan Cement Corporation, operating as TCC Group Holdings Co Ltd., is a diverse Taiwanese conglomerate established in 1946 and based in Taipei. Its primary business involves the manufacturing and distribution of cement, associated products, and ready-mix concrete within Taiwan, alongside international exports of cement and cement clinkers. TCC also plays a role in the energy sector, producing thermal and renewable power.",,Materials,Materials,Construction Materials,,,,Taiwan,,Taipei,104,https://www.tccgroupholdings.com,Large Cap,,,,,,False
1103.TW,Chia Hsin Cement Corp,"Chia Hsin Cement Corporation primarily specializes in the manufacturing and global sales of cement, serving both the Taiwanese domestic market and international clients. The company's broad operational scope extends to building materials distribution, non-metallic minerals extraction, mixed concrete production, and real estate development, construction, and leasing. Founded in 1954, Chia Hsin Cement Corporation is headquartered in Taipei, Taiwan.",,Materials,Materials,Construction Materials,,,,Taiwan,,Taipei,104,https://www.chcgroup.com.tw,Small Cap,,,,,,False
1104.TW,Universal Cement Corp,"Headquartered in Taipei, Taiwan, Universal Cement Corporation, established in 1959, focuses primarily on the manufacturing and distribution of construction materials within Taiwan, such as cement, ready-mixed concrete, and gypsum board panels. The company also extends into the high-tech sector by offering advanced pressure-sensing electronic devices.",,Materials,Materials,Construction Materials,,,,Taiwan,,Taipei,104,https://www.ucctw.com,Mid Cap,,,,,,False
1210.TW,Great Wall Enterprise Co Ltd,"Great Wall Enterprise Co., Ltd. engages in agricultural and animal products business in Taiwan, China, Indonesia, Vietnam, Malaysia, and Cambodia, including edible oil manufacturing, food dealership, grain milling, feed and fertilizer manufacturing, livestock farming, and related retail, hospitality and real estate businesses. Founded in 1957, the company is headquartered in Tainan City, Taiwan.",,Consumer Staples,"Food, Beverage & Tobacco",Food Products,,,,Taiwan,,Tainan City,71042,https://www.dachan.com,Mid Cap,,,,,,False
1216.TW,Uni-President Enterprises Corp,"Uni-President Enterprises Corp. is a broad-based conglomerate primarily focused on the production, processing, and distribution of a wide array of consumer goods across Taiwan, China, and international markets, encompassing foodstuffs, beverages, animal feed and flour, plus diversified ventures in retail, entertainment, and real estate. Established in 1967, the company is headquartered in Tainan City, Taiwan.",,Consumer Staples,"Food, Beverage & Tobacco",Food Products,,,,Taiwan,,Tainan City,71001,https://www.uni-president.com.tw,Large Cap,,,,,,False
1217.TW,AGV Products Corp,"AGV Products Corporation engages in the manufacturing, processing, and sale of beverages and canned goods in Taiwan and Mainland China, offering fruit juices, dairy products, refrigerated goods, and health products. The company was founded in 1971 and is based in Chiayi Hsien, Taiwan.",,Consumer Staples,"Food, Beverage & Tobacco",Food Products,,,,Taiwan,,Chiayi,710001,https://www.agv.com.tw,Small Cap,,,,,,False
1231.TW,Lian HWA Food Corp,"Lian Hwa Foods Corporation, a Taiwanese company, is involved in production, processing, and distribution across the food industry, offering seaweed, squid, pasta, snacks, and confectioneries under brands including KOLOKO and Lucky Star. Established in 1960, it is headquartered in Taipei, Taiwan.",,Consumer Staples,"Food, Beverage & Tobacco",Food Products,,,,Taiwan,,Taipei,103,https://www.lianhwa.com.tw,Small Cap,,,,,,False
1304.TW,USI Corp,"USI Corporation operates as a globally active enterprise involved in the creation, production, and sale of a diverse spectrum of chemical and plastic items, centering on polyethylene resins, vinyl chloride monomer, PVC powder, and specialized materials. Originally incorporated in 1965 as USI Far East Corporation, the company is headquartered in Kaohsiung, Taiwan.",,Materials,Materials,Chemicals,,,,Taiwan,,Kaohsiung,81449,https://www.usife.com.tw,Small Cap,,,,,,False
1305.TW,China General Plastics Corp,"China General Plastics Corporation is a global manufacturer, distributor, and service provider specializing in vinyl products including PVC resins and compounds, PVC pipes and fittings, films and sheets, and synthetic leather. Established in 1964, the company maintains its corporate headquarters in Taipei, Taiwan.",,Materials,Materials,Chemicals,,,,Taiwan,,Taipei,11492,https://www.cgpc.com.tw,Small Cap,,,,,,False
1308.TW,Asia Polymer Corp,"Asia Polymer Corporation is a Taiwan-based company specializing in the design, development, manufacturing, and global distribution of low-density polyethylene (LDPE) and ethylene vinyl acetate copolymer (EVA), along with related petrochemical products. Established in 1977, the company is headquartered in Kaohsiung, Taiwan, and operates as a subsidiary of USI Corporation.",,Materials,Materials,Chemicals,,,,Taiwan,,Kaohsiung,83245,https://www.apc.com.tw,Small Cap,,,,,,False
1319.TW,Tong Yang Industry Co Ltd,"Tong Yang Industry Co., Ltd. engages in the manufacture and sale of parts, components, and models for automobiles in Taiwan, China, the United States, and internationally, including plastics and sheet metal products, tooling molds, and pollution prevention equipment. The company was founded in 1952 and is headquartered in Tainan City, Taiwan.",,Consumer Discretionary,Automobiles & Components,Auto Components,,,,Taiwan,,Tainan,709401,https://www.tyg.com.tw,Mid Cap,,,,,,False
1414.TW,Tung Ho Steel Enterprise Corp,"Based in Taipei, Taiwan, Tung Ho Textile Co., Ltd. operates as a key supplier of textile products within the country, offering natural, polyester, lyocell, viscose, and acrylic/acrylate fibers as well as specialized functional yarns. Established in 1953.",,Materials,Materials,Metals & Mining,,,,Taiwan,,Taipei,106,https://www.tungho.com.tw,Nano Cap,,,,,,False
1419.T,Tama Home Co Ltd,"Founded in 1998 and based in Tokyo, Japan, Tama Home Co., Ltd. operates across construction, property development, architectural solutions, and insurance brokerage, delivering personalized residential construction, real estate sales, insurance intermediation, and solar power management.",,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,,,,Japan,,Tokyo,108-0074,https://www.tamahome.jp,Mid Cap,,,,,,False
1519.TW,Fortune Electric Co Ltd,"Fortune Electric Co., Ltd. is a Taiwanese firm that specializes in the production, processing, and commercialization of electrical power equipment, including power transformers, switchboards, switchgear, and substation components. Established in 1969, the company is headquartered in Taoyuan City, Taiwan.",,Industrials,Capital Goods,Electrical Equipment,,,,Taiwan,,Taoyuan City,32063,https://www.fortune.com.tw,Mid Cap,,,,,,False
1522.TW,TYC Brother Industrial Co Ltd,"TYC Brother Industrial Co., Ltd. focuses on the production and distribution of automotive lighting solutions throughout Taiwan, along with other car components including mirrors, cooling fans, radiators, and condensers. Established in 1986, the company is headquartered in Tainan, Taiwan.",,Consumer Discretionary,Automobiles & Components,Auto Components,,,,Taiwan,,Tainan City,70248,https://www.tyc.com.tw,Small Cap,,,,,,False
1532.TW,China Metal Products,"China Metal Products Co., Ltd., established in 1972 and headquartered in Taipei, Taiwan, is a diversified conglomerate spanning metal manufacturing (iron casting components for vehicles and machinery), real estate development, and lifestyle hospitality including hotels and amusement parks.",,Materials,Materials,Metals & Mining,,,,Taiwan,,Taipei,106,https://www.cmp.com.tw,Small Cap,,,,,,False
1609.TW,Ta Ya Electric Wire & Cable,"Ta Ya Electric Wire & Cable Co., Ltd. specializes in the production and distribution of a comprehensive range of electrical wires and cables, serving Taiwan and other Asian regions, including cables for household electronics, power grids, fire safety systems, and infrastructure. Established in Tainan City, Taiwan, in 1955.",,Industrials,Capital Goods,Electrical Equipment,,,,Taiwan,,Tainan City,71847,https://www.taya.com.tw,Small Cap,,,,,,False
1663.T,K&O Energy Group Inc,"K&O Energy Group Inc. focuses on the natural gas industry, engaging in its exploration, extraction, distribution, and sale across Japan and internationally, and also manufactures iodine and supplies city gas and LP gas. Founded in 2014, the company is headquartered in Mobara, Japan.",,Utilities,Utilities,Gas Utilities,,,,Japan,,Mobara,297-0026,https://www.k-and-o-energy.co.jp,Mid Cap,,,,,,False
167A.T,Ryoyo Ryosan Holdings Inc,"Ryoyo Ryosan Holdings, Inc., founded in 2024 and headquartered in Tokyo, Japan, operates as a distributor of technological and electronic products, including semiconductors, information technology goods, and electronic parts within the Japanese market.",,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",,,,Japan,,Tokyo,101-0031,https://www.rr-hds.co.jp,Mid Cap,,,,,,False
1718.TW,China Man-Made Fiber Corp,"Established in 1955 and based in Taipei, Taiwan, China Man-Made Fiber Corporation focuses on the production and distribution of man-made fibers, cellophane, and a wide array of chemicals, alongside a diverse portfolio spanning machinery, real estate, retail, hospitality, and financial services.",,Materials,Materials,Chemicals,,,,Taiwan,,Taipei,100,https://www.cmfc.com.tw,Small Cap,,,,,,False
1722.TW,Taiwan Fertilizer Co Ltd,"Taiwan Fertilizer Co., Ltd., together with its subsidiaries, manufactures and sells inorganic and organic fertilizers, and other chemical products in Taiwan and internationally. The company was incorporated in 1946 and is headquartered in Taipei, Taiwan.",,Materials,Materials,Chemicals,,,,Taiwan,,Taipei,11568,https://www.taifer.com.tw,Mid Cap,,,,,,False
1723.TW,China Steel Chemical Corp,"China Steel Chemical Corporation, together with its subsidiaries, engages in the production, processing, and sale of coal tar distillation, light oil, coke, and refined carbon material products in Taiwan, China, Australia, and internationally. The company was founded in 1978 and is headquartered in Kaohsiung, Taiwan.",,Materials,Materials,Chemicals,,,,Taiwan,,Kaohsiung,80661,https://www.cscc.com.tw,Small Cap,,,,,,False
1802.TW,Taiwan Glass Industry Corp,"Taiwan Glass Ind. Corp. specializes in the manufacturing, processing, and distribution of flat glass, fiberglass, glass containers, and consumer glassware for construction, automotive, electronics, and packaging applications. Established in 1964, the company is headquartered in Taipei, Taiwan.",,Materials,Materials,Building Products,,,,Taiwan,,Taipei,105,https://www.taiwanglass.com,Mid Cap,,,,,,False
1808.TW,Run Long Construction Co Ltd,"Run Long Construction Co., Ltd. engages in the construction, sale, and leasing of residential and commercial buildings in Taiwan, and is also involved in engineering business. The company was incorporated in 1977 and is headquartered in Taipei City, Taiwan.",,Real Estate,Real Estate,Construction & Engineering,,,,Taiwan,,Taipei,10491,https://www.runlong.com.tw,Small Cap,,,,,,False
1813.T,Fudo Tetra Corp,"Established in Tokyo, Japan, in 1947, Fudo Tetra Corporation operates across civil engineering, soil stabilization, and environmental block construction, undertaking infrastructure projects spanning power generation, coastal protection, water supply, transportation, and port facilities.",,Industrials,Capital Goods,Construction & Engineering,,,,Japan,,Tokyo,103-0016,https://www.fudotetra.co.jp,Mid Cap,,,,,,False
1CFR.MI,Cie Financiere Richemont SA,,,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",,,,Switzerland,,,,,,,,,,,False
1S.MI,S&S Tech Corp,,,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,,,South Korea,,,,,,,,,,,False
1SXP.DE,Schott Pharma AG & Co KGaA,,,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,,,,Germany,,,,,,,,,,,False
1XYL.MI,Xylem Inc/NY,,,Industrials,Capital Goods,Machinery,,,,United States,,,,,,,,,,,False
2004.T,Showa Sangyo Co Ltd,"Showa Sangyo Co., Ltd., a diversified Japanese enterprise, specializes in the production, processing, and distribution of food products including cooking oils, wheat flour, starches and sweeteners, and animal feed, along with warehousing and real estate operations. Founded in 1936, it is headquartered in Tokyo, Japan.",,Consumer Staples,"Food, Beverage & Tobacco",Food Products,,,,Japan,,Tokyo,101-8521,https://www.showa-sangyo.co.jp,Mid Cap,,,,,,False
2109.T,Mitsui DM Sugar Co Ltd,"Mitsui DM Sugar Holdings Co.,Ltd., established in Tokyo, Japan in 1947, is a leading Japanese manufacturer and distributor of sugar products and food ingredients, including refined sugars, alternative sweeteners, and food ingredients, alongside property management and warehousing.",,Consumer Staples,"Food, Beverage & Tobacco",Food Products,,,,Japan,,Tokyo,108-0014,https://www.msdm-hd.com,Mid Cap,,,,,,False
2146.T,UT Group Co Ltd,"UT Group Co., Ltd. is a Japanese company based in Tokyo that specializes in human resources, providing permanent employee dispatch and outsourcing solutions across manufacturing, design and development, and construction sectors. Established in 1995.",,Industrials,Commercial & Professional Services,Professional Services,,,,Japan,,Tokyo,141-0022,https://www.ut-g.co.jp,Mid Cap,,,,,,False
2204.TW,China Motor Corp,"Based in Taiwan, China Motor Corporation specializes in the manufacturing and distribution of vehicles and their constituent components, including commercial vehicles, sedans, light commercial vehicles, trucks, electric scooters, and bicycles. Established in 1969, headquartered in Taipei City, Taiwan.",,Consumer Discretionary,Automobiles & Components,Automobiles,,,,Taiwan,,Taipei,106,https://www.china-motor.com.tw,Mid Cap,,,,,,False
2211.TW,EVERGREEN Steel Corp,"Evergreen Steel Corporation, headquartered in Taipei City, Taiwan, specializes in the manufacturing and distribution of various steel products. Established in 1982, the company was originally known as Evergreen Development Corporation before adopting its current name.",,Materials,Materials,Metals & Mining,,,,Taiwan,,Taipei,104094,https://www.evergreennet.com,Mid Cap,,,,,,False
2326.T,Digital Arts Inc,"Digital Arts Inc. specializes in the creation and distribution of cybersecurity software and hardware solutions, with a presence across Japan, the United States, Europe, and the Asia Pacific region, including web/email security, web filtering, and file security products. Established in 1995, headquartered in Tokyo, Japan.",,Information Technology,Software & Services,Software,,,,Japan,,Tokyo,100-0004,https://www.daj.jp,Mid Cap,,,,,,False
2327.T,NS Solutions Corp,"NS Solutions Corporation, a Tokyo-based subsidiary of Nippon Steel Corporation, provides a wide array of information technology services to clients in Japan and globally, spanning consultancy, system development, IT outsourcing, and data center/cloud services. Founded in 1980.",,Information Technology,Software & Services,IT Services,,,,Japan,,Tokyo,105-6417,https://www.nssol.nipponsteel.com,Large Cap,,,,,,False
2328.TW,Pan-International Industrial Corp,"Established in 1971 and based in New Taipei City, Taiwan, Pan-International Industrial Corp. delivers electronic manufacturing services (EMS), offering wires and cables, connector systems, printed circuit boards, and plastic injection-molded parts to automotive, communications, and consumer electronics industries.",,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",,,,Taiwan,,New Taipei City,235,https://www.panintl.com,Mid Cap,,,,,,False
2329.TW,Orient Semiconductor Electronics Ltd,"Orient Semiconductor Electronics, Ltd., founded in 1971 and based in Kaohsiung, Taiwan, operates globally as a manufacturer and vendor of integrated circuits, semiconductor devices, computer motherboards, and electronic circuit boards through its Semiconductor Business and Electronic Manufacturing Services segments.",,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,,,Taiwan,,Kaohsiung,811,https://www.ose.com.tw,Mid Cap,,,,,,False
2332.TW,D-Link Corp,"Headquartered in Taipei City, Taiwan, D-Link Corporation is a global enterprise dedicated to the innovation, development, and commercialization of networking technologies, including Wi-Fi routers, network switches, smart home devices, and network security products. Established in 1986.",,Information Technology,Technology Hardware & Equipment,Communications Equipment,,,,Taiwan,,Taipei,11494,https://www.dlink.com/tw/zh,Mid Cap,,,,,,False
2340.TW,Taiwan-Asia Semiconductor Corp,"Taiwan-Asia Semiconductor Corporation specializes in the development, production, and worldwide distribution of integrated optoelectronic semiconductor solutions, including LED chips, silicon-based sensor chips, and LED-based display and lighting products. Originally named Opto Tech Corporation, established in 1983, headquartered in Hsinchu, Taiwan.",,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,,,Taiwan,,Hsinchu City,30078,https://www.tascsemi.com,Mid Cap,,,,,,False
2355.TW,Chin-Poon Industrial Co Ltd,"Established in 1979 and headquartered in Taoyuan City, Taiwan, Chin-Poon Industrial Co., Ltd. is a global enterprise specializing in the fabrication and sale of printed circuit boards (PCBs), insulation materials, and other electronic components, alongside punching equipment for PCB production.",,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",,,,Taiwan,,Taoyuan City,33852,https://www.cppcb.com.tw,Mid Cap,,,,,,False
2363.TW,Silicon Integrated Systems Corp,"Silicon Integrated Systems Corp. (SIS), a global integrated circuit design firm established in Hsinchu City, Taiwan, in 1987, specializes in touch sensor and touch panel chips, MEMS microphones, active pen controllers, and custom system-on-chip design services.",,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,,,Taiwan,,Hsinchu City,300046,https://www.sis.com,Mid Cap,,,,,,False
2388.TW,Via Technologies Inc,"VIA Technologies, Inc. specializes in designing and delivering integrated embedded platforms and system solutions for AI, IoT, general computing, autonomous vehicles, smart cities, and data center applications, including in-vehicle dash cameras and driver assistance systems. Established in 1987, headquartered in New Taipei City, Taiwan.",,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,,,Taiwan,,New Taipei City,231,https://www.viatech.com,Mid Cap,,,,,,False
2461.T,FAN Communications Inc,"Established in 1999 and headquartered in Tokyo, Japan, FAN Communications, Inc. is a key player in the Japanese internet advertising sector, operating A8.net affiliate services, CPA/CPC/CPI advertising, SEO, and cashback shopping platforms.",,Communication Services,Media & Entertainment,Media,,,,Japan,,Tokyo,150-0002,https://www.fancs.com,Mid Cap,,,,,,False
2467.TW,C Sun Manufacturing Ltd,"C Sun Mfg Ltd., together with its subsidiaries, provides various processing equipment in Taiwan, China, and internationally, including printed circuit board processing equipment, touch panel and semiconductor processing equipment, and industrial ovens. Founded in 1966, headquartered in New Taipei City, Taiwan.",,Industrials,Capital Goods,Machinery,,,,Taiwan,,New Taipei City,337021,https://www.csun.com.tw,Mid Cap,,,,,,False
2471.T,S-Pool Inc,"S-Pool, Inc. provides business and human resources solutions in Japan, offering part-time and temporary employment recruitment, staffing, ESG consulting, and business process outsourcing services. Incorporated in 1999, headquartered in Chiyoda, Japan.",,Industrials,Commercial & Professional Services,Professional Services,,,,Japan,,Tokyo,101-0021,https://www.spool.co.jp,Mid Cap,,,,,,False
2476.TW,G Shank Enterprise Co Ltd,"G-SHANK Enterprise Co., Ltd. is a global provider specializing in the design, production, and distribution of precision tooling (dies), stamped metal components, and plastic injection molding services for automotive, industrial, and consumer electronics clients. Founded in 1973, headquartered in Taoyuan, Taiwan.",,Industrials,Capital Goods,Machinery,,,,Taiwan,,Taoyuan City,327,https://www.gshank.info,Mid Cap,,,,,,False
2478.TW,TA-I Technology Co Ltd,"Established in 1989 and headquartered in Taoyuan City, Taiwan, TA-I Technology Co., Ltd. operates as a global manufacturer and distributor of chip resistors and circuit protection solutions used across automotive, industrial, and consumer electronics applications.",,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",,,,Taiwan,,Taoyuan City,33851,https://www.tai.com.tw,Mid Cap,,,,,,False
2486.TW,I-Chiun Precision Industry Co Ltd,"I-Chiun Precision Industry Co., Ltd. specializes in the global design, production, and distribution of high-precision electronic components including optoelectronic lead frames, small motors, SMD LED products, and LCD system components. Established in 1977, headquartered in New Taipei City, Taiwan.",,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",,,,Taiwan,,New Taipei City,24890,https://www.i-chiun.com.tw,Mid Cap,,,,,,False
2501.TW,Cathay Real Estate Development Co Ltd,"Cathay Real Estate Development Co.,Ltd., based in Taipei, Taiwan, primarily specializes in the construction of residential and commercial properties, alongside pharmaceutical wholesale distribution and other trade and investment ventures. Established in 1964.",,Real Estate,Real Estate,Real Estate Management & Development,,,,Taiwan,,Taipei,106,https://www.cathay-red.com.tw,Mid Cap,,,,,,False
2504.TW,Goldsun Building Materials Co Ltd,,,,,Construction Materials,,,,Taiwan,,,,,,,,,,,False
2505.TW,Kuo Yang Construction Co Ltd,,,Real Estate,Real Estate,Real Estate Management & Development,,,,Taiwan,,,,,,,,,,,False
250A.T,Shimadaya Corp,,,Consumer Staples,"Food, Beverage & Tobacco",Food Products,,,,Japan,,,,,,,,,,,False
2515.TW,BES Engineering Corp,,,,,Construction & Engineering,,,,Taiwan,,,,,,,,,,,False
2534.TW,Hung Sheng Construction Ltd,,,Real Estate,Real Estate,Real Estate Management & Development,,,,Taiwan,,,,,,,,,,,False
2536.TW,Hong Pu Real Estate Development Co Ltd,,,Real Estate,Real Estate,Real Estate Management & Development,,,,Taiwan,,,,,,,,,,,False
2538.TW,KEE TAI Properties Co Ltd,,,Real Estate,Real Estate,Real Estate Management & Development,,,,Taiwan,,,,,,,,,,,False
2540.TW,JSL Construction & Development Co Ltd,,,Real Estate,Real Estate,Real Estate Management & Development,,,,Taiwan,,,,,,,,,,,False
2585.T,Lifedrink Co Inc,,,Consumer Staples,"Food, Beverage & Tobacco",Beverages,,,,Japan,,,,,,,,,,,False
2594.T,Key Coffee Inc,,,Consumer Staples,"Food, Beverage & Tobacco",Food Products,,,,Japan,,,,,,,,,,,False
2603.TW,Evergreen Marine Corp Taiwan Ltd,,,Industrials,Transportation,Marine,,,,Taiwan,,,,,,,,,,,False
2606.TW,U-Ming Marine Transport Corp,,,Industrials,Transportation,Marine,,,,Taiwan,,,,,,,,,,,False
2607.TW,Evergreen International Storage & Transport Corp,,,Industrials,Transportation,Transportation Infrastructure,,,,Taiwan,,,,,,,,,,,False
2613.T,J-Oil Mills Inc,,,Consumer Staples,"Food, Beverage & Tobacco",Food Products,,,,Japan,,,,,,,,,,,False
