symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
AACQ,Artius Acquisition Inc.,"Artius Acquisition Inc. is a blank check company (SPAC) formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The company aims to identify and partner with a high-growth business with a strong management team, providing it with capital and expertise to accelerate its growth. Artius Acquisition Inc. is likely based in the United States.",USD,,,,NCM,XNAS,NASDAQ Capital Market,,,,,,Small Cap,,,,,,False
AACQW,Artius Acquisition Inc.,Artius Acquisition Inc. was a blank check company and AACQW likely represents warrants to purchase stock in that company. Blank check companies are formed to acquire or merge with an existing company. The warrants would give the holder the right to purchase shares of the merged company at a specific price in the future.,USD,,,,NCM,XNAS,NASDAQ Capital Market,,,,,,Small Cap,,,,,,False
ABEO,Abeona Therapeutics Inc.,"Abeona Therapeutics Inc., a clinical-stage biopharmaceutical company, develops gene and cell therapies for life-threatening rare genetic diseases. Its lead programs include EB-101, an autologous, gene-corrected cell therapy for recessive dystrophic epidermolysis bullosa; ABO-102, an adeno-associated virus-based gene therapy for Sanfilippo syndrome type A; and ABO-101, an AAV-based gene therapy for Sanfilippo syndrome type B. The company also develops ABO-201 to treat CLN3 disease; ABO-401 for the treatment of cystic fibrosis; and ABO-5OX for the treatment of genetic eye disorders. In addition, it is developing AAV-based gene therapy through its AIM vector platform programs. The company was formerly known as PlasmaTech Biopharmaceuticals, Inc. and changed its name to Abeona Therapeutics Inc. in June 2015. Abeona Therapeutics Inc. was founded in 1974 and is headquartered in New York, New York.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,NCM,XNAS,NASDAQ Capital Market,United States,NY,New York,10019,http://www.abeonatherapeutics.com,Micro Cap,,00289Y206,BBG000DT5D52,BBG000DT5D52,BBG001S8T7K0,False
ABGI,ABG Acquisition Corp. I,"ABG Acquisition Corp. I does not have significant operations. It focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company was incorporated in 2020 and is based in New York, New York.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,NY,New York,10022,,Micro Cap,,,,,,True
ABIO,"ARCA biopharma, Inc.","ARCA biopharma, Inc., a clinical-stage biopharmaceutical company, develops and commercializes genetically targeted therapies for cardiovascular diseases. Its lead product candidates are Recombinant Nematode Anticoagulant Protein c2 (rNAPc2) (AB201), which is in Phase 2 clinical trial for the treatment of diseases caused by ribonucleic acid viruses initially focusing on COVID-19; and Gencaro (bucindolol hydrochloride), a pharmacogenetically-targeted beta-adrenergic receptor antagonist that has completed Phase 2 trial for the treatment of atrial fibrillation in patients with chronic heart failure (HF). The company also engages in the development of AB171, a thiol-containing derivative isosorbide mononitrate for the treatment of HF and peripheral arterial disease. ARCA biopharma, Inc. is headquartered in Westminster, Colorado.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,NCM,XNAS,NASDAQ Capital Market,United States,CO,Westminster,80021,http://www.arcabio.com,Nano Cap,US00211Y5069,00211Y506,BBG000BWNWC7,BBG000BWNN28,BBG001SB1GL2,True
ACACU,Acies Acquisition Corp.,"Acies Acquisition Corp. does not have significant operations. It intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses or entities. The company was incorporated in 2020 and is based in Manhattan Beach, California.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,CA,Manhattan Beach,90266,http://aciesacq.com,Nano Cap,,00501A200,,,,True
ACAHU,Atlantic Coastal Acquisition Corp.,"Atlantic Coastal Acquisition Corp. focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. The company was incorporated in 2020 and is based in San Francisco, California.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,CA,San Francisco,94118,,Nano Cap,,,BBG00Z85ZDB3,BBG00Z85ZCZ9,BBG00Z85ZDT4,True
ACAHW,Atlantic Coastal Acquisition Corp.,"Atlantic Coastal Acquisition Corp. focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. The company was incorporated in 2020 and is based in San Francisco, California.",,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,CA,San Francisco,94118,,Nano Cap,,,,,,True
ACEV,ACE Convergence Acquisition Corp.,"ACE Convergence Acquisition Corp. does not have significant operations. It focuses on effecting a merger, amalgamation, share exchange, asset acquisition, share purchase, reorganization, or other similar business combination with one or more businesses. The company was incorporated in 2020 and is based in Wilmington, Delaware.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,DE,Wilmington,19805,http://acev.io,Micro Cap,,,,,,True
ACKIT,Ackrell SPAC Partners I Co.,"Ackrell SPAC Partners I Co. does not have significant operations. It intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company intends to focus on alcoholic and non-alcoholic beverage and wellness sectors. Ackrell SPAC Partners I Co. was founded in 2018 and is Claymont, Delaware.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,DE,Claymont,19703,http://www.ackrellspac.com,,,,,,,True
ACKIU,Ackrell SPAC Partners I Co.,"Ackrell SPAC Partners I Co. does not have significant operations. It intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company intends to focus on alcoholic and non-alcoholic beverage and wellness sectors. Ackrell SPAC Partners I Co. was founded in 2018 and is Claymont, Delaware.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,DE,Claymont,19703,http://www.ackrellspac.com,,,,,,,True
ACKIW,Ackrell SPAC Partners I Co.,"Ackrell SPAC Partners I Co. does not have significant operations. It intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company intends to focus on alcoholic and non-alcoholic beverage and wellness sectors. Ackrell SPAC Partners I Co. was founded in 2018 and is Claymont, Delaware.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,DE,Claymont,19703,http://www.ackrellspac.com,,,,,,,True
ACQRU,Independence Holdings Corp.,"Independence Holdings Corp. a blank check company, intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or related business combination with one or more businesses or entities. The company was founded in 2020 and is based in New York, New York.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,NY,New York,10172,,,,,,,,True
ACQRW,Independence Holdings Corp.,"Independence Holdings Corp. a blank check company, intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or related business combination with one or more businesses or entities. The company was founded in 2020 and is based in New York, New York.",,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,NY,New York,10172,,,,,,,,True
ACST,Acasti Pharma Inc.,"Acasti Pharma Inc., a biopharmaceutical company, focuses on the research, development, and commercialization of prescription drugs for the treatment of cardiovascular diseases. Its lead product candidate is CaPre, an omega-3 phospholipid therapeutic that is in Phase III clinical trial to treat patients with hypertriglyceridemia; and TRILOGY that is in Phase III to evaluate the safety and efficacy of CaPre in patients with sHTG. The company was incorporated in 2002 and is headquartered in Laval, Canada.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,NCM,XNAS,NASDAQ Capital Market,Canada,QC,Laval,H7T 0A3,http://www.acastipharma.com,Nano Cap,,,,,,True
ACTCU,ArcLight Clean Transition Corp.,"ArcLight Clean Transition Corp. does not have significant operations. It intends to effect a merger, stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses or entities. The company was incorporated in 2020 and is based in Boston, Massachusetts.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,MA,Boston,2116,http://arclightclean.com,Small Cap,,,,,,True
ACTCW,ArcLight Clean Transition Corp.,"ArcLight Clean Transition Corp. does not have significant operations. It intends to effect a merger, stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses or entities. The company was incorporated in 2020 and is based in Boston, Massachusetts.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,MA,Boston,2116,http://arclightclean.com,Small Cap,,,,,,True
ACTD,ArcLight Clean Transition Corp.,"ArcLight Clean Transition Corp. does not have significant operations. It intends to effect a merger, stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses or entities. The company was incorporated in 2020 and is based in Boston, Massachusetts.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,MA,Boston,2116,http://arclightclean.com,Small Cap,,,,,,True
ACTDU,ArcLight Clean Transition Corp.,"ArcLight Clean Transition Corp. does not have significant operations. It intends to effect a merger, stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses or entities. The company was incorporated in 2020 and is based in Boston, Massachusetts.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,MA,Boston,2116,http://arclightclean.com,Small Cap,,,,,,True
ADER,26 Capital Acquisition Corp.,"26 Capital Acquisition Corp. is a blank check company that focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, and similar business combination with one or more businesses. The company was founded in 2020 and is based in Miami, Florida.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,FL,Miami,33131,,Nano Cap,,90138P100,,,,True
ADERU,26 Capital Acquisition Corp.,"26 Capital Acquisition Corp. is a blank check company that focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, and similar business combination with one or more businesses. The company was founded in 2020 and is based in Miami, Florida.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,FL,Miami,33131,,Nano Cap,,90138P209,,,,True
ADNWW,"IES Holdings, Inc.","IES Holdings, Inc. designs and installs integrated electrical and technology systems, and provides infrastructure products and services in the United States. Its Commercial & Industrial segment offers electrical and mechanical design, construction, and maintenance services for office buildings, manufacturing facilities, data centers, chemical plants, refineries, wind farms, solar facilities, municipal infrastructures, and health care facilities. Its Communications segment designs, installs, and maintains network infrastructure within data centers for co-location and managed hosting customers; corporate, educational, financial, hospitality, and healthcare buildings; e-commerce distribution centers; and high-tech manufacturing facilities. This segment also provides design and installation services for audio/visual, telephone, fire, and wireless access and intrusion alarm systems; and engages in designing/building, servicing, and maintaining data network systems. Its Infrastructure Solutions segment maintains and repairs alternating and direct current electric motors and generators, and power generating and distribution equipment; manufactures custom-engineered metal enclosed bus duct solutions used in power distribution; manufactures custom commercial and industrial generator enclosures; manufactures, re-manufactures, and repairs industrial lifting magnets; and maintains and repairs railroad main and auxiliary generators, main alternators, and traction motors. Its Residential segment offers electrical installations to single-family housing and multi-family apartments; and cable television installations to residential and light commercial applications, as well as installs residential solar power for new construction and existing residences. The company was formerly known as Integrated Electrical Services, Inc. and changed its name to IES Holdings, Inc. in May 2016. The company was founded in 1997 and is headquartered in Houston, Texas.",USD,Industrials,Capital Goods,Construction & Engineering,NCM,XNAS,NASDAQ Capital Market,United States,TX,Houston,77056,http://www.ies-co.com,Nano Cap,,,,,,True
ADOCR,Edoc Acquisition Corp.,"Edoc Acquisition Corp. focuses on acquiring, engaging in a share exchange, share reconstruction and amalgamation with, purchasing all or substantially all of the assets of, entering into contractual arrangements with, or engaging in any other similar business combination with one or more businesses or entities in the healthcare sector. The company was founded in 2020 and is based in Victor, New York.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,NY,Victor,14564,,Nano Cap,,,,,,True
AEAC,Authentic Equity Acquisition Corp.,"Authentic Equity Acquisition Corp. focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The company was founded in 2020 and is based in Rye, New York.",USD,Financials,Diversified Financials,Diversified Financial Services,NCM,XNAS,NASDAQ Capital Market,United States,NY,Rye,10580,,Micro Cap,,,,,,True
