symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
AACG,ATA Creativity Global,"ATA Creativity Global, together with its subsidiaries, provides educational services to individual students through its training center network in China. The company's educational services include portfolio training, research-based learning, overseas study counselling, K-12 education assessment, and other educational services. It also offers online courses for students. The company was formerly known as ATA Inc. and changed its name to ATA Creativity Global in September 2019. ATA Creativity Global was founded in 1999 and is based in Beijing, China.",USD,Consumer Staples,Household & Personal Products,Household Products,NGM,XNAS,Nordic Growth Market,China,,Beijing,100022,http://www.atai.net.cn,Nano Cap,,00211V106,BBG000V2S3P6,BBG000V2S3P6,BBG001T125S9,False
AAME,Atlantic American Corporation,"Atlantic American Corporation, through its subsidiaries, provides life and health, and property and casualty insurance products in the United States. It operates through American Southern and Bankers Fidelity segments. The company offers property and casualty insurance products, including business automobile insurance coverage for state governments, local municipalities, and other motor pools and fleets; and inland marine and general liability insurance products. It also provides surety bond coverage for subdivision construction, as well as performance and payment bonds. In addition, it provides term, individual and group whole life insurance, as well as medicare supplement and other accident and health insurance products. The company markets its products through independent agents and brokers. Atlantic American Corporation was founded in 1937 and is headquartered in Atlanta, Georgia.",USD,Financials,Insurance,Insurance,NGM,XNAS,Nordic Growth Market,United States,GA,Atlanta,30319-3054,http://www.atlam.com,Micro Cap,,048209100,BBG000B9XB24,BBG000B9XB24,BBG001S5N8T1,False
AAOI,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc. designs, manufactures, and sells various fiber-optic networking products worldwide. It offers optical modules, lasers, subassemblies, transmitters and transceivers, and turn-key equipment, as well as headend, node, and distribution equipment. The company sells its products to internet data center operators, cable television and telecom equipment manufacturers, and internet service providers through its direct and indirect sales channels. Applied Optoelectronics, Inc. was incorporated in 1997 and is headquartered in Sugar Land, Texas.",USD,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,NGM,XNAS,Nordic Growth Market,United States,TX,Sugar Land,77478,http://www.ao-inc.com,Mid Cap,US03823U1025,03823U102,BBG000D6VW15,BBG000D6VW15,BBG001SG47G4,False
ABTX,"Allegiance Bancshares, Inc.","Allegiance Bancshares, Inc. operates as the bank holding company for Allegiance Bank that provides a range of commercial banking services primarily to small and medium-sized businesses, professionals, and individual customers. It accepts deposit products, including checking accounts, commercial accounts, money market accounts, savings accounts, and other time deposits; and certificates of deposit. The company also grants various loan products, which include commercial and industrial loans; commercial real estate loans, including multi-family residential loans; commercial real estate construction and land development loans; residential real estate loans, such as 1-4 family residential mortgage loans; residential construction loans; and consumer and other loans. In addition, it offers automated teller machines, drive-through services, and depository facilities; mobile banking services; and telephone, mail, and Internet banking services. Further, the company provides safe deposit boxes, debit cards, cash management and wire transfer services, night depository services, direct deposits, cashier's checks, and letters of credit. As of December 31, 2020, it operated 28 offices, including 27 bank offices in the Houston metropolitan area and one office in Beaumont. The company was founded in 2007 and is headquartered in Houston, Texas.",USD,Financials,Banks,Banks,NGM,XNAS,Nordic Growth Market,United States,TX,Houston,77040,http://www.allegiancebank.com,Small Cap,,,,,,True
ACRX,"AcelRx Pharmaceuticals, Inc.","AcelRx Pharmaceuticals, Inc., a specialty pharmaceutical company, focuses on the development and commercialization of therapies for the treatment of acute pain. The company's lead product candidate is DSUVIA, a 30 mcg sufentanil sublingual tablet for the treatment of moderate-to-severe acute pain. It also develops ZALVISO, a pre-programmed and patient-controlled analgesia system that allows hospital patients with moderate-to-severe acute pain to self-dose with sufentanil sublingual tablets to manage their pain. The company was formerly known as SuRx, Inc. and changed its name to AcelRx Pharmaceuticals, Inc. in August 2006. AcelRx Pharmaceuticals, Inc. was founded in 2005 and is headquartered in Redwood City, California.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,NGM,XNAS,Nordic Growth Market,United States,CA,Redwood City,94063,http://www.acelrx.com,Nano Cap,US00444T2096,00444T209,,BBG0018YYFX7,,True
ADMA,"ADMA Biologics, Inc.","ADMA Biologics, Inc., a biopharmaceutical company, develops, manufactures, and markets specialty plasma-derived biologics for the treatment of immune deficiencies and infectious diseases in the United States. It offers BIVIGAM, an intravenous immune globulin product indicated for the treatment of primary humoral immunodeficiency (PI); ASCENIV, an IVIG product for the treatment of PI; and Nabi-HB for the treatment of acute exposure to blood containing Hepatitis B surface antigen and other listed exposures to Hepatitis B. It also develops a pipeline of plasma-derived therapeutics, including products related to the methods of treatment and prevention of S. pneumonia infection for an immunoglobulin. In addition, the company operates source plasma collection facilities. The company sells its products through independent distributors, sales agents, specialty pharmacies, and other alternate site providers. ADMA Biologics, Inc. was founded in 2004 and is headquartered in Ramsey, New Jersey.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,NGM,XNAS,Nordic Growth Market,United States,NJ,Ramsey,7446,http://www.admabiologics.com,Mid Cap,,000899104,BBG002NCK5M5,BBG002NCK5M5,BBG002NCK5N4,False
ADMS,"Adamas Pharmaceuticals, Inc.","Adamas Pharmaceuticals, Inc. focuses on the discovery, development, and commercialization of medicines for patients suffering from chronic neurologic disorders in the United States. It offers GOCOVRI, an extended release capsule for the treatment of dyskinesia in patients with Parkinson's disease receiving levodopa-based therapy, with or without concomitant dopaminergic medications, as well as an adjunctive treatment to levodopa/carbidopa in patients with Parkinson's disease experiencing OFF episodes; and OSMOLEX ER, an extended release tablet to treat Parkinson's disease and drug-induced extrapyramidal reactions in adult patients. The company is also developing ADS-4101, which has completed two Phase 1b studies for treating partial onset seizures in patients with epilepsy. In addition, it offers NAMZARIC and NAMENDA XR, a memantine hydrochloride extended release and donepezil hydrochloride capsules for the treatment of moderate to severe dementia of an Alzheimer's type. The company was formerly known as NeuroMolecular Pharmaceuticals, Inc. and changed its name to Adamas Pharmaceuticals, Inc. in July 2007. Adamas Pharmaceuticals, Inc. was incorporated in 2000 and is headquartered in Emeryville, California.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,NGM,XNAS,Nordic Growth Market,United States,CA,EmeryVille,94608,http://www.adamaspharma.com,Micro Cap,,,,,,True
AFCG,"AFC Gamma, Inc.","AFC Gamma, Inc. originates, structures, underwrites, and manages senior secured loans and other types of loans for established companies operating in the cannabis industry in states that have legalized medicinal and/or adult use cannabis. It primarily originates loans structured as senior loans secured by real estate, equipment, licenses and/or other assets of the loan parties to the extent permitted by applicable laws and the regulations governing such loan parties. AFC Gamma, Inc. has elected and qualified to be taxed as a real estate investment trust for the United States federal income tax purposes under the Internal Revenue Code of 1986. The company was founded in 2020 and is based in West Palm Beach, Florida.",USD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),NGM,XNAS,Nordic Growth Market,United States,FL,West Palm Beach,33401,http://www.afcgamma.com,Micro Cap,,00109K105,BBG00YPSX4X5,BBG00YPSX4X5,BBG00YPSX5R9,False
AGTC,Applied Genetic Technologies Corporation,"Applied Genetic Technologies Corporation, a clinical-stage biotechnology company, develops transformational genetic therapies for patients suffering from rare and debilitating diseases. The company's advanced product candidates consist of three ophthalmology development programs across two targets, including X-linked retinitis pigmentosa, which has completed Phase I/II clinical trials; and achromatopsia that is in Phase I/II clinical trials. It is also developing an optogenetic product candidate for the patients with advanced retinal disease. In addition, the company has initiated one preclinical program in otology; and three preclinical programs in targeting central nervous system disorders, including frontotemporal dementia, amyotrophic lateral sclerosis, and adrenoleukodystrophy. It has collaboration agreements with Synpromics Limited; University of Florida; Bionic Sight, LLC; and Otonomy, Inc. Applied Genetic Technologies Corporation was founded in 1999 and is headquartered in Alachua, Florida.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,NGM,XNAS,Nordic Growth Market,United States,FL,Alachua,32615,http://www.agtc.com,Micro Cap,,,,,,True
AIRT,"Air T, Inc.","Air T, Inc., through its subsidiaries, provides overnight air cargo, ground equipment sale, commercial jet engines and parts, and printing equipment and maintenance services in the United States and internationally. The company's Overnight Air Cargo segment offers air express delivery services. As of March 31, 2020, this segment had 69 aircraft under the dry-lease agreements with FedEx. Its Ground Equipment Sales segment manufactures, sells, and services aircraft deicers, scissor-type lifts, military and civilian decontamination units, flight-line tow tractors, glycol recovery vehicles, and other specialized equipment. This segment sells its products to passenger and cargo airlines, ground handling companies, the United States Air Force, airports, and industrial customers. Its Commercial Jet Engines and Parts segment offers commercial aircraft trading, leasing, and parts solutions; commercial aircraft storage, storage maintenance, and aircraft disassembly/part-out services; commercial aircraft parts sales, exchanges, procurement services, consignment programs, and overhaul and repair services; and aircraft instrumentation, avionics, and a range of electrical accessories for civilian, military transport, regional/commuter and business/commercial jet, and turboprop aircraft. This segment also provides composite aircraft structures, and repair and support services. Its Printing Equipment and Maintenance segment designs, manufactures, and sells digital print production equipment, spare parts, supplies, and consumable items, as well as provides maintenance contracts. Air T, Inc. was founded in 1980 and is based in Denver, North Carolina.",USD,Industrials,Transportation,Air Freight & Logistics,NGM,XNAS,Nordic Growth Market,United States,NC,Denver,28037,http://www.airt.net,Micro Cap,,009207101,BBG000BBH316,BBG000BBH316,BBG001S5NJZ0,False
