symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,,USD,Financials,Diversified Financials,Diversified Financial Services,NMS,XNAS,NASDAQ Global Select,United States,,,,,Nano Cap,,G0509J115,BBG01SK9X794,BBG01SK9X794,BBG01SK9X892,False
AACBR,Artius II Acquisition Inc. Rights,,USD,,,,NMS,XNAS,NASDAQ Global Select,United States,,,,,Nano Cap,,,BBG01T7MSF05,BBG01T7MSF05,BBG01T7MSFW0,False
AACBU,Artius II Acquisition Inc. Units,"Artius II Acquisition Inc. is a blank check company formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The company focuses on identifying and partnering with a high-growth business with a strong management team. Its headquarters are likely in the United States.",USD,Financials,Diversified Financials,Diversified Financial Services,NMS,XNAS,NASDAQ Global Select,United States,,,,,Nano Cap,,,BBG01QNRTXV8,BBG01QNRTXV8,BBG01QNRTYP3,False
AACI,Armada Acquisition Corp. I Common Stock,"Armada Acquisition Corp. I is a special purpose acquisition company (SPAC) focused on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. SPACs like Armada Acquisition Corp. I typically seek targets in specific sectors, although their prospectus might not restrict them to a specific industry. The company is likely based in the United States.",USD,Financials,Diversified Financials,Diversified Financial Services,NMS,XNAS,NASDAQ Global Select,United States,,,,,Nano Cap,,,BBG020B9B3C3,BBG020B9B3C3,BBG020B9B4C1,False
AACIU,Armada Acquisition Corp. I Unit,"Armada Acquisition Corp. I Unit consists of one share of common stock and a fraction of a warrant, allowing investors to potentially purchase additional shares in the future. It is offered as a package during the company's initial public offering (IPO) and separates into its component parts after a specified period. Armada Acquisition Corp. I is a SPAC, meaning its purpose is to acquire an existing private company.",USD,Financials,Diversified Financials,Diversified Financial Services,NMS,XNAS,NASDAQ Global Select,United States,,,,,Nano Cap,,,BBG02093YXT0,BBG02093YXT0,BBG02093YZ42,False
AACIW,Armada Acquisition Corp. I Warrant,Armada Acquisition Corp. I Warrant gives the holder the right to purchase shares of common stock in Armada Acquisition Corp. I at a specified price. These warrants are often issued as part of a unit offering during the company's initial public offering (IPO). Armada Acquisition Corp. I is a SPAC searching for a company to merge with.,USD,Financials,Diversified Financials,Diversified Financial Services,NMS,XNAS,NASDAQ Global Select,United States,,,,,Nano Cap,,,BBG020KTK339,BBG020KTK339,,False
AACO,Abony Acquisition Corp. I Class A Ordinary Share,,USD,Financials,Diversified Financials,Diversified Financial Services,NMS,XNAS,NASDAQ Global Select,United States,,,,,Nano Cap,,,BBG01ZJY0407,BBG01ZJY0407,BBG01ZJY0416,False
AACOU,Abony Acquisition Corp. I Units,,USD,Financials,Diversified Financials,Diversified Financial Services,NMS,XNAS,NASDAQ Global Select,United States,,,,,Nano Cap,,,BBG020D5VK39,BBG020D5VK39,BBG020D5VL00,False
AACOW,Abony Acquisition Corp. I Warrants,,USD,,,,NMS,XNAS,NASDAQ Global Select,United States,,,,,Nano Cap,,,BBG00ZGKNTL8,BBG00ZGKNTL8,,False
AACP,Apogee Acquisition Corp Class A Ordinary Shares,,USD,Financials,Diversified Financials,Diversified Financial Services,NMS,XNAS,NASDAQ Global Select,United States,,,,,Nano Cap,,,,,,False
