symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
20MICRONS.NS,20 Microns Limited,"20 Microns Limited engages in the industrial micronised minerals and specialty chemicals businesses in India. It offers industrial minerals, such as ground calcium carbonate, dolomite, hydrous kaolins, calcined kaolins, talcs, natural barytes, silica/quartz, muscovite mica, feldspar/nepheline syenite, and natural and synthetic red oxide. The company also provides specialty chemicals, including white pigment opacifiers, buff colored TIO2, synthetic barium sulphate, micronized wax and wax additives, high aspect ratio talc, flash and surface modified calcined kaolins, matting agents, rheological additives, inorganic thickeners, sub micron calcium carbonate, decorative colored quartz sand, calcium oxide desiccant, and flame retardants. Its products are used in paints and coatings, inks and pigments, plastics and polymers, papers, rubber, cosmetics, adhesives and sealants, agrochemicals, welding electrodes, foundry, ceramics, construction and construction chemicals, oil well drilling, filtration, detergents and soaps, leather, and textiles applications. The company also exports its products. 20 Microns Limited was founded in 1987 and is headquartered in Vadodara, India.",INR,Materials,Materials,Metals & Mining,NSE,XNSE,National Stock Exchange of India,India,,Vadodara,391760,http://www.20microns.com,Nano Cap,,,,,,False
3IINFOTECH.NS,3i Infotech Limited,"3i Infotech Limited provides IP based software solutions and information technology services in India and internationally. The company offers Kastle Universal Lending System, a centralized database and browser based application to integrate and streamline the loan processing cycle; Kastle Treasury, a treasury management solution; Kastle Core Banking that provides banking operations for commercial and consumer banking; Kastle Transaction Banking that enables cash and securities movement; Factor/SQL, a factoring software solution; Kastle Integrated Risk Management solution; AMLOCK, an anti-money laundering, and financial crime detection and management solution; Kastle Digital Banking solutions suite to cater the trends of banking and lending practices; and Kastle Business Intelligence, an enterprise analytics platform. It also provides general, life, and health insurance products under the PREMIA brands; PREMIA Blogs; PREMIA Pension; MFund Plus WMS, a wealth management platform technology solution; MFund Plus Suite, an investment/fund management solution; MFund Investor Services System; and PREMIA e-portal, an insurance-specific web portal solution. In addition, the company offers enterprise resource planning solutions, including ORION enterprise suite, a solution that provides industry-specific solutions; ORION financial management solution, which streamlines and unifies financial management process; ORION HRMS and payroll to enhance employee productivity and organizational efficiency; and ORION Mobile ERP, a mobile application to integrate various business processes and modules. Further, it provides customer relationship management and B2C solutions under ORION brand. It serves customers in banking, insurance, capital markets, asset and wealth management, government, manufacturing, retail, distribution, telecom, and healthcare industry verticals. The company was founded in 1993 and is headquartered in Navi Mumbai, India.",INR,Information Technology,Software & Services,IT Services,NSE,XNSE,National Stock Exchange of India,India,,Navi Mumbai,400 703,http://www.3i-infotech.com,Micro Cap,,,,,,False
A2ZINFRA.NS,A2Z Infra Engineering Limited,"A2Z Infra Engineering Limited provides engineering, procurement, construction, and facility management services in India and internationally. It operates in Engineering Service, Facility Management Services, Power Generation Projects, and Others segments. The company offers integrated design, testing, installation, construction, and commissioning services, and telecom infrastructure projects. Its activities include rural and railway overhead electrification, reduction of AT&C losses, feeder renovation and segregation; underground cabling; and high voltage distribution system and low voltage distribution system distribution and transmission lines installation. The company also offers system integration of IT projects; and optical fiber cable NLD/access networking construction and maintenance, network integration, telecom infrastructure operation and maintenance, material planning and project management, radio frequency engineering, and engineering construction and infrastructure services. In addition, it is also involved in the collection, transportation, treatment, and disposal of solid waste generated in cities. Further, it provides facility management services for corporate offices, railways stations, railway coaches, airports, other commercial establishments, and public places, such as parks and beaches; operates sewage network and treatment plants, gas distribution networks, and metro projects; and provides eco-tech green toilets and environment-friendly battery-driven bicycles. The company was formerly known as A2Z Maintenance & Engineering Services Limited and changed its name to A2Z Infra Engineering Limited in October 2014. A2Z Infra Engineering Limited was founded in 2002 and is based in Gurugram, India.",INR,Industrials,Capital Goods,Construction & Engineering,NSE,XNSE,National Stock Exchange of India,India,,Gurugram,122001,http://www.a2zgroup.co.in,Nano Cap,,,,,,False
AAATECH-SM.NS,AAA TECHNOLOGIES L,,INR,,,,NSE,XNSE,National Stock Exchange of India,,,,,,,,,,,,False
AAKASH.NS,Aakash Exploration Services Limited,"Aakash Exploration Services Limited provides support services for oil and gas extraction in India. It offers services using machineries, such as mobile work over rigs, hot oil circulation units, heating units, indirect bath heaters, mobile sucker rod pumping units, utility services for return lines, mobile steaming units, mobile high pressure air compressors, mobile high and low pressure pumping units, and FRAC/ insulated tanks. The company was founded in 2007 and is headquartered in Ahmedabad, India.",INR,Energy,Energy,Energy Equipment & Services,NSE,XNSE,National Stock Exchange of India,India,,Ahmedabad,380005,http://www.aakashexploration.com,Nano Cap,,,BBG00KSMX0V5,BBG002Y1ZRR8,BBG002Y1ZRS7,False
AARON.NS,Aaron Industries Limited,"Aaron Industries Limited engages in manufacturing and trading of elevator products and other elevator parts for elevator industry in India. It offers various elevator products and parts, including elevators, elevator cabins, elevator doors, elevator kits, and complete kits, as well as auto door systems, door operators, swing doors, manual doors, and gearless machines. The company also provides electrical equipment and accessories, such as bus bars, MCB D.B., boxes, switch and accessories, and z perline. In addition, it engages in polishing, processing, designing, and finishing of stainless steel sheets, PVD coated colored sheets, and designer sheets for food storage, architectural and construction, appliances, and other sectors. Further, the company trades in traction machine, elevators kit parts, boom barriers, sensors, and other products. Aaron Industries Limited was founded in 2013 and is based in Surat, India.",INR,Industrials,Capital Goods,Machinery,NSE,XNSE,National Stock Exchange of India,India,,Surat,394210,http://aaronindustries.net,Nano Cap,,,BBG00LSL0YL8,BBG00LSL0YH3,BBG00LSL0YN6,False
AARTIDRUGS.NS,Aarti Drugs Limited,"Aarti Drugs Limited, through its subsidiaries, engages in the pharmaceuticals business in India and internationally. It offers active pharmaceutical ingredients in various therapeutic categories, including anti-inflammatory, cardioprotectants, antidiarrhoeals, antifungals, antiarthritis/osteoporosis, antibiotics, antidiabetics, Alzheimer's treatment, sedatives, vitamins, and alcoholism treatment. The company also provides pharmaceutical intermediate products comprising tinidazole, celecoxib, ciprofloxacin, clopidogrel, diclofenac, ketoconazole, nimesulide, raloxifene, and zolpidem; and specialty chemical products, such as benzene sulphonamide, benzene sulphonic acid, benzene sulphonic acid methyl ester, benzene sulphonyl chloride, cipro Q acid, levofloxacin Q acid, methyl nicotinate, N-methyl methane sulphonamide, diphenyl sulphone, norofloxacin Q acid, ofloxacin Q acid, ortho para toluene sulphonamide, ortho/para toluene sulphonic acid methyl ester, para chloro benzene sulphonamide, para chloro benzene sulphonyl chloride, para toluene sulphonamide, para toluene sulphonic acid methyl ester, para toluene sulphonyl chloride, and sodium benezene sulfinate. In addition, its products under development comprise Acamprosate for alcoholism; Dabigatran for use as an anticoagulant; Sevelamer for antihyperphosphatemia; Colsevelam for anti-cholestrol treatment; Drondarone and Olmesartan for the treatment of cardiovascular diseases; Valasartan for use as cardiprotectant; and Sitagliptin for use as an antidiabetic. Additionally, the company offers contract manufacturing services. Aarti Drugs Limited was founded in 1984 and is headquartered in Mumbai, India.",INR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,NSE,XNSE,National Stock Exchange of India,India,,Mumbai,400 022,http://www.aartidrugs.co.in,Small Cap,,,,,,False
AARTIIND.NS,Aarti Industries Limited,"Aarti Industries Limited manufactures and sells specialty chemicals and pharmaceuticals in India. It offers di chloro benzene, nitro chloro and nitro benzene, nitro toluenes, sulphur, and other organic and inorganic products that are used in the manufacture of intermediates with applications in agrochemicals, pharmaceuticals, polymer additives, fuel additives, FMCG, dyes, printing inks, pigments, rubber chemicals, and other speciality chemical applications. The company also provides active pharmaceutical ingredients, which have applications in anti-hypertensive, anti asthamatic, anti-cancer, anti thalassaemic, analgesic, ophthalmologic, and calcimimetics; central nervous system agents; and skin care and decongestant products. In addition, it offers intermediates; and xanthine derivatives, such as caffeine theophylline anhydrous, aminophylline, etophylline, theobromine, acephylline piperazine, and theobromine derivatives, as well as contract manufacturing and research services. The company also exports its products to approximately 60 countries in North America, Europe, China, Japan, and internationally. Aarti Industries Limited was founded in 1975 and is headquartered in Mumbai, India.",INR,Materials,Materials,Chemicals,NSE,XNSE,National Stock Exchange of India,India,,Mumbai,400080,http://www.aarti-industries.com,Mid Cap,,,,,,False
AARTISURF.NS,Aarti Surfactants Limited,"Aarti Surfactants Limited, together with its subsidiaries, manufactures and sells of ionic and non-ionic and specialty surfactants for the home and personal care, agro and oil, and other industrial applications in India and internationally. The company's products include surfactants, mild surfactants, rheology modifiers, pearlising agents, UV filters, preservatives, syndet and soap bases, sun care products, and active ingredients, as well as conditioning agents, blends, proteins, and quats. It serves skin care, oral, hair, cosmetics, bath and shower, sun care, fabric/laundry care, dishwashing, toilet care, and surface care segments. The company was formerly known as Arti Surfactants Limited. Aarti Surfactants Limited was incorporated in 2018 and is based in Mumbai, India.",INR,Materials,Materials,Chemicals,NSE,XNSE,National Stock Exchange of India,India,,Mumbai,400080,http://www.aarti-surfactants.com,Micro Cap,,,,,,False
AARVEEDEN.NS,Aarvee Denims and Exports Limited,"Aarvee Denims and Exports Limited engages in manufacturing and selling of fabrics in India and internationally. It operates in two segments, Textile and Windmill. The company offers cotton fibers; cotton and texturized yarns; ring, shirting, printed, stretch, satin, flat finish, special blend, LYCRA, and other denims; and non-denim fabrics. It is also involved in the wind power generation activities. The company was founded in 1988 and is headquartered in Ahmedabad, India.",INR,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",NSE,XNSE,National Stock Exchange of India,India,,Ahmedabad,382405,http://www.aarveedenims.com,Nano Cap,,,,,,False
