symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,"Adani Ports and Special Economic Zone Limited, together with its subsidiaries, develops, operates, and maintains port infrastructure in India. The company is involved in the operation of ports and terminals, including bulk and break bulk, container, liquid, LPG, LNG, and crude cargo; ports related infrastructure development activities; and development of infrastructure at contiguous Special Economic Zone at Mundra. It also offers logistic services, which include logistic parks, container rail and bulk cargo logistic solutions, and warehousing, as well as auto, road, and agriculture logistic services. In addition, the company operates a fleet of dredging and reclamation service equipment comprising cutter suction, trailing suction hopper, grab, inland cutter suction, water injection, and specialized dredgers; split hopper, flat top, and jack up barges; and multi utility craft, survey vessels, floating crane, drag flow unit, and floating booster, as well as dozers, excavotors, loaders, and other equipment. Further, it provides non-scheduled passenger airline services; hospital and related services; and marine services, such as pilotage, laying, mooring of vessels at berth and mid-stream, and maintenance of buoys. Additionally, the company engages in the development, construction, operation, and maintenance of railway corridors; land development activities; integrated textile park and container freight station businesses; owns and operates harbour tugs, barges, other port crafts, ocean towage and offshore support vessels; and provision of cargo storage-cum logistics services. The company was incorporated in 1998 and is headquartered in Ahmedabad, India.",INR,,,,NSI,XNSE,National Stock Exchange of India,India,,,,,,,,,,,False
BIRLAMONEY.NS,Aditya Birla Money Limited,"Aditya Birla Money Limited provides financial services in India. It operates through Broking, Whole Debt Market, and Others segment. The company offers stock and commodity broking, portfolio management, depository, and e-insurance repository solutions; distributes other financial products; and invests in stocks, mutual funds, and initial public offerings (IPOs). It is also involved in equity and derivative trading through NSE and BSE; currency derivative through MCX-SX; and commodities trading through MCX and NCDEX, as well as margin funding activities. In addition, the company provides Elevate app, a trading platform and investing app; Elevate web, a web trading platform for trading and updates; Open Store API for various financial products; Mutual Funds Platform, a mutual fund interface; and Express Trade, a desktop trading application. Further, it distributes life and health insurance, mutual funds, and loan products; and offers home, business, and personal loans, as well as investment products in debt securities, initial public offerings (IPOs), national pension system, ETF, sovereign gold bonds, and equity SIP. The company was incorporated in 1995 and is based in Chennai, India. Aditya Birla Money Limited is a subsidiary of Aditya Birla Capital Limited.",INR,,,,NSI,XNSE,National Stock Exchange of India,India,,,,,,,,,,,False
BRNL.NS,Bharat Road Network Limited,"Bharat Road Network Limited owns, designs, develops, builds, operates, and transfers road and related services in India. It is also involved in the project development and implementation; tolling operation and maintenance; highway management and development; claim and contracts management; and advisory and project management services, including construction supervision/debt syndication. The company was incorporated in 2006 and is based in Kolkata, India.",INR,Financials,Diversified Financials,Diversified Financial Services,NSI,XNSE,National Stock Exchange of India,India,CA,Kolkata,94129.0,http://www.sz000004.cn,Micro Cap,,,BBG00HKVTY96,BBG00HKVTY69,BBG00HKVTYC2,False
DEN.NS,DEN Networks Limited,"DEN Networks Limited, a media and entertainment company, engages in the distribution of television channels to households through a digital cable distribution network in India. The company operates in Cable and Broadband segments. It distributes and promotes television channels; and provides visual entertainment through cable TV, over-the-top entertainment, and broadband services, as well as offers internet services. The company was incorporated in 2007 and is headquartered in New Delhi, India.",INR,Financials,Diversified Financials,Diversified Financial Services,NSI,XNSE,National Stock Exchange of India,India,CA,Mumbai,94129.0,http://www.sz000004.cn,Micro Cap,,,BBG000NY0605,BBG000NY04W5,BBG001T5D3K1,False
DONEAR.NS,Donear Industries Limited,"Donear Industries Limited manufactures fabrics in India and internationally. The company offers fabrics in various finishes, including wrinkle and odor resistance, moisture absorbent, and 4-way stretch; and ready-to-wear products, such as shirts, t-shirts, trousers, denims, suits, traditional wear, sports and Nehru jackets, corduroy, workwear, and accessories under the Donear Suitings, Mayur Suitings & Shirtings, Ferrino Mizzoni, Eurico, Vestito, D'Cot, and Donear NXG brands. It also provides dyed polyester and cotton yarns; and trades in garments. The company exports its products to approximately 20 countries. It serves automotive, aviation, industrial, defence, government bodies, and educational institutions through various channels, which include wholesale, retail, franchisees, agents, and dealers. Donear Industries Limited was founded in 1979 and is based in Mumbai, India.",INR,,,,NSI,XNSE,National Stock Exchange of India,India,,,,,,,,,,,False
ENIL.NS,Entertainment Network (India) Limited,"Entertainment Network (India) Limited, together with its subsidiary, operates FM radio broadcasting stations in India and internationally. The company operates radio stations under the Mirchi, Radio Mirchi, Mirchi 95, Mirchi Plus, Mirchi Love, and Kool FM brand names. It also operates Gaana, a music audio content and hosting and streaming in various languages; and provides radio advertising services. In addition, it is involved in the provision of various branded solutions, including concerts, award shows, on-air properties, brand licensing, multimedia, and digital services; and services to manage the intellectual properties, and activities or events of clients. The company was incorporated in 1999 and is based in Mumbai, India. Entertainment Network (India) Limited operates as a subsidiary of Bennett, Coleman & Company Limited.",INR,Financials,Diversified Financials,Diversified Financial Services,NSI,XNSE,National Stock Exchange of India,India,CA,Mumbai,94129.0,http://www.sz000004.cn,Micro Cap,,,BBG000LPT3S2,BBG000LPT286,BBG001SK3SY0,False
FMNL.NS,Future Market Networks Limited,"Future Market Networks Limited, together with its subsidiaries, engages in organizing of wholesale, trade, retail, and logistics infrastructure projects in India. The company also manages and operates shopping infrastructures and retail spaces; develops large-scale warehouses; and provides mall management business. The company was formerly known as Agre Developers Limited and changed its name to Future Market Networks Limited in February 2012. The company was incorporated in 2008 and is based in Mumbai, India. Future Market Networks Limited is a subsidiary of Future Corporate Resources Private Limited.",INR,Financials,Diversified Financials,Diversified Financial Services,NSI,XNSE,National Stock Exchange of India,India,CA,Mumbai,94129.0,http://www.sz000004.cn,Micro Cap,,,BBG001CPH5C5,BBG0015YCQD2,BBG001TBCMZ1,False
GSPL.NS,Gujarat State Petronet Limited,"Gujarat State Petronet Limited transmits natural gas through pipeline on an open access basis from supply points to demand centers in India. The company develops energy transportation infrastructure and connects natural gas supply sources, including LNG terminals to various markets. It also operates city gas distribution and trading of natural gas business, as well as generates electricity through windmills. The company transports natural gas to various customers, including refineries, steel plants, fertilizer plants, petrochemical plants, power plants, glass, textiles, chemical, city gas distribution (CGD) companies, and other industries in various segments. Gujarat State Petronet Limited was incorporated in 1998 and is based in Gandhinagar, India.",INR,,,,NSI,XNSE,National Stock Exchange of India,India,,,,,,,,,,,False
HONAUT.NS,Honeywell Automation India Limited,"Honeywell Automation India Limited manufactures and sells industrial process control and automation systems in India and internationally. The company offers environmental and combustion controls, sensing and control solutions, and engineering services for the automation and control fields. It also provides building solutions, including ground lighting, video analytics software, after-sales services, and maintenance plans for various control systems. In addition, the company builds management systems, such as controllers, field devices, and software solutions for healthy buildings and heating, ventilation, and air conditioning applications across various sectors, including pharmaceuticals, healthcare, government infrastructure, IT parks, residential complexes, industrial spaces, and hospitality sectors. Further, the company offers sensing solutions, such as pressure switches, airflow sensors, humidity and temperature sensors, and oxygen and breath sensors for the transportation, medical and healthcare, and defense and aerospace industries. Additionally, it provides for the trading of sensing, measurement, and control equipment, and provides installation, engineering, and repair and maintenance services for industrial control and automation systems. Honeywell Automation India Limited was incorporated in 1984 and is headquartered in Pune, India. Honeywell Automation India Limited is a subsidiary of Hail Mauritius Limited.",INR,,,,NSI,XNSE,National Stock Exchange of India,India,,,,,,,,,,,False
IDEA.NS,Vodafone Idea Limited,"Vodafone Idea Limited, together with its subsidiaries, provides mobile telecommunication services in India. The company offers voice services, such as 4G VoLTE and Voice over WIFI calling; broadband data services on 3G, 4G, and 5G platforms; content and digital products and services; value-added services, including over-the-top paid subscription, digital advertising, gaming, digital marketplace, and utility bill payment app, as well as voice and short messaging services; and long distance and internet service provider services. It also engages in renting of passive infrastructure to telecommunication service providers; outsourcing backend IT support, data centre operations, and hosting; and provision of high speed broadband internet access through cable network and high bandwidth internet broadband, and manpower services. In addition, the company trades in mobile handsets, data cards, and related accessories and services; outsources finance and accounts, human resources, supply chain management, credit and collection support, and customer support, as well as caters to the information technology (IT) needs for data consolidation. Further, it offers technology, software, hardware, VAS, application software, and contents and related products and services, which facilitate and develop access to IT enabled VAS products and services on single or multiple platforms or operating systems; and data centre related services and IT solutions, including E-SIMs activation, as well as prepaid and postpaid plans. The company was formerly known as Idea Cellular Limited and changed its name to Vodafone Idea Limited in August 2018. Vodafone Idea Limited was incorporated in 1995 and is based in Mumbai, India.",INR,,,,NSI,XNSE,National Stock Exchange of India,India,,,,,,,,BBG000FR5702,BBG000FR5515,BBG001SGP4D1,False
