symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
A,"Agilent Technologies, Inc.","Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid and gas chromatography systems and components; liquid and gas chromatography mass spectrometry systems; inductively coupled plasma mass and optical emission spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate readers; laboratory software, information management, and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment to produce synthesized oligonucleotide. It also offers immunohistochemistry, in situ hybridization, and hematoxylin and eosin staining and special staining; instruments, consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. It has collaboration agreement with SGS AXYS. The company was incorporated in 1999 and is headquartered in Santa Clara, California.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,NYQ,XNYS,New York Stock Exchange,United States,CA,Santa Clara,95051,http://www.agilent.com,Large Cap,US00846U1016,00846U101,BBG000C2V541,BBG000C2V3D6,BBG001SCTQY4,False
AA,Alcoa Corporation,"Alcoa Corporation, together with its subsidiaries, produces and sells bauxite, alumina, and aluminum products in the United States, Spain, Australia, Brazil, Canada, and internationally. The company operates through three segments: Bauxite, Alumina, and Aluminum. It engages in bauxite mining operations; and processes bauxite into alumina and sells it to customers who process it into industrial chemical products, as well as aluminum smelting, casting, and rolling businesses. The company offers primary aluminum in the form of alloy ingot or value-add ingot to customers that produce products for the transportation, building and construction, packaging, wire, and other industrial markets; and flat-rolled aluminum sheets to customers that produce beverage and food cans. In addition, it owns hydro power plants that produce and sell electricity to the wholesale market to traders, large industrial consumers, distribution companies, and other generation companies. The company was formerly known as Alcoa Upstream Corporation and changed its name to Alcoa Corporation in October 2016. The company was founded in 1888 and is headquartered in Pittsburgh, Pennsylvania.",USD,Materials,Materials,Metals & Mining,NYQ,XNYS,New York Stock Exchange,United States,PA,Pittsburgh,15212-5858,http://www.alcoa.com,Large Cap,US0138721065,013872106,BBG00B3T3HK5,BBG00B3T3HD3,BBG00B3T3HF1,False
AAC,Ares Acquisition Corporation,"Ares Acquisition Corporation focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company was founded in 2020 and is based in New York, New York.",USD,Financials,Diversified Financials,Diversified Financial Services,NYQ,XNYS,New York Stock Exchange,United States,NY,New York,10167,,Small Cap,,,,,,True
AAIC,Arlington Asset Investment Corp.,"Arlington Asset Investment Corp. (NYSE: AI) is a principal investment firm that currently invests primarily in mortgage-related and other assets.  The Company is headquartered in the Washington, D.C. metropolitan area.  For more information, please visit www.arlingtonasset.com.",USD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),NYQ,XNYS,New York Stock Exchange,United States,VA,Arlington,22209,http://www.arlingtonasset.com,Micro Cap,,,,,,True
AAIC-PB,Arlington Asset Investment Corp.,"Arlington Asset Investment Corp. (NYSE: AI) is a principal investment firm that currently invests primarily in mortgage-related and other assets.  The Company is headquartered in the Washington, D.C. metropolitan area.  For more information, please visit www.arlingtonasset.com.",USD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),NYQ,XNYS,New York Stock Exchange,United States,VA,Arlington,22209,http://www.arlingtonasset.com,Micro Cap,,,,,,True
AAIC-PC,Arlington Asset Investment Corp.,"Arlington Asset Investment Corp. (NYSE: AI) is a principal investment firm that currently invests primarily in mortgage-related and other assets.  The Company is headquartered in the Washington, D.C. metropolitan area.  For more information, please visit www.arlingtonasset.com.",USD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),NYQ,XNYS,New York Stock Exchange,United States,VA,Arlington,22209,http://www.arlingtonasset.com,Micro Cap,,,,,,True
AAMI,Acadian Asset Management Inc. Common Stock,"Acadian Asset Management Inc. is a global investment management firm specializing in active quantitative strategies. The firm manages assets for institutional clients, including pension funds, endowments, foundations, and sovereign wealth funds, using a disciplined, research-driven approach. It is headquartered in Boston, Massachusetts.",USD,Financials,Diversified Financials,Capital Markets,NYQ,XNYS,New York Stock Exchange,United Kingdom,,,,,Small Cap,,10948W103,BBG00P2HLNY3,BBG00P2HLNY3,BBG00P2HLNZ2,False
AAN,"The Aaron's Company, Inc.","The Aarons Company Inc. provides lease-to-own and purchase solutions. The company engages in direct-to-consumer sales and lease ownership of furniture, home appliances, electronics, and accessories through its approximately 1,300 Company-operated and franchised stores in the United States and Canada, as well as its e-commerce platform. It also manufactures and supplies bedding and upholstered furniture. As of December 31, 2020, the company had 1,092 Company-operated stores and 248 independently-owned franchised stores. The company was formerly known as Aaron's SpinCo, Inc. The Aarons Company Inc. was founded in 1955 and is headquartered in Atlanta, Georgia.",USD,Consumer Discretionary,Retailing,Specialty Retail,NYQ,XNYS,New York Stock Exchange,United States,GA,Atlanta,30339-3194,http://www.aarons.com,Small Cap,,00258W108,,,,True
AAP,"Advance Auto Parts, Inc.","Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",USD,Consumer Discretionary,Retailing,Specialty Retail,NYQ,XNYS,New York Stock Exchange,United States,NC,Raleigh,27604,http://www.advanceautoparts.com,Mid Cap,US00751Y1064,00751Y106,BBG000F7RFH6,BBG000F7RCJ1,BBG001SD2SB2,False
AAQC-UN,Accelerate Acquisition Corp.,"Accelerate Acquisition Corp. intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses in industrial, transportation and mobility, consumer, and retail sectors. The company was incorporated in 2020 and is based in Short Hills, New Jersey.",USD,Financials,Diversified Financials,Diversified Financial Services,NYQ,XNYS,New York Stock Exchange,United States,NJ,Short Hills,7078,http://www.xlr8ac.com,,,,,,,False
