symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
ABB040.NZ,,,,,,,NZE,XNZE,New Zealand Exchange,,,,,,,,,,,,False
ABB050.NZ,ASB Bank Limited 5.25% GTD SUB BDS 15/12/2026 NZD5000,,NZD,,,,NZE,XNZE,New Zealand Exchange,,,,,,Mid Cap,,,,,,False
ABB070.NZ,ABB 07/09/2023 3.31% ASB Bank L,,NZD,,,,NZE,XNZE,New Zealand Exchange,,,,,,,,,,,,False
ABB080.NZ,ABB 19/08/2024 1.83% ASB Bank L,,NZD,,,,NZE,XNZE,New Zealand Exchange,,,,,,,,,,,,False
ACE.NZ,Ascension Capital Limited,"Ascension Capital Limited is a publicly owned investment manager. The firm is listed on the New Zealand Stock Exchange. The company was formerly known as TRS Investments Limited and changed its name to Ascension Capital Limited in July 2020. Ascension Capital Limited is based in Wellington, New Zealand.",NZD,Financials,Diversified Financials,Capital Markets,NZE,XNZE,New Zealand Exchange,New Zealand,,Wellington,6143,,Nano Cap,,00444E103,,,,True
AFC.NZ,AFC Group Holdings Limited,"AFC Group Holdings Limited, together with its subsidiaries, produces, manufactures, and purchases food, health, and cosmetic products for distribution in Australia, China, and New Zealand. It operates through three segments: Corporate, Vineyard and Winery, and Manufacturing. The company's products include milk, honey, wine, beef, mutton, and health and skin care products. The company also produces and sells varietals and blends of wine; and manufactures cosmetic face masks under the DDMASK brand. In addition, it distributes food products, cosmetics, and health products. The company was formerly known as Australasian Food Corporation Limited and changed its name to AFC Group Holdings Limited in September 2016. AFC Group Holdings Limited was incorporated in 2006 and is headquartered in Auckland, New Zealand.",NZD,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,NZE,XNZE,New Zealand Exchange,New Zealand,,Auckland,2013,http://www.afcnz.com,Nano Cap,,,BBG000L47M56,BBG000L47LP6,BBG001SPYH33,True
AFI.NZ,Australian Foundation Investment Company Limited,"Australian Foundation Investment Company Limited is a publicly owned investment manager. The firm invests in the public equity markets of Australia and New Zealand. It invests in value stocks of companies. It benchmarks the performance of its portfolio against S&P/ASX 200 Accumulation Index. It invests in companies across diversified industries. The firm employs fundamental analysis with a focus on bottom-up research to make its investments. The firm conducts in-house research to make its investments. Australian Foundation Investment Company Limited was founded in 1928 and is based in Melbourne, Australia.",NZD,Financials,Diversified Financials,Capital Markets,NZE,XNZE,New Zealand Exchange,Australia,VIC,Melbourne,3000,http://www.afi.com.au,Mid Cap,,,BBG000BMM9R5,BBG000BMM9K2,BBG001S6CPY7,False
AFT.NZ,AFT Pharmaceuticals Limited,"AFT Pharmaceuticals Limited develops, licenses, distributes, and sells pharmaceutical products in New Zealand, Australia, Southeast Asia, and internationally. The company offers products for use in the areas of allergy, cold and flu, digestive health, eye care, first aid, nail and oral care, pain management, skin care, and other products, as well as supplements. The company was incorporated in 1997 and is headquartered in Auckland, New Zealand.",NZD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,NZE,XNZE,New Zealand Exchange,New Zealand,,Auckland,622,http://www.aftpharm.com,Small Cap,,002896207,BBG00BM48VJ5,BBG005KCDXD8,BBG005KCDXF6,False
AGL.NZ,Accordant Group Limited,"Accordant Group Limited provides recruitment and staffing services in New Zealand. It provides semi-skilled and skilled, primarily temporary staffing services under the AWF brand to construction, infrastructure development, manufacturing, food processing, timber processing, and waste management sectors. The company also offers white collar recruitment services under the Madison brand to clients in central and local government businesses, as well as in health, insurance, telecommunication, banking, and other industries. Further, the company provides executive search, recruitment, and contracting solutions to public, private, and not-for-profit sectors under the JacksonStone brand. Additionally, it operates The Work Collective, which offers organizations to deliver social impact through their staffing supply chain. The company was formerly known as AWF Madison Group Limited and changed its name to Accordant Group Limited in October 2020. Accordant Group Limited was founded in 1988 and is based in Auckland, New Zealand.",NZD,Industrials,Commercial & Professional Services,Professional Services,NZE,XNZE,New Zealand Exchange,New Zealand,,Auckland,1143,http://www.accordant.nz,Nano Cap,,,BBG000H16074,BBG000H15Z14,BBG001SP2PK1,False
AIA.NZ,Auckland International Airport Limited,"Auckland International Airport Limited provides airport facilities, supporting infrastructure, and aeronautical services in Auckland, New Zealand. The company operates through three segments: Aeronautical, Retail, and Property. The Aeronautical segment offers services that facilitate the movement of aircraft, passengers, and cargo, as well as utility services, which support the airport; and leases space for facilities, such as terminals. The Retail segment provides services to the retailers within the terminals; and car parking facilities for passengers, visitors, and airport staff. The Property segment leases cargo buildings, hangars, and stand-alone investment properties. The company was founded in 1988 and is based in Manukau, New Zealand.",NZD,Industrials,Transportation,Air Freight & Logistics,NZE,XNZE,New Zealand Exchange,New Zealand,,Manukau,2022,http://www.aucklandairport.co.nz,Mid Cap,,,BBG000JQSF25,BBG000JQSCZ6,BBG001SBM1G8,False
AIA200.NZ,Auckland International Airport Limited,"Auckland International Airport Limited provides airport facilities, supporting infrastructure, and aeronautical services in Auckland, New Zealand. The company operates through three segments: Aeronautical, Retail, and Property. The Aeronautical segment offers services that facilitate the movement of aircraft, passengers, and cargo, as well as utility services, which support the airport; and leases space for facilities, such as terminals. The Retail segment provides services to the retailers within the terminals; and car parking facilities for passengers, visitors, and airport staff. The Property segment leases cargo buildings, hangars, and stand-alone investment properties. The company was founded in 1988 and is based in Manukau, New Zealand.",NZD,Industrials,Transportation,Air Freight & Logistics,NZE,XNZE,New Zealand Exchange,New Zealand,,Manukau,2022,http://www.aucklandairport.co.nz,Mid Cap,,,,,,False
AIA210.NZ,AIA 02/11/2023 3.97% Auckland I,,NZD,,,,NZE,XNZE,New Zealand Exchange,,,,,,,,,,,,False
AIA220.NZ,Auckland International Airport Limited,"Auckland International Airport Limited provides airport facilities, supporting infrastructure, and aeronautical services in Auckland, New Zealand. The company operates through three segments: Aeronautical, Retail, and Property. The Aeronautical segment offers services that facilitate the movement of aircraft, passengers, and cargo, as well as utility services, which support the airport; and leases space for facilities, such as terminals. The Retail segment provides services to the retailers within the terminals; and car parking facilities for passengers, visitors, and airport staff. The Property segment leases cargo buildings, hangars, and stand-alone investment properties. The company was founded in 1988 and is based in Manukau, New Zealand.",NZD,Industrials,Transportation,Air Freight & Logistics,NZE,XNZE,New Zealand Exchange,New Zealand,,Manukau,2022,http://www.aucklandairport.co.nz,Mid Cap,,,,,,False
AIA230.NZ,AIA 10/10/2024 3.51% Auckland I,,NZD,,,,NZE,XNZE,New Zealand Exchange,,,,,,,,,,,,False
AIR.NZ,Air New Zealand Limited,"Air New Zealand Limited provides passenger and cargo transportation services on scheduled airlines primarily in New Zealand, Australia, the Pacific Islands, the United Kingdom, Europe, Asia, and the United States. The company also offers ground handling services; engineering and maintenance services, including aircraft and component maintenance, repair, and overhaul services; and aircraft leasing and financing services. It operates a fleet of 114 aircraft. The company was formerly known as Tasman Empire Airways Limited and changed its name to Air New Zealand Limited in April 1965. Air New Zealand Limited was founded in 1940 and is based in Auckland, New Zealand.",NZD,Industrials,Transportation,Airlines,NZE,XNZE,New Zealand Exchange,New Zealand,,Auckland,1010,http://www.airnewzealand.co.nz,Mid Cap,,,BBG000BQ8YC3,BBG000BQ8Y60,BBG001S6HST2,False
AIR020.NZ,AIR 28/10/2022 4.25% - Air New ,,NZD,,,,NZE,XNZE,New Zealand Exchange,,,,,,,,,,,,False
AKC100.NZ,AKC 27/07/2026 3.338% Auckland ,,NZD,,,,NZE,XNZE,New Zealand Exchange,,,,,,,,,,,,False
AKC120.NZ,AKC 10/07/2025 2.013% Auckland ,,NZD,,,,NZE,XNZE,New Zealand Exchange,,,,,,,,,,,,False
AKC130.NZ,AKC 28/09/2050 2.95% Auckland C,,NZD,,,,NZE,XNZE,New Zealand Exchange,,,,,,,,,,,,False
ALF.NZ,Allied Farmers Limited,"Allied Farmers Limited, through its subsidiaries, sells and purchases livestock in New Zealand. The company engages in the procurement, processing, and sale of calves. It also provides livestock financing, rural, and nominee services; rural finance; and online services through its MyLivestock website. The company was formerly known as The Farmers Co-operative Organisation Society of New Zealand Limited and changed its name to Allied Farmers Limited in 1996. Allied Farmers Limited was founded in 1913 and is based in Stratford, New Zealand.",NZD,Consumer Staples,Household & Personal Products,Household Products,NZE,XNZE,New Zealand Exchange,New Zealand,,Stratford,4332,http://www.alliedfarmers.co.nz,Nano Cap,,,BBG000GMLPL1,BBG000GMLNP2,BBG001SKJKW2,False
AMP.NZ,AMP Limited,"AMP Limited operates as a wealth management company in Australia and internationally. The company offers financial advice and platform administration services, unit linked superannuation products, and retirement income and managed investment products for individuals; and residential mortgages, residential and investment property home loans, deposits, transaction banking services, SMSF products, and loans to AMP-aligned financial adviser practices through digital, online, and phone channels, as well as through financial advisers and home loan brokers. It also manages investments across various asset classes, including infrastructure debt, infrastructure equity, real estate, equities, fixed interest, diversified, and multi-manager and multi-asset funds for institutional and direct clients; and real estate and infrastructure assets, which include shopping centres, airports, and trains on behalf of funds and clients. In addition, the company provides wealth management solutions comprising KiwiSaver schemes, corporate superannuation, retail investments, and general insurance products, as well as operates a wrap investment management platform. AMP Limited was founded in 1849 and is based in Sydney, Australia.",NZD,Financials,Diversified Financials,Capital Markets,NZE,XNZE,New Zealand Exchange,Australia,NSW,Sydney,2000,http://www.amp.com.au,Mid Cap,,,,,,False
ANB150.NZ,ANB 30/05/2023 3.70% ANZ Bank N,,NZD,,,,NZE,XNZE,New Zealand Exchange,,,,,,,,,,,,False
ANB160.NZ,ANB 20/03/2024 3.03% ANZ Bank N,,NZD,,,,NZE,XNZE,New Zealand Exchange,,,,,,,,,,,,False
