symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
2020.OL,2020 Bulkers Ltd.,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates eight scrubber fitted 208,000 deadweight tonnage Newcastlemax dry bulk carriers. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",NOK,Industrials,Transportation,Marine,OSL,XOSL,Oslo Bors,Bermuda,,Hamilton,HM11,http://www.2020bulkers.com,Micro Cap,BMG9156K1018,,BBG00JDY7NN6,BBG00JDY7NM7,BBG00JDY7NQ3,False
2020O.OL,2020 Bulkers Ltd.,"2020 Bulkers Ltd. is a shipping company that owns and operates a fleet of dry bulk vessels, primarily Newcastlemax vessels. They transport dry bulk commodities, such as coal and iron ore, worldwide. The company is headquartered in Hamilton, Bermuda.",NOK,Industrials,Transportation,,OSL,XOSL,Oslo Bors,Bermuda,,,,,,BMG9156K1018,,,,BBG00JDY7NQ3,True
AASB.OL,Aasen Sparebank,"Aasen Sparebank provides various banking products and services in Norway. The company accepts various deposits and accounts, as well as bank cards; and offers payment, payment terminals, billing, credit, overdraft, leasing, bank guarantee, pension, and online and mobile banking services. It also provides construction, business, car, mortgage, and small loans, as well as loans for other vehicles; and small loans refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, store, data attack, property damage, office, homeowners, craftsman, and business insurance products; and farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating equipment and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV, work machines, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",NOK,Financials,Banks,Banks,OSL,XOSL,Oslo Bors,Norway,,Asen,7630,http://aasen-sparebank.no,Nano Cap,,,BBG00BVLQCB7,BBG0015MC198,BBG001TC2HR0,False
AASB14-PRO.OL,AASB14 PRO,,NOK,,,,OSL,XOSL,Oslo Bors,,,,,,,,,,,,False
AASB18-PRO.OL,AASB18 PRO,,NOK,,,,OSL,XOSL,Oslo Bors,,,,,,,,,,,,False
AASB19-PRO.OL,,,,,,,OSL,XOSL,Oslo Bors,,,,,,,,,,,,False
AASB20-PRO.OL,AASB20 PRO,,NOK,,,,OSL,XOSL,Oslo Bors,,,,,,,,,,,,False
AASB21-PRO.OL,AASB21 PRO,,NOK,,,,OSL,XOSL,Oslo Bors,,,,,,,,,,,,False
AASB22-PRO.OL,AASB22 PRO,,NOK,,,,OSL,XOSL,Oslo Bors,,,,,,,,,,,,False
AASB25-PRO.OL,AASB25 PRO,,NOK,,,,OSL,XOSL,Oslo Bors,,,,,,,,,,,,False
ABG.OL,ABG Sundal Collier Holding ASA,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates through three segments: Corporate Financing, M&A and Advisory, and Brokerage and Research. The company offers corporate financing services, including debt advisory and sourcing services, such as loans, factoring, and leasing; and corporate advisory services in the areas of mergers and acquisitions, sales, and financial restructurings. It also provides secondary brokerage and research services in equities, bonds, derivatives, structured products, and FX. The company was founded in 1984 and is headquartered in Oslo, Norway.",NOK,Financials,Diversified Financials,Capital Markets,OSL,XOSL,Oslo Bors,Norway,,Oslo,250,http://www.abgsc.com,Small Cap,NO0003021909,,BBG000BRY3T2,BBG000BRY3K1,BBG001SCV7W5,False
ABGO.OL,ABG Sundal Collier Holding ASA,"ABG Sundal Collier ASA is a Nordic investment banking and securities brokerage firm. The firm provides financial advisory, equity research, and sales and trading services to institutional investors and corporate clients. It is headquartered in Oslo, Norway.",NOK,Financials,Diversified Financials,,OSL,XOSL,Oslo Bors,Norway,,,,,,NO0003021909,,BBG000BRY3T2,BBG000BRY3K1,BBG001SCV7W5,False
ABS.OL,Arctic Bioscience AS,"Arctic Bioscience AS, a biotechnology company, provides nutraceutical and pharmaceutical products. It designs, produces, and sells intermediary and finished food supplements to businesses and consumers. The company is also developing a pharmaceutical product candidate HRO350, a novel oral treatment for mild-to-moderate psoriasis. In addition, it provides a subscription service for its nutraceutical Romega branded capsules. It serves in China, Hong Kong, Macao, Chile, France, Spain, Portugal, Germany, Poland, Austria, and internationally. Arctic Bioscience AS was incorporated in 2011 and is based in Ãrsta, Norway.",NOK,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,OSL,XOSL,Oslo Bors,Norway,,Orsta,6155,http://www.arctic-bioscience.com,Micro Cap,,,BBG00Z9066Q4,BBG00Z9066P5,BBG00Z9066T1,False
ABT.OL,Aqua Bio Technology ASA,"Aqua Bio Technology ASA engages in developing and commercializing active ingredients for use in skin care products in Norway. It offers Aquabeautine XL, a proprietary ingredient; and Spirulysat, an antioxidant for cosmetic use. The company also markets and distributes natural and skin care products to consumers, retailers, and professionals in Europe and the Middle East. It distributes its products through Internet, stores, and skin care clinics. The company markets and distributes organic skin care products under the Moana brand name in New Zealand and arctic skin care products under the Cuvget brand name in Norway. Aqua Bio Technology ASA was founded in 2000 and is based in Lysaker, Norway.",NOK,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,OSL,XOSL,Oslo Bors,Norway,,Lysaker,1366,http://www.aquabiotechnology.com,Nano Cap,,002824100,,,,False
ACC.OL,AKER CARBON CAPTURE ASA,"Aker Carbon Capture AS provides products, technology, and solutions within the field of carbon capture technologies, utilization, and storage. The company's carbon capture process uses a mixture of water and organic amine solvents to absorb the CO2 that can be applied on emissions from various sources, including gas, cement, refineries, and waste-to-energy through to hydrogen and other process industries. Its products include Just Catch, Big Catch, and Offshore Just Catch, as well as mobile test units. The company was incorporated in 2020 and is based in Lysaker, Norway. Aker Carbon Capture AS is a subsidiary of Aker Horizons Holding AS.",NOK,Industrials,Capital Goods,Construction & Engineering,OSL,XOSL,Oslo Bors,Norway,,Lysaker,1366,http://www.akercarboncapture.com,Small Cap,NO0010890304,,BBG00WRCB3V0,BBG00W5DYJT5,BBG00W5DYJV2,True
ACH.OL,Aker Clean Hydrogen AS,"Aker Clean Hydrogen AS develops, builds, owns, and operates clean hydrogen production facilities in Norway. It holds a portfolio of nine clean hydrogen projects and prospects with a total net capacity of 1.3 GW under development; and additional pipeline and opportunities of 4.7 GW. The company is based in Lysaker, Norway. Aker Clean Hydrogen AS is a subsidiary of Aker Horizons AS.",NOK,Materials,Materials,Chemicals,OSL,XOSL,Oslo Bors,Norway,,Lysaker,1366,http://www.akercleanhydrogen.com,Small Cap,,,,,,True
ACR.OL,Axactor SE,"Axactor SE, through its subsidiaries, operates as a debt management company in Sweden, Finland, Germany, Italy, Norway, and Spain. The company operates through three segments: Non-performing Loans, Real estate Owned, and Third-Party Collection. It offers debt collection services, including amicable and legal collection; debt purchase, and acquisition and collection of non-performing loan portfolios; and accounts receivable management for third parties, as well as invests in real estate assets held for sale. The company was formerly known as Axactor AB (publ) and changed its name to Axactor SE in August 2018. Axactor SE was founded in 2015 and is headquartered in Oslo, Norway.",NOK,Financials,Diversified Financials,Consumer Finance,OSL,XOSL,Oslo Bors,Norway,,Oslo,277,http://www.axactor.com,Small Cap,,,BBG000BX0KY2,BBG000BX0KG2,BBG001SBF5H6,False
ADBA02-PRO.OL,ADBA02 PRO,,NOK,,,,OSL,XOSL,Oslo Bors,,,,,,,,,,,,False
ADE.OL,ADEVINTA ASA,"Adevinta ASA operates as an online classifieds company in France, Spain, rest of Europe, and internationally. It owns and operates approximately 30 online classified marketplaces in generalist, real estate, cars, consumer goods, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was incorporated in 2018 and is based in Oslo, Norway. Adevinta ASA is a subsidiary of Schibsted ASA.",NOK,Communication Services,Telecommunication Services,Diversified Telecommunication Services,OSL,XOSL,Oslo Bors,Norway,,Oslo,159,http://www.adevinta.com,Large Cap,NO0010844038,,BBG00N6FR9F4,BBG00N6FR9D6,BBG00N6FR9H2,False
ADEO.OL,ADEVINTA ASA,"Adevinta ASA operates as an online classifieds company in France, Spain, rest of Europe, and internationally. It owns and operates approximately 30 online classified marketplaces in generalist, real estate, cars, consumer goods, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was incorporated in 2018 and is based in Oslo, Norway. Adevinta ASA is a subsidiary of Schibsted ASA.",NOK,Communication Services,Telecommunication Services,Diversified Telecommunication Services,OSL,XOSL,Oslo Bors,Norway,,Oslo,159,http://www.adevinta.com,Large Cap,NO0010844038,,,,,False
ADS.OL,ADS Maritime Holding Plc,"ADS Maritime Holding Plc operates as a shipping investment company. The company was formerly known as ADS Crude Carriers Plc and changed its name to ADS Maritime Holding Plc in December 2020. ADS Crude Carriers Plc was founded in 2018 and is based in Limassol, Cyprus.",NOK,Industrials,Transportation,Marine,OSL,XOSL,Oslo Bors,Cyprus,,Limassol,4532,http://www.adscrude.com,Nano Cap,,,BBG00LTYG6L3,BBG00LTYG6K4,BBG00LTYG6N1,False
