symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
0551S.PA,CAC40 4500C  1222S,,EUR,,,,PAR,XPAR,Euronext Paris,,,,,,,,,,,,False
0552S.PA,CAC40 5000C  1222S,,EUR,,,,PAR,XPAR,Euronext Paris,,,,,,,,,,,,False
0553S.PA,CAC40 5500C  1222S,,EUR,,,,PAR,XPAR,Euronext Paris,,,,,,,,,,,,False
0559S.PA,CAC40 4500P  1222S,,EUR,,,,PAR,XPAR,Euronext Paris,,,,,,,,,,,,False
3297B.PA,WORLD LUX IND OEB,,EUR,,,,PAR,XPAR,Euronext Paris,,,,,,,,,,,,False
49AMB.PA,ETDD  9.21C  1127B,,EUR,,,,PAR,XPAR,Euronext Paris,,,,,,,,,,,,False
98FKB.PA,ETDD 9.295C  0528B,,EUR,,,,PAR,XPAR,Euronext Paris,,,,,,,,,,,,False
98GPB.PA,SX5E      PI 1223B,,EUR,,,,PAR,XPAR,Euronext Paris,,,,,,,,,,,,False
A517T.PA,,,,,,,PAR,XPAR,Euronext Paris,,,,,,,,,,,,False
A569T.PA,,,,,,,PAR,XPAR,Euronext Paris,,,,,,,,,,,,False
A582T.PA,,,,,,,PAR,XPAR,Euronext Paris,,,,,,,,,,,,False
A633T.PA,,,EUR,,,,PAR,XPAR,Euronext Paris,,,,,,,,,,,,False
AAA.PA,Alan Allman Associates,"Alan Allman Associates provides management consulting services. The company provides research and consulting services to other organizations and primarily serves organizations providing consulting services to various sectors. It was founded in 2009 and is based in Issy-les-Moulineaux, France.",EUR,Industrials,Commercial & Professional Services,Professional Services,PAR,XPAR,Euronext Paris,France,,Issy-les-Moulineaux,92130,http://www.alan-allman.com,Micro Cap,,,BBG000BHJPP6,BBG000BHJP67,BBG001S69NK1,False
AB.PA,AB Science S.A.,"AB Science S.A., a clinical-stage pharmaceutical company, engages in the research, development, and marketing of protein kinase inhibitors for use in human and veterinary medicines. Its lead compound is the masitinib, a tyrosine kinase inhibitor that is in Phase III clinical trials for the treatment of prostate and pancreatic cancer, amyotrophic lateral sclerosis, multiple sclerosis, Alzheimer's, severe asthma, and mastocytosis diseases. The company is also developing AB8939, synthetic microtubule destabilizer for the treatment of acute myeloid leukemia; and AB20001, which is in Phase II clinical trial to evaluate the safety and efficacy of masitinib combined with isoquercetin in hospitalized patients with moderate and severe COVID-19. The company markets its masitinib under the Masivet brand in Europe. AB Science S.A. was founded in 2001 and is headquartered in Paris, France.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,PAR,XPAR,Euronext Paris,France,,Paris,75008,http://www.ab-science.com,Small Cap,FR0010557264,,BBG000QP1Y81,BBG000QP1XZ3,BBG001T887L1,False
ABCA.PA,ABC arbitrage SA,"ABC arbitrage SA, together with its subsidiaries, develops arbitrage strategies for liquid assets worldwide. It develops liquidity, risk, statistical, and derivatives arbitrage strategies; and provides asset and portfolio management services. The company was founded in 1995 and is based in Paris, France.",EUR,Financials,Diversified Financials,Capital Markets,PAR,XPAR,Euronext Paris,France,,Paris,75002,http://www.abc-arbitrage.com,Small Cap,FR0004040608,,BBG000BQ6HL2,BBG000BQ6GQ9,BBG001SCC3T9,False
ABEO.PA,Abeo SA,"AbÃ©o SA, together with its subsidiaries, designs, manufactures, and distributes sports and leisure equipment in France and internationally. The company offers gymnastics apparatus and landing mats, team sports equipment, physical education, climbing walls, and changing room fittings. It also provides assistance in implementing projects to professional customers in specialized sports halls and clubs, leisure centers, education, local authorities, construction professionals, and other sectors. The company is headquartered in Rioz, France.",EUR,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",PAR,XPAR,Euronext Paris,France,,Rioz,70190,http://www.groupe-abeo.fr,Micro Cap,FR0013185857,,BBG00D34STT4,BBG00D34STL2,BBG00D34STM1,False
ABIO.PA,Albioma,"Albioma, an independent renewable energy producer, constructs and operates biomass and solar power projects in France, Mauritius, Spain, Italy, and Brazil. The company operates thermal power plants with an installed capacity of 816 MW and approximately 150 solar power plants with a combined installed capacity of 101 MW. It also produces renewable energy from bagasse and steam. The company was formerly known as Sechilienne-Sidec and changed its name to Albioma in May 2013. Albioma was founded in 1982 and is headquartered in Paris, France.",EUR,Utilities,Utilities,Independent Power and Renewable Electricity Producers,PAR,XPAR,Euronext Paris,France,,Paris,92914,http://www.albioma.com,Small Cap,US00211Y5069,00211Y506,,,,False
