symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
AAALF,Aareal Bank AG,"Aareal Bank AG, together with its subsidiaries, provides financing, software products, digital solutions, and payment transaction applications for the property sector and related industries in Germany and internationally. The company operates through three segments: Structured Property Financing, Banking & Digital solutions, and Aareon. The Structured Property Financing segment offers property financing and refinancing solutions for office buildings, hotels, and shopping centers, as well as retail, logistics, residential properties, and student apartments. This segment also provides deposits, registered and bearer Pfandbriefe, promissory note loans, medium-term notes, debt securities, private placements, other bonds and subordinated issues, mortgage Pfandbriefe, and public sector Pfandbriefe. The Banking & Digital solutions segment offers various services and products for the housing, commercial property, and energy and waste disposal industries. Its services include specialized banking, payment systems, and optimized business processes. The Aareon segment provides IT systems consultancy and related advisory services, enterprise resource planning systems, software solutions, hosting and software as a service, and in-house services. Aareal Bank AG was founded in 1923 and is headquartered in Wiesbaden, Germany.",USD,Financials,Banks,Banks,PNK,OTCM,OTC Bulletin Board,Germany,,Wiesbaden,65189,http://www.aareal-bank.com,Small Cap,US00254K1088,00254K108,,,,False
AAALY,Aareal Bank AG,"Aareal Bank AG, together with its subsidiaries, provides financing, software products, digital solutions, and payment transaction applications for the property sector and related industries in Germany and internationally. The company operates through three segments: Structured Property Financing, Banking & Digital solutions, and Aareon. The Structured Property Financing segment offers property financing and refinancing solutions for office buildings, hotels, and shopping centers, as well as retail, logistics, residential properties, and student apartments. This segment also provides deposits, registered and bearer Pfandbriefe, promissory note loans, medium-term notes, debt securities, private placements, other bonds and subordinated issues, mortgage Pfandbriefe, and public sector Pfandbriefe. The Banking & Digital solutions segment offers various services and products for the housing, commercial property, and energy and waste disposal industries. Its services include specialized banking, payment systems, and optimized business processes. The Aareon segment provides IT systems consultancy and related advisory services, enterprise resource planning systems, software solutions, hosting and software as a service, and in-house services. Aareal Bank AG was founded in 1923 and is headquartered in Wiesbaden, Germany.",USD,Financials,Banks,Banks,PNK,OTCM,OTC Bulletin Board,Germany,,Wiesbaden,65189,http://www.aareal-bank.com,Small Cap,US00254K1088,00254K108,,,,False
AABB,"Asia Broadband, Inc.","Asia Broadband Inc., through its subsidiary, Asia Metals Inc., focuses on the production, supply, and sale of precious and base metals primarily to Asian markets. The company was incorporated in 1996 and is based in Las Vegas, Nevada.",USD,Materials,Materials,Metals & Mining,PNK,OTCM,OTC Bulletin Board,United States,NV,Las Vegas,89135,http://www.asiabroadbandinc.com,Micro Cap,,04518L100,BBG000CWNRN5,BBG000CWNRN5,BBG001SGRBK5,False
AABVF,Aberdeen International Inc.,"Aberdeen International Inc., together with its subsidiaries, operates as a resource investment company and a merchant bank focusing on small capitalization companies in the metals and mining sector. It intends to acquire equity participation in pre-IPO and early stage public resource companies with undeveloped or undervalued resources. The company was formerly known as International Catalyst Ventures Inc. and changed its name to Aberdeen International Inc. in November 2001. Aberdeen International Inc. was incorporated in 1987 and is headquartered in Toronto, Canada.",USD,Financials,Diversified Financials,Capital Markets,PNK,OTCM,OTC Bulletin Board,Canada,ON,Toronto,M5H 2M5,http://www.aberdeeninternational.ca,Nano Cap,,003069101,BBG000BXKHJ4,BBG000BXKHJ4,BBG001S6XZ90,False
AACAF,AAC Technologies Holdings Inc.,"AAC Technologies Holdings Inc., an investment holding company, provides solutions to enhance user experience of smart mobile devices in Mainland China, Hong Kong SAR, Taiwan, other Asian countries, the United States, and Europe. It operates through Dynamic Components, Electromagnetic Drives and Precision Mechanics, Optics Products, Micro Electro-Mechanical System Components, and Other Products segments. The company researches, develops, manufactures, and sells acoustic products, electronic components, tooling and precision components, and electronics related accessories and components; and offers electroplating services. Its products include stereo sound, glass and metal processing, haptic, optic, digital microphone, and RF antenna products. The company was formerly known as AAC Acoustic Technologies Holdings Inc. and changed its name to AAC Technologies Holdings Inc. in May 2011. AAC Technologies Holdings Inc. was founded in 1993 and is headquartered in Shenzhen, the People's Republic of China.",USD,Information Technology,Technology Hardware & Equipment,Communications Equipment,PNK,OTCM,OTC Bulletin Board,China,,Shenzhen,518057,http://www.aactechnologies.com,Mid Cap,XS2341038656,,BBG000C3S2Q6,BBG000C3S2Q6,BBG001SKMWN2,False
AACAY,AAC Technologies Holdings Inc.,"AAC Technologies Holdings Inc., an investment holding company, provides solutions to enhance user experience of smart mobile devices in Mainland China, Hong Kong SAR, Taiwan, other Asian countries, the United States, and Europe. It operates through Dynamic Components, Electromagnetic Drives and Precision Mechanics, Optics Products, Micro Electro-Mechanical System Components, and Other Products segments. The company researches, develops, manufactures, and sells acoustic products, electronic components, tooling and precision components, and electronics related accessories and components; and offers electroplating services. Its products include stereo sound, glass and metal processing, haptic, optic, digital microphone, and RF antenna products. The company was formerly known as AAC Acoustic Technologies Holdings Inc. and changed its name to AAC Technologies Holdings Inc. in May 2011. AAC Technologies Holdings Inc. was founded in 1993 and is headquartered in Shenzhen, the People's Republic of China.",USD,Information Technology,Technology Hardware & Equipment,Communications Equipment,PNK,OTCM,OTC Bulletin Board,China,,Shenzhen,518057,http://www.aactechnologies.com,Mid Cap,XS2341038656,000304105,BBG000VNTB62,BBG000VNTB62,BBG001T3PT80,False
AACS,"American Commerce Solutions, Inc.","American Commerce Solutions, Inc., through its subsidiary, Best Way Auto & Truck Rental, Inc., engages in the automobile and truck sales and rental business in the United States. It focuses on college and university locations with a rewards program geared to sales and financing of automobiles to first time car buyers. The company was formerly known as JD American Workwear, Inc. and changed its name to American Commerce Solutions, Inc. in December 2000. American Commerce Solutions, Inc. was founded in 1991 and is based in Bartow, Florida.",USD,Industrials,Capital Goods,Machinery,PNK,OTCM,OTC Bulletin Board,United States,FL,Bartow,33830,http://www.aacssymbol.com,Nano Cap,,025199100,BBG000JVQ2Q9,BBG000JVQ2Q9,BBG001SBV1Z7,False
AACTF,Aurora Solar Technologies Inc.,"Aurora Solar Technologies Inc. develops, manufactures, and markets production measurement and control systems for the solar wafer, cell, and panel manufacturing industries in Canada. The company offers DM sensors, which are measurement tools for production speeds; Visualize that enable real-time visualization of critical cell fabrication processes; and Insight, which addresses the challenges facing cell manufacturers in characterizing and controlling production variation. It also provides a suite of services, including system configuration and performance planning, such as design and engineering of DM, Visualize, and Inisght configurations to fit production line and performance objectives; system engineering and operations training courses; and post-installation support and optimization services. The company was formerly known as ACT Aurora Control Technologies Corp. and changed its name to Aurora Solar Technologies Inc. in May 2015. The company is headquartered in North Vancouver, Canada.",USD,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals",PNK,OTCM,OTC Bulletin Board,Canada,BC,North Vancouver,V7P 3R7,http://aurorasolartech.com,Nano Cap,,05207J108,BBG005BTJ9X6,BBG005BTJ9X6,BBG001STZM33,False
AAEEF,Altair Resources Inc.,"Altair Resources Inc. focuses on identifying and evaluating potential mineral interest acquisitions or other business opportunities. The company was formerly known as Altair Gold Inc. and changed its name to Altair Resources Inc. in June 2016. Altair Resources Inc. was incorporated in 2005 and is headquartered in Vancouver, Canada.",USD,Materials,Materials,Metals & Mining,PNK,OTCM,OTC Bulletin Board,Canada,BC,Vancouver,V6E 3V7,http://www.altairresources.com,Nano Cap,,02137W200,,,,False
AAGC,All American Gold Corp.,"All American Gold Corp. acquires, explores, and develops natural resource properties in the United States. The company was formerly known as Osprey Ventures, Inc. and changed its name to All American Gold Corp. in October 2010. All American Gold Corp. was founded in 2006 and is based in Cheyenne, Wyoming.",USD,Materials,Materials,Metals & Mining,PNK,OTCM,OTC Bulletin Board,United States,WY,Cheyenne,82001,http://www.allamericangoldcorp.com,Nano Cap,,01643V102,BBG000R4MM71,BBG000R4MM71,BBG001T948W9,False
AAGFF,Aftermath Silver Ltd.,"Aftermath Silver Ltd., a junior exploration company, acquires, explores, and develops mineral properties. It holds interest in the Cachinal De La Sierra silver-gold project and Challacollo silver-gold project located in Chile; and Berenguela silver-copper project located in Puno, Peru. The company was formerly known as Full Metal Zinc Ltd. and changed its name to Aftermath Silver Ltd. in April 2014. Aftermath Silver Ltd. was incorporated in 2011 and is headquartered in Vancouver, Canada.",USD,Materials,Materials,Metals & Mining,PNK,OTCM,OTC Bulletin Board,Canada,BC,Vancouver,V6C 1T2,http://aftermathsilver.com,Micro Cap,CA00831V2057,00831V205,BBG001ZZWS68,BBG001ZZWS68,BBG001V0ZJL9,False
AAGH,America Great Health,"America Great Health does not have significant operations. The company focuses on its business in the health related industry. Previously, it was engaged in the sale of electronic products. The company was formerly known as Crown Marketing. America Great Health was founded in 2013 and is based in Alhambra, California.",USD,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,PNK,OTCM,OTC Bulletin Board,United States,CA,Alhambra,91803,http://www.cwnmusa.com,Mid Cap,,02365T101,BBG003443HQ1,BBG003443HQ1,BBG003443JG8,False
AAGIY,AIA Group Limited,"AIA Group Limited provides insurance products and services. The company offers life, medical, accident protection, critical illness protection, and disability protection insurance products, as well as savings plans for individuals; and employee benefit, credit insurance, retirement, and regional solutions for businesses. It also distributes investment and other financial services products. The company distributes its products and services through agents and partners. It operates in Hong Kong, Macau, Thailand, Singapore, Brunei, Malaysia, Mainland China, Australia, New Zealand, Cambodia, Indonesia, Myanmar, the Philippines, South Korea, Sri Lanka, Taiwan, Vietnam, and India. AIA Group Limited was founded in 1919 and is headquartered in Central, Hong Kong.",USD,Financials,Insurance,Insurance,PNK,OTCM,OTC Bulletin Board,Hong Kong,,Central,,http://www.aia.com,Large Cap,US00131MAB90,00131MAB9,BBG001R3QP52,BBG001R3QP52,BBG001V28NN4,False
AAGRY,PT Astra Agro Lestari Tbk,"PT Astra Agro Lestari Tbk, together with its subsidiaries, engages in the palm oil business in Indonesia. It provides crude palm oil and its derivatives, palm kernel and its derivatives, and other products. The company manages 286,877 hectares of oil palm plantations in Sumatra, Kalimantan, and Sulawesi. It also operates palm oil refineries in the Mamuju Utara Regency in West Sulawesi province; and Dumai, Riau province. In addition, the company exports its processed palm oil products, including olein, and stearin to China, Bangladesh, Pakistan, Malaysia, the Philippines, and South Korea. Further, it operates fertilizer blending plants; and engages in the integrated cattle-in-plantation business. The company was founded in 1988 and is headquartered in Jakarta, Indonesia. PT Astra Agro Lestari Tbk is a subsidiary of PT Astra International Tbk.",USD,Consumer Staples,Household & Personal Products,Household Products,PNK,OTCM,OTC Bulletin Board,Indonesia,,Jakarta,13930,http://www.astra-agro.co.id,Small Cap,,046301107,BBG000KF9H79,BBG000KF9H79,BBG001T8KP46,False
AAIGF,AIA Group Limited,"AIA Group Limited provides insurance products and services. The company offers life, medical, accident protection, critical illness protection, and disability protection insurance products, as well as savings plans for individuals; and employee benefit, credit insurance, retirement, and regional solutions for businesses. It also distributes investment and other financial services products. The company distributes its products and services through agents and partners. It operates in Hong Kong, Macau, Thailand, Singapore, Brunei, Malaysia, Mainland China, Australia, New Zealand, Cambodia, Indonesia, Myanmar, the Philippines, South Korea, Sri Lanka, Taiwan, Vietnam, and India. AIA Group Limited was founded in 1919 and is headquartered in Central, Hong Kong.",USD,Financials,Insurance,Insurance,PNK,OTCM,OTC Bulletin Board,Hong Kong,,Central,,http://www.aia.com,Large Cap,US00131MAB90,00131MAB9,BBG001BDZ212,BBG001BDZ212,BBG001T6WWK4,False
AAIIQ,"Alabama Aircraft Industries, Inc","Alabama Aircraft Industries, Inc provides aircraft maintenance and modification services to the United States government, foreign governments, and military customers. Its services include maintenance and modification of military transport, tanker, and petrol aircraft airframes; and aircraft maintenance and modification services, such as complete airframe maintenance and repair, and custom air frame design and modification. The company's services also comprise scheduled and unscheduled maintenance; interior refurbishment and reconfiguration; lavatory, galley, airstair, and auxiliary fuel tank installations; aging aircraft inspection; structural and accident damage repair; manufacturing and parts fabrication; composite repair; service bulletin and AD compliance; component repair and overhaul; EPA approved stripping and painting; CPCP; non-destructive testing; avionics upgrades and installation; and FAA repair station RJ1R454K. Its principal services performed under military contracts are programmed depot maintenance, aircraft modifications, aircraft stripping and painting, rewiring, parts fabrication, engineering support services, system integration of component upgrades, and modification of fixed wing aircrafts. In addition, the company offers airframe corrosion prevention and control, rewiring, and component overhauls, as well as structural, avionics, and other systems modification services. It provides its services directly as a prime contractor or indirectly as a sub- contractor. The company was formerly known as Pemco Aviation Group, Inc. and changed its name to Alabama Aircraft Industries Inc. in September 2007. Alabama Aircraft Industries, Inc was founded in 1983 and is based in Birmingham, Alabama. On Nov 3, 2011, the voluntary petition of Alabama Aircraft Industries, Inc., along with its affiliates, for reorganization under Ch 11 was converted to Ch 7. It had filed for Chapter 11 bankruptcy on Feb 15, 2011.",USD,Industrials,Capital Goods,Aerospace & Defense,PNK,OTCM,OTC Bulletin Board,United States,AL,Birmingham,35212,,Nano Cap,,,BBG000HPGHW5,BBG000HPGHW5,BBG001SD4Q88,False
