symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
ANDR.PR,Andritz AG,"Andritz AG provides plants, equipment, and services for pulp and paper industry, metalworking and steel industries, hydropower stations, and solid/liquid separation in the municipal and industrial sectors. It operates through four segments: Pulp & Paper, Metals, Hydro, and Separation. The Pulp & Paper segment supplies plants, systems, equipment, and services for the production of various types of pulp, paper, board, and tissue; boilers for power production; flue gas cleaning plants; plants for the production of nonwovens and panelboard; and recycling and shredding solutions for various waste materials. The Metals segment provides technologies, plants, and digital solutions, including automation and software solutions, dies, process know-how, and services; and solutions for production and processing of flat products and welding systems, as well as furnaces and services for the metals processing industry. The Hydro segment supplies electromechanical equipment and services for hydropower plants; and pumps for irrigation, water supply, and flood control, as well as offers turbo generators. The Separation segment offers mechanical and thermal technologies, services, and related automation solutions for solid/liquid separation to serve chemical, environmental, food, mining and minerals industries; and technologies and services for the production of animal feed and biomass pellets. It operates primarily in Europe, North America, South America, China, and rest of Asia. The company was founded in 1852 and is headquartered in Graz, Austria.",CZK,Industrials,Capital Goods,Trading Companies & Distributors,PRA,XPRA,Prague Stock Exchange,Austria,,Graz,8045,http://www.andritz.com,Mid Cap,,,BBG00L3DK0R9,BBG00L3DK0Q0,BBG001SJ16T9,False
AVST.PR,Avast Plc,"Avast Plc, together with its subsidiaries, provides digital security products under the Avast, HMA, AVG, and CCleaner brands worldwide. It operates through two segments, Consumer and Small to Mid-Sized Business (SMB). The company offers desktop security and mobile device protection products; value-added solutions for performance, privacy, and other tools; dynamic secure search solution, including browser toolbar; and big data and marketing analytics solutions, as well as security and protection solutions for small and medium-sized business. It also provides standalone and managed antivirus products; and managed security platforms, including CloudCare, an online security service for small and medium businesses, as well as Management Console, a cloud-based console that deploys antivirus protection to multiple devices and manage all devices from one place. In addition, the company offers business security services, such as patch management, backup and recovery, email security, content filtering, and secure Web and Internet gateway services. The company primarily sells software licenses through e-commerce services providers, and retailers and resellers. Avast Plc was founded in 1988 and is headquartered in Prague, the Czech Republic.",CZK,Information Technology,Software & Services,Software,PRA,XPRA,Prague Stock Exchange,Czech Republic,,Prague,140 00,http://www.avast.com,Mid Cap,,,,,,False
BVB.PR,Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,"Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien, through its subsidiaries, operates a football club in Germany. The company operates a football club in Dortmund under the SIGNAL IDUNA PARK name, including a professional football squad. It also sells merchandise; conducts stadium tours, sports travel, conferences, trips, and various other events; provides arrangements for event staffing services, and hotel and car hire bookings; offers travel services by air, ship, and rail, as well as travel agency services; and markets TV broadcast rights. In addition, the company engages in advertising comprising sponsoring activities. Further, it provides transfer services that include compensation payments for players, as well as conference, catering, Internet, media, hospitality, and other services. Additionally, the company operates a medical rehabilitation center. Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien was founded in 1909 and is based in Dortmund, Germany.",CZK,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",PRA,XPRA,Prague Stock Exchange,Germany,,Dortmund,44137,http://aktie.bvb.de,Small Cap,,,BBG00L4C9Y80,BBG00L4C9Y71,BBG001SG8C60,False
CEZ.PR,"CEZ, a. s.","CEZ, a. s., an electricity generation company, engages in the production, distribution, trade, and sale of electricity and heat in Western, Central, and Southeastern Europe. The company operates through six segments: Generation-Traditional Energy, Generation-New Energy, Distribution, Sales, Mining, and Support Services. It operates two nuclear plants, sixteen hydroelectric plants, one combined cycle gas turbine plant, and eight fossil fuel plants in the Czech Republic. The company, through its subsidiaries, also operates various fossil fuel, hydro, wind, solar, biogas, and biomass power plants in the Czech Republic; eleven wind power plants in Germany; two fossil fuel plants and two hydroelectric plants in Poland; one solar plant in Bulgaria; and a wind farm and a complex of hydroelectric plants in Romania. In addition, it is involved in the distribution of electricity; trade and sale of natural gas; mining of coal; quarrying and processing of construction aggregate and high-percentage limestones; and commodity trading. Further, the company engages in the planning, construction, and maintenance of energy facilities. CEZ, a. s. was incorporated in 1992 and is headquartered in Prague, the Czech Republic.",CZK,Utilities,Utilities,Independent Power and Renewable Electricity Producers,PRA,XPRA,Prague Stock Exchange,Czech Republic,,Prague,140 53,http://www.cez.cz,Large Cap,,,,BBG000BL4LT8,BBG001S7R118,False
CTPNV.PR,CTP B.V.,"CTP B.V., a commercial real estate developer, engages in the development and ownership of multi-use industrial and logistics business parks and properties in the Central and Eastern Europe. It offers its properties primarily for warehousing, light production, or office spaces. As of March 17, 2021, the company owned and operated a network of 70 multi-use business parks with approximately 450 buildings; and owned three hotels in the Czech Republic. It primarily operates in the Czech Republic, Romania, Hungary, and Slovakia with presence in Serbia, Poland, Bulgaria, Germany, and Austria. The company was founded in 1998 and is headquartered in Utrecht, the Netherlands. CTP B.V. operates as a subsidiary of CTP Holding B.V.",CZK,Real Estate,Real Estate,,PRA,XPRA,Prague Stock Exchange,Netherlands,,Utrecht,3528 AG,http://www.ctp.eu,,,,BBG00ZTG6231,BBG00ZTG6222,BBG00XKLN7W2,False
CZ0000001300.PR,,,,,,,PRA,XPRA,Prague Stock Exchange,Czech Republic,,,,,,CZ0000001300,,BBG00YVGJMK4,,,False
CZ0000001367.PR,,,CZK,,,,PRA,XPRA,Prague Stock Exchange,Czech Republic,,,,,,CZ0000001367,,BBG00ZZLXXP1,,,False
CZ0003527657.PR,,,,,,,PRA,XPRA,Prague Stock Exchange,Czech Republic,,,,,,CZ0003527657,,BBG00XV2SX32,,,False
CZ0003529554.PR,,,CZK,,,,PRA,XPRA,Prague Stock Exchange,Czech Republic,,,,,,CZ0003529554,,BBG00YT2X2L5,,,False
CZ0003529943.PR,,,CZK,,,,PRA,XPRA,Prague Stock Exchange,Czech Republic,,,,,,CZ0003529943,,BBG00YZCB1J5,,,False
