symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
BAL1R.RG,AS Latvijas balzams,"AS Latvijas balzams produces and sells alcoholic beverages in Latvia. The company produces approximately 100 types of alcoholic beverages. It offers sparkling and fortified wines, ciders, ready to drink (RTD) products, vodkas, liqueurs, brandies, other alcoholic beverages, gin, etc.; and non-alcoholic drinks. The company provides its products under the Stolichnaya, elit, Moskovskaya, Moskovskaya Infusion, Riga Black Vodka, Amber Gold Vodka, LB Vodka, 3 Graudu, Pshenichnaya, Latvijas originalais, ??????, Bonaparte, Grand Cavalier, Hektors, Piparu rugtais, Riga Black Balsam, Cross Keys Gin, LB Gin, Kristofors, Moka, Âarlote, Riga Black Balsam Cream, AllaÂu kimelis, Benediktins, Sparkling wine ÂRIGA Sparkling', Cosmopolitan Diva, Rigas Prestige CuvÃ©e, Sovetskoje, Svetskoje, Black Balsam, cocktails, LB coctails, Dins, Moskovskaya cocktails, Lucky Dog, Apple Garden, Cosmopolitan Diva non-alcoholic, Riga Sparkling non-alcoholic drink, and Quick Fox brands, as well as under private labels. It sells its products through wholesalers, as well as retail stores. The company also exports its products to approximately 180 markets worldwide. In addition, it provides transit assurance, bonded warehouse, logistics, value added, and picking services, etc. The company was founded in 1900 and is based in Riga, Latvia. AS Latvijas balzams is a subsidiary of Amber Beverage Group Holding S.Ã  r.l.",EUR,Consumer Staples,"Food, Beverage & Tobacco",Beverages,RIS,XRIS,NASDAQ OMX Riga,Latvia,,Riga,1012.0,http://lb.lv,Micro Cap,,,,,,False
BTE1R.RG,AS Baltic Technology Ventures,"Baltic Telekom AS operates as a holding company. The company was founded in 2013 and is based in Riga, Latvia.",EUR,Financials,Diversified Financials,Capital Markets,RIS,XRIS,NASDAQ OMX Riga,Latvia,,Riga,1010.0,http://www.baltictechventures.com,Nano Cap,,,,,,False
CPAB055031A.RG,,,,,,,RIS,XRIS,NASDAQ OMX Riga,,,,,,,,,,,,False
DPK1R.RG,AS Ditton pievadkezu rupnica,"AS Ditton pievadkezu rupnica manufactures and sells driving chains in Europe and internationally. It operates through Western and Eastern segments. The company offers roller, motorcycle and snowmobile, automotive, leaf, special, and other chains. It also engages in the manufacture and sale of parts and accessories for motor vehicles; manufacture and repair of fabricated metal products, mechanisms, and equipment; installation of production equipment and devices; sale, maintenance, and repair of motorcycles, accessories, and related parts; and manufacture of metal tanks, reservoirs, and containers. In addition, the company is involved in forging, pressing, stamping, and rolling metals and metallurgy powder; treatment and coating of metals; warehousing and storage business; buying and sale of real estate properties; leasing and building facility management of owned and leased real estate properties; metal constructions; and other activities. The company was formerly known as Joint Stock Company Daugavpils pievadkezu rupnica and changed its name to AS Ditton Pievadkezu Rupnica in January 2002. AS Ditton Pievadkezu Rupnica was founded in 1949 and is based in Daugavpils, Latvia.",EUR,Consumer Discretionary,Automobiles & Components,Auto Components,RIS,XRIS,NASDAQ OMX Riga,Latvia,,Daugavpils,5410.0,http://www.dpr.lv,Nano Cap,,,BBG000F4CL59,BBG000F4CJ81,BBG001SFSZ41,False
EWA1L.RG,East West Agro,,EUR,,,,RIS,XRIS,NASDAQ OMX Riga,,,,,,,,,,,,False
EXPC140022FA.RG,,,,,,,RIS,XRIS,NASDAQ OMX Riga,,,,,,,,,,,,False
GZE1R.RG,AS Latvijas Gaze,"AS Latvijas Gaze engages in the purchase, trading, distribution, and sale of natural gas in Latvia, Lithuania, and Estonia. It operates through Natural Gas Sales & Trading, and Natural Gas Distribution segments. The company supplies natural gas to approximately 400 thousand customers in Latvia. It serves industrial and commercial customers, as well as households. The company is based in Riga, Latvia.",EUR,Utilities,Utilities,Gas Utilities,RIS,XRIS,NASDAQ OMX Riga,Latvia,,Riga,1001.0,http://lg.lv,Small Cap,,,,,,False
HMX1R.RG,AS HansaMatrix,"HansaMatrix AS develops and manufactures electronic systems in Baltic, Nordic, other European Union countries, and internationally. The company offers electronics optics and imaging products; and Internet of Things products, including RF connectivity solutions, embedded hardware solutions, embedded software/firmware, and battery powered systems, as well as deploys Android/Linux/Win10 operating systems. It also provides smart city solutions; liquid crystal and optical devices; scientific and medical equipment; robotics and automation solutions; product engineering services; assembled electronic PCB and system testing; quality management systems; rapid prototype, optical and display systems, and other manufacturing services; and product engineering. In addition, the company engages in the creation and licensing of intellectual property; and develops industrial real estate project. It serves industrial systems, data network infrastructure, transportation, renewable energy, medical, defense, and other B2B (business-to-business) market sectors. The company was formerly known as Hanzas Elektronika, SIA and changed its name to HansaMatrix AS in January 2016. HansaMatrix AS was incorporated in 1999 and is based in Ogre, Latvia.",EUR,Industrials,Capital Goods,Industrial Conglomerates,RIS,XRIS,NASDAQ OMX Riga,Latvia,,Ogre,5001.0,http://www.hansamatrix.com,Nano Cap,,,BBG00DB3SSL7,BBG00DB3SSG3,BBG00DB3SSH2,False
K2LT.RG,K2 LT,,EUR,,,,RIS,XRIS,NASDAQ OMX Riga,,,,,,,,,,,,False
KA11R.RG,A/S Kurzemes Atslega 1,"A/S Kurzemes Atslega 1 engages in the manufacture of hardware for windows and doors, and metal forgings; and metalworking and woodworking activities in Latvia and other European Union countries. It offers hardware for doors and windows, such as door locks and handles, furniture hardware, hinges and gate hinges, padlocks, window hardware, mortise locks, and rim locks. The company is also involved in the provision of metalworking works, which includes stamping, folding, turning, welding and grinding, and milling and sawing of parts; punching and cutting metal sheets, bending of metals, plasma cutting, powder coating, and tempering services; and manufacture of stamping dies and molds, as well as repairing them. In addition, it offers zinc, chrome, and nickel plated coatings; forged metal gates, fences, and handrails for stairs and balconies; CNC turning and milling; aluminum/zinc and plastic casting; and powder painting services. Further, the manufactures and installs wooden panel and frame houses, and mobile and module houses; constructs wooden frame houses, as well as customizes orders for manufacture and installation of houses; and provides perforated plates and various connecting pieces for construction. It also exports its products. The company was founded in 1890 and is based in Aizpute, Latvia.",EUR,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,RIS,XRIS,NASDAQ OMX Riga,Latvia,,Aizpute,3456.0,http://ka1.lv,Nano Cap,,,BBG000CNV8V9,BBG000CNV7G8,BBG001SGK9X3,False
LINDA.RG,Linda Nektar,"Linda Nektar is an Estonian company that produces and sells organic and natural beverages, primarily focusing on birch sap drinks. The company markets its beverages under the brand name ""Birch Water"" and exports its products internationally. Linda Nektar is headquartered in Estonia.",EUR,Consumer Staples,"Food, Beverage & Tobacco",,RIS,XRIS,NASDAQ OMX Riga,Estonia,,,,,,,,,,,False
LJM1R.RG,A/S Latvijas Juras medicinas centrs,"A/S Latvijas Juras medicinas centrs provides health care services in the Republic of Latvia. The company engages in the general and special medical practice, dental practice, human health, residential nursing care, residential care, social work, physical well-being, and other personal service activities; provision of other education services; and the retail sale of medical and orthopedic goods in specialized stores. It operates an ambulatory health care center, a hospital, a hospital and diagnostic center, and a primary health care center in Riga. The company was incorporated in 1996 and is based in Riga, the Republic of Latvia.",EUR,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,RIS,XRIS,NASDAQ OMX Riga,Latvia,,Riga,1005.0,http://www.ljmc.lv,Nano Cap,,,BBG000F4DQR3,BBG000F4CMQ4,BBG001SFSZ78,False
LVGA003726A.RG,,,,,,,RIS,XRIS,NASDAQ OMX Riga,,,,,,,,,,,,False
LVGA013725A.RG,,,,,,,RIS,XRIS,NASDAQ OMX Riga,,,,,,,,,,,,False
MDARA.RG,AS MADARA Cosmetics,"AS MADARA Cosmetics, together with its subsidiaries, produces and sells natural cosmetics and personal care products under the MADARA and MOSSA brand names in the Baltic and Northern European region. The company offers face, anti-age, body, hair, perfume, and mother and baby products, as well as products for men. It also provides contract manufacturing services for cosmetic products. The company exports its products to approximately 20 countries, primarily within the European Union. It offers its products through retailers, as well as online. AS MADARA Cosmetics was founded in 2006 and is based in Marupe, Latvia.",EUR,Consumer Staples,Household & Personal Products,Household Products,RIS,XRIS,NASDAQ OMX Riga,Latvia,,Marupe,2167.0,http://www.madaracosmetics.com,Micro Cap,,,BBG00J5H0CR9,BBG00J5H0CN3,BBG00J5H0CS8,False
MOGO110024A.RG,,,EUR,,,,RIS,XRIS,NASDAQ OMX Riga,,,,,,,,,,,,False
NEOFI.RG,NEO Finance,NEO Finance is a Lithuanian peer-to-peer lending platform. It connects borrowers seeking loans with investors looking for returns. The company is based in Lithuania.,EUR,Financials,Diversified Financials,,RIS,XRIS,NASDAQ OMX Riga,,,,,,,,,,,,False
OLF1R.RG,AS Olainfarm,"AS Olainfarm manufactures and distributes chemical and pharmaceutical products in Latvia. The company operates through five segments: Medicine Production, Wholesale, Retail, Compression Materials, and Other. It provides over the counter and prescription medicines, including anti-allergy, anti-inflammatory and analgesic, antibacterial, common cold, digestive system, metabolic, antifungal, and antiviral, as well as medicines for cardiovascular health, and digestive and nervous systems; and food supplements. The company also offers active pharmaceutical ingredients (APIs) and intermediates; pharmacovigilance services for patients, physicians, and pharmacists; and QC/QA, regulatory, APIs and intermediates development, final dosage forms development, and contract manufacturing services. In addition, it engages in the sale of medicine and other products to retailers; operation of a pharmacy chain under the Latvijas Aptieka name; production and sale of elastic and compression materials, dietary supplements, herbal infusions, and eco-cosmetics; and provision of travelling, marketing, and public services. The company also exports its products to approximately 60 countries, including the Baltics, Russia, other CIS countries, Europe, Asia, North America, and Australia. AS Olainfarm was founded in 1972 and is based in Olaine, Latvia.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,RIS,XRIS,NASDAQ OMX Riga,Latvia,,Olaine,2114.0,http://lv.olainfarm.com,Micro Cap,,,,,,False
