symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
1734.S,KITA KOUDENSHA Corporation,"KITA KOUDENSHA Corporation engages in indoor wiring and power-related construction businesses in Japan. It undertakes electric construction work, pipe work, air conditioning control equipment installation work, steel structure construction, machinery equipment installation work, telecommunication construction, fire facility construction, water facility construction, civil engineering work, and construction work, as well as provides related planning, design, maintenance, maintenance, management, and consulting services. The company is also involved in the construction of overhead power and underground transmission lines, underground distribution and communication lines, substation electrical equipment, air conditioning automatic control systems for buildings, and optical communication cable. In addition, it sells FA equipment, such as emergency generators; laser processing and electric discharge machines, and various robots and machine tools; industrial equipment, such as power equipment, low voltage generator cars, electric wire and pipe materials, information and communication systems, etc.; generators, transformers, electric motors, and elevators; telephone exchangers and electronic calculators; and gas turbine engines, diesel engines and installed cranes, and package air conditioners. Further, the company manufactures and sells intermediary of air conditioning equipment, such as wind turbines; tube construction equipment, including boilers and pumps; and housing equipment comprising lighting equipment and ventilators, computers for information processing, various electric wires, and electric rings and accessories. Additionally, it is involved in the construction of solar power generation equipment and wind power generation business. KITA KOUDENSHA Corporation was founded in 1910 and is headquartered in Sapporo, Japan.",JPY,Industrials,Capital Goods,Construction & Engineering,SAP,XSAP,Sapporo Securities Exchange,Japan,,Sapporo,060-0011,http://www.kitakoudensha.co.jp,Nano Cap,,,,,,False
1832.S,"Hokkai Electrical Construction Company,Incorporated","Hokkai Electrical Construction Company,Incorporated engages in the construction and maintenance of power distribution facilities in Japan. The company undertakes electrical, telecommunications, civil engineering, construction, steel structure, pipe, painting, and firefighting facility works, as well as jump and earthwork. It undertakes electrical works for distribution lines, power transmission lines, and substations. The company was founded in 1944 and is headquartered in Sapporo, Japan. Hokkai Electrical Construction Company,Incorporated is a subsidiary of Hokkaido Electric Power Company, Incorporated.",JPY,Industrials,Capital Goods,Construction & Engineering,SAP,XSAP,Sapporo Securities Exchange,Japan,,Sapporo,003-8531,http://www.hokkaidenki.co.jp,Micro Cap,,,BBG000BCXZT5,BBG000BCXY27,BBG001S6C205,False
2137.S,"Hikari Heights-Varus Co.,Ltd.","Hikari Heights-Varus Co.,Ltd. operates and manages nursing homes in Japan. Hikari Heights-Varus Co.,Ltd. was founded in 1987 and is headquartered in Sapporo, Japan.",JPY,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,SAP,XSAP,Sapporo Securities Exchange,Japan,,Sapporo,064-0919,http://www.varus.co.jp,Nano Cap,KYG1645A1094,,,BBG011MPQG20,BBG011MPQG48,False
2172.S,Insight Inc.,"Insight Inc. engages in planning and providing advertising and sales promotion services for the housing and real estate, entertainment, information technology and service, and distribution and retail industries. The company also publishes information magazines; provides event and public relations planning services for local government and public organizations; and undertakes market research analysis and customer satisfaction surveys, as well as manages marketing research sites. Insight Inc. was founded in 1975 and is headquartered in Sapporo, Japan.",JPY,Communication Services,Telecommunication Services,Diversified Telecommunication Services,SAP,XSAP,Sapporo Securities Exchange,Japan,,Sapporo,060-0004,http://www.ppi.jp,Nano Cap,,,BBG000V83405,BBG000V832Z1,BBG001T1PW78,False
2218.S,"Nichiryo Baking Co., Ltd.","Nichiryo Baking Co., Ltd. manufactures and sells bread and confectionery products. It also offers plain, meal, sweet, and cooked breads; seasonal products; cooked rice; and other food products. The company was founded in 1945 and is headquartered in Sapporo City, Japan.",JPY,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,SAP,XSAP,Sapporo Securities Exchange,Japan,,Sapporo City,,http://www.nichiryo-pan.co.jp,Nano Cap,,,BBG000BCYFB7,BBG000BCYBL5,BBG001S6CL76,False
2928.S,"RIZAP GROUP, Inc.","RIZAP GROUP, Inc. engages in beauty, health, and lifestyle related businesses in Japan. It is also involved in the body makeup business; production, wholesale, and retail business of interior goods; sales of cosmetics, beauty equipment, and health food; maternity/baby related business; franchise business for various miscellaneous goods; bag planning/manufacturing; wholesale and retail of recording media, mobile phone, music video software, audio-video related miscellaneous goods, etc.; and book, magazine, and newspaper publication businesses. In addition, the company provides medical institution consulting, marketing support, and medical peripheral services; contact, mailing, and logistics services; printing agency and multimedia advertising services; general commercial printing and special printing services; processes and sells electrical parts; produces and sells various packaging materials and display backlight condensers; and plans and sells sports equipment, such as soccer, futsal, athletics, running, basketball, rugby, baseball equipment, etc. Further, it engages in fitness, cafe, childcare, and soccer club management; wholesale of Japanese clothing, women's clothing, etc.; designing, manufacturing, and wholesale of twisted yarn; watch import and wholesale; real estate/general construction; internet mail order, general merchandise OEM, and production management businesses, as well as operates specialty chain stores that sells casual wear and miscellaneous goods. The company was formerly known as KenKou Corporation, Inc. and changed its name to RIZAP GROUP, Inc. in July 2016. RIZAP GROUP, Inc. was founded in 2003 and is headquartered in Tokyo, Japan.",JPY,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,SAP,XSAP,Sapporo Securities Exchange,Japan,,Tokyo,169-0074,http://www.rizapgroup.com,Small Cap,,,BBG000M0DMG4,BBG000M0DKG8,BBG001SQ6HF9,False
3055.S,"Hokuyaku Takeyama Holdings,Inc.","Hokuyaku Takeyama Holdings,Inc. engages in the wholesale of pharmaceutical products in Japan. It also sells medical devices, such as medical/facility equipment, image diagnostic equipment, optical equipment, artificial organ-related equipment, biological information-related equipment, physical therapy equipment, and examination equipment, as well as general-purpose products, such as syringes and orthopedic surgery. In addition, the company operates approximately 60 pharmacies in Hokkaido; and provides nursing care services, welfare equipment, and support services for operation of nursery schools in companies and hospitals, as well as operates housing for seniors. Further, it is involved in the ICT and related business, including providing business systems for medical institutions, such as hospitals, clinics, pharmacies, and nursing facilities; and management support services for medical institutions and dispensing pharmacies. Hokuyaku Takeyama Holdings,Inc. is based in Sapporo, Japan.",JPY,Health Care,Health Care Equipment & Services,Health Care Providers & Services,SAP,XSAP,Sapporo Securities Exchange,Japan,,Sapporo,060-0006,http://www.hokutake.co.jp,Micro Cap,,,BBG000BL75F5,BBG000BL7379,BBG001SD4H33,False
3136.S,"ECONOS Co., Ltd.","ECONOS Co., Ltd. engages in the reuse product and low-carbon businesses in Japan. The company buys and sells reuse products through reuse shops and e-commerce, such as books, CDs, DVDs, game software, CD and DVD software, computers, audio and musical instruments, cameras, TVs, DVD players, toys, cards, figures, novelty items, car supplies and parts, tires, aluminum foil, plastic models, model guns, N gauges, minicars, trading cards, arcades, sports goods, camping supplies, precious metals, furniture, refrigerators, washing machines, baby goods, gift items, bicycles, fishing gears, interior and branded goods, bags, shoes, and general merchandise, as well as women's, men's, and children's clothing. It also engages in the carbon-offset business, which includes buying and selling of greenhouse gas emission rights; trading and selling of greenhouse gases; creation of emission credits; reduction of emissions consulting; and consignment survey businesses. In addition, the company is involved in the repair business. It operates 62 franchise stores, including 1 e-commerce department store. The company serves a range of customers ranging from children to senior citizens. The company was formerly known as Kitami Cygnus Shoji Co., Ltd. and changed its name to ECONOS Co., Ltd. in March 2005. ECONOS Co., Ltd. was founded in 1964 and is headquartered in Sapporo, Japan.",JPY,Consumer Discretionary,Retailing,Specialty Retail,SAP,XSAP,Sapporo Securities Exchange,Japan,,Sapporo,003-0834,http://www.eco-nos.com,Nano Cap,,,BBG00904SCK2,BBG001CDNRF4,BBG001TWSBG3,False
3977.S,"Fusion Co.,Ltd.","Fusion Co.,Ltd., a direct marketing agency, provides strategic planning, purchase data analysis, creativity development, and results measurement. It offers consulting and planning; and analytic and research services. The company also provides point of sale disclosure and reward program management systems; customer supports; and education services. Fusion Co.,Ltd. was founded in 1991 and is headquartered in Sapporo, Japan.",JPY,Communication Services,Telecommunication Services,Diversified Telecommunication Services,SAP,XSAP,Sapporo Securities Exchange,Japan,,Sapporo,060-0004,http://www.fusion.co.jp,Nano Cap,,,BBG00FS8FH40,BBG00FS8FH04,BBG00FS8FHK2,False
4834.S,"CAREER BANK Co., Ltd.","CAREER BANK Co., Ltd. primarily engages in the dispatching of general workers and fee-charging employment placement business. It operates through Manpower Dispatching, Manpower Dispatching (Kanto), Recruitment, Re-employment Support, Payroll, and Others segments. The company also provides sales outsourcing services; counselling and training services for re-employment; payroll services; and language training services. CAREER BANK Co., Ltd. was founded in 1987 and is headquartered in Sapporo, Japan.",JPY,Industrials,Commercial & Professional Services,Professional Services,SAP,XSAP,Sapporo Securities Exchange,Japan,,Sapporo,060-0005,http://www.career-bank.co.jp,Nano Cap,,,BBG000GN1FZ8,BBG000GN1CD9,BBG001S686Y4,False
