symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
1A0.SI,Katrina Group Ltd.,"Katrina Group Ltd., an investment holding company, owns and operates restaurants and cafes. The company operates through two segments, Hospitality, and Food and Beverages. It serves Hong Kong, Indonesian, Japanese, Mexican, northern Chinese, Thai, Vietnamese, and Yunnan cuisines. The company also provides online food delivery services; manufactures and distributes foods; and offers domestic household cleaning services. It operates 42 restaurants in Singapore and 2 restaurants in Indonesia under the Bali, Thai, Honguo, So Pho, Streats, Bayang, Hutong, Muchos, RENNthai, and Tomo Izakaya food and beverage brands. The company leases and manages 241 private residences, and 2 apartment buildings comprising 68 apartment units, as well as 4 co-living hotels, including approximately 242 rooms across Singapore and 18 serviced apartments in Hong Kong. Katrina Group Ltd. was founded in 1995 and is based in Singapore.",SGD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",SES,XSES,Singapore Exchange,Singapore,,Singapore,189648,http://katrinagroup.com,Nano Cap,,,,,,False
1A1.SI,Wong Fong Industries Limited,"Wong Fong Industries Limited, an investment holding company, provides land transport engineering solutions and systems in Singapore, Malaysia, Myanmar, and the People's Republic of China. It operates through Engineering and Training segments. The company sells and installs load handling and waste management systems, as well as assistive technology and mobility aids. It offers truck-mounted cranes, tailgates, tippers, self-loaders, hookloaders, portable compactors, and sweeper vehicles. The company also operates service centers for truck-mounted cranes, hookloaders, and tailgates; and offers design, customization, fabrication, and integration services. In addition, its projects include customization of special purpose vehicles and solutions. Further, the company provides training services for industrial, construction, food hygiene, quality and service audit, consultancy, workplace safety, security, and food and beverage. Additionally, it distributes, rents, and markets heavy and construction machinery, including spare parts, accessories, and engineering works; and trades and installs mechanical handling equipment and truck mounted hydraulic speed loaders. The company also undertakes mechanical engineering works, and installs industry machinery and machinery component parts; offers business and management consultancy services, motivational courses, and provision of educational services and recruitment of personnel, as well as educational and consultancy services to schools, teachers, parents, and community. It serves construction, logistics, waste management, and defense industries. The company was founded in 1964 and is headquartered in Singapore. Wong Fong Industries Limited is a subsidiary of Wong Fong Investments Pte. Ltd.",SGD,Industrials,Capital Goods,Machinery,SES,XSES,Singapore Exchange,Singapore,,Singapore,629107,http://www.wongfongindustries.com,Nano Cap,,,,,,False
1A4.SI,AGV Group Limited,"AGV Group Limited, an investment holding company, provides hot dip galvanizing services to steel and iron fabrication industries in Singapore and Malaysia. The company also engages in consultation and contract works relating to galvanization. It serves customers in public and transport sectors. The company was incorporated in 2015 and is based in Singapore.",SGD,Industrials,Capital Goods,Building Products,SES,XSES,Singapore Exchange,Singapore,,Singapore,629892,http://www.agvgroup.com.sg,Nano Cap,,,,,,False
1B0.SI,mm2 Asia Ltd.,"mm2 Asia Ltd., an investment holding company, produces, distributes, and sponsors films, television (TV), and online content in Singapore, Malaysia, Hong Kong, Taiwan, China, and internationally. It operates through Core Business, Post and content production, Cinema Operations, Concert and event, and Others segments. The company provides a range of filmmaking process services; and produces and distributes motion picture, video, and TV program post-production services. It also distributes content produced by third parties across various platforms, such as cinemas, Pay TV, Free TV, online, DVD, airlines, and others; distributes and streams digital film content; operates 151 screens under the name mmCineplexes in Malaysia, and 64 screens under the name Cathay Cineplexes Pte. Ltd in Singapore; engages in cafÃ© operation, as well as dramatic arts, music, and other arts production related activities; and VR, VFX, CGI, and other services. In addition, it produces and promotes events and concerts for artists and showrunners, as well as offers creative and technical solutions for events and concerts; leases stage equipment; and develops software for interactive digital media. Additionally, the company engages in the rental of stage lighting, sound systems, audio equipment, and light system installation; and organizes and promotes shows, entertainment acts, and other related services. Further, it is involved in the social media and digital advertising, and news agency activities; provision of advertisers content and platform solutions to promote their products and services, as well as brand consultancy services; and investing in concert production. mm2 Asia Ltd. was founded in 2008 and is headquartered in Singapore.",SGD,Communication Services,Media & Entertainment,Entertainment,SES,XSES,Singapore Exchange,Singapore,,Singapore,159456,http://www.mm2asia.com,Micro Cap,,,,,,False
1B1.SI,HC Surgical Specialists Limited,"HC Surgical Specialists Limited, an investment holding company, provides medical services primarily in Singapore. It offers endoscopic procedures, including gastroscopies and colonoscopies; and general surgery services with a focus on colorectal procedures in a network of clinics. The company also offers treatment services for other conditions, such as haemorrhoids, anal abscesses, anal fissures, anal fistula, gallstones and inflammation of the gallbladder, hernias, gastric cancer, colorectal cancer, stomach cancer, colonic diverticular disease, and cysts and lipomas; and vein laser vascular, laparoscopy, and other general and specialized medical services. In addition, it provides home care, such as medical, nursing, physiotherapy, speech therapy, occupational therapy, and ambulance services; and general consultation and diagnostic services, including blood tests, X-Rays, ultrasound, CT Scans, and MRIs. The company operates 16 clinics in Singapore. HC Surgical Specialists Limited was incorporated in 2015 and is based in Singapore.",SGD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,SES,XSES,Singapore Exchange,Singapore,,Singapore,238291,http://www.hcsurgicalspecialists.com,Micro Cap,,,,,,False
1C3.SI,Samurai 2K Aerosol Limited,"Samurai 2K Aerosol Limited manufactures, distributes, and markets aerosol coatings for the automotive refinishing and refurbishing industry. The company operates through three segments: Paint Â Standard; Paint Â Premium; and Maintenance and Others. The Paint Â Standard segment offers standard color aerosol spray paint products. The Paint Â Premium segment provides fluorescent, candy, and metallic color aerosol spray paint; high temperature aerosol spray paint; primer; epoxy; and 2K products, as well as multi-color one aerosol spray paint products. The Maintenance and Others segment offers cosmetic products, such as metal and paint polish; and maintenance products, including engine degreasers, chain oils, and carburetor and gasket cleaners, as well as brake cleaners, spray greases, motorcycle shampoos, tire shining products, and tire inflators. The company sells its products under the Samurai, Kurobushi, Khameleon, Canbrush, Ninjutsu, Geiji, CanArt, and Bushido brand names. It has operations in Malaysia, Indonesia, Thailand, the Philippines, Vietnam, Cambodia, the United Kingdom, the United States, Singapore, and India. Samurai 2K Aerosol Limited was founded in 1997 and is headquartered in Skudai, Malaysia.",SGD,Materials,Materials,Chemicals,SES,XSES,Singapore Exchange,Malaysia,,Sekudai,81120,http://www.samurai2kaerosol.com,Micro Cap,,,,,,False
1D0.SI,Kimly Limited,"Kimly Limited, an investment holding company, operates coffee shops in Singapore. The company operates through three segments: Outlet Management, Food Retail, and Others. The Outlet Management segment engages in the sale of food, beverages, and tobacco products; leasing of food outlet premises to tenants; and provision of cleaning and utilities services to tenants, as well as management services to third party coffee shops. It operates and manages 67 coffee shops and four industrial canteens under the Kimly brand and a third party brand; and three food courts under the foodclique brand. The Food Retail segment is primarily involved in the retail of cooked food directly to consumers through a network of 83 food outlets under the Kimly, foodclique, and a third party brand; and 137 food stalls comprising Mixed Vegetable Rice, Teochew Porridge, Dim Sum, and Seafood Zi Char, as well as 1 Kanaaji Japanese Tonkatsu food stall, two Tonkichi restaurants, and seven Rive Gauche confectionery shops. The Others segment offers management, finance, human resource, treasury, and administrative services. Kimly Limited was founded in 1990 and is headquartered in Singapore.",SGD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",SES,XSES,Singapore Exchange,Singapore,,Singapore,738725,http://www.kimlygroup.sg,Small Cap,,,,,,False
1D1.SI,UnUsUaL Limited,"UnUsUaL Limited, an investment holding company, engages in the production and promotion of live events and concerts in Singapore, Malaysia, Hong Kong, and internationally. The company operates through three segments: Promotion, Production, and Others. It is involved in the rental of stage lighting, sound systems, and audio equipment; provision of light system installation and its related services; and leasing of stage equipment. The company also organizes and promotes various shows, entertainment acts, and other related services; organizes and manages events; and provides concert production services and artiste services. UnUsUaL Limited was founded in 1997 and is headquartered in Singapore. UnUsUaL Limited is a subsidiary of Unusual Management Pte. Ltd.",SGD,Communication Services,Telecommunication Services,Diversified Telecommunication Services,SES,XSES,Singapore Exchange,Singapore,,Singapore,349317,http://www.unusual.com.sg,Micro Cap,,,,,,False
1D3.SI,LifeBrandz Ltd.,"LifeBrandz Ltd., an investment holding company, engages in the brand development and management, travel, fintech, IT, fund management, and food and beverage businesses in Singapore, Thailand, Japan, and the United States. The company operates through two segments, Lifestyle and Entertainment, and Travel Agency Services. It provides leisure and travel consultancy, and ticketing agency services; and other travel-related services and products, such as travel insurance arrangement, visa applications, and land transfers between airport and accommodation. The company also offers financial institutions white label wealth solutions to automate the process of financial planning, saving, and investing through its digital platform. In addition, it operates a pub and restaurant. The company was founded in 2001 and is based in Singapore.",SGD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",SES,XSES,Singapore Exchange,Singapore,,Singapore,48624,http://www.lifebrandz.com,Nano Cap,,81752R100,,,,False
1D4.SI,Aoxin Q & M Dental Group Limited,"Aoxin Q & M Dental Group Limited, an investment holding company, provides private dental services, and dental equipment and supplies primarily in the People's Republic of China. The company offers private dental services, including stomatology and general dentistry, endodontics, orthodontics, periodontics, prosthodontics, dental implantology, oral and maxillofacial surgery, aesthetic dentistry, and paedodontics, as well as manages dental centers. As of December 31, 2019, it operated a total of 17 dental centers comprising 6 dental hospitals and 11 polyclinics in 8 cities in Liaoning Province. The company also distributes and sells dental equipment and supplies, such as dental chairs, ultrasound scanners, dental instruments, and materials and consumables to dental hospitals, clinics, distributors, and laboratories. In addition, it provides laboratory service, which includes the manufacturing of porcelain crown, bridges, and dentures; and leases dental equipment. The company was founded in 1997 and is based in Singapore.",SGD,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,SES,XSES,Singapore Exchange,Singapore,,Singapore,68898,http://www.aoxinqm.com.sg,Micro Cap,,,,,,False
1E3.SI,Sanli Environmental Limited,"Sanli Environmental Limited operates as an environmental engineering company in the field of water and waste management primarily in Singapore. The company operates through two segments, Engineering, Procurement and Construction (EPC); and Operations and Maintenance (O&M). The EPC segment provides various services in the field of water and waste management, including process upgrading of existing water treatment plants and pumping station capacities, replacement of aged mechanical and electrical equipment, and designing and building various treatment process systems. This segment also offers engineering solutions and services for the treatment of raw water and used water, and refuse in incineration plants. The O&M segment provides operations and maintenance services related to water and waste management; and corrective and preventive maintenance services for customers' operations. The company was incorporated in 2017 and is headquartered in Singapore.",SGD,Industrials,Transportation,Transportation Infrastructure,SES,XSES,Singapore Exchange,Singapore,,Singapore,628845,http://www.sanli.com.sg,Nano Cap,,,,,,False
1F0.SI,shopper360 Limited,"shopper360 Limited, an investment holding company, provides shopper marketing services in the retail and consumer goods industries. It operates through three segments: In-Store Advertising and Digital Marketing, Field Force Management, and Sampling Activities and Events Management. The In-Store Advertising and Digital Marketing segment offers digital and non-digital in-store advertising mediums in retail chains establishment; and creative campaign development and mobile marketing services through its proprietary loyalty mobile application platform. The Field Force Management segment offers merchandiser, sales force and supervisory, and talent management services. The Sampling Activities and Events Management segment provides in-store promoter services, such as sampling and event management for product launches, roadshows, seminars, and annual dinners; and marketing programs, marketing intelligence and analysis, and consumer relationship management services. The company also engages in the provision of project management and manpower outsourcing services for digital imaging training; and subletting of property and related activities. It serves local and multi-national customers. The company provides its services through approximately 2,840 hypermarkets, pharmacy chains, convenience store outlets, and petrol marts. shopper360 Limited was founded in 1986 and is based in Singapore.",SGD,Communication Services,Telecommunication Services,Diversified Telecommunication Services,SES,XSES,Singapore Exchange,Singapore,,Singapore,68906,http://www.shopper360.com.my,Nano Cap,,,,,,False
1G6.SI,No Signboard Holdings Ltd.,"No Signboard Holdings Ltd., an investment holding company, manages and operates food and beverage outlets in Singapore. It operates a chain of restaurants under various F&B brands and concepts, including No Signboard Seafood, Hawker Asian Burger & Buns, Little Sheep Hot Pot, and Mom's Touch Korean Chicken & Burger. The company also produces, promotes, and distributes beer under the Draft Denmark brand, as well as is involved in the wholesale trade of liquor and soft drinks; and distributes various third party brands of beer, as well as operates as an OEM beer supplier for third party brands. In addition, it produces and distributes ready meals through a network of vending machines. The company was founded in 1981 and is based in Singapore. No Signboard Holdings Ltd. is a subsidiary of GuGong Pte. Ltd.",SGD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",SES,XSES,Singapore Exchange,Singapore,,Singapore,408564,http://www.nosignboardseafood.com,Nano Cap,,,,,,False
1H2.SI,Olive Tree Estates Limited,"Olive Tree Estates Limited, a real estate company, engages in the property development activities in Singapore. It operates through three segments: Investment, property development, and property rental. The company develops and invests in two light industrial properties in Singapore under the Tagore 8 and One Commonwealth names. It also engages in the property management activities. Olive Tree Estates Limited is based in Singapore. Olive Tree Estates Limited is a subsidiary of Chiu Teng Enterprises Pte Ltd.",SGD,Real Estate,Real Estate,Real Estate Management & Development,SES,XSES,Singapore Exchange,Singapore,,Singapore,49513,http://www.olivetreeestates.com,Nano Cap,,,,,,False
1H4.SI,Memories Group Limited,"Memories Group Limited, together with its subsidiaries, operates as a tourism company in Myanmar. It operates through three segments: Experiences, Services, and Hotels. The Experiences segment engages in the full service commercial hot air balloon business under the Balloons over Bagan brand in Bagan and Inle Lake area. It also provides cruising services on luxury yacht in the Mergui Archipelago in southern Myanmar under the Burma Boating brand. The Services segment engages in the provision of travel and destination management services, including designing and preparing customized itineraries for tour packages; organizing various excursions, activities, and cultural experiences; managing tour logistics, such as recommending and booking of accommodations, restaurants, and transportation; organizing meetings, incentives, travel, conventions, and exhibition events; and provision of travel guides of various languages in Myanmar. It provides its services under the Asia Holiday brand. The Hotels segment owns and operates hotels, resorts, and lodges at various tourist and business destinations. It operates hotels under the Awei, Keinnara, and Suggati brands; lodges under the Pun Hlaing, Hpa An, and Loikaw brands; and resorts under the Kayah brand, as well as an integrated tourism platform. The company also develops and manages hotels and related hospitality businesses; operates restaurant and related services; and provides tour operator and travel agency services. Memories Group Limited is headquartered in Yangon, Myanmar.",SGD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",SES,XSES,Singapore Exchange,Myanmar,,Yangon,11401,http://www.memoriesgroup.com,Nano Cap,,,,,,False
