symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
A-R.BK,Areeya Property Public Company Limited,"Areeya Property Public Company Limited, together with its subsidiaries, develops real estate projects in Thailand. It primarily develops single-homes, village towns, townhomes, home offices, and condominiums; and community malls. The company is also involved in the provision of after sales services for property; construction services; and property management services, as well as in the restaurant business. Areeya Property Public Company Limited was founded in 2000 and is headquartered in Bangkok, Thailand.",THB,Real Estate,Real Estate,Real Estate Management & Development,SET,XBKK,The Stock Exchange of Thailand,Thailand,,Bangkok,10310.0,http://www.areeya.co.th,Micro Cap,,,,,,False
A.BK,Areeya Property Public Company Limited,"Areeya Property Public Company Limited, together with its subsidiaries, develops real estate projects in Thailand. It primarily develops single-homes, village towns, townhomes, home offices, and condominiums; and community malls. The company is also involved in the provision of after sales services for property; construction services; and property management services, as well as in the restaurant business. Areeya Property Public Company Limited was founded in 2000 and is headquartered in Bangkok, Thailand.",THB,Real Estate,Real Estate,Real Estate Management & Development,SET,XBKK,The Stock Exchange of Thailand,Thailand,,Bangkok,10310.0,http://www.areeya.co.th,Micro Cap,,00846U101,,,,False
AAV-R.BK,Asia Aviation Public Company Limited,"Asia Aviation Public Company Limited, through its subsidiary, provides airline services primarily in Thailand. The company operates through Scheduled Flight Operations and Charter Flight Operations segments. The Scheduled Flight Operations segment offers passenger air transportation services to routine destinations for scheduled flights. This segment sells tickets through its distribution channels, including website, sale counters, travel agents, etc. The Chartered Flight Operations segment provides passenger air transportation services to non-routine destinations that serves tourist agency companies. Asia Aviation Public Company Limited was founded in 2004 and is headquartered in Bangkok, Thailand.",THB,Industrials,Transportation,Airlines,SET,XBKK,The Stock Exchange of Thailand,Thailand,,Bangkok,10210.0,http://www.aavplc.com,Small Cap,,,,,,False
AAV.BK,Asia Aviation Public Company Limited,"Asia Aviation Public Company Limited, through its subsidiary, provides airline services primarily in Thailand. The company operates through Scheduled Flight Operations and Charter Flight Operations segments. The Scheduled Flight Operations segment offers passenger air transportation services to routine destinations for scheduled flights. This segment sells tickets through its distribution channels, including website, sale counters, travel agents, etc. The Chartered Flight Operations segment provides passenger air transportation services to non-routine destinations that serves tourist agency companies. Asia Aviation Public Company Limited was founded in 2004 and is headquartered in Bangkok, Thailand.",THB,Industrials,Transportation,Airlines,SET,XBKK,The Stock Exchange of Thailand,Thailand,,Bangkok,10210.0,http://www.aavplc.com,Small Cap,CA00791P1071,00791P107,,,BBG001SDWVG7,False
ABICO-R.BK,Abico Holdings Public Company Limited,"Abico Holdings Public Company Limited, together with its subsidiaries, produces and distributes ready-to-drink milk. It is also involved in the rental of office space; and dairy farming business. The company was incorporated in 1992 and is based in Lam Luk Ka, Thailand.",THB,Consumer Staples,"Food, Beverage & Tobacco",Beverages,SET,XBKK,The Stock Exchange of Thailand,Thailand,,Lam Luk Ka,12130.0,http://www2.abicogroup.com,Nano Cap,,,,,,False
ABICO.BK,Abico Holdings Public Company Limited,"Abico Holdings Public Company Limited, together with its subsidiaries, produces and distributes ready-to-drink milk. It is also involved in the rental of office space; and dairy farming business. The company was incorporated in 1992 and is based in Lam Luk Ka, Thailand.",THB,Consumer Staples,"Food, Beverage & Tobacco",Beverages,SET,XBKK,The Stock Exchange of Thailand,Thailand,,Lam Luk Ka,12130.0,http://www2.abicogroup.com,Nano Cap,,,,,,False
ABM-R.BK,Asia Biomass Public Company Limited,"Asia Biomass Public Company Limited, through its subsidiaries, trades in biomass in Thailand and internationally. The company also manufactures wood chips and biomass pellets. In addition, it provides transportation services. The company was formerly known as Thai Joss Powder Industrial Co., Ltd. Asia Biomass Public Company Limited is headquartered in Bangkok, Thailand.",THB,Utilities,Utilities,Independent Power and Renewable Electricity Producers,SET,XBKK,The Stock Exchange of Thailand,Thailand,,Bangkok,10150.0,http://www.asiabiomass.com,Nano Cap,,,,,,False
ABM.BK,Asia Biomass Public Company Limited,"Asia Biomass Public Company Limited, through its subsidiaries, trades in biomass in Thailand and internationally. The company also manufactures wood chips and biomass pellets. In addition, it provides transportation services. The company was formerly known as Thai Joss Powder Industrial Co., Ltd. Asia Biomass Public Company Limited is headquartered in Bangkok, Thailand.",THB,Utilities,Utilities,Independent Power and Renewable Electricity Producers,SET,XBKK,The Stock Exchange of Thailand,Thailand,,Bangkok,10150.0,http://www.asiabiomass.com,Nano Cap,,000957100,,,,False
ABPIF.BK,Amata B. Power&amp;Power Plant Infrastructure Fund,Amata B. Power&Power Plant Infrastructure Fund is a Thailand-based investment fund. It invests in power and power plant infrastructure projects. The fund operates primarily within Thailand.,THB,Financials,Diversified Financials,,SET,XBKK,The Stock Exchange of Thailand,,,,,,,,,,,,False
ACAP-R.BK,ASIA Capital Group Public Company Limited,"ASIA Capital Group Public Company Limited provides corporate and retail lending services in Thailand and the Asian region. The company operates through Lending and Factoring, Call Center Services and Financial Businesses, and Others segments. It also provides non-performing loan servicing on behalf of client creditors, such as front end customer services to borrowers and carrying out day to day administration and accounting of the recovery process, loans accounts, and asset collateral, as well as NPL portfolio valuation services. In addition, the company offers legal advisory and representation services in the areas of business law, real estate law, civil law, bankruptcy law, tax law, and public sector relations; factoring services; and business process outsourcing services comprising call center, debt and receivables collection, loan approval, payroll, and data entry services. Further, it is involved in the sale of land with buildings and other real estate; and provision of investment banking services. The company was formerly known as ACAP Advisory Public Company Limited and changed its name to ASIA Capital Group Public Company Limited in February 2016. ASIA Capital Group Public Company Limited was founded in 1998 and is based in Bangkok, Thailand.",THB,Financials,Diversified Financials,Consumer Finance,SET,XBKK,The Stock Exchange of Thailand,Thailand,,Bangkok,10900.0,http://www.acap.co.th,Nano Cap,,,,,,False
