symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
501000.SS,Guojin Xinxin Flexible Allocation Mixed Fund (LOF),"Guojin Xinxin Flexible Allocation Mixed Fund (LOF) is a fund managed by Guojin Asset Management, categorized as a ""flexible allocation"" mixed fund, meaning it invests in a mix of stocks and bonds with the flexibility to adjust the asset allocation based on market conditions. The ""(LOF)"" designation indicates that it is a Listed Open-ended Fund, meaning it is traded on the stock exchange.",CNY,Financials,Diversified Financials,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501001.SS,Caitong Multi-Strategy Selected Mixed Securities Investment Fund,Caitong Multi-Strategy Selected Mixed Securities Investment Fund is a fund managed by Caitong Fund Management that employs a multi-strategy approach to investing in a diversified portfolio of securities. The fund aims to achieve capital appreciation and manage risk by utilizing various investment strategies and asset allocation techniques.,CNY,Financials,Diversified Financials,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,BBG009PKD977,BBG009PKD931,BBG009PKD940,False
501009.SS,China Universal CSI Biotechnology Theme Index Launched Fund (LOF),"China Universal CSI Biotechnology Theme Index Launched Fund (LOF) is a fund managed by China Universal Asset Management that tracks the CSI Biotechnology Theme Index. The fund primarily invests in companies related to the biotechnology industry in China, and it is a Listed Open-Ended Fund (LOF), meaning it can be traded on the stock exchange.",CNY,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501011.SS,China Universal CSI Traditional Chinese Medicine Index Launched Fund (LOF),"China Universal CSI Traditional Chinese Medicine Index Launched Fund (LOF) is a fund managed by China Universal Asset Management that tracks the CSI Traditional Chinese Medicine Index. The fund primarily invests in companies related to the Traditional Chinese Medicine industry in China, and it is a Listed Open-Ended Fund (LOF), meaning it can be traded on the stock exchange.",CNY,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501012.SS,China Universal CSI Traditional Chinese Medicine Index Launched Fund (LOF),"China Universal CSI Traditional Chinese Medicine Index Launched Fund (LOF) is a fund managed by China Universal Asset Management that tracks the CSI Traditional Chinese Medicine Index. The fund primarily invests in companies related to the Traditional Chinese Medicine industry in China, and it is a Listed Open-Ended Fund (LOF), meaning it can be traded on the stock exchange.",CNY,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501015.SS,"Caitong Fund Management Co., Ltd.- Star Upgrade Mix Fund","Caitong Fund Management Co., Ltd.- Star Upgrade Mix Fund is a mixed fund managed by Caitong Fund Management that aims to achieve capital appreciation through investments in a portfolio of stocks and bonds, focusing on companies with growth potential. The fund's objective is to provide investors with a balance of risk and return.",CNY,Financials,Diversified Financials,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501017.SS,Guotai Rongfeng Extension Growth Flexible Allocation Mixed Fund(LOF),"Guotai Rongfeng Extension Growth Flexible Allocation Mixed Fund(LOF) is a fund managed by Guotai Asset Management that focuses on companies with extension growth in a flexible allocation strategy. The fund invests in a mix of stocks and bonds, with the flexibility to adjust asset allocation based on market conditions.",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501022.SS,Yinhua Xinsheng Flexible Allocation Mixed Fund (LOF),"Yinhua Xinsheng Flexible Allocation Mixed Fund (LOF) is a fund managed by Yinhua Fund Management that adopts a flexible allocation strategy, investing in a mix of stocks and bonds based on market conditions. The fund aims to achieve long-term capital appreciation while managing risk through diversification.",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,BBG00DZX0YX9,BBG00DZX0YQ7,BBG00DZX0YR6,False
501025.SS,Penghua Hong Kong Stock Through CSI Hongkong Bank Investment Index Fund(LOF),"Penghua Hong Kong Stock Through CSI Hongkong Bank Investment Index Fund(LOF) is a fund managed by Penghua Fund Management that invests in Hong Kong-listed stocks through the China Stock Connect program, tracking the CSI Hong Kong Bank Investment Index. It is a Listed Open-Ended Fund (LOF), allowing it to be traded on the stock exchange.",CNY,Financials,Banks,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501026.SS,Caitong Multiple Strategy Fuxiang Mixed Fund,"Caitong Multiple Strategy Fuxiang Mixed Fund is a fund managed by Caitong Fund Management that utilizes multiple investment strategies to achieve its investment objectives. The fund invests in a diversified portfolio of assets, including stocks and bonds, with the aim of generating consistent returns while managing risk.",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,BBG00DSN62V5,BBG00DSN6245,BBG00DSN6254,False
501027.SS,Guotai Rongxin Flexible Allocation Mixed Fund (LOF),"Guotai Rongxin Flexible Allocation Mixed Fund (LOF) is a fund managed by Guotai Asset Management that adopts a flexible allocation strategy, investing in a mix of stocks and bonds based on market conditions. The fund aims to achieve long-term capital appreciation while managing risk through diversification.",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501028.SS,Caitong Multi-strategy Furui Mixed Launched Fund (LOF),Caitong Multi-strategy Furui Mixed Launched Fund (LOF) is a fund managed by Caitong Fund Management that employs multiple investment strategies to generate returns from a mixed portfolio of assets. The fund aims to provide investors with a diversified investment solution with a focus on risk management and consistent returns.,CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,BBG00HXX9WY6,BBG00F86YBM8,BBG00F86YBN7,False
501030.SS,China Universal CSI Environment Governance Index Fund (LOF),"China Universal CSI Environment Governance Index Fund (LOF) is a fund managed by China Universal Asset Management that tracks the CSI Environment Governance Index. The fund invests in companies that are involved in environmental protection and governance, and it is a Listed Open-Ended Fund (LOF), allowing it to be traded on the stock exchange.",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,BBG00FJDQBB2,BBG00FJDQ231,BBG00FJDQ240,False
501031.SS,China Universal CSI Environment Governance Index Fund (LOF),"China Universal CSI Environment Governance Index Fund (LOF) is a fund managed by China Universal Asset Management that tracks the CSI Environment Governance Index. The fund invests in companies that are involved in environmental protection and governance, and it is a Listed Open-Ended Fund (LOF), allowing it to be traded on the stock exchange.",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,BBG00FJDQMJ0,BBG00FJDQCM8,BBG00FJDQCN7,False
501032.SS,Caitong Fusheng Private Additional Offering Regular Open Flexible Allocation Mixed Launched Fund,"Caitong Fusheng Private Additional Offering Regular Open Flexible Allocation Mixed Launched Fund is a fund managed by Caitong Fund Management that utilizes a flexible allocation strategy, investing in a mix of stocks and bonds based on market conditions, with potential investments in private additional offerings. The fund aims to achieve long-term capital appreciation while managing risk through diversification.",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501036.SS,China Universal CSI 300 Index Launched Fund (LOF),"China Universal CSI 300 Index Launched Fund (LOF) is a fund managed by China Universal Asset Management that tracks the CSI 300 Index. The fund invests in the 300 largest and most liquid A-shares listed on the Shanghai and Shenzhen Stock Exchanges, and it is a Listed Open-Ended Fund (LOF).",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501037.SS,China Universal CSI 300 Index Launched Fund (LOF),"China Universal CSI 300 Index Launched Fund (LOF) is a fund managed by China Universal Asset Management that tracks the CSI 300 Index. The fund invests in the 300 largest and most liquid A-shares listed on the Shanghai and Shenzhen Stock Exchanges, and it is a Listed Open-Ended Fund (LOF).",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501038.SS,Yinhua Mingze Multi-strategy Regular Open Mixed Fund,Yinhua Mingze Multi-strategy Regular Open Mixed Fund is a fund managed by Yinhua Fund Management that employs a multi-strategy approach to investing in a diversified portfolio of assets. The fund aims to generate consistent returns while managing risk by utilizing various investment strategies and asset allocation techniques.,CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501039.SS,China Universal Ruifeng Mixed Fund,"China Universal Ruifeng Mixed Fund is a fund managed by China Universal Asset Management that invests in a mix of stocks and bonds, employing a flexible allocation strategy to adapt to changing market conditions. The fund aims to achieve long-term capital appreciation while managing risk through diversification.",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,BBG00HMNWPF0,BBG00HMNWNK9,BBG00HMNWNL8,False
501040.SS,China Universal Ruifeng Mixed Fund,"China Universal Ruifeng Mixed Fund is a fund managed by China Universal Asset Management that invests in a mix of stocks and bonds, employing a flexible allocation strategy to adapt to changing market conditions. The fund aims to achieve long-term capital appreciation while managing risk through diversification.",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501043.SS,China Universal CSI 300 Index Launched Fund (LOF),"China Universal CSI 300 Index Launched Fund (LOF) is a fund managed by China Universal Asset Management that tracks the CSI 300 Index. The fund invests in the 300 largest and most liquid A-shares listed on the Shanghai and Shenzhen Stock Exchanges, and it is a Listed Open-Ended Fund (LOF).",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501046.SS,Caitong Multiple Strategy Fuxiang Mixed Fund,"Caitong Multiple Strategy Fuxiang Mixed Fund is a fund managed by Caitong Fund Management that utilizes multiple investment strategies to achieve its investment objectives. The fund invests in a diversified portfolio of assets, including stocks and bonds, with the aim of generating consistent returns while managing risk.",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501047.SS,China Universal CSI Hong Kong Stock Through High Dividend Investment Index Launched Fund(LOF),"China Universal CSI Hong Kong Stock Through High Dividend Investment Index Launched Fund(LOF) is a fund managed by China Universal Asset Management that tracks the CSI Hong Kong Stock Connect High Dividend Investment Index. The fund invests in Hong Kong-listed companies with high dividend yields through the Stock Connect program, and it is a Listed Open-Ended Fund (LOF).",CNY,Financials,Diversified Financials,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501048.SS,China Universal CSI Hong Kong Stock Through High Dividend Investment Index Launched Fund(LOF),"China Universal CSI Hong Kong Stock Through High Dividend Investment Index Launched Fund(LOF) is a fund managed by China Universal Asset Management that tracks the CSI Hong Kong Stock Connect High Dividend Investment Index. The fund invests in Hong Kong-listed companies with high dividend yields through the Stock Connect program, and it is a Listed Open-Ended Fund (LOF).",CNY,Financials,Diversified Financials,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501049.SS,Orient Red Ruixi Three-year Regular Open Flexible Allocation Mixed Fund,"Orient Red Ruixi Three-year Regular Open Flexible Allocation Mixed Fund is a fund managed by Orient Red Asset Management that adopts a flexible allocation strategy, investing in a mix of stocks and bonds based on market conditions, with a three-year regular open structure. The fund aims to achieve long-term capital appreciation while managing risk through diversification.",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501051.SS,"Golden Trust SinoPac Fund Management Co., Ltd. - Huili Mixed Investment Fund","Golden Trust SinoPac Fund Management Co., Ltd. - Huili Mixed Investment Fund is a mixed fund managed by Golden Trust SinoPac Fund Management that aims to achieve long-term capital appreciation by investing in a diversified portfolio of stocks and bonds. The fund's investment strategy focuses on identifying undervalued assets with growth potential.",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501053.SS,Orient Red Target Selected 3-year Regular Open Mixed Fund,"Orient Red Target Selected 3-year Regular Open Mixed Fund is a fund managed by Orient Red Asset Management that invests in a mix of stocks and bonds, selecting investments based on a defined target and with a three-year regular open structure. The fund aims to achieve long-term capital appreciation while managing risk through diversification and a focused investment approach.",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501054.SS,Orient Red Ruize 3-year Regular Open Flexible Allocation Mixed Fund,"Orient Red Ruize 3-year Regular Open Flexible Allocation Mixed Fund is a fund managed by Orient Red Asset Management that adopts a flexible allocation strategy, investing in a mix of stocks and bonds based on market conditions, with a three-year regular open structure. The fund aims to achieve long-term capital appreciation while managing risk through diversification.",CNY,Financials,,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
501059.SS,Western Leadbank CSI SOE Bonus Index Enhanced Fund (LOF),"Western Leadbank CSI SOE Bonus Index Enhanced Fund (LOF) is a fund managed by Western Leadbank that tracks the CSI State-Owned Enterprise (SOE) Bonus Index with an enhanced strategy. The fund primarily invests in high-dividend-paying SOEs listed in China, and it is a Listed Open-Ended Fund (LOF), allowing it to be traded on the stock exchange.",CNY,Financials,Diversified Financials,,SHH,XSHG,Shanghai Stock Exchange,,,,,,,,,,,,False
