symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
000002.SZ,"China Vanke Co., Ltd.","China Vanke Co., Ltd., together with its subsidiaries, engages in the development and sale of properties in the Mainland China, Hong Kong, and internationally. The company operates through Property Development and Property Management segments. It develops residential buildings, commercial offices, and other ancillary facilities. The company also provides property management and related services to purchasers and tenants of its own developed residential properties, shopping arcades, and office buildings, as well as to properties developed by external property developers; and undertakes construction contracts. In addition, it is involved in logistics and warehousing, hotel and resort, education, and housing rental businesses. The company was incorporated in 1984 and is headquartered in Shenzhen, the People's Republic of China.",CNY,Real Estate,Real Estate,Real Estate Management & Development,SHZ,XSHE,Shenzhen Stock Exchange,China,,Shenzhen,518083,http://www.vanke.com,Large Cap,CNE100001SR9,,,BBG006KY4KD6,,False
000004.SZ,"Shenzhen GuoHua Network Security Technology Co., Ltd.","Shenzhen GuoHua Network Security Technology Co., Ltd. engages in mobile Internet services, emergency security, and smart cities businesses. The company focuses on mobile application security, big data security, Internet of Things security, mobile security consulting, mobile security training, mobile security detection, mobile security reinforcement, mobile security awareness, mobile security management, and other product systems. It is also involved in the mobile game distribution and operation services business. Shenzhen GuoHua Network Security Technology Co., Ltd. was founded in 1981 and is based in Shenzhen, China.",CNY,Financials,Diversified Financials,Diversified Financial Services,SHZ,XSHE,Shenzhen Stock Exchange,China,CA,San Francisco,94129,http://www.sz000004.cn,Micro Cap,,,BBG000BZFTX3,BBG000BZFT18,BBG001SJWNX3,False
000005.SZ,Shenzhen Fountain Corporation,"Shenzhen Fountain Corporation engages in real estate development, clean energy, transportation, and waste management activities in China. The company operates various fleets of electric vehicles (EVs) at residential and tourism developments under the HANSOME EValet brand, as well as light truck EVs for intra city logistics; and provides power-charging infrastructure at various transportation hubs and residential communities. It also develops low carbon neighborhood; and operates city chilling stations to provide cooling services to the communities, and infrastructure for cold chain food and beverage storage and logistics, as well as cold chain retail spaces and EV cold chain distributors. Shenzhen Fountain Corporation was founded in 1990 and is based in Shenzhen, China.",CNY,Real Estate,Real Estate,Real Estate Management & Development,SHZ,XSHE,Shenzhen Stock Exchange,China,,Shenzhen,518001,http://www.fountain.com.cn,Small Cap,CNE0000001L7,,,,,False
000006.SZ,"Shenzhen Zhenye (Group) Co.,Ltd.","Shenzhen Zhenye (Group) Co.,Ltd. engages in the development, management, and rental of real estate properties in China. The company provides residence, commercial properties, villas, etc. It is also involved in the shantytowns transformation and distinctive town construction activities. The company was founded in 1989 and is based in Shenzhen, China.",CNY,Real Estate,Real Estate,Real Estate Management & Development,SHZ,XSHE,Shenzhen Stock Exchange,China,,Shenzhen,518008,http://www.zhenye.com,Small Cap,CNE000000164,,BBG000BZFRZ5,BBG000BZFR12,BBG001SJWNW4,False
000007.SZ,"Shenzhen Quanxinhao Co., Ltd.","Shenzhen Quanxinhao Co., Ltd. owns and operates hotels in China. The company operates the Grand hotel located in Shenzhen and the Asia Gulf hotel located in Xiamen. It also provides property management, financial information consulting, venture capital, financial investment, equity investment, and investment management services. The company was founded in 1983 and is based in Shenzhen, China.",CNY,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",SHZ,XSHE,Shenzhen Stock Exchange,China,,Shenzhen,518031,http://www.sz000007.com,Micro Cap,CNE0000000P0,,BBG000BZDNB2,BBG000BZDMM2,BBG001SJWM10,False
000009.SZ,"China Baoan Group Co., Ltd.","China Baoan Group Co., Ltd., an investment holding company, engages in the research, development, manufacture, and sale of cathode and anode materials for lithium battery manufacturers worldwide. It also researches on drive systems for new energy vehicles sand automotive assembly plants; manufactures and sells precision metal parts that are used in hard disk drives, hydraulic equipment, and auto parts, as well as parts for other purposes; researches and develops new graphite materials; and develops and manufactures military drilling simulators. In addition, the company offers power-charging connectors for new-energy vehicles; AC/DC power charging connector products for electric vehicles; and ear-nose-throat and respiratory system products. Further, it plants lian tree; researches and development, manufactures, and sells neem products; develops and manages real estate projects; and invests in venture capital, financial, and industrial investment projects. Additionally, the company engages in the wholesale and retail of pharmaceutical products; operation of a chain of hospitals; and provision of hemorrhoid products. The company was founded in 1983 and is based in Shenzhen, China.",CNY,Industrials,Capital Goods,Industrial Conglomerates,SHZ,XSHE,Shenzhen Stock Exchange,China,,Shenzhen,518020,http://www.chinabaoan.com,Mid Cap,CNE000000222,,BBG000BZDLT7,BBG000BZDL53,BBG001SJWM01,False
000010.SZ,"Shenzhen Ecobeauty Co., Ltd.","Shenzhen Ecobeauty Co., Ltd. distributes natural gas machines and natural gas in China. It is involved in the storage, transportation and distribution, sale, maintenance, and management of natural gas and liquefied gas; and the manufacture and installation of machines, equipment, and related components. The company was formerly known as Beijing Shenhuaxin Co., Ltd. and changed its name to Shenzhen Ecobeauty Co., Ltd. in May 2016. Shenzhen Ecobeauty Co., Ltd. is based in Shenzhen, China.",CNY,Industrials,Capital Goods,Construction & Engineering,SHZ,XSHE,Shenzhen Stock Exchange,China,,Shenzhen,518048,http://www.eco-beauty.cn,Small Cap,CNE000000156,,BBG000P6HP77,BBG000P6HN18,BBG001SJWLZ5,False
000014.SZ,"Shahe Industrial Co., Ltd","Shahe Industrial Co., Ltd. develops, operates, and manages real estate properties in China. The company was founded in 1987 and is based in Shenzhen, China.",CNY,Real Estate,Real Estate,Real Estate Management & Development,SHZ,XSHE,Shenzhen Stock Exchange,China,,Shenzhen,,http://www.shahe.cn,Micro Cap,CNE0000003G3,,BBG000BZBX31,BBG000BZBV44,BBG001SJWDP4,False
000016.SZ,"Konka Group Co., Ltd.","Konka Group Co., Ltd., together with its subsidiaries, researches, develops, produces, and sells electronic products in China and internationally. It offers televisions, refrigerators, washing machines, personal electronic appliances, and kitchen and bathroom appliances; and home AV, IPTV set-top boxes, OTT terminals, digital TV receivers, digital products, wearable and health products, electric products and switch plugs, power banks, mobile communication equipment and terminal products, daily-use and automotive electronic products, satellite navigation and transportation systems, fire-fighting and security systems, office equipment, computers, displays, and large screen display systems. The company also provides LED back light, illumination, and light-emitting devices; packaging products; Touch TV AIO wireless broadcasting television transiting equipment; and emergency broadcast system equipment, electronic parts and components, molds, plastic and rubber products, packing materials, security and monitoring products, wireless and cable digital television systems and system integration services, and technical consultancy and after-sale paid services. In addition, it engages in the provision of wholesale, retail, import and export, and relevant support services of the aforesaid products; maintenance and technical consultant services for electronic products; ordinary cargo transportation, domestic and international freight forwarding, and warehousing services; management of supply chain; consultancy on enterprise management; self-owned property leasing and management services; and outsourcing services of information technology and business procedures, as well as recovers waste electrical appliances and electronic products. The company was formerly known as Shenzhen Konka Electronic Co., Ltd. and changed its name to Konka Group Co., Ltd. in August 1995. Konka Group Co., Ltd. was founded in 1980 and is headquartered in Shenzhen, China.",CNY,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",SHZ,XSHE,Shenzhen Stock Exchange,China,,Shenzhen,518057,http://www.konka.com,Small Cap,CNE0000002T8,,BBG000BZCNJ5,BBG000BZCMX1,BBG001SJWHW7,False
000017.SZ,Shenzhen China Bicycle Company (Holdings) Limited,"Shenzhen China Bicycle Company (Holdings) Limited engages in the production, assembly, purchase, and sale of bicycles and electric bicycles. It offers bicycles under the EMMELLE brand. The company also engages in the lithium battery material, and jewelry and gold businesses. It offers its products through various e-commerce platforms. Shenzhen China Bicycle Company (Holdings) Limited is based in Shenzhen, China.",CNY,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",SHZ,XSHE,Shenzhen Stock Exchange,China,,Shenzhen,518023,http://cbcbicycle.diytrade.com/sdp/628227/4/home/0.html,Micro Cap,,,BBG000BZDHB5,BBG000BZDGS9,BBG001SJWLV9,False
