symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
3KR.ST,Tre Kronor Property Investment AB (publ),"Tre Kronor Property Investment AB (publ) owns, manages, and develops commercial real estate properties in Sweden. The company is based in Stockholm, Sweden. Tre Kronor Property Investment AB (publ) operates as a subsidiary of Catella AB.",SEK,Real Estate,Real Estate,Real Estate Management & Development,STO,XSTO,NASDAQ OMX Stockholm,Sweden,,Stockholm,102 40,http://www.3krproperty.se,Micro Cap,,,,,,False
8TRA.ST,Traton SE,"Traton SE manufactures commercial vehicles worldwide. It operates through Industrial Business and Financial Services segments. The company offers light and heavy-duty commercial vehicles, such as trucks and bus chassis; vans; construction vehicles; city buses; and intercity and travel coaches, as well as spare parts and services. It also provides a cloud-based platform for freight transportation under the RIO brand name. The company offers its products and services under the MAN, Scania, and Volkswagen CaminhÃµes e Ãnibus brands. In addition, it provides a range of financial solutions, including dealer and customer finance, leasing, and insurance products. The company was founded in 2015 and is based in Munich, Germany. Traton SE operates as a subsidiary of Volkswagen Finance Luxemburg S.A.",SEK,Industrials,Capital Goods,Machinery,STO,XSTO,NASDAQ OMX Stockholm,Germany,,Munich,80995,http://www.traton.com,Large Cap,DE000TRAT0N7,,BBG00PGTQQ70,BBG00PGTQQ61,BBG001T8WHP8,False
AAA.ST,ArcAroma AB (publ),"ArcAroma AB (publ) operates as a cleantech company worldwide. It develops CEPT, a patented platform for the biological purification and hygiene of pumpable products. The company was formerly known as Arc Aroma Pure AB (publ) and changed its name to ArcAroma AB (publ) in November 2019. ArcAroma AB (publ) was founded in 2008 and is based in Lund, Sweden.",SEK,Industrials,Capital Goods,Machinery,STO,XSTO,NASDAQ OMX Stockholm,Sweden,,Lund,224 78,http://www.arcaroma.com,Nano Cap,,,,,,False
AAC.ST,AAC Clyde Space AB (publ),"AAC Clyde Space AB (publ) primarily provides solutions and services to the small satellite market in Sweden, the United Kingdom, and the United States. The company offers satellite bits, such as command and data handling; batteries; EPS products; communication systems comprising VHF, X-band, Ku-Band, and Ka-Band; plug-and-play solar array solutions; and lightweight structure solutions. It also operates EPIC spacecraft platform. In addition, the company is involved in the provision of Space as a Service, which include mission analysis and design; satellites manufacturing, testing, and delivery services; and satellite launch, insurance, and market-leading regulatory management services, as well as designs payloads. It serves the commercial customers, and institutional customers, which include governmental agencies, military organizations, research institutions, and universities. The company was formerly known as ÃAC Microtec AB (publ) and changed its name to AAC Clyde Space AB (publ) in November 2019. AAC Clyde Space AB (publ) was founded in 2005 and is based in Uppsala, Sweden.",SEK,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",STO,XSTO,NASDAQ OMX Stockholm,Sweden,,Uppsala,751 83,http://www.aac-clyde.space,Micro Cap,,,,,,False
AAK.ST,AAK AB (publ.),"AAK AB (publ.) develops and sells vegetable oils and fats worldwide. It offers food ingredients for the bakery, dairy, foodservice, and special nutrition industries; chocolate and confectionery fats, including functional cocoa butter and cocoa butter alternatives, as well as specialty fats for confectionery filling; and functional emollients for the cosmetics industry. The company also provides fatty acids and glycerine for various applications; and vegetable candle waxes, as well as proteins and fats for animal feeds. AAK AB (publ.) is headquartered in MalmÃ¶, Sweden.",SEK,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,STO,XSTO,NASDAQ OMX Stockholm,Sweden,,Malmo,215 32,http://www.aak.com,Mid Cap,,,BBG000HL0165,BBG000HL0067,BBG001SP76W5,False
ABB.ST,ABB Ltd,"ABB Ltd manufactures and sells electrification, industrial automation, and robotics and motion products for customers in utilities, industry and transport, and infrastructure worldwide. Its Electrification segment provides electric vehicle charging infrastructure, renewable power solutions, modular substation packages, distribution automation products, switchboard and panel boards, switchgears, UPS solutions, circuit breakers, measuring and sensing devices, control products, wiring accessories, enclosures and cabling systems, and intelligent home and building solutions for integrating and automating lighting, heating, ventilation, security, and data communication networks. The company's Robotics & Discrete Automation segments provides industrial robots, software, robotic solutions and systems, field services, spare parts, and digital services. This segment also offers solutions based on its programmable logic controllers, industrial PCs, servo motion, transport systems, and machine vision. Its Industrial Automation segment develops and sells industry-specific, integrated automation, and electrification systems and solutions, as well as digital solutions, lifecycle services, and artificial intelligence applications for the process and hybrid industries. This segment also offers process and discrete control technologies, advanced process control software and manufacturing execution systems, sensing, measurement, analytical instrumentation, electric ship propulsion systems, and large turbochargers, as well as remote monitoring, preventive maintenance, asset performance management, and cybersecurity services. The company's Motion segment manufactures and sells drives, motors, generators, traction converters, and mechanical power transmission products. ABB Ltd has a strategic collaboration with IBM. ABB Ltd was founded in 1883 and is headquartered in Zurich, Switzerland.",SEK,Industrials,Capital Goods,Electrical Equipment,STO,XSTO,NASDAQ OMX Stockholm,Switzerland,,Zurich,8050,http://www.global.abb/group/,Large Cap,CH0012221716,,BBG000BXRMY9,BBG000BXRMP9,BBG001SCX147,False
ABB1D-260NDS.ST,,,SEK,,,,STO,XSTO,NASDAQ OMX Stockholm,,,,,,,,,,,,False
ABB1E-300SHB.ST,,,SEK,,,,STO,XSTO,NASDAQ OMX Stockholm,,,,,,,,,,,,False
ABB1I-265NDS.ST,,,,,,,STO,XSTO,NASDAQ OMX Stockholm,,,,,,,,,,,,False
ABB1K-220SWE.ST,,,SEK,,,,STO,XSTO,NASDAQ OMX Stockholm,,,,,,,,,,,,False
