symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
001.SG,Cardtronics plc,"Cardtronics plc provides automated consumer financial services through its network of automated teller machines (ATMs) and multi-function financial services kiosks. The company offers cash dispensing, balance inquiries, and balance transfers; and financial related services to cardholders, as well as ATM management and ATM equipment-related services to large retail merchants, smaller retailers, financial institutions, and operators of facilities, such as shopping malls, airports, train stations, and casinos. It also provides transaction processing, cash and cash delivery management, supply, and telecommunications, as well as routine and technical maintenance services for ATMs; and owns and operates electronic funds transfer transaction processing platforms that offer transaction processing services to its network of ATMS, as well as other ATMs under managed services arrangements. In addition, the company owns and operates Allpoint network, a surcharge-free ATM network, which offers surcharge-free ATM access to participating banks, credit unions, digital banks, financial technology companies, and stored-value debit card issuers. As of December 31, 2020, it provided services to approximately 269,000 ATMs in North America, Europe, the Asia-Pacific, and Africa. The company was founded in 1989 and is headquartered in Houston, Texas.",EUR,Industrials,Commercial & Professional Services,Commercial Services & Supplies,STU,XSTU,Stuttgart Stock Exchange,United States,TX,Houston,77042,http://www.cardtronics.com,Small Cap,,,,,,False
013A.SG,JD.com Inc. R.Shs Cl.A(Sp.ADRs),"JD.com is a Chinese e-commerce company operating an online retail platform. It offers a wide range of products, including electronics, home appliances, apparel, and books to consumers in China. The company is headquartered in Beijing, China.",EUR,Consumer Discretionary,Retailing,,STU,XSTU,Stuttgart Stock Exchange,China,,,,,,,,,,,False
01H.SG,HORIBA LTD. Registered Shares o,"HORIBA LTD is a global company that manufactures and sells precision instruments and equipment for various applications. Their products include automotive test systems, environmental monitoring equipment, medical diagnostic instruments, and semiconductor manufacturing equipment. The company is headquartered in Kyoto, Japan.",EUR,Industrials,Capital Goods,,STU,XSTU,Stuttgart Stock Exchange,Japan,,,,,,JP3853000002,,BBG000GJZV94,BBG000GJYR58,BBG001S6FR34,False
01K.SG,Keller Group plc,"Keller Group plc provides geotechnical solutions in North America, Europe, the Middle East, Africa, and the Asia-Pacific. The company offers ground improvement services to prepare the ground for new construction projects and to reduce the risk of liquefaction in the areas of seismic activity; and grouting services, which enhance target areas in the ground, and controls ground water flow through rocks and soils by reducing their permeability. It also provides heavy foundation solutions, including bored, CFA, driven piling, marine, and near shore structures, as well as underpin solutions; and earth retention systems that are used to solve a range of geotechnical solutions comprising slope stabilization and excavation support. In addition, the company offers post-tension cable systems, which are used to reinforce concrete foundations and structural spans; and instrumentation and monitoring solutions for various applications. Keller Group plc provides its services to the construction sector in infrastructure, industrial, commercial residential, and environmental projects. The company was founded in 1860 and is headquartered in London, the United Kingdom.",EUR,Industrials,Capital Goods,Construction & Engineering,STU,XSTU,Stuttgart Stock Exchange,United Kingdom,,London,W2 6TT,http://www.keller.com,Small Cap,,,BBG000QJVHX1,BBG000QJVGG2,BBG001S7WWP8,False
01P.SG,"Medpace Holdings, Inc.","Medpace Holdings Inc. Registered is a clinical contract research organization (CRO) that provides clinical development services to the pharmaceutical, biotechnology, and medical device industries. They offer a range of services including clinical trial management, data management, and regulatory affairs. Medpace Holdings, Inc. is headquartered in Cincinnati, Ohio.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,STU,XSTU,Stuttgart Stock Exchange,United States,,,,,,US58506Q1094,58506Q109,BBG00DLDCCT8,BBG00DLDCCP2,BBG0065B7K40,False
02B.SG,"BlackLine, Inc.","BlackLine Inc. Registered Share provides cloud-based accounting automation software solutions that streamline financial close processes. The software platform offers features such as account reconciliation, task management, and variance analysis. BlackLine, Inc. is headquartered in Woodland Hills, California.",EUR,Information Technology,Software & Services,,STU,XSTU,Stuttgart Stock Exchange,United States,,,,,,US09239B1098,09239B109,BBG00F5DX7Q2,BBG00F5DX7L7,BBG0029KJVD8,False
02G.SG,"Guangzhou Automobile Group Co., Ltd. Class H","Guangzhou Automobile Group Co.R is a Chinese automobile manufacturer that produces a wide range of vehicles, including passenger cars, commercial vehicles, and buses. The company operates through various brands, including GAC Motor and GAC Toyota. Guangzhou Automobile Group Co., Ltd. is headquartered in Guangzhou, China.",EUR,Consumer Discretionary,Automobiles & Components,,STU,XSTU,Stuttgart Stock Exchange,China,,,,,,CNE100000Q35,,BBG0015K23Q0,BBG0015K23L5,BBG001T910P7,False
02H.SG,HEXATRONIC GROUP AB,"Hexatronic Group AB Namn-Aktier develops, manufactures and markets fibre optic systems and products with focus on minimizing total installation cost, maximizing long-term network performance and reducing environmental impact. It provides connectivity solutions for communication networks. The company has its headquarters in Sweden.",EUR,Industrials,Capital Goods,,STU,XSTU,Stuttgart Stock Exchange,Sweden,,,,,,SE0018040677,,BBG00BP8FLT6,BBG00BP8FLP0,BBG001S112S8,False
02V.SG,"Village Farms International, Inc.","Village Farms International, Inc. is a vertically integrated greenhouse grower in North America focused on high-value, branded consumer products. They produce and supply fresh produce, cannabis, and hemp products. The company is headquartered in Delta, British Columbia, Canada.",EUR,Consumer Staples,"Food, Beverage & Tobacco",,STU,XSTU,Stuttgart Stock Exchange,Canada,,,,,,CA92707Y1088,92707Y108,,,BBG001S5VXJ8,False
038.SG,NovoCure Ltd.,"Novocure Ltd. is a global oncology company pioneering a novel therapy called Tumor Treating Fields (TTFields) for solid tumors. TTFields therapy uses electric fields to disrupt cancer cell division. The company is headquartered in St. Helier, Jersey.",EUR,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",,STU,XSTU,Stuttgart Stock Exchange,Jersey,,,,,,JE00BYSS4X48,,BBG00B5YGRQ0,BBG00B5YGRL5,BBG009XW8QY0,False
