symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
03171P.TW,CHINATRUST SECS CO LTD P/W 31/0,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
034176.TW,WATERLAND SECURITIES CO LTD C/W,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
034506.TW,WATERLAND SECURITIES CO LTD C/W,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
04054P.TW,MASTERLINK SECURITIES P/W 22/06,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
04225P.TW,MASTERLINK SECURITIES P/W 07/06,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
04321P.TW,MASTERLINK SECURITIES P/W 13/07,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
04341P.TW,WATERLAND SECURITIES CO LTD P/W,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
04342P.TW,WATERLAND SECURITIES CO LTD P/W,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
04435P.TW,,,,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
04472P.TW,MASTERLINK SECURITIES P/W 26/07,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
06060P.TW,MASTERLINK SECURITIES P/W 26/07,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
064078.TW,CHINATRUST SECS CO LTD C/W 04/0,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
064082.TW,CHINATRUST SECS CO LTD C/W 04/0,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
06618P.TW,MASTERLINK SECURITIES P/W 22/12,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
06622P.TW,MASTERLINK SECURITIES P/W 22/12,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
068404.TW,MASTERLINK SECURITIES C/W 27/04,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
068775.TW,MASTERLINK SECURITIES C/W 02/08,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
068777.TW,MASTERLINK SECURITIES C/W 02/08,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
069805.TW,WATERLAND SECURITIES CO LTD C/W,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
069808.TW,WATERLAND SECURITIES CO LTD C/W,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
070026.TW,,,,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
070353.TW,WATERLAND SECURITIES CO LTD C/W,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
070712.TW,WATERLAND SECURITIES CO LTD C/W,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
071016.TW,WATERLAND SECURITIES CO LTD C/W,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
071020.TW,,,,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
071114.TW,WATERLAND SECURITIES CO LTD C/W,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
074504.TW,MASTERLINK SECURITIES C/W 26/08,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
075056.TW,,,,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
075142.TW,,,,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
075176.TW,CHINATRUST SECS CO LTD C/W 03/0,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
077807.TW,MASTERLINK SECURITIES C/W 02/08,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
080875.TW,CHINATRUST SECS CO LTD C/W 03/1,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
080876.TW,CHINATRUST SECS CO LTD C/W 03/0,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
080878.TW,CHINATRUST SECS CO LTD C/W 03/0,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
080879.TW,CHINATRUST SECS CO LTD C/W 03/1,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
080880.TW,CHINATRUST SECS CO LTD C/W 03/1,,TWD,,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
084550.TW,MASTERLINK SECURITIES C/W 02/08,,TWD,Financials,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
084553.TW,MASTERLINK SECURITIES C/W 02/08,,TWD,Financials,,,TAI,XTAI,Taiwan Stock Exchange,,,,,,,,,,,,False
