symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
ARC1T.TL,Arco Vara AS,"Arco Vara AS, together with its subsidiaries, engages in the real estate development and services related to real estate in Estonia, Latvia, and Bulgaria. It is involved in the development, construction, and sale of residential and non-residential buildings; rental and operation of own or leased real estate properties; and management of real estate properties. Arco Vara AS was founded in 1992 and is based in Tallinn, Estonia. As of February 12, 2021, Arco Vara AS operates as a subsidiary of OÃ Alarmo Kapital.",EUR,Real Estate,Real Estate,Real Estate Management & Development,TAL,XTAL,NASDAQ OMX Tallinn,Estonia,,Tallinn,10145.0,http://www.arcovara.com/et/,Nano Cap,,,BBG000RJVRN9,BBG000RJVR22,BBG001STR780,False
BLT1T.TL,AS Baltika,"AS Baltika, together with its subsidiaries, operates as a fashion retailer. It operates through Retail, E-commerce, and All Other segments. The company engages in the design, development, production, and sales arrangement of the fashion brands of clothing; and the provision of materials and sewing services. It develops and operates fashion brands, including Monton, Baltman, and Ivo Nikkolo. The company sells its products through retail and e-commerce channel, and other sales channels, including wholesale, franchise, and consignation. As of December 31, 2020, it had 61 Baltika's retail-stores in Estonia, Latvia, Lithuania, and Finland. AS Baltika was founded in 1928 and is headquartered in Tallinn, Estonia.",EUR,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",TAL,XTAL,NASDAQ OMX Tallinn,Estonia,,Tallinn,11415.0,http://www.baltikagroup.com,Nano Cap,,,,,,False
CPA1T.TL,Coop Pank AS,"Coop Pank AS, together with its subsidiaries, provides banking and financing solutions to private and business clients in Estonia. It operates through Corporate Banking, Retail Banking, Consumer Financing, Leasing, and Other segments. The company provides banking plans; saving accounts and deposits; small, car, home renovation, travel, home, refinancing, mortgage, working capital, investment, seasonal work, and apartment association loans; and payment, overdraft, guarantee, settlement, factoring, and leasing services, as well as debit and credit cards. It also provides Internet and mobile banking services; and real estate management services, as well as motor, comprehensive, travel, and home insurance; and small and medium business property, construction machinery, and other equipment insurance services. The company was formerly known as AS Eesti Krediidipank. Coop Pank AS was incorporated in 1992 and is based in Tallinn, the Republic of Estonia.",EUR,Financials,Banks,Banks,TAL,XTAL,NASDAQ OMX Tallinn,Estonia,,Tallinn,15014.0,http://www.cooppank.ee,Micro Cap,,,BBG00QTXJ6G7,BBG006YGS0T1,BBG006YGS0V8,False
EEG1T.TL,AS Ekspress Grupp,"AS Ekspress Grupp provides digital content and advertising solutions. It operates through two segments, Media and Printing Services. The Media segment is involved in managing online news and classified portals; selling advertising banners, and other advertising space and products through its own portals; selling advertising space in newspapers and magazines; and publishing newspapers, magazines, customer, books, and advertising fliers, as well as sale of digital outdoor advertising. This segment also operates electronic ticket sales platform, and ticket sales sites, as well as production studio for content creation.The Printing Services segment offers printing and related services. This segment engages in the printing of magazines, newspapers, advertising materials, product and service catalogues, yearbooks, paperback books, and other publications. It operates in the Estonia, Scandinavia, Lithuania, Latvia, rest of Europe, and internationally. The company was founded in 1989 and is based in Tallinn, Estonia.",EUR,Communication Services,Telecommunication Services,Diversified Telecommunication Services,TAL,XTAL,NASDAQ OMX Tallinn,Estonia,,Tallinn,10151.0,http://www.egrupp.ee,Nano Cap,,,BBG000N8BF55,BBG000N8BCS7,BBG001SKP3P1,False
EFT1T.TL,EfTEN Real Estate Fund III AS,"EfTEN Real Estate Fund III AS specializes in real estate investments. The fund seeks to invest in large-scale commercial real estate projects. The fund term is of 10 years, divided into three years of investments and seven years for holding and exit.",EUR,Real Estate,Real Estate,Real Estate Management & Development,TAL,XTAL,NASDAQ OMX Tallinn,Estonia,,,,,Micro Cap,,,BBG00J3L9SD3,BBG009T0KYK9,BBG009T0KYL8,False
HAE1T.TL,AS Harju Elekter,"AS Harju Elekter develops, produces, and sells electric and automation solutions in Estonia, Finland, Sweden, Lithuania, and internationally. It operates through three segments: Production, Real estate, Other Activities. The company manufactures and sells electricity distribution and control equipment; electrical equipment for the electricity distribution, industrial, and construction sectors; sheet metal products and solutions for the power energy and electronics sectors; multidrive, MCC, and electricity distribution systems for engineering applications; industrial automation devices and substations; medium- and low-voltage electric power generation and distribution equipment; and electricity switching and conversion equipment, as well as automatic and control boards. It also offers technical buildings for the infrastructure, construction, and renewable energy sectors; and electrical installation services for shipbuilding. In addition, the company provides industrial property development, maintenance and leasing, and intermediation services; management services; and project management services for installation works. Further, it operates stores in Tallinn and Tartu, which sell products for electrical installation work to retail customers, and small and medium sized electrical installation companies; and sells electrical materials and equipment. The company serves electricity distribution network, infrastructure, industrial, and maritime companies. AS Harju Elekter was founded in 1968 and is headquartered in Keila, Estonia.",EUR,Industrials,Capital Goods,Electrical Equipment,TAL,XTAL,NASDAQ OMX Tallinn,Estonia,,Keila,76606.0,http://www.harjuelekter.com,Micro Cap,,,BBG000FYY965,BBG000FYY7J5,BBG001SJ50S9,False
LHV1T.TL,AS LHV Group,"AS LHV Group, through its subsidiaries, provides banking, security brokerage, financial advisory, finance lease, and other lending services to private and business clients in Estonia. It operates through three segments: Retail Banking, Financial Intermediates, and Corporate Banking segments. The company offers demand and fixed-term deposits; pension investment and securities accounts; home and private, consumer, car, home repair, furnishing, health and beauty, student, micro, working capital, investment, margin, and apartment association loans; and overdrafts, leasing, hire-purchase, guarantees, letters of credit, documentary collection, and factoring services, as well as financing the acquisition of a company. It also provides settlement, institutional brokerage, pension, investment fund, and payment and investment services; banking cards; and investment advice, as well as mobile banking and ATM services. The company was founded in 1999 and is based in Tallinn, Estonia.",EUR,Financials,Banks,Banks,TAL,XTAL,NASDAQ OMX Tallinn,Estonia,,Tallinn,10145.0,http://www.lhv.ee,Small Cap,,,BBG00CLG1TH1,BBG007NGXKZ4,BBG007NGXJD1,False
MRK1T.TL,AS Merko Ehitus,"AS Merko Ehitus, through its subsidiaries, engages in the construction and real estate development activities in the Republic of Estonia, Latvia, Lithuania, Norway, and Finland. It operates through Construction Service and Real Estate Development segments. The company constructs various buildings, including commercial and office buildings, retail and entertainment centers, hotels, and spas, as well as public buildings, dwellings, and specific industrial buildings. It also designs and constructs various infrastructure facilities, such as port, waste handling, and road infrastructure, including bridges, tunnels, overpasses, and roads; environment protection facilities; drinking water and waste water treatment facilities; water and sewerage mains; and other engineering and technical sites. In addition, the company provides electrical construction services comprising medium and high voltage substation, and cable line engineering configuration and construction; road maintenance and repair services; and machinery repair services. Further, it undertakes supervision of excavation works and condition of roads; and concrete works that include buildings and infrastructure constructed of prefabricated or concrete panels. Additionally, the company develops apartment projects, long-term real estate investments, and real estate projects for business purposes; and maintains and leases real estate properties. The company was founded in 1990 and is based in Tallinn, the Republic of Estonia. AS Merko Ehitus is a subsidiary of AS Riverito.",EUR,Industrials,Capital Goods,Construction & Engineering,TAL,XTAL,NASDAQ OMX Tallinn,Estonia,,Tallinn,11314.0,http://group.merko.ee,Small Cap,,,BBG000BS5WX3,BBG000BS5W90,BBG001SJPRZ0,False
NCN1T.TL,Nordecon AS,"Nordecon AS operates as a construction company in Estonia, Sweden, Finland, and Ukraine. It is involved in the general contracting and project management of buildings and infrastructure construction. The company engages in building office and industrial buildings, warehouses, non-residential buildings, and apartment buildings, as well as various storage facilities and tanks for agricultural purposes; and the design and preparation of concrete works, including complete loadbearing structure and basement solutions, concrete floors, frameworks, roofs, and ceilings. It also provides general contracting and project management services in the field of civil engineering works, including road construction and maintenance, engineering and environmental construction, rental of building equipment, and production of road construction materials, as well as rents, sells, and maintains road construction and earthworks machines. In addition, the company engages in designing and building concrete works, including bridges, overpasses, viaducts, tunnels, basements, and reinforced concrete frameworks for buildings, as well as railway base structures and erections; and building ports, berths, breakwaters, and bank protections, as well as in the construction of utility, water, and other civil engineering projects. Further, it is involved in traffic management operations; geodetic surveys; and coordination and development of the work of the construction material quarries. The company was formerly known as Nordecon International AS and changed its name to Nordecon AS in January 2011. Nordecon AS was founded in 1989 and is based in Tallinn, Estonia. Nordecon AS is a subsidiary of AS Nordic Contractors.",EUR,Industrials,Capital Goods,Construction & Engineering,TAL,XTAL,NASDAQ OMX Tallinn,Estonia,,Tallinn,10133.0,http://www.nordecon.com,Micro Cap,,,BBG000JN2TM8,BBG000JN2SZ6,BBG001SM1QK7,False
NHCBHFFT.TL,Baltic Horizon Fund,"Baltic Horizon Fund (further ÂBHÂ) is a regulated closed-end contractual investment fund registered in Estonia on 23 May 2016. Following a successful capital raising (IPO) Baltic Horizon merged with Baltic Opportunity Fund on 30 June 2016. Baltic Horizon is the remaining entity which took over 5 assets of BOF and its investor base. Trading of Baltic Horizon units on Nasdaq Tallinn Stock Exchange began on 6 July, 2016. Baltic Horizon Fund units are also listed on Nasdaq Stockholm. The first trading day on Nasdaq Stockholm was on 23 December 2016. In total approx. 64 mln of fund units were listed on the exchange. The Fund is a public fund with no particular lifetime (evergreen). Units of the Fund are made available to the public in accordance with the Fund rules and applicable laws. Please refer to registered and approved by the FSA Fund Rules of Baltic Horizon Fund.",EUR,Financials,Diversified Financials,,TAL,XTAL,NASDAQ OMX Tallinn,Estonia,,Tallinn,10145.0,http://www.baltichorizon.com,Micro Cap,,,BBG00D34RC58,BBG00D34RBW0,BBG00D34RBX9,False
