symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
1BR1.TI,WFD UNIBAIL-RODAMCO,"WFD Unibail-Rodamco is a real estate investment trust that invests in shopping centers in Europe and the United States. The company focuses on owning and operating high-quality retail properties in prime locations. WFD Unibail-Rodamco is headquartered in Paris, France.",,Real Estate,Real Estate,,TLO,,EuroTLX,France,,,,,,,,BBG00LXXJRT3,BBG00LXXJRS4,BBG00L16DLC4,False
1COV.TI,Covestro AG,"Covestro AG develops, produces, and markets polymer materials for various industries worldwide. The company operates in three segments: Polyurethanes; Polycarbonates; and Coatings, Adhesives, Specialties (CAS). The Polyurethanes segment develops, produces, and markets chemical precursors, such as diphenylmethane diisocyanate, toluene diisocyanate, and polyether polyol, which are used primarily in the furniture, construction, and automotive industries. The Polycarbonates segment provides high-performance plastic polycarbonates in the form of granules, composite materials, and semi-finished products for use in the automotive, construction, electrical and electronic, medical technology, and lighting industries. The CAS segment offers precursors for coatings, adhesives, and sealants, as well as specialties. This segment also provides polymer materials and aqueous dispersions for use in automotive and transportation, infrastructure and construction, wood processing, and furniture applications. The company markets its products through trading houses and distributors. Covestro AG was founded in 1863 and is headquartered in Leverkusen, Germany.",,Materials,Materials,Chemicals,TLO,,EuroTLX,Germany,,Leverkusen,51373,http://www.covestro.com,Large Cap,DE0006062144,,BBG00HLJ7T15,BBG00HLJ7T06,BBG009YTYWT0,True
1SI.TI,Snap Inc.,"Snap Inc. operates as a camera company in the United States and internationally. The company offers Snapchat, a camera application with functionalities, such as Camera, Communication, Snap Map, Stories, and Spotlight that enable people to communicate through short videos and images. It also provides Spectacles, an eyewear product that connects with Snapchat and captures video from a human perspective; and advertising products, including AR and Snap ads. The company was formerly known as Snapchat, Inc. and changed its name to Snap Inc. in September 2016. Snap Inc. was founded in 2010 and is headquartered in Santa Monica, California.",,Communication Services,Telecommunication Services,Diversified Telecommunication Services,TLO,,EuroTLX,United States,CA,Santa Monica,90405,http://www.snap.com,Large Cap,US9113121068,911312106,,,BBG001SDGSH1,False
5G5.TI,"GoPro, Inc.","GoPro, Inc. develops and sells cameras, drones, and mountable and wearable accessories in the United States and internationally. The company offers cloud connected HERO7 Silver, HERO7 Black, HERO8 Black, and HERO9 Black waterproof cameras; MAX, a 360-degree waterproof camera; GoPro, a subscription service that offers cloud-based storage solutions and enables subscribers to access, edit, and share content, as well camera protection plans; Quik, a video editing application; and GoPro App, a mobile app that allows users to share and edit their photos and videos. It also offers mounts and accessories comprising equipment-based mounts consisting of helmet, handlebar, roll bar, and tripod mounts that enable consumers to wear the mount on their bodies, such as wrist housings, magnetic swivel clips, chest harnesses, and head straps; media, display, and light mods; spare batteries, dive filters, and charging accessories and cables; and lifestyle gears. In addition, the company provides mobile, desktop, and web applications that provides media workflow for archiving, editing, multi-clip story creation, and sharing content on the fly. GoPro, Inc. markets and sells its products through retailers and distributors, as well as through its website. The company was formerly known as Woodman Labs, Inc. and changed its name to GoPro, Inc. in February 2014. GoPro, Inc. was founded in 2002 and is headquartered in San Mateo, California.",,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",TLO,,EuroTLX,United States,CA,San Mateo,94402,http://www.gopro.com,Small Cap,,,,,,True
8GC.TI,Glencore plc,"Glencore plc produces, refines, processes, stores, transports, and markets metals and minerals, and energy products in the Americas, Europe, Asia, Africa, and Oceania. It operates through two segments, Marketing Activities and Industrial Activities. The company produces and markets copper, cobalt, nickel, zinc, lead, chrome ore, ferrochrome, vanadium, alumina, aluminum, tin, and iron ore. It also engages in the oil exploration/production, distribution, storage, and bunkering activities; and offers coal, crude oil and oil products, refined products, and natural gas. The company markets and distributes physical commodities sourced from third party producers and its production to industrial consumers in the battery, electronic, construction, automotive, steel, energy, and oil industries. It also provides financing, logistics, and other services to producers and consumers of commodities. The company was formerly known as Glencore Xstrata plc and changed its name to Glencore plc in May 2014. Glencore plc was founded in 1974 and is headquartered in Baar, Switzerland.",,Materials,Materials,Metals & Mining,TLO,,EuroTLX,Switzerland,,Baar,6341,http://www.glencore.com,Large Cap,US37827X1000,37827X100,,,BBG001VKX378,False
A0T.TI,American Tower Corporation,"American Tower, one of the largest global REITs, is a leading independent owner, operator and developer of multitenant communications real estate with a portfolio of approximately 181,000 communications sites.",,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),TLO,,EuroTLX,United States,MA,Boston,2116,http://www.americantower.com,Large Cap,US03027X1000,03027X100,BBG00P1DMR55,BBG00P1DMR46,BBG001S5NPQ6,False
A1G.TI,American Airlines Group Inc.,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2020, it operated a mainline fleet of 855 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",,Industrials,Transportation,Airlines,TLO,,EuroTLX,United States,TX,Fort Worth,76155,http://www.aa.com,Large Cap,,02376R102,,,,False
A58.TI,"Anthem, Inc.","Anthem, Inc., through its subsidiaries, operates as a health benefits company in the United States. It operates through four segments: Commercial & Specialty Business, Government Business, IngenioRx, and Other. The company offers a spectrum of network-based managed care health benefit plans to large and small groups, individuals, Medicaid, and Medicare markets. Its managed care plans include preferred provider organizations; health maintenance organizations; point-of-service plans; traditional indemnity plans and other hybrid plans, including consumer-driven health plans; and hospital only and limited benefit products. The company also provides a range of managed care services to self-funded customers, including claims processing, underwriting, stop loss insurance, actuarial services, provider network access, medical cost management, disease management, wellness programs, and other administrative services. In addition, it offers an array of specialty and other insurance products and services, such as pharmacy benefits management, dental, vision, life and disability insurance benefits, radiology benefit management, and analytics-driven personal health care. Further, the company provides services to the federal government in connection with the Federal Employee Program; and operates as a licensee of the Blue Cross and Blue Shield Association. As of December 31, 2020, it served 43 million medical members through its affiliated health plans. The company was formerly known as WellPoint, Inc. and changed its name to Anthem, Inc. in December 2014. Anthem, Inc. was founded in 1944 and is headquartered in Indianapolis, Indiana.",,Health Care,Health Care Equipment & Services,Health Care Providers & Services,TLO,,EuroTLX,United States,IN,Indianapolis,46204,http://www.antheminc.com,Large Cap,,,,,,False
AAD.TI,Amadeus FiRe AG,"Amadeus FiRe AG provides specialized personnel services in Germany. The company operates in two segments, Personnel Services and Training. It offers personnel services for professionals and executives in the fields of accounting, office, banking, and IT. The company also provides training in preparation for state examinations for tax advisors and specialists, accountants, and financial controllers; professional training in the fields of tax, accounting, and financial control; and education and training in IAS/IFRS and US-GAAP. In addition, it runs recognized private-sector certificate courses primarily designed to prepare participants for professional practice in the field of finance and accounting. Further, the company provides specialist temporary staffing, permanent placement, and interim and project management services. Amadeus FiRe AG was founded in 1986 and is headquartered in Frankfurt am Main, Germany.",,Industrials,Commercial & Professional Services,,TLO,,EuroTLX,Germany,,Frankfurt am Main,60314,http://www.amadeus-fire.de,,,,,,,False
AAG.TI,Aumann AG,"Aumann AG manufactures and sells specialized machines and production lines for components of electric and classic drive chain systems in the United States, Canada, Mexico, Europe, China, and internationally. It operates through E-Mobility and Classic segments. The E-Mobility segment develops, produces, and sells specialized machines and automated production lines for the electrification of vehicles; solutions to produce electric motors and mechatronic modules for traction and auxiliary drives, and sensors; and special-purpose machinery and production lines for the production of electric and hybrid vehicles, including energy storage systems. It also provides solutions for product-related services, such as maintenance, repair, spare parts, and engineering services. The Classic segment develops, produces, and sells special-purpose machinery and automated production lines for the automotive, consumer goods, agricultural, general, aerospace, rail, consumer electronics, and clean technology industries. Its solutions include machinery for the production of classic drive components in combustion engines, including assembled camshafts, camshaft modules, assembled cylinder activation and deactivation modules, and components for valve control systems; and lightweight structural components that enable its automotive customers to reduce the CO2emissions of their fleets. This segment also offers winding machinery, welding systems, assembly solutions, inline measuring machines, and general automation solutions; and supplementary services comprising maintenance, repairs, spare parts, surveying, and prototype development, as well as first fabrication and small-batch production. The company was founded in 1936 and is headquartered in Beelen, Germany.",,Industrials,Capital Goods,Machinery,TLO,,EuroTLX,Germany,,Beelen,48361,http://www.aumann.com,Micro Cap,DE000A2DAM03,,BBG00L31KPH1,BBG00L31KPG2,BBG00G3S12S3,False
