symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
ABIL.TA,Ability Inc.,"Ability Inc., through its subsidiaries, provides interception, geolocation, and cyber intelligence products and solutions for security and intelligence agencies, military forces, law enforcement agencies, and homeland security agencies worldwide. It specializes in off-air interception of voice, SMS, and data communication from cellular and satellite communication networks; and deciphering solutions for cellular and satellite communications. The company offers strategic and tactical cellular interception systems for intercepting mobile phone traffic and tracking mobile phone users; and iridium, advanced thuraya, and satellite link interception systems. In addition, it provides international mobile subscriber identity catchers, advanced CDMA interception systems, in-between interception systems, and ultimate interceptions; geolocation systems to geographically target mobile phones; and cyber solutions that enable the user to extract and view information from mobile phones. The company was founded in 1994 and is headquartered in Tel Aviv, Israel.",ILA,Information Technology,Technology Hardware & Equipment,Communications Equipment,TLV,XTAE,Tel Aviv Stock Exchange,Israel,MD,Tel Aviv,6770007,http://www.interceptors.com,Nano Cap,,,,,,False
ABRA.TA,Abra Information Technologies Ltd.,"Abra Information Technologies Ltd. provides monetization solutions to publishers and app developers for monetizing and promoting their applications or content worldwide. It also offers Babylon Translation software that provides translations in 77 languages, dictionary definitions, and Wikipedia results in 25 languages. The company was formerly known as Babylon Ltd. Abra Information Technologies Ltd. was founded in 1997 and is based in Tel Aviv, Israel.",ILA,Information Technology,Software & Services,Software,TLV,XTAE,Tel Aviv Stock Exchange,Israel,,,,http://www.babylon.com,,CA00379L1067,00379L106,,,BBG001S60949,False
ACCL.TA,Accel Solutions Group Ltd,"Accel Solutions Group Ltd engages in real estate development business in Ethiopia, Israel, and New York, the United States. The company also promotes and enhances technological projects in the areas of life sciences and cleantech; and engages in sorting and marketing of edible chicken eggs. It provides its products through retail chains and distributors. The company was founded in 1971 and is headquartered in Ramat Gan, Israel. Accel Solutions Group Ltd is a subsidiary of Ultra Equity Investments Ltd.",ILA,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",TLV,XTAE,Tel Aviv Stock Exchange,Israel,,Ramat Gan,52520,http://www.accel.co.il,,,,BBG000FKMGQ0,BBG000FKMG35,BBG001S8L5N9,False
ACE.TA,Ace Capital Retail (2016) Ltd,"Ace Capital Retail (2016) Ltd engages in the retail business in Israel. The company's stores offer home improvement, and yard and vehicle maintenance products under the ACE, AUTODEPOT, and Spetz brands. It operates 34 physical stores throughout Haaretz and 3 online commerce sites. The company was founded in 2016 and is based in Rishon Lezion, Israel.",ILA,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,TLV,XTAE,Tel Aviv Stock Exchange,Israel,,Rishon Lezion,7565828,,,,00444E103,,,,False
ADGR-B11.TA,,,ILA,,,,TLV,XTAE,Tel Aviv Stock Exchange,,,,,,,,,,,,False
ADGR.TA,Adgar Investments and Development Ltd,"Adgar Investments and Development Ltd engages in the real estate activities in Israel, Canada, Poland, and Belgium. The company primarily invests in office properties. It also develops income-producing office assets through land purchases and utilization of land reserves associated to various property holdings. The company is based in Petah Tikva, Israel.",ILA,Real Estate,Real Estate,Real Estate Management & Development,TLV,XTAE,Tel Aviv Stock Exchange,Israel,,Petah Tikva,49511,http://www.adgar.com,,,,,,,False
ADKA.TA,Adika Style Ltd.,"Adika Style Ltd. operates an online fashion store under the Adika brand in Israel. The company sells clothing, including T-shirts and bodysuits, dresses and skirts, pants and overalls, knitwear and sweatshirts, jackets and coats, shirts, denim, sweaters, leotards, swimwear and beachwear, and pajamas and lingerie; storage products, decorations, pillows and textiles, and shelves and racks, as well as products for use in bathrooms, kitchens, and bedrooms; and accessories, including notebooks and writing tools, necklaces and chokers, bracelets and rings, earrings, hats and hair accessories, socks and tights, belts, sunglasses, iPhone covers, and other fun stuff. It also sells backpacks, pouch bags, carrying cases, and clutches and purses; and shoes, such as sneakers, heels, sandals and flip flops, and boots. The company was founded in 2012 and is based in Tel Aviv, Israel. Adika Style Ltd. is a subsidiary of Golf & Co Ltd.",ILA,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,TLV,XTAE,Tel Aviv Stock Exchange,Israel,,Tel Aviv,6789805,http://www.adikastyle.com,,,,,,,False
AFHL-B4.TA,,,ILA,,,,TLV,XTAE,Tel Aviv Stock Exchange,,,,,,,,,,,,False
AFHL.TA,Afcon Holdings Ltd,"Afcon Holdings Ltd engages in the construction and infrastructure, control and automation, trade, and communication solutions businesses in Israel and internationally. It provides solutions and technologies in the areas of multi-system infrastructure projects, including construction contracting and finishing works; installation of electromechanical systems and electrical systems for industry; manufacture and installation of HV/MV/LV switchgear products for buildings, industry, and infrastructure; natural gas engineering; and the construction and setup of wind farms, photovoltaic fields, and infrastructure facilities. The company also offers control and automation solutions, such as industrial control, building monitoring and management, security solutions, fire protection and safety, parking systems, and remote water metering solutions. In addition, it engages in the design, development, manufacture, marketing, installation, distribution, servicing, and maintenance of unified communications and collaboration systems, including digital IP-based switchboards, communication servers for enterprises, contact/call centers, interfaces for exchanges and smartphones, and business data networks. Further, the company distributes electrical and control equipment and systems. Additionally, it develops and sells cyber solutions; security sensors; refrigeration facilities; Aeonix, a communications system for organizations; systems for parking and other parking systems; Harmony Gate, an entry/exit management solution for vehicles; and electricity switchgear panels. The company serves energy, ports and airports, transportation systems, fuel, gas and water, telecommunications, industry, and defense sectors; and public institutions and organizations, and municipal and government bodies. The company was formerly known as Afcon Industries Group. The company was founded in 1945 and is based in Petah Tikva, Israel. Afcon Holdings Ltd operates as a subsidiary of Shlomo Group.",ILA,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",TLV,XTAE,Tel Aviv Stock Exchange,Israel,,Petah Tikva,4969104,http://www.afcon.co.il,,,,BBG000G28MR1,BBG000G28MC7,BBG001S8Q7W0,False
AFPR-B11.TA,,,ILA,,,,TLV,XTAE,Tel Aviv Stock Exchange,,,,,,,,,,,,False
