symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
AAB.TO,Aberdeen International Inc.,"Aberdeen International Inc., together with its subsidiaries, operates as a resource investment company and a merchant bank focusing on small capitalization companies in the metals and mining sector. It intends to acquire equity participation in pre-IPO and early stage public resource companies with undeveloped or undervalued resources. The company was formerly known as International Catalyst Ventures Inc. and changed its name to Aberdeen International Inc. in November 2001. Aberdeen International Inc. was incorporated in 1987 and is headquartered in Toronto, Canada.",CAD,Financials,Diversified Financials,Capital Markets,TOR,XTSE,TSX Toronto Exchange,Canada,ON,Toronto,M5H 2M5,http://www.aberdeeninternational.ca,Nano Cap,,,BBG000D2T2D0,BBG000D2T0N3,BBG001S6XZ90,False
AAV.TO,Advantage Energy Ltd.,"Advantage Oil & Gas Ltd., together with its subsidiaries, acquires, exploits, develops, and produces crude oil, and natural gas and liquids in the Province of Alberta, Canada. The company focuses on the development and production of its Montney natural gas and liquids resource that includes 216 net sections of land in Glacier, Pipestone/Wembley, Progress, and Valhalla, Alberta. It provides natural gas and natural gas liquids primarily through marketing companies. The company was founded in 2001 and is headquartered in Calgary, Canada.",CAD,Energy,Energy,"Oil, Gas & Consumable Fuels",TOR,XTSE,TSX Toronto Exchange,Canada,AB,Calgary,T2P 5E9,http://www.advantageog.com,Small Cap,,00791P107,BBG000C3V3J8,BBG000C3V2J0,BBG001SDWVG7,False
ABCT.TO,ABC Technologies Holdings Inc.,"ABC Technologies Holdings Inc., an automotive parts supplier, manufactures and supplies plastics and light weighting products for the automotive industry. It provides interior systems, including floor consoles, cargo management systems, interior trims, seat backs, load floor/deck boards, knee/sides, and door panels; exterior systems comprising spoilers, running boards, bumper systems, body side moldings, rocker panels, claddings, cargo management systems, bed extenders, and roof ditch moldings; and HVAC distribution systems, such as defrosters, I/P and floor products, auxiliary products, battery cooling products, brake cooling ducts, air guides, aspirators, and module components. The company also offers air induction systems consisting of integrated air induction systems, turbo ducts, air intake ducts, resonators, air cleaner housings, clean/dirty air ducts, and air box filters; fluid management systems, such as windshield washer reservoir assemblies, coolant overflow reservoir assemblies, surge tank assemblies, power steering reservoirs, and battery trays; and flexible products, including CVJ boots, rack pinion boots, air demister hoses, prop shaft boots, suspension dust covers, and steering column covers. It serves original equipment manufacturer customers in the United States, Canada, Mexico, and internationally. The company was formerly known as ABC Group Holdings Parent Inc. and changed its name to ABC Technologies Holdings Inc. in January 2021. ABC Technologies Holdings Inc. was founded in 1950 and is headquartered in Toronto, Canada.",CAD,Consumer Discretionary,Automobiles & Components,Auto Components,TOR,XTSE,TSX Toronto Exchange,Canada,ON,Toronto,M9L 2X6,http://www.abctechnologies.com,Small Cap,,,,,,True
ABST.TO,Absolute Software Corporation,"Absolute Software Corporation develops, markets, and provides cloud-based endpoint visibility and control platform for the management and security of computing devices, applications, and data for enterprise and public sector organizations. The company offers the Absolute platform to provide the connectivity, visibility, and control of data and devices of the operating system; to recover automatically to a secure operational state without user intervention; to support various other security controls and productivity tools from decay and vulnerabilities; and to enable measurement of the health, compliance, and state of decay of endpoint security controls and productivity tools, as well as for reporting and analytics, geotechnology, and endpoint investigation and recovery applications. It also provides professional, technical support, and investigation services. The company markets its solutions through device original equipment manufacturers, distributors, and value added resellers, as well as directly to corporations, government entities, educational institutions, financial services, healthcare sectors, and consumers. It operates in North America, Europe, and Africa, as well as the Asia-Pacific and Latin American regions. Absolute Software Corporation was founded in 1993 and is headquartered in Vancouver, Canada.",CAD,Information Technology,Software & Services,Software,TOR,XTSE,TSX Toronto Exchange,Canada,BC,Vancouver,V7X 1K8,http://www.absolute.com,Small Cap,CA00386B1094,00386B109,BBG000CHSP75,BBG000CHSN07,BBG001SD56D5,True
ABX.TO,Barrick Gold Corporation,"Barrick Gold Corporation engages in the exploration, mine development, production, and sale of gold and copper properties. It has ownership interests in producing gold mines that are located in Argentina, Canada, CÃ´te d'Ivoire, the Democratic Republic of Congo, Dominican Republic, Mali, Tanzania, and the United States. The company also has ownership interests in producing copper mines located in Chile, Saudi Arabia, and Zambia; and various other projects located throughout the Americas and Africa. Barrick Gold Corporation was founded in 1983 and is headquartered in Toronto, Canada.",CAD,Materials,Materials,Metals & Mining,TOR,XTSE,TSX Toronto Exchange,Canada,ON,Toronto,M5J 2S1,http://www.barrick.com,Large Cap,CA0679011084,067901108,BBG000CZ63C2,BBG000CZ62D3,BBG001S5N9P3,False
AC.TO,Air Canada,"Air Canada provides domestic, U.S. transborder, and international airline services. It offers scheduled passenger services under the Air Canada Vacations and Air Canada Rouge brand name in the Canadian market, the Canada-U.S. transborder market, and in the international market to and from Canada, as well as through capacity purchase agreements on other regional carriers. As of December 31, 2020, the company operated a fleet of 169 aircraft under the Air Canada mainline brand name comprising 91 Boeing and Airbus narrow-body aircraft, and 78 Boeing and Airbus wide-body aircraft; 136 aircraft under the Air Canada Express brand name, including 49 Bombardier regional jets, 62 De Havilland Dash-8 turboprop aircraft, and 25 Embraer 175 aircraft; and 39 aircraft under the Air Canada Rouge brand name consisting of 14 Airbus A321 aircraft, 5 Airbus A320 aircraft, and 20 Airbus A319 aircraft. It also provides air cargo services in domestic and U.S. transborder routes, as well as on international routes between Canada and markets in Europe, Asia, South America, and Australia. In addition, the company operates, develops, markets, and distributes vacation travel packages in the Caribbean, Mexico, the United States, Europe, Central and South America, South Pacific, Australia, and Asia; offers cruise packages in North America, Europe, and the Caribbean; and provides travel loyalty programs. Air Canada was founded in 1937 and is headquartered in Saint-Laurent, Canada.",CAD,Industrials,Transportation,Airlines,TOR,XTSE,TSX Toronto Exchange,Canada,QC,Saint-Laurent,H4Y 1H4,http://www.aircanada.com,Mid Cap,CA0089118776,008911877,BBG000PV7FL9,BBG000PV7F57,BBG001SRFYR7,False
ACB.TO,Aurora Cannabis Inc.,"Aurora Cannabis Inc. produces and distributes medical cannabis products worldwide. It is vertically integrated and horizontally diversified across various segments of the cannabis value chain, including facility engineering and design, cannabis breeding, genetics research, production, derivatives, high value-add product development, home cultivation, wholesale, and retail distribution. The company produces various strains of dried cannabis, cannabis oil and capsules, and topical kits for medical patients. It also sells vaporizers; consumable vaporizer accessories, including valves, screens, etc.; and herb mills for using CanniMed herbal cannabis products, as well as grinders and vaporizer lockable containers. In addition, the company engages in the development of medical cannabis products at various stages of development, including oral, topical, edible, and inhalable products; and operation of CanvasRX, a network of cannabis counseling and outreach centers. Further, it provides patient counselling services; design and construction services; and cannabis analytical product testing services. The company's brand portfolio includes Aurora, Aurora Drift, San Rafael '71, Daily Special, AltaVie, MedReleaf, CanniMed, Whistler, Woodstock, and ROAR Sports. Aurora Cannabis Inc. is headquartered in Edmonton, Canada.",CAD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,TOR,XTSE,TSX Toronto Exchange,Canada,AB,Edmonton,T9E 0V6,http://auroramj.com,Small Cap,CA05156X8843,05156X884,BBG000RSS1W0,BBG000RSS169,BBG001SV77D1,False
ACD.TO,Accord Financial Corp.,"Accord Financial Corp., through its subsidiaries, provides asset-based financial services to industrial and commercial enterprises primarily in Canada and the United States. The company is involved in the asset-based lending, which entails financing or purchasing receivables on a recourse basis, as well as financing other tangible assets, such as inventory and equipment; and provision of lease and equipment, working capital, and film and media production financing, as well as credit guarantees and collection services. It also offers factoring and credit investigation services; and supply chain financing for importers. The company serves customers operating in manufacturing, retail, services, wholesale, import and export, lending, apparel and textile, food and beverage, and construction sectors. Accord Financial Corp. was founded in 1978 and is headquartered in Toronto, Canada.",CAD,Financials,Diversified Financials,Consumer Finance,TOR,XTSE,TSX Toronto Exchange,Canada,ON,Toronto,M4P 3A2,http://www.accordfinancial.com,Micro Cap,,,BBG000CF2C94,BBG000CF29Z2,BBG001S6TRL9,False
ACO-X.TO,ATCO Ltd.,"ATCO Ltd., together with its subsidiaries, provides housing, logistics and transportation, agriculture, water, real estate, and energy and energy infrastructure solutions in Canada, Australia, and internationally. The company offers workforce and residential housing; modular facilities; construction and site support; workforce lodging; facility operations and maintenance; defense operations; and disaster and emergency management services. It also provides commercial real estate services, including sale of commercial and industrial properties; and bulk cargo and port operation services, as well as operates container port facilities. The company's portfolio includes 15 commercial real estate properties, including 417,000 square feet of office property, 90,000 square feet of industrial property, and 315 acres of land. In addition, it engages in electricity generation, distribution, transmission, and related infrastructure services; natural gas distribution; owns and operates natural gas transmission pipelines in Alberta, Saskatchewan, and northern regions of Canada, as well as in Western Australia; and builds, owns, and operates non-regulated industrial water, natural gas storage, natural gas liquids storage, and natural gas related infrastructure to serve the midstream and petrochemical sectors. Further, it sells electricity and natural gas to residential and commercial customers; and provides natural gas appliance demonstrations and small cooking schools for homemakers. ATCO Ltd. was founded in 1947 and is headquartered in Calgary, Canada.",CAD,Utilities,Utilities,Multi-Utilities,TOR,XTSE,TSX Toronto Exchange,Canada,AB,Calgary,T3E 8B4,http://www.atco.com,Mid Cap,CA0467894006,046789400,BBG000BXF6V0,BBG000BXF5W1,BBG001S5XPT2,False
ACQ.TO,AutoCanada Inc.,"AutoCanada Inc., through its subsidiaries, operates franchised automobile dealerships in British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, Nova Scotia, and New Brunswick, Canada; and Illinois, the United States. The company offers a range of automotive products and services, including new and used vehicles, vehicle leasing, vehicle parts, vehicle maintenance and collision repair services, extended service contracts, and vehicle protection and other after-market products. It also arranges financing and insurance for vehicle purchases by its customers through third-party finance and insurance sources. The company sells its vehicles under the Chrysler, Dodge, Jeep, Ram, FIAT, Alfa Romeo, Chevrolet, GMC, Buick, Cadillac, Ford, Infiniti, Nissan, Hyundai, Subaru, Audi, Volkswagen, Kia, Mazda, Mercedes-Benz, BMW, MINI, Volvo, Toyota, Lincoln, Porsche, and Honda brands. As of April 5, 2021, it operated 66 franchised dealerships in Canada, as well as in Illinois, the United States. The company also offers used vehicles online. AutoCanada Inc. was incorporated in 2009 and is headquartered in Edmonton, Canada.",CAD,Consumer Discretionary,Automobiles & Components,Automobiles,TOR,XTSE,TSX Toronto Exchange,Canada,AB,Edmonton,T5V 0C3,http://www.autocan.ca,Small Cap,,,BBG000PCNHZ4,BBG000PCNGL1,BBG001SR0LL7,False
