symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
1258.TWO,Kee Song Bio-Technology Holdings Limited,"Kee Song Bio-Technology Holdings Limited engages in the poultry and processing distribution, and farming business in Singapore, Malaysia, and Taiwan. The company also involves in importing, slaughtering, wholesaling, and retailing various types of poultry and consumable goods; layer and poultry farming; investment holding; property investment; processing and marketing of seafood and poultry related products; provision of supporting services for transportation; food catering; and manufacturing of poultry feed products. In addition, it offers whole chicken and cutting products. The company was founded in 1987 and is based in Taipei, Taiwan.",TWD,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,TWO,ROCO,Taipei Stock Exchange,Taiwan,,Taipei,104,http://www.keesongbiotech.com,Nano Cap,,,,,,False
1264.TWO,Tehmag Foods Corporation,"Tehmag Foods Corporation operates in the baking industry in Taiwan. The company offers bread products, including margarine flour sheets, flours, flour milling products, instant yeasts, bread improvers, luctor/custido/carlex sprays, bread mixes, flavor powders and series, bread fillings, bread decorations, and sugars; dairy products, such as flÃ©chard sas, other creams, cheese, and dairy whipping creams; and pastry products comprising ingredients for cakes and mousses, waffle mixes, cocoa powders, jelly powders, nappage series/coatings, and ingredients for decor and gold powder. It also provides fruit products consisting of frozen purees, ambiet fruit purees, IQF fruits, frozen coulis, fruit filling series, decorative fruits, fruits preserves, and flavor series. In addition, the company offers liqueur and coffee beans, syrups, juices, and tea; chocolate products; cupcakes; tart shells, cones, savory lines, macarons, and croissants, as well as frozen food; packaging products; and molds, openers, and blades, as well as festival and western bakery products. Tehmag Foods Corporation was founded in 1989 and is headquartered in New Taipei City, Taiwan.",TWD,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,TWO,ROCO,Taipei Stock Exchange,Taiwan,,New Taipei City,24888,http://www.tehmag.com.tw,Small Cap,,,BBG0060DVYC5,BBG0060DVY99,BBG0060DVY80,False
1269.TWO,"Kanpai Co., Ltd","Kanpai Co., Ltd operates restaurants under the Kanpai brand in China. Its restaurants offer yakiniku and beer. The company was founded in 1999 and is based in Taipei City, Taiwan. Kanpai Co., Ltd is a subsidiary of Tokyo Gas Co., Ltd.",TWD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",TWO,ROCO,Taipei Stock Exchange,Taiwan,,Taipei City,100,http://www.kanpai.com.tw,Micro Cap,,,BBG00DNYN1L0,BBG00DNYN1H5,BBG00DNYN1J3,False
1271.TWO,"SunWay Biotech Co., LTD.","SunWay Biotech Co., LTD. focuses on professional research and development, and technical material manufacturing and processing business. The company researches, designs, and manufactures Monascus purpureus NTU 568; Lactobacillus paracasei subsp. paracasei NTU 101; and related products. It offers dietary supplements, fermented milk and soy-milk, and formula additives in form of capsules, powder sachets, liquid, and tablets. SunWay Biotech Co., LTD. was founded in 2007 and is based in Taipei, Taiwan.",TWD,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,TWO,ROCO,Taipei Stock Exchange,Taiwan,,Taipei,11494,http://sunway.cc,Micro Cap,,,BBG00YT8M797,BBG00MRDVF14,BBG00MRDVF23,False
1336.TWO,"Taihan Precision Technology Co., Ltd.","Taihan Precision Technology Co., Ltd. designs, manufactures, and sells precision molds primarily for system integrators in worldwide. It offers plastic injection products; surface treatment products, such as painting, NCVM, and IMD products; and assembly/installation and welding products and services. The company's products comprise MFP related components; keyboard frames, keyboards, and handset key tops; mobility products, including handset housings, net book housings, DSC housings, and plastic components of digital photo frames; plastic components of photo printers; and projector housing and other plastic components. It is also involved in the mold and die development and fabrication of automotive plastic components. The company was formerly known as TaiHan Steel Mold Corp. and changed its name to Taihan Precision Technology Co., Ltd. in June 2000. Taihan Precision Technology Co., Ltd. was founded in 1987 and is based in New Taipei City, Taiwan.",TWD,Consumer Discretionary,Automobiles & Components,Auto Components,TWO,ROCO,Taipei Stock Exchange,Taiwan,,New Taipei City,248,http://www.thpt.com.tw,Micro Cap,CNE100001922,,,,BBG0028VY3L1,False
1563.TWO,"SuperAlloy Industrial Co., Ltd.","SuperAlloy Industrial Co., Ltd. engages in engineering and manufacturing lightweight metal products primarily for the automotive industry. It provides forged aluminum wheels for luxury and sports automobiles; and engineering lightweight suspension components. The company has operations in Taiwan, the United States, the United Kingdom, Germany, other parts of Europe, Australia, Japan, and internationally. SuperAlloy Industrial Co., Ltd. was founded in 1994 and is headquartered in Douliu City, Taiwan.",TWD,Consumer Discretionary,Automobiles & Components,Auto Components,TWO,ROCO,Taipei Stock Exchange,Taiwan,,Douliu City,64064,http://www.superalloyengineering.com,Small Cap,,,,,,False
1565.TWO,"St.Shine Optical Co.,Ltd.","St.Shine Optical Co.,Ltd. designs, manufactures, markets, and supplies contact lens in Taiwan and internationally. It offers daily spherical, frequent replacement spherical, aberration control, toric frequent replacement, color, and silicone hydrogel soft contact lens, as well as lathe-cut, cast-molding, and RGP lenses. The company offers its products for myopic and hyperopic patients for the correction of astigmatism. The company was formerly known as First Optical Co., Ltd. and changed its name to St.Shine Optical Co.,Ltd. in 1986. St.Shine Optical Co.,Ltd. was founded in 1981 and is headquartered in New Taipei City, Taiwan.",TWD,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,TWO,ROCO,Taipei Stock Exchange,Taiwan,,New Taipei City,22146,http://www.stshine.com.tw,Small Cap,,,BBG000PWC9V4,BBG000PWC908,BBG001S8WZZ8,False
1570.TWO,De Poan Pneumatic Corp.,"De Poan Pneumatic Corp. manufactures and sells professional pneumatic tools worldwide. The company offers nailer products, including industrial and framing coil, cordless, framing, roofing, finishing, palm, and brad nailers; and staplers, cap tools, and pinners. It also provides air tools such as composite and aluminum wrench and air saw. The company was founded in 1983 and is based in New Taipei City, Taiwan.",TWD,Industrials,Capital Goods,Building Products,TWO,ROCO,Taipei Stock Exchange,Taiwan,,New Taipei City,24947,http://www.depoan.com,Nano Cap,,,BBG000PTXPL3,BBG000PTXP06,BBG001SLSNX3,False
1580.TWO,Sinmag Equipment Corporation,"Sinmag Equipment Corporation engages in the manufacture, retail, and wholesale of baking and food service equipment. The company offers bakery equipment, including spiral mixers, divider rounders, moulders, make up lines, sheeters, proofers, cake machines, planetary mixers, deck ovens, proofers, convection ovens, rack and tunnel ovens, slicers, refrigerators, workbenches, food service equipment, and others. It also provides kitchen equipment comprising pizza equipment, combi oven/convection oven/steamer, rotisseries, fryers, Chinese/western kitchen equipment, meat processing and refrigeration equipment, dishwashers, stainless steel sinks and tubes, and showcases. The company sells its products in Taiwan, China, the United States, and internationally. Sinmag Equipment Corporation was founded in 1983 and is headquartered in New Taipei City, Taiwan.",TWD,Industrials,Capital Goods,Machinery,TWO,ROCO,Taipei Stock Exchange,Taiwan,,New Taipei City,,http://www.sinmag.com.tw,Micro Cap,,,BBG000BXCDL9,BBG000BXCCW9,BBG001SJJPS9,False
1585.TWO,"TopGreen Technology Co., Ltd.","TopGreen Technology Co., Ltd. manufactures and sells various cutting tools in Taiwan and internationally. Its products comprise composite rods, mechanical cutting tools, micro cutting tools, tapping tools, PCB tools, medical tools, diamond tools, aircraft cutting tools, special molding tools, blanks, custom tools, precision punch tools, etc. The company was founded in 2000 and is headquartered in New Taipei City, Taiwan.",TWD,Industrials,Capital Goods,Building Products,TWO,ROCO,Taipei Stock Exchange,Taiwan,,New Taipei City,237,http://www.topgreentech.com,Nano Cap,,,,,,False
