symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
1COV.VI,Covestro AG,"Covestro AG develops, produces, and markets polymer materials for various industries worldwide. The company operates in three segments: Polyurethanes; Polycarbonates; and Coatings, Adhesives, Specialties (CAS). The Polyurethanes segment develops, produces, and markets chemical precursors, such as diphenylmethane diisocyanate, toluene diisocyanate, and polyether polyol, which are used primarily in the furniture, construction, and automotive industries. The Polycarbonates segment provides high-performance plastic polycarbonates in the form of granules, composite materials, and semi-finished products for use in the automotive, construction, electrical and electronic, medical technology, and lighting industries. The CAS segment offers precursors for coatings, adhesives, and sealants, as well as specialties. This segment also provides polymer materials and aqueous dispersions for use in automotive and transportation, infrastructure and construction, wood processing, and furniture applications. The company markets its products through trading houses and distributors. Covestro AG was founded in 1863 and is headquartered in Leverkusen, Germany.",EUR,Materials,Materials,Chemicals,VIE,XWBO,Vienna Stock Exchange,Germany,,Leverkusen,51373,http://www.covestro.com,Large Cap,DE0006062144,,BBG00HMXTN12,BBG00HMXTN03,BBG009YTYWT0,False
1ZO.VI,"ZhongAn Online P & C Insurance Co., Ltd.","ZhongAn Online P & C Insurance Co., Ltd., an internet-based insuretech company, provides internet insurance and insurance information technology services in the People's Republic of China. The company operates through Insurance, Technology, Banking, and Others segments. It offers property and casualty insurance products covering accident, bond and credit, health, liability, cargo, household property, motor, and other insurance, as well as shipping return insurance. The company also provides technology development and consulting, asset management, IT consulting, medical examination, internet hospital, bio technology, Fintech, digital asset, fund sales, medical, life insurance, banking, and insurance broking services. ZhongAn Online P & C Insurance Co., Ltd. was incorporated in 2013 and is headquartered in Shanghai, China.",EUR,Financials,Insurance,Insurance,VIE,XWBO,Vienna Stock Exchange,China,,Shanghai,,http://www.zhongan.com,Mid Cap,,,BBG010BGM3D5,BBG010BGM3C6,BBG0058ZKDT0,False
2B5.VI,BAIC Motor Corporation Limited,"BAIC Motor Corporation Limited, together with its subsidiaries, manufactures and sells passenger vehicles in the People's Republic of China. The company provides luxury passenger cars, luxury commercial vehicles, middle-end and high-end passenger cars, and self-owned passenger cars, as well as electric passenger cars. It also provides auto engines, and powertrain and other parts and components. The company sells its products under the Beijing Brand, Beijing Benz, Beijing Hyundai, and Fujian Benz names. It is also involved in the car financing and automobile after-sales businesses, as well as investment management business. The company was founded in 1958 and is headquartered in Beijing, the People's Republic of China.",EUR,Consumer Discretionary,Automobiles & Components,Automobiles,VIE,XWBO,Vienna Stock Exchange,China,,Beijing,101300,http://www.baicmotor.com,Mid Cap,CNE100001TJ4,,BBG00P1DDM38,BBG00P1DDM29,BBG007PQF8J5,False
2SU.VI,Sohu.com Limited,"Sohu.com Limited provides online media, game, and search products and services on PCs and mobile devices in China. The company provides online news and information through the mobile phone application Sohu News APP, mobile portal m.sohu.com, and www.sohu.com for PCs; and online video contents and services through mobile phone application Sohu Video APP and tv.sohu.com, and ifox, a PC video application. The company is also involved in the development, operation, and licensing of online games for PCs and mobile devices, which include massive multiplayer online role-playing games; and casual games, strategy games, and collectible card games. In addition, it operates focus.cn, which provides online real estate information and services; and 17173.com website, which provides news, electronic forums, online videos, and other online game information services to game players, as well as offers mobile game distribution services. Further, the company provides paid subscription services, interactive broadcasting services, and sub-licensing of purchased video content to third parties. Sohu.com Limited was founded in 1996 and is headquartered in Beijing, China.",EUR,Communication Services,Telecommunication Services,Diversified Telecommunication Services,VIE,XWBO,Vienna Stock Exchange,China,,Beijing,100190,http://www.sohu.com,Small Cap,US83410S1087,83410S108,BBG00P1HWS71,BBG00P1HWS62,BBG00L2DB5V4,False
8TRA.VI,Traton SE,"Traton SE manufactures commercial vehicles worldwide. It operates through Industrial Business and Financial Services segments. The company offers light and heavy-duty commercial vehicles, such as trucks and bus chassis; vans; construction vehicles; city buses; and intercity and travel coaches, as well as spare parts and services. It also provides a cloud-based platform for freight transportation under the RIO brand name. The company offers its products and services under the MAN, Scania, and Volkswagen CaminhÃµes e Ãnibus brands. In addition, it provides a range of financial solutions, including dealer and customer finance, leasing, and insurance products. The company was founded in 2015 and is based in Munich, Germany. Traton SE operates as a subsidiary of Volkswagen Finance Luxemburg S.A.",,Industrials,Capital Goods,Machinery,VIE,XWBO,Vienna Stock Exchange,Germany,,Munich,80995,http://www.traton.com,Large Cap,DE000TRAT0N7,,,,BBG001T8WHP8,False
A2A.VI,A2A S.p.A.,"A2A S.p.A. engages in the production, sale, and distribution of gas and electricity, and district heating in Italy. The company generates electricity through hydroelectric, thermoelectric, and photovoltaic plants with an installed power of approximately 7.2 GW; and purchases and sells electricity, gas and non-gas fuels, as well as manages environmental certificates. It also engages in the production and sale of heat produced through district heating networks. In addition, the company is involved in waste management activities, including collection and street sweeping, treatment, and disposal, and recovery of energy; and the construction and management of integrated waste disposal plants and systems. Further, it offers integrated water cycle management services; and technical consultancy services relating to energy efficiency certificates. Additionally, the company is involved in the management of public lighting systems and street lights, management of water purification and sewer, and video surveillance activities. A2A S.p.A. is headquartered in Brescia, Italy.",EUR,Utilities,Utilities,Multi-Utilities,VIE,XWBO,Vienna Stock Exchange,Italy,BS,Brescia,25124,http://www.a2a.eu,Mid Cap,,29670G102,BBG00HVY31W2,BBG00HVY31V3,BBG001S6ZRM1,False
AA19.VI,EB OE TL.Z./AMAG,,EUR,,,,VIE,XWBO,Vienna Stock Exchange,,,,,,,,,,,,False
AAD.VI,Amadeus FiRe AG,"Amadeus FiRe AG provides specialized personnel services in Germany. The company operates in two segments, Personnel Services and Training. It offers personnel services for professionals and executives in the fields of accounting, office, banking, and IT. The company also provides training in preparation for state examinations for tax advisors and specialists, accountants, and financial controllers; professional training in the fields of tax, accounting, and financial control; and education and training in IAS/IFRS and US-GAAP. In addition, it runs recognized private-sector certificate courses primarily designed to prepare participants for professional practice in the field of finance and accounting. Further, the company provides specialist temporary staffing, permanent placement, and interim and project management services. Amadeus FiRe AG was founded in 1986 and is headquartered in Frankfurt am Main, Germany.",EUR,Industrials,Commercial & Professional Services,Professional Services,VIE,XWBO,Vienna Stock Exchange,Germany,,Frankfurt am Main,60314,http://www.amadeus-fire.de,Small Cap,,,,,BBG001S8YTL5,False
AAG.VI,Aventa AG,"Aventa AG operates as a real estate developer. The company is based in Graz, Austria.",EUR,Industrials,Capital Goods,Machinery,VIE,XWBO,Vienna Stock Exchange,Austria,,Graz,8010,http://www.aventa.at,Micro Cap,,00831V205,,,,False
AAL.VI,American Airlines Group Inc.,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2020, it operated a mainline fleet of 855 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",EUR,Industrials,Transportation,Airlines,VIE,XWBO,Vienna Stock Exchange,United States,TX,Fort Worth,76155,http://www.aa.com,Large Cap,,02376R102,BBG00GQ6RZ14,BBG00GQ6RZ05,BBG005P7Q907,False
