symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
600X.AS,SPDR STOXX Europe 600 ESG Screened UCITS ETF EUR Acc,EUR,The investment objective of the Fund is to track the performance of European equities.,Equities,,State Street Global Advisors,AMS,XAMS,IE00BK5H8015
AGUG.AS,iShares Core Global Aggregate Bond UCITS ETF USD Hedged (Dist),USD,"The investment objective of the Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the Bloomberg Barclays Global Aggregate Bond Index.",Fixed Income,Corporate Bonds,BlackRock Asset Management,AMS,XAMS,IE00B3F81409
AUCO.AS,L&G Gold Mining UCITS ETF,EUR,"The Fund is designed to track the performance of the DAXglobalÂ® Gold Miners (TR) USD. AUCO is an Exchange Traded Fund (""ETF"") which is tradable by investors on stock exchanges intraday and can be created and redeemed directly with the Issuer by Authorised Participants. AUCO is authorised and regulated as a UCITS and is eligible for investment by other UCITS. AUCO gains exposure to the performance of the DAXglobalÂ® Gold Miners (TR) USD through Total Return Swaps entered into with multiple counterparties participating on the UCITS ETF platform. Any exposure to the counterparties is collateralised on a daily basis. Details of the collateral held is available at: www. etfsecurities. com",Materials,,LGIM Managers,AMS,XAMS,IE00B3CNHG25
AWSR.AS,UBS (Irl) ETF plc - MSCI ACWI Socially Responsible UCITS ETF Hedged EUR A Acc,EUR,The objective of the Fund is to seek to track the performance of the Index.,,,UBS Asset Management,AMS,XAMS,IE00BDR55703
BATT.AS,L&G Battery Value-Chain UCITS ETF,EUR,"The objective of the fund is to provide exposure to basket of stocks of providers for electro-chemical energy storage technologies and mining companies that produce metals used to manufacture batteries. The tracked index uses a screening approach that picks battery providers mapped according to their technology type (lead-based, lithium-based, nickelbased and sodium-based), and lithium miners classified as current producers of lithium.",,,LGIM Managers,AMS,XAMS,IE00BF0M2Z96
BIOT.AS,L&G Pharma Breakthrough UCITS ETF,EUR,"The objective of the fund is to provide exposure to a basket of stocks of companies that are actively engaged in the research, development and/or manufacturing of orphan drugs. The Index selects stocks that meet certain size and liquidity requirements using a two-fold approach that is primarily based on the trend in the valuation of a companyâs orphan drug portfolio and its overall revenue forecasts.",Health Care,,LGIM Managers,AMS,XAMS,IE00BF0H7608
BRIC.AS,iShares BRIC 50 UCITS ETF USD (Dist),EUR,"The fund is an exchange traded fund (ETF) that aims to track the performance of the FTSE BRIC 50 as closely as possible.
The ETF invests in physical index securities. The FTSE BRIC 50 offers exposure to the 50 largest stocks measured by full market capitalisation, that trade as either depositary receipts (DRs) for Brazilian, Indian or Russian companies, or H shares for Chinese companies. The index is free float market capitalisation weighted. iShares ETFs are funds managed by BlackRock. They are transparent, cost-efficient, liquid vehicles that trade on stock exchanges like normal securities. iShares ETFs offer flexible and easy access to a wide range of markets and asset classes.",Financials,Emerging Markets,BlackRock Asset Management,AMS,XAMS,IE00B1W57M07
BTMA.AS,iShares $ Treasury Bond 7-10yr UCITS ETF USD (Dist),EUR,"The investment objective of this Fund is to provide investors with a total return, taking into account both capital and income returns, which reflects the return of the ICE U.S. Treasury 7-10 Year Bond Index. In order to achieve its investment objective, the investment policy of this Fund is to invest in a portfolio of bonds that so far as possible and practicable consists of the component securities of the ICE U.S. Treasury 7-10 Year Bond Index, this Fundâs Benchmark Index.",Fixed Income,Treasury Bonds,BlackRock Asset Management,AMS,XAMS,IE00B3VWN518
CASH.AS,L&GE Fund MSCI China A UCITS ETF,EUR,"The ETFS-E Fund MSCI CHINA A GO UCITS ETF (the ""ETF"") is designed to provide exposure to the ""A-share"" equity markets in China by tracking the performance of the MSCI China A Index. The ETF aims to replicate the MSCI China A Index by physically investing in ""A-shares"" which are specialised shares of companies incorporated in mainland China, denominated in Renminbi (""RMB"") and traded on the Shenzhen and/or Shanghai stock exchanges. Investment directly in A-shares is typically restricted to domestic investors but is permitted by certain categories of qualified foreign institutional investors through the ""QFII"" and ""RQFII"" programmes. E Fund Management (Hong Kong) Co. , Limited has been appointed as the Sub-Investment Manager to the ETF and the ETF will rely on the Sub-Investment Manager&#39;s status as a RQFII and the foreign investment quota which has been granted to it by the Chinese authorities for the exclusive use of the ETF.",Financials,Emerging Markets,LGIM Managers,AMS,XAMS,IE00BHBFDF83
CBE7.AS,iShares VII PLC - iShares &#226&#130&#172 Govt Bond 3-7yr ETF EUR Acc,EUR,"The investment objective of the Fund is to replicate the performance of the Reference Index (being the Markit iBoxx EUR Sovereigns 3-7 Index (less fees and expenses)).
The Reference Index is a bond index including sovereign bonds issued by governments in the Eurozone with a remaining maturity of between three and seven years. The Reference Index represents bonds that are available to investors worldwide and includes 76 constituents as at 30 September 2011.",Fixed Income,Government Bonds,BlackRock Asset Management,AMS,XAMS,
