symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
AEJL-GB.AQ,MULTI UNITS LUXEMB,GBP,,,,,AQS,AQXE,
ASIL-GB.AQ,MULTI UNITS LUXEMB,GBP,"MULTI UNITS LUXEMB is an investment fund incorporated in Luxembourg. It is a sub-fund of a larger umbrella fund structure, offering various investment strategies. Further information about its specific investment objectives, asset allocation, and risk profile are needed for a comprehensive description.",,,,AQS,AQXE,
CEUG-GB.AQ,ISHARES VII PLC,GBP,,,,,AQS,AQXE,
CLEM-GB.AQ,MULTI UNITS LUXEMB,USD,MULTI UNITS LUXEMB ,,,,AQS,AQXE,
CNX1-GB.AQ,ISHARES VII PLC,GBP,"ISHARES VII PLC is an umbrella company based in the UK, offering a range of exchange-traded funds (ETFs) under the iShares brand. These ETFs provide investors with exposure to various asset classes, geographies, and investment strategies. iShares VII PLC acts as a legal structure for these investment vehicles.",Alternatives,,,AQS,AQXE,
CUKS-GB.AQ,ISHARES VII PLC,GBP,"ISHARES VII PLC is an umbrella company based in the UK, offering a range of exchange-traded funds (ETFs) under the iShares brand. These ETFs provide investors with exposure to various asset classes, geographies, and investment strategies. iShares VII PLC acts as a legal structure for these investment vehicles.",,,BlackRock Asset Management,AQS,AQXE,
CUKX-GB.AQ,ISHARES VII PLC,GBP,"ISHARES VII PLC is an umbrella company based in the UK, offering a range of exchange-traded funds (ETFs) under the iShares brand. These ETFs provide investors with exposure to various asset classes, geographies, and investment strategies. iShares VII PLC acts as a legal structure for these investment vehicles.",,,BlackRock Asset Management,AQS,AQXE,
DAXX-GB.AQ,MULTI UNITS LUXEMB,GBP,MULTI UNITS LUXEMB is an umbrella fund offering various sub-funds with different investment strategies. It is domiciled in Luxembourg and provides a range of investment solutions for institutional and retail investors. The specific details depend on the particular sub-fund.,,,,AQS,AQXE,
DPYE-GB.AQ,ISHARES II PLC,EUR,,,,,AQS,AQXE,
DPYG-GB.AQ,ISHARES II PLC,GBP,,,,,AQS,AQXE,
EUXS-GB.AQ,ISHARES,GBP,,,,,AQS,AQXE,
FEQP-GB.AQ,FIDELITY UCITS ICA,GBP,,,,,AQS,AQXE,
FSWD-GB.AQ,ISHARES IV PLC,GBP,ISHARES IV PLC ,,,BlackRock Asset Management,AQS,AQXE,
FTAL-GB.AQ,SSGA SPDR ETFS EUROPE I PLC,GBP,SSGA SPDR ETFS Europe I PLC is an investment company that offers exchange-traded funds (ETFs) providing exposure to various market indices. These ETFs allow investors to gain diversified exposure to different asset classes and sectors across Europe. The company is based in Ireland.,Financials,,State Street Global Advisors,AQS,AQXE,
GBDV-GB.AQ,SSGA SPDR ETFS E I,GBP,,,,State Street Global Advisors,AQS,AQXE,
GDX-GB.AQ,VANECK INVESTS LTD,USD,"VanEck Investments Ltd. is an asset management firm that offers a range of investment solutions, including exchange-traded funds (ETFs), mutual funds, and other investment products. The company focuses on specialized asset classes such as commodities, emerging markets, and strategic beta. VanEck aims to provide investors with innovative and differentiated investment strategies.",,,VanEck Asset Management,AQS,AQXE,
HMJP-GB.AQ,HSBC ETFS PLC,GBP,,,,,AQS,AQXE,
HMWO-GB.AQ,HSBC ETFS PLC,GBP,,,,,AQS,AQXE,
HPRO-GB.AQ,HSBC ETFS PLC,GBP,,,,,AQS,AQXE,
HSPX-GB.AQ,HSBC ETFS PLC,GBP,,,,HSBC Investment Funds,AQS,AQXE,
